Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,429.62,432.50,423.15,429.04,660500,429.04
2013-07-11,424.25,430.50,422.12,430.00,600800,430.00
2013-07-10,417.54,428.39,416.99,422.68,1191100,422.68
2013-07-09,428.00,429.88,406.69,419.30,5576300,419.30
2013-07-08,503.90,505.66,498.39,500.08,398900,500.08
2013-07-05,504.45,506.62,500.92,504.01,158000,504.01
2013-07-03,500.30,503.78,499.31,499.72,116700,499.72
2013-07-02,499.79,507.23,499.01,501.19,277100,501.19
2013-07-01,509.20,509.20,500.67,501.55,275400,501.55
2013-06-28,500.00,508.94,498.65,506.13,288800,506.13
2013-06-27,506.42,507.61,500.99,502.19,156700,502.19
2013-06-26,497.95,510.54,497.50,503.90,241400,503.90
2013-06-25,506.83,508.40,498.66,501.70,163200,501.70
2013-06-24,498.50,508.65,495.34,504.17,267000,504.17
2013-06-21,500.25,505.09,498.00,502.88,325200,502.88
2013-06-20,506.82,509.18,496.45,497.51,309400,497.51
2013-06-19,510.50,516.07,508.51,510.00,281000,510.00
2013-06-18,503.00,510.88,500.43,509.61,541800,509.61
2013-06-17,503.23,504.94,498.04,499.32,265200,499.32
2013-06-14,504.50,505.72,497.97,498.31,210900,498.31
2013-06-13,492.70,505.34,491.89,504.50,196400,504.50
2013-06-12,501.18,503.53,494.07,495.44,148500,495.44
2013-06-11,506.53,507.45,499.14,499.57,173700,499.57
2013-06-10,510.84,514.25,509.40,510.21,134200,510.21
2013-06-07,508.43,513.49,507.41,513.49,278200,513.49
2013-06-06,501.87,507.89,499.36,507.41,205800,507.41
2013-06-05,498.54,505.34,497.85,500.54,249600,500.54
2013-06-04,499.19,500.90,496.26,498.59,202000,498.59
2013-06-03,499.36,500.57,495.01,500.23,224500,500.23
2013-05-31,503.15,503.76,497.53,497.53,270500,497.53
2013-05-30,499.01,507.39,496.01,504.68,270100,504.68
2013-05-29,498.00,502.79,493.57,498.50,171700,498.50
2013-05-28,505.22,507.99,499.04,501.64,277800,501.64
2013-05-24,492.00,508.00,490.71,501.53,915000,501.53
2013-05-23,466.31,481.96,465.11,478.46,493400,478.46
2013-05-22,486.14,489.45,468.60,470.30,427600,470.30
2013-05-21,478.70,489.25,478.70,485.88,206900,485.88
2013-05-20,482.37,487.29,478.40,479.42,201200,479.42
2013-05-17,479.58,484.83,479.00,484.00,390900,484.00
2013-05-16,482.10,485.23,474.18,476.22,289000,476.22
2013-05-15,489.09,489.33,483.60,484.40,172900,484.40
2013-05-14,485.80,491.09,485.50,487.73,220500,487.73
2013-05-13,497.24,500.72,485.00,485.69,442600,485.69
2013-05-10,493.00,500.65,488.91,499.57,849300,499.57
2013-05-09,490.22,511.79,490.00,505.80,395900,505.80
2013-05-08,489.30,490.77,480.65,489.31,375200,489.31
