Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,21.70,21.96,21.68,21.95,1507200,21.95
2013-07-11,21.80,21.80,21.44,21.73,1378300,21.73
2013-07-10,21.22,21.76,21.18,21.53,2049500,21.53
2013-07-09,20.56,21.25,20.56,21.22,2313800,21.22
2013-07-08,20.97,21.00,20.26,20.38,2896100,20.38
2013-07-05,20.83,20.94,20.73,20.93,1043300,20.93
2013-07-03,20.60,20.87,20.38,20.66,943100,20.66
2013-07-02,20.57,20.96,20.46,20.66,1526200,20.66
2013-07-01,20.40,20.82,20.38,20.58,1794600,20.58
2013-06-28,20.28,20.43,19.93,20.38,2964200,20.38
2013-06-27,20.23,20.57,20.20,20.37,1832300,20.37
2013-06-26,20.15,20.15,19.85,20.06,1529100,20.06
2013-06-25,19.65,19.98,19.55,19.93,1621800,19.93
2013-06-24,19.96,19.99,19.26,19.43,2928200,19.43
2013-06-21,20.31,20.61,20.07,20.23,3116500,20.23
2013-06-20,18.81,20.38,18.81,20.12,5258600,20.12
2013-06-19,19.99,20.17,19.74,19.82,2746500,19.82
2013-06-18,19.69,19.98,19.50,19.92,1687100,19.92
2013-06-17,19.61,19.81,19.56,19.70,1523700,19.70
2013-06-14,19.69,19.74,19.32,19.42,1581000,19.42
2013-06-13,18.96,19.73,18.80,19.71,1916300,19.71
2013-06-12,19.47,19.57,18.90,18.94,1537400,18.94
2013-06-11,19.12,19.64,18.99,19.36,1462600,19.36
2013-06-10,19.43,19.54,19.32,19.35,2368400,19.35
2013-06-07,19.37,19.86,19.34,19.44,2990400,19.44
2013-06-06,19.26,19.56,19.16,19.27,3621000,19.27
2013-06-05,19.86,19.87,19.27,19.28,3158300,19.28
2013-06-04,20.11,20.43,19.80,19.94,1732900,19.94
2013-06-03,20.05,20.15,19.75,20.12,2452200,20.12
2013-05-31,20.05,20.47,19.86,20.06,2173800,20.06
2013-05-30,19.73,20.33,19.70,20.19,1636100,20.19
2013-05-29,19.55,19.79,19.46,19.66,1631600,19.66
2013-05-28,19.70,19.83,19.45,19.70,1673900,19.70
2013-05-24,19.07,19.33,19.02,19.25,1033500,19.25
2013-05-23,19.28,19.33,19.04,19.21,2058700,19.21
2013-05-22,19.96,20.17,19.46,19.56,2060900,19.56
2013-05-21,20.07,20.09,19.79,19.99,1454200,19.99
2013-05-20,19.97,20.14,19.93,20.04,1368400,20.04
2013-05-17,19.75,20.09,19.67,20.05,1730700,20.05
2013-05-16,19.80,19.99,19.56,19.65,1913500,19.65
2013-05-15,19.59,19.70,19.50,19.60,1591800,19.60
2013-05-14,19.11,19.85,19.06,19.69,2804200,19.69
2013-05-13,19.15,19.24,18.98,19.04,1014400,19.04
2013-05-10,19.27,19.32,19.11,19.28,1177000,19.20
2013-05-09,19.36,19.48,19.16,19.21,2195400,19.13
2013-05-08,19.04,19.36,18.95,19.35,2502600,19.27
2013-05-07,18.70,19.05,18.58,19.04,3723400,18.96
2013-05-06,18.27,18.67,18.17,18.66,1656500,18.58
2013-05-03,17.97,18.34,17.91,18.23,1541700,18.15
2013-05-02,17.54,17.83,17.52,17.77,1838900,17.70
2013-05-01,17.76,17.80,17.47,17.50,1704700,17.43
2013-04-30,17.59,17.83,17.50,17.80,1516300,17.73
2013-04-29,17.37,17.63,17.31,17.59,1313300,17.52
