Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,36.52,37.05,36.52,36.91,4652500,36.91
2013-07-11,36.46,36.67,36.43,36.50,4809800,36.50
2013-07-10,36.19,36.33,36.04,36.04,3162000,36.04
2013-07-09,36.29,36.44,36.12,36.25,4043900,36.25
2013-07-08,35.95,36.23,35.94,36.00,3739600,36.00
2013-07-05,35.84,36.04,35.55,35.61,4140300,35.61
2013-07-03,35.64,35.66,35.43,35.54,2074900,35.54
2013-07-02,35.86,36.04,35.61,35.74,6631600,35.74
2013-07-01,35.97,36.40,35.83,35.91,3778700,35.91
2013-06-28,35.97,36.08,35.70,35.79,2552800,35.79
2013-06-27,35.99,36.18,35.85,36.03,4046200,36.03
2013-06-26,35.64,35.88,35.50,35.72,2532800,35.72
2013-06-25,35.27,35.61,35.25,35.36,2780300,35.36
2013-06-24,34.79,35.05,34.40,34.80,4099700,34.80
2013-06-21,35.52,35.76,35.10,35.29,5154200,35.29
2013-06-20,36.22,36.25,35.21,35.36,6813400,35.36
2013-06-19,37.46,37.59,36.68,36.69,3921900,36.69
2013-06-18,37.53,37.54,37.16,37.49,3989500,37.49
2013-06-17,37.91,38.09,37.38,37.63,2928800,37.63
2013-06-14,37.85,38.15,37.35,37.57,2969900,37.57
2013-06-13,36.55,38.03,36.46,37.90,3259700,37.90
2013-06-12,37.44,37.60,36.37,36.52,4273800,36.52
2013-06-11,37.18,37.38,36.85,37.08,2355400,37.08
2013-06-10,37.69,37.89,37.37,37.58,3158000,37.58
2013-06-07,36.97,37.72,36.81,37.62,3518500,37.62
2013-06-06,36.39,36.75,36.07,36.75,3013500,36.75
2013-06-05,36.81,36.86,36.20,36.31,3318000,36.31
2013-06-04,37.52,37.84,37.03,37.16,3693400,36.97
2013-06-03,37.51,37.70,36.99,37.52,3290000,37.33
2013-05-31,37.63,38.02,37.36,37.36,4559900,37.17
2013-05-30,38.14,38.15,37.71,37.81,4201600,37.62
2013-05-29,37.71,38.24,37.63,38.02,3001900,37.83
2013-05-28,37.74,38.33,37.74,38.06,3095400,37.87
2013-05-24,36.55,37.16,36.44,37.03,3930300,36.84
2013-05-23,36.96,37.26,36.78,37.17,3226400,36.98
2013-05-22,37.55,38.08,37.15,37.38,3765800,37.19
2013-05-21,37.66,37.94,37.47,37.57,2328200,37.38
2013-05-20,37.53,37.85,37.41,37.69,3208900,37.50
2013-05-17,36.90,37.66,36.88,37.54,4897900,37.35
2013-05-16,36.65,37.05,36.58,36.63,3159200,36.44
2013-05-15,37.06,37.18,36.40,36.75,10056000,36.56
2013-05-14,36.81,37.26,36.75,37.22,2833500,37.03
2013-05-13,36.51,36.93,36.50,36.82,3160100,36.63
2013-05-10,36.27,36.56,36.15,36.47,2770800,36.28
2013-05-09,35.84,36.38,35.73,36.24,4632000,36.05
2013-05-08,35.70,35.83,35.54,35.78,3449800,35.60
2013-05-07,35.39,35.76,35.25,35.75,3412400,35.57
2013-05-06,34.83,35.44,34.83,35.32,2318900,35.14
2013-05-03,34.75,35.34,34.68,34.89,3398100,34.71
2013-05-02,34.65,34.72,34.29,34.37,2835200,34.19
2013-05-01,34.86,34.99,34.47,34.49,2787800,34.31
2013-04-30,35.03,35.18,34.96,35.01,3491300,34.83
2013-04-29,35.15,35.21,34.95,35.10,2976000,34.92
2013-04-26,35.12,35.29,34.90,35.09,3072900,34.91
2013-04-25,34.39,35.33,34.34,35.11,4565100,34.93
2013-04-24,33.57,34.27,33.52,34.24,6628600,34.06
2013-04-23,33.29,33.63,32.86,33.49,8802700,33.32
2013-04-22,32.95,33.23,32.60,33.15,5441600,32.98
2013-04-19,32.21,32.64,31.95,32.64,3312600,32.47
2013-04-18,32.53,32.59,31.99,32.17,3288700,32.01
2013-04-17,33.12,33.15,32.24,32.54,6201800,32.37
2013-04-16,33.31,33.45,33.10,33.42,2920800,33.25
2013-04-15,33.80,33.85,32.99,33.04,5059100,32.87
2013-04-12,33.75,34.07,33.66,34.07,3729500,33.90
2013-04-11,33.99,34.14,33.84,33.98,6107400,33.81
2013-04-10,33.48,34.25,33.42,33.96,4579500,33.79
2013-04-09,33.28,33.61,33.25,33.50,2708700,33.33
2013-04-08,32.96,33.29,32.85,33.29,3316100,33.12
2013-04-05,32.88,33.06,32.65,33.02,5645700,32.85
2013-04-04,33.77,33.77,33.08,33.34,7415100,33.17
2013-04-03,34.24,34.47,33.65,33.78,5878400,33.61
2013-04-02,34.66,34.91,34.08,34.21,3376600,34.04
2013-04-01,35.09,35.16,34.34,34.43,3719000,34.25
2013-03-28,34.92,35.17,34.92,35.07,2733400,34.89
2013-03-27,34.72,35.11,34.60,35.09,3041400,34.91
2013-03-26,34.77,35.10,34.60,35.05,3307800,34.87
2013-03-25,34.79,35.04,34.50,34.61,3641700,34.43
2013-03-22,34.95,35.00,34.70,34.79,3666300,34.61
2013-03-21,34.83,35.09,34.71,34.86,4124700,34.68
2013-03-20,34.95,35.16,34.94,35.05,3212600,34.87
2013-03-19,34.87,35.00,34.53,34.77,4097800,34.59
2013-03-18,34.49,34.94,34.15,34.73,5152400,34.55
2013-03-15,34.80,35.06,34.75,34.97,5846500,34.79
2013-03-14,34.98,35.10,34.53,34.93,5503500,34.75
2013-03-13,34.23,34.52,34.00,34.47,4766100,34.29
2013-03-12,33.97,34.37,33.91,34.28,6411000,34.10
2013-03-11,33.70,34.06,33.54,33.97,3863600,33.80
2013-03-08,33.53,33.82,33.47,33.73,7288300,33.56
2013-03-07,32.65,33.45,32.58,33.41,7291800,33.24
2013-03-06,31.79,34.45,31.57,32.63,30273300,32.46
2013-03-05,31.66,32.08,31.59,32.00,4404000,31.65
2013-03-04,31.47,31.55,31.33,31.49,3920500,31.14
2013-03-01,31.26,31.67,30.96,31.49,3871400,31.14
2013-02-28,31.43,31.78,31.26,31.47,3808000,31.12
2013-02-27,30.87,31.47,30.75,31.41,10039600,31.06
2013-02-26,30.83,30.97,30.58,30.83,3464700,30.49
2013-02-25,31.51,31.58,30.67,30.67,4090200,30.33
2013-02-22,31.74,31.80,31.20,31.31,3807700,30.96
2013-02-21,31.79,31.84,31.42,31.67,4056300,31.32
2013-02-20,32.36,32.49,31.76,31.84,4432800,31.49
2013-02-19,32.17,32.49,32.06,32.46,3532000,32.10
2013-02-15,31.93,32.16,31.81,32.14,5642300,31.79
2013-02-14,31.35,31.84,31.32,31.83,4354900,31.48
2013-02-13,31.53,31.99,31.51,31.65,4118800,31.30
2013-02-12,31.09,31.43,30.94,31.42,4284600,31.07
2013-02-11,31.10,31.25,31.06,31.17,2616700,30.83
2013-02-08,30.75,31.20,30.70,31.15,3174300,30.81
2013-02-07,31.32,31.34,30.56,30.62,7450100,30.28
2013-02-06,31.11,31.34,30.94,31.34,4594600,30.99
2013-02-05,30.99,31.47,30.89,31.37,7527600,31.02
2013-02-04,30.97,31.25,30.77,30.83,5122100,30.49
2013-02-01,30.97,31.61,30.97,31.24,8170900,30.90
2013-01-31,30.90,31.11,30.79,31.09,4101100,30.75
2013-01-30,31.08,31.12,30.83,31.05,4308600,30.71
2013-01-29,30.76,31.14,30.56,31.11,4220200,30.77
2013-01-28,31.01,31.11,30.61,30.89,3675600,30.55
2013-01-25,30.99,31.01,30.68,30.94,3672100,30.60
2013-01-24,30.65,31.09,30.65,30.88,3149900,30.54
2013-01-23,30.85,30.99,30.30,30.73,4896500,30.39
2013-01-22,30.84,31.22,30.80,30.85,7232600,30.51
2013-01-18,30.80,31.38,30.32,31.01,14345700,30.67
2013-01-17,31.75,31.97,31.49,31.96,4523600,31.61
2013-01-16,31.72,31.79,31.37,31.57,5198100,31.22
2013-01-15,31.47,31.83,31.36,31.82,3522600,31.47
2013-01-14,31.60,31.73,31.40,31.73,2768700,31.38
2013-01-11,31.59,31.80,31.45,31.67,3599300,31.32
2013-01-10,31.70,31.70,31.32,31.49,6333800,31.14
2013-01-09,31.29,31.58,31.29,31.42,2858300,31.07
2013-01-08,31.48,31.59,31.13,31.19,3772300,30.85
2013-01-07,31.44,31.77,31.36,31.53,3466000,31.18
2013-01-04,31.91,31.91,31.19,31.39,7409300,31.04
2013-01-03,31.47,32.00,31.20,31.80,5495700,31.45
2013-01-02,31.52,31.62,31.12,31.49,4585400,31.14
2012-12-31,29.88,30.74,29.87,30.67,5596400,30.33
2012-12-28,30.12,30.35,30.03,30.11,3214400,29.78
2012-12-27,30.25,30.46,29.90,30.38,4392600,30.05
2012-12-26,30.14,30.42,30.02,30.23,2330700,29.90
2012-12-24,30.03,30.24,29.71,30.15,1609000,29.82
2012-12-21,29.72,30.13,29.48,30.12,6360700,29.79
2012-12-20,29.80,30.03,29.58,30.01,4581600,29.68
2012-12-19,29.61,30.25,29.50,29.76,6916500,29.43
2012-12-18,28.75,29.34,28.74,29.22,4159300,28.90
2012-12-17,28.37,28.70,28.28,28.69,3887400,28.37
2012-12-14,28.28,28.54,28.10,28.20,3433200,27.89
2012-12-13,28.62,28.81,28.24,28.37,2705000,28.06
