Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,17.59,17.72,17.37,17.57,3407300,17.57
2013-07-11,17.28,17.72,17.19,17.67,7091200,17.67
2013-07-10,17.05,17.30,16.88,17.08,3001800,17.08
2013-07-09,17.06,17.13,16.88,17.05,3116700,17.05
2013-07-08,16.85,17.08,16.68,16.95,3608300,16.95
2013-07-05,16.72,16.79,16.41,16.75,2525800,16.75
2013-07-03,16.46,16.68,16.33,16.60,2968600,16.60
2013-07-02,16.65,17.01,16.45,16.55,6740600,16.55
2013-07-01,17.37,17.44,16.64,16.72,7086800,16.72
2013-06-28,16.93,17.26,16.74,17.08,6957900,17.08
2013-06-27,16.24,17.09,16.23,16.99,9670500,16.99
2013-06-26,16.12,16.18,15.84,16.15,4265500,16.15
2013-06-25,15.73,16.19,15.63,15.98,6848200,15.98
2013-06-24,15.69,15.72,15.04,15.42,9764400,15.42
2013-06-21,16.45,16.64,15.78,15.91,8707600,15.91
2013-06-20,16.91,16.92,16.17,16.27,9220900,16.27
2013-06-19,17.55,17.67,17.08,17.11,5292600,17.11
2013-06-18,17.64,17.67,17.37,17.53,5797300,17.53
2013-06-17,17.49,17.67,17.18,17.60,7037200,17.60
2013-06-14,18.00,18.01,17.32,17.38,10312300,17.38
2013-06-13,17.79,18.25,17.78,18.15,4680300,18.15
2013-06-12,18.00,18.18,17.66,17.80,7760400,17.80
2013-06-11,18.50,18.61,18.07,18.12,4834700,18.12
2013-06-10,18.81,18.90,18.42,18.69,6129100,18.69
2013-06-07,18.18,18.75,18.14,18.73,7040900,18.73
2013-06-06,18.26,18.59,17.88,18.15,7908300,18.15
2013-06-05,18.46,18.73,17.96,18.16,9245000,18.16
2013-06-04,17.80,18.42,17.75,17.96,10418200,17.96
2013-06-03,17.70,17.98,17.35,17.76,6899200,17.76
2013-05-31,17.74,18.12,17.56,17.58,6580100,17.58
2013-05-30,18.00,18.16,17.57,17.77,9032800,17.77
2013-05-29,18.60,18.60,17.86,17.92,10847400,17.92
2013-05-28,19.30,19.39,18.69,18.72,8998000,18.72
2013-05-24,19.21,19.63,18.93,18.98,9777800,18.98
2013-05-23,18.40,19.46,18.30,19.39,12775700,19.39
2013-05-22,19.09,19.48,18.52,18.72,11062100,18.72
2013-05-21,18.72,19.35,18.50,18.98,11215300,18.98
2013-05-20,18.12,19.01,18.08,18.81,15779200,18.81
2013-05-17,17.78,18.64,17.55,18.01,25274400,18.01
2013-05-16,19.11,19.27,18.41,18.79,17753400,18.79
2013-05-15,18.67,19.48,18.63,18.97,18105300,18.97
2013-05-14,18.43,18.98,18.11,18.62,14006600,18.62
2013-05-13,18.66,19.03,18.15,18.24,21056400,18.24
2013-05-10,17.21,17.76,17.17,17.72,8172100,17.72
2013-05-09,17.47,17.75,17.20,17.36,9064300,17.36
2013-05-08,16.94,17.88,16.90,17.61,28784000,17.61
2013-05-07,16.86,16.97,16.22,16.40,11314300,16.40
2013-05-06,17.37,17.39,16.88,16.92,11177600,16.92
2013-05-03,17.01,17.29,16.85,17.26,14298000,17.26
2013-05-02,16.35,16.84,16.35,16.80,13551000,16.80
2013-05-01,16.35,16.48,15.90,16.20,14545500,16.20
2013-04-30,17.15,17.43,16.36,16.42,16821700,16.42
2013-04-29,17.66,17.70,17.00,17.19,33381800,17.19
2013-04-26,16.15,17.58,15.86,17.00,56698400,17.00
2013-04-25,15.26,15.56,15.20,15.24,10932600,15.24
2013-04-24,15.48,15.60,15.15,15.19,7242100,15.19
2013-04-23,15.19,15.73,14.95,15.45,14552800,15.45
2013-04-22,15.36,15.80,15.31,15.54,13453300,15.54
2013-04-19,15.20,15.39,14.85,15.26,17094800,15.26
2013-04-18,14.97,15.29,14.83,15.16,29205100,15.16
2013-04-17,15.07,15.13,14.58,14.77,17433900,14.77
2013-04-16,14.59,15.42,14.45,15.19,28594400,15.19
2013-04-15,14.43,15.15,14.27,14.39,32590400,14.39
2013-04-12,15.01,15.03,14.24,14.62,36434200,14.62
2013-04-11,14.19,15.12,14.16,14.86,27517600,14.86
