Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,14.97,15.19,14.91,15.14,4480600,15.14
2013-07-11,14.63,15.00,14.50,14.96,3885200,14.96
2013-07-10,14.47,14.68,14.27,14.44,3194700,14.44
2013-07-09,14.91,14.97,14.28,14.35,5991800,14.35
2013-07-08,15.00,15.00,14.84,14.89,2515100,14.89
2013-07-05,14.64,14.93,14.56,14.90,2520300,14.90
2013-07-03,14.38,14.62,14.30,14.52,1857400,14.52
2013-07-02,14.45,14.78,14.35,14.50,3002100,14.50
2013-07-01,14.42,14.71,14.39,14.44,3095500,14.44
2013-06-28,14.10,14.46,14.05,14.39,5057500,14.39
2013-06-27,13.85,14.32,13.79,14.23,2930900,14.23
2013-06-26,13.83,13.89,13.68,13.78,1706700,13.78
2013-06-25,13.80,13.99,13.57,13.72,3564800,13.72
2013-06-24,13.85,13.93,13.57,13.67,3107100,13.67
2013-06-21,14.10,14.19,13.73,14.04,4705300,14.04
2013-06-20,14.38,14.84,13.82,13.94,7043800,13.94
2013-06-19,14.40,14.52,14.26,14.27,2792100,14.27
2013-06-18,14.20,14.57,14.20,14.42,2231700,14.42
2013-06-17,14.35,14.42,14.09,14.20,2730600,14.20
2013-06-14,14.26,14.38,14.05,14.17,2330000,14.17
2013-06-13,13.98,14.36,13.94,14.29,3362800,14.29
2013-06-12,14.62,14.68,13.93,14.04,4895100,14.04
2013-06-11,14.56,14.90,14.42,14.53,4145400,14.53
2013-06-10,14.73,14.83,14.64,14.75,4042800,14.75
2013-06-07,14.26,14.68,14.14,14.65,5671700,14.65
2013-06-06,13.70,14.23,13.65,14.22,9050500,14.22
2013-06-05,13.31,13.31,13.00,13.13,4670900,13.13
2013-06-04,13.41,13.60,13.23,13.32,2808500,13.32
2013-06-03,13.65,13.70,13.15,13.42,3457000,13.42
2013-05-31,13.70,13.94,13.62,13.62,1915300,13.62
2013-05-30,13.61,13.91,13.46,13.73,2813600,13.73
2013-05-29,13.28,13.59,13.22,13.56,3184600,13.56
2013-05-28,13.41,13.50,13.24,13.37,3131800,13.37
2013-05-24,13.05,13.15,12.91,13.07,1850400,13.07
2013-05-23,13.03,13.28,12.96,13.17,3673700,13.17
2013-05-22,13.85,13.90,13.25,13.29,3469500,13.29
2013-05-21,13.85,13.98,13.68,13.85,2534800,13.85
2013-05-20,13.77,14.05,13.76,13.89,2337900,13.89
2013-05-17,14.03,14.12,13.85,13.97,3249200,13.97
2013-05-16,13.64,14.15,13.60,14.02,7808800,14.02
2013-05-15,13.29,13.39,13.23,13.36,2462600,13.36
2013-05-14,13.30,13.38,13.20,13.30,4718200,13.30
2013-05-13,13.40,13.50,13.25,13.28,2600900,13.28
2013-05-10,13.24,13.49,13.24,13.46,2173300,13.46
2013-05-09,13.46,13.58,13.15,13.24,4135000,13.24
2013-05-08,13.69,13.71,13.49,13.53,2680000,13.53
2013-05-07,13.82,13.87,13.60,13.75,3446900,13.75
2013-05-06,13.35,13.79,13.32,13.74,5185300,13.74
2013-05-03,13.15,13.41,13.04,13.32,6365500,13.32
2013-05-02,13.10,13.50,12.79,13.00,12882500,13.00
2013-05-01,13.40,13.50,12.40,12.52,13539400,12.52
2013-04-30,13.36,13.58,13.14,13.50,4304500,13.50
2013-04-29,13.55,13.69,13.31,13.59,2510900,13.59
2013-04-26,13.55,13.55,13.30,13.44,2294400,13.44
2013-04-25,13.53,13.72,13.44,13.60,3424900,13.60
2013-04-24,13.05,13.42,13.05,13.38,4795900,13.38
2013-04-23,12.94,13.51,12.93,13.46,5572900,13.46
