Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,57.09,57.78,57.09,57.76,631000,57.76
2013-07-11,56.89,57.25,56.72,57.02,534500,57.02
2013-07-10,55.98,56.18,55.25,56.05,505700,56.05
2013-07-09,55.39,56.59,55.39,55.98,625700,55.98
2013-07-08,55.66,55.85,54.77,54.92,692700,54.92
2013-07-05,55.11,55.44,54.21,55.36,356200,55.36
2013-07-03,53.99,55.02,53.99,54.56,292200,54.56
2013-07-02,55.29,55.80,54.27,54.62,603300,54.62
2013-07-01,55.48,56.00,55.27,55.42,524700,55.42
2013-06-28,55.57,55.64,55.05,55.13,587200,55.13
2013-06-27,55.37,55.79,55.14,55.70,784600,55.70
2013-06-26,55.88,56.07,54.58,54.88,957300,54.88
2013-06-25,55.52,55.65,54.91,55.40,707400,55.40
2013-06-24,55.27,55.43,54.64,54.76,916900,54.76
2013-06-21,55.97,56.44,55.42,55.86,1268900,55.86
2013-06-20,55.58,56.19,55.29,55.53,911100,55.53
2013-06-19,57.68,57.82,56.71,56.71,699100,56.71
2013-06-18,56.87,57.97,56.84,57.78,542200,57.78
2013-06-17,56.43,57.14,56.02,56.82,732400,56.82
2013-06-14,55.54,56.33,55.35,55.83,660100,55.83
2013-06-13,55.00,55.70,54.62,55.53,1015100,55.53
2013-06-12,56.50,56.74,55.02,55.04,1251500,55.04
2013-06-11,55.73,56.53,55.60,56.06,696100,56.06
2013-06-10,57.06,57.06,56.46,57.01,711700,57.01
2013-06-07,56.41,57.15,56.25,56.93,754400,56.93
2013-06-06,55.70,56.15,55.45,55.92,1362200,55.92
2013-06-05,56.64,56.73,55.48,55.74,1364700,55.74
2013-06-04,57.37,57.75,56.52,56.90,740600,56.90
2013-06-03,57.16,57.57,56.00,57.40,1319400,57.40
2013-05-31,56.74,57.81,56.35,57.01,977000,57.01
2013-05-30,56.25,57.35,55.92,57.16,852500,57.16
2013-05-29,56.04,56.59,55.58,56.06,959600,56.06
2013-05-28,55.83,56.52,55.59,56.44,850500,56.44
2013-05-24,54.62,55.09,54.35,54.99,675200,54.99
2013-05-23,53.81,55.27,53.48,55.00,1038500,55.00
2013-05-22,55.02,55.70,54.38,54.57,859200,54.57
2013-05-21,54.95,55.36,54.47,55.05,643500,55.05
2013-05-20,53.96,55.52,53.96,55.00,982200,55.00
2013-05-17,52.88,54.16,52.77,54.09,756700,54.09
2013-05-16,52.06,52.88,51.92,52.76,1121600,52.76
2013-05-15,51.09,52.51,51.09,52.36,899400,52.36
2013-05-14,50.25,51.37,50.25,51.37,749400,51.37
2013-05-13,50.90,50.95,49.99,50.20,698800,50.20
2013-05-10,50.55,51.00,50.35,51.00,756600,51.00
2013-05-09,51.28,51.58,50.38,50.53,1162800,50.53
2013-05-08,51.00,51.73,51.00,51.45,552000,51.45
2013-05-07,50.94,51.33,50.53,51.10,577300,51.10
2013-05-06,50.58,51.15,50.40,50.90,814400,50.90
2013-05-03,50.51,51.61,50.51,50.63,1048900,50.63
2013-05-02,49.28,49.97,49.01,49.85,992900,49.85
2013-05-01,50.45,50.58,48.99,49.02,1624100,49.02
2013-04-30,50.81,51.63,49.51,50.48,2216600,50.48
2013-04-29,51.84,52.53,51.68,52.03,1092200,52.03
2013-04-26,52.14,52.27,51.43,51.65,433200,51.65
2013-04-25,52.11,52.76,51.88,52.20,582500,52.20
2013-04-24,51.14,51.90,51.14,51.87,730200,51.87
2013-04-23,50.92,51.05,50.12,51.05,554200,51.05
2013-04-22,50.11,50.86,49.12,50.64,722200,50.64
2013-04-19,49.69,50.20,49.27,50.04,788600,50.04
2013-04-18,49.66,49.93,49.19,49.43,1282700,49.43
2013-04-17,50.61,50.71,48.86,49.48,1446400,49.48
2013-04-16,50.91,51.88,50.76,51.21,1147000,51.21
2013-04-15,52.60,52.60,50.21,50.35,1688300,50.35
2013-04-12,54.35,54.39,52.87,53.08,1708500,53.08
2013-04-11,54.10,54.90,53.89,54.63,786100,54.63
2013-04-10,53.69,54.14,53.42,54.13,832300,54.13
2013-04-09,53.91,54.00,53.06,53.56,669200,53.56
2013-04-08,53.18,54.07,53.18,53.98,830300,53.98
2013-04-05,52.28,53.43,51.55,53.35,1134600,53.35
2013-04-04,52.65,53.02,52.64,52.99,1070200,52.99
2013-04-03,54.25,54.37,52.30,52.54,1596300,52.54
2013-04-02,55.48,55.68,54.20,54.34,1188100,54.34
2013-04-01,56.11,56.33,55.01,55.13,883500,55.13
2013-03-28,55.77,56.53,55.23,56.24,1213100,56.24
2013-03-27,54.94,55.54,54.51,55.53,695500,55.53
2013-03-26,54.51,55.31,54.42,55.31,759500,55.31
2013-03-25,54.60,55.00,53.84,54.31,660900,54.31
2013-03-22,54.21,54.50,53.82,54.49,669100,54.49
2013-03-21,53.81,54.17,53.65,53.94,982000,53.94
2013-03-20,54.46,54.50,54.06,54.19,1549600,54.19
2013-03-19,53.97,54.25,53.72,54.19,1888400,54.19
2013-03-18,52.99,54.23,52.90,54.05,1237600,54.05
2013-03-15,53.35,53.80,53.34,53.71,1140200,53.71
2013-03-14,52.60,53.36,52.55,53.36,979900,53.36
2013-03-13,52.10,52.70,52.07,52.46,753800,52.46
2013-03-12,52.23,52.47,51.88,52.00,800400,52.00
2013-03-11,51.85,52.98,51.49,52.20,1521500,52.20
2013-03-08,50.80,51.86,50.65,51.82,1213500,51.82
2013-03-07,50.22,50.51,50.08,50.41,889500,50.41
2013-03-06,50.35,50.69,50.15,50.24,868000,50.24
2013-03-05,48.77,50.15,48.70,50.03,1410300,50.03
2013-03-04,47.84,48.30,47.70,48.29,995600,48.29
2013-03-01,48.24,48.54,47.34,48.00,1311200,48.00
2013-02-28,48.75,49.07,48.46,48.84,923800,48.84
2013-02-27,47.58,48.71,47.48,48.57,616500,48.57
2013-02-26,47.81,47.90,46.92,47.70,1106800,47.70
2013-02-25,49.40,49.61,47.55,47.58,1435800,47.58
2013-02-22,48.87,49.10,48.53,49.10,711600,49.10
2013-02-21,49.15,49.27,48.04,48.62,978400,48.62
2013-02-20,50.34,50.48,49.38,49.39,1143900,49.39
2013-02-19,49.42,50.31,49.35,50.30,1337800,50.30
2013-02-15,48.90,49.35,48.59,49.35,1094800,49.35
2013-02-14,48.53,49.21,48.45,48.90,853000,48.90
2013-02-13,48.39,49.00,48.39,48.69,648100,48.69
2013-02-12,48.16,48.36,47.87,48.14,682400,48.14
2013-02-11,48.00,48.26,47.73,47.84,509200,47.84
2013-02-08,48.06,48.39,47.78,48.08,660600,48.08
2013-02-07,48.62,48.62,47.88,48.02,790700,48.02
2013-02-06,48.21,48.56,48.13,48.56,525600,48.56
2013-02-05,48.11,48.55,47.94,48.50,785500,48.50
2013-02-04,48.00,48.24,47.80,47.91,717500,47.91
2013-02-01,48.65,48.73,48.16,48.33,1079400,48.33
2013-01-31,47.98,48.22,47.43,48.11,987500,48.11
2013-01-30,48.92,48.96,48.00,48.04,1020600,48.04
2013-01-29,48.74,49.35,48.68,48.91,894500,48.91
2013-01-28,48.57,48.88,48.40,48.73,755700,48.73
2013-01-25,47.37,49.41,47.03,48.46,2787500,48.46
2013-01-24,46.50,47.25,46.42,47.03,951200,47.03
