Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,89.69,89.99,89.38,89.99,7590600,89.99
2013-07-11,89.81,89.93,89.00,89.67,8941300,89.67
2013-07-10,88.88,89.48,88.81,89.24,7067100,89.24
2013-07-09,88.65,89.08,88.36,88.88,9348600,88.88
2013-07-08,88.09,88.99,87.97,88.59,12051400,88.59
2013-07-05,87.58,87.88,86.92,87.87,5403600,87.87
2013-07-03,86.54,87.04,86.10,86.78,3599900,86.78
2013-07-02,86.65,87.20,86.21,86.57,8572100,86.57
2013-07-01,85.72,87.64,85.50,86.63,9905200,86.63
2013-06-28,86.72,87.38,85.85,85.86,11896300,85.86
2013-06-27,87.53,87.82,86.49,86.71,8890300,86.71
2013-06-26,85.95,87.32,85.94,86.99,11966500,86.99
2013-06-25,85.16,85.59,84.54,85.35,11239400,85.35
2013-06-24,82.92,85.31,82.81,84.61,14777500,84.61
2013-06-21,83.00,84.32,82.50,83.20,20715800,83.20
2013-06-20,84.21,84.45,82.12,82.62,15172600,82.62
2013-06-19,86.43,86.50,84.80,84.86,8288400,84.86
2013-06-18,85.75,86.44,85.63,86.36,7233600,86.36
2013-06-17,85.37,86.40,84.98,85.63,8429100,85.63
2013-06-14,84.71,85.48,84.66,84.91,6357100,84.91
2013-06-13,83.60,84.96,83.08,84.91,8570000,84.91
2013-06-12,85.18,85.50,83.70,83.74,8413200,83.74
2013-06-11,84.76,85.02,84.13,84.69,8967000,84.69
2013-06-10,85.01,85.71,84.73,85.14,8477100,85.14
2013-06-07,84.96,85.18,84.40,84.91,8907700,84.91
2013-06-06,83.59,84.46,82.65,84.46,10671000,84.46
2013-06-05,83.91,85.00,83.48,83.68,9839100,83.68
2013-06-04,84.72,85.03,83.56,84.10,9972000,84.10
2013-06-03,84.28,84.71,83.37,84.71,11768500,84.71
2013-05-31,85.68,85.99,84.18,84.18,13302700,84.18
2013-05-30,85.71,86.31,85.68,85.99,7801200,85.99
2013-05-29,87.08,87.16,85.14,85.65,11872100,85.65
2013-05-28,87.54,88.29,87.27,87.61,8380200,87.61
2013-05-24,86.80,87.03,86.49,86.82,10390100,86.82
2013-05-23,87.11,87.97,87.00,87.21,14446900,87.21
2013-05-22,88.70,89.99,88.20,88.46,13825900,87.80
2013-05-21,87.94,88.64,87.79,88.59,10099600,87.93
2013-05-20,88.10,88.20,87.81,88.01,7235800,87.35
2013-05-17,87.47,88.20,87.41,88.09,11437700,87.43
2013-05-16,87.33,87.77,87.06,87.45,9441900,86.80
2013-05-15,86.94,87.88,86.94,87.64,13444400,86.99
2013-05-14,85.76,87.08,85.76,86.97,10360700,86.32
2013-05-13,85.56,86.07,85.44,85.85,6631500,85.21
2013-05-10,85.29,85.76,85.18,85.76,7594800,85.12
2013-05-09,85.45,85.69,84.96,85.15,8342000,84.51
2013-05-08,85.48,85.60,84.93,85.46,8044600,84.82
2013-05-07,84.87,85.57,84.63,85.53,9061800,84.89
2013-05-06,85.78,85.78,84.55,84.68,8815600,84.05
2013-05-03,85.58,85.99,85.45,85.75,9213800,85.11
2013-05-02,84.44,85.21,84.17,85.16,8668900,84.52
2013-05-01,84.50,85.13,83.88,84.23,12312100,83.60
2013-04-30,85.39,85.70,84.89,85.23,12099600,84.59
2013-04-29,85.02,85.89,84.91,85.58,8038000,84.94
2013-04-26,85.30,85.49,84.81,85.12,6784700,84.48
2013-04-25,84.54,85.44,84.34,85.22,8689400,84.58
2013-04-24,85.68,85.74,84.28,84.39,9480600,83.76
2013-04-23,84.99,85.68,84.00,85.45,8982100,84.81
2013-04-22,84.59,84.93,84.20,84.83,6989900,84.20
2013-04-19,83.51,84.57,83.47,84.49,10787600,83.86
2013-04-18,83.96,84.30,83.03,83.18,9921500,82.56
2013-04-17,83.36,84.43,83.29,83.90,13693300,83.27
2013-04-16,82.33,83.54,82.07,83.44,12620000,82.82
2013-04-15,82.72,83.09,81.71,81.71,12385800,81.10
2013-04-12,82.25,82.74,82.17,82.74,6987000,82.12
2013-04-11,82.14,82.96,82.08,82.32,9882700,81.71
2013-04-10,81.83,82.20,81.74,82.02,7583200,81.41
2013-04-09,81.26,81.75,81.24,81.52,9111000,80.91
2013-04-08,81.27,81.39,80.31,81.11,15828500,80.50
2013-04-05,81.79,82.11,81.62,82.04,8581400,81.43
2013-04-04,82.20,82.72,81.93,82.41,10303000,81.80
2013-04-03,82.74,82.95,81.57,82.07,12254000,81.46
2013-04-02,82.00,82.69,81.90,82.69,10342200,82.07
2013-04-01,81.39,81.96,81.28,81.93,7376800,81.32
2013-03-28,81.37,81.59,80.95,81.53,11332100,80.92
2013-03-27,80.56,81.35,80.27,81.27,10703400,80.66
2013-03-26,79.93,80.88,79.85,80.85,12682900,80.25
2013-03-25,79.83,79.94,79.47,79.68,9616600,79.09
2013-03-22,79.11,79.74,79.02,79.74,6873100,79.15
2013-03-21,79.12,79.50,78.77,79.01,8436300,78.42
2013-03-20,79.18,79.61,79.17,79.45,8000800,78.86
2013-03-19,78.98,79.09,78.50,78.86,7095800,78.27
2013-03-18,78.72,79.19,78.70,78.81,8005400,78.22
2013-03-15,78.62,79.24,78.62,79.19,18296500,78.60
2013-03-14,78.67,79.10,78.49,79.10,10130400,78.51
2013-03-13,78.52,78.67,78.20,78.55,7983400,77.96
2013-03-12,78.50,78.69,78.21,78.56,8790500,77.97
2013-03-11,77.92,78.52,77.84,78.44,8807600,77.85
2013-03-08,77.84,78.22,77.70,78.19,8554100,77.61
2013-03-07,77.62,77.96,77.59,77.75,7996500,77.17
2013-03-06,77.69,77.74,77.22,77.39,8535200,76.81
2013-03-05,77.56,77.71,77.44,77.66,9399400,77.08
2013-03-04,76.73,77.28,76.73,77.20,12628000,76.62
2013-03-01,75.79,76.77,75.73,76.70,9528300,76.13
2013-02-28,76.23,76.49,76.11,76.11,11806300,75.54
2013-02-27,75.68,76.45,75.60,76.32,8180300,75.75
2013-02-26,75.88,76.34,75.50,75.75,10742100,75.18
2013-02-25,76.47,76.66,75.57,75.57,10603300,75.01
2013-02-22,76.39,76.49,75.97,76.25,8571500,75.68
2013-02-21,76.47,77.02,76.38,76.87,9465700,75.69
2013-02-20,76.79,76.97,76.54,76.65,7857500,75.47
2013-02-19,76.03,77.00,75.96,76.96,9747400,75.78
2013-02-15,75.72,76.16,75.51,76.16,10528400,74.99
2013-02-14,75.50,76.09,75.38,75.81,9681800,74.65
2013-02-13,75.79,75.87,75.37,75.66,8014800,74.50
2013-02-12,75.42,75.86,75.42,75.80,7598900,74.64
2013-02-11,75.28,75.50,75.05,75.41,5697100,74.25
2013-02-08,75.17,75.61,74.73,75.48,8153300,74.32
2013-02-07,74.82,75.20,74.68,75.06,9798200,73.91
2013-02-06,74.57,75.39,74.52,75.39,12084000,74.23
2013-02-05,74.49,74.82,74.47,74.66,10230800,73.51
2013-02-04,73.56,74.25,73.56,74.11,9200700,72.97
2013-02-01,74.14,74.42,74.08,74.18,10016300,73.04
2013-01-31,74.08,74.36,73.78,73.92,10448700,72.79
2013-01-30,74.45,74.80,74.01,74.09,9245500,72.95
2013-01-29,73.67,74.62,73.64,74.41,12386500,73.27
2013-01-28,73.96,74.00,73.43,73.62,9420900,72.49
2013-01-25,73.13,73.93,73.06,73.92,10421500,72.79
2013-01-24,72.96,73.23,72.84,73.10,9369700,71.98
2013-01-23,72.52,72.91,72.47,72.85,10155100,71.73
2013-01-22,72.92,73.21,72.42,72.69,11469800,71.58
2013-01-18,72.90,73.23,72.79,73.23,13558600,72.11
2013-01-17,72.88,73.01,72.37,72.90,10570100,71.78
2013-01-16,72.26,72.82,72.25,72.58,8779900,71.47
2013-01-15,72.25,72.44,72.00,72.37,7795100,71.26
2013-01-14,72.60,72.79,72.37,72.56,7386000,71.45
2013-01-11,72.19,72.58,72.16,72.35,7766700,71.24
2013-01-10,71.81,72.38,71.74,72.19,11888500,71.08
2013-01-09,71.64,71.85,71.50,71.73,7672800,70.63
2013-01-08,71.31,71.65,71.25,71.41,9825300,70.31
2013-01-07,71.50,71.53,71.19,71.40,7548800,70.30
2013-01-04,71.24,71.73,71.01,71.55,11631800,70.45
2013-01-03,70.98,71.00,70.45,70.74,9598300,69.66
2013-01-02,71.02,71.02,70.30,70.84,12874200,69.75
2012-12-31,69.24,70.11,69.18,70.10,12770000,69.02
2012-12-28,69.84,70.07,69.42,69.48,9691100,68.41
2012-12-27,70.13,70.40,69.80,70.09,10700400,69.02
2012-12-26,69.95,70.36,69.88,70.17,7737300,69.09
2012-12-24,70.32,70.40,69.94,70.02,5006500,68.95
2012-12-21,70.56,70.75,70.06,70.27,22142300,69.19
2012-12-20,70.74,70.90,70.49,70.75,11775800,69.66
2012-12-19,70.91,71.31,70.63,70.63,11865600,69.55
2012-12-18,71.06,71.10,70.50,70.95,16352400,69.86
2012-12-17,70.84,71.18,70.78,70.94,14317200,69.85
2012-12-14,70.62,70.86,70.49,70.69,10263600,69.61
2012-12-13,70.90,71.00,70.62,70.75,8838900,69.66
2012-12-12,71.21,71.37,70.85,70.96,11783300,69.87
2012-12-11,70.93,71.62,70.75,71.10,14933700,70.01
2012-12-10,70.26,70.80,70.26,70.60,9700300,69.52
2012-12-07,70.04,70.52,69.86,70.45,10021300,69.37
2012-12-06,70.34,70.34,69.80,70.05,9459200,68.98
2012-12-05,69.93,70.29,69.58,69.97,11037100,68.90
2012-12-04,69.58,70.49,69.45,69.86,14278100,68.79
2012-12-03,69.80,69.92,69.36,69.65,9928900,68.58
2012-11-30,69.39,69.92,69.18,69.73,13480700,68.66
2012-11-29,69.47,69.56,69.05,69.22,9853400,68.16
2012-11-28,68.71,69.38,68.60,69.29,9983200,68.23
2012-11-27,69.01,69.15,68.73,68.81,8763200,67.75
2012-11-26,69.12,69.50,68.82,69.09,9884800,68.03
2012-11-23,69.08,69.56,68.95,69.56,5450100,68.49
2012-11-21,69.63,69.88,69.45,69.59,7639900,67.92
2012-11-20,69.26,69.71,69.14,69.67,9859500,68.00
2012-11-19,69.54,69.81,69.04,69.25,12337400,67.59
2012-11-16,68.87,69.27,68.51,69.19,14272300,67.53
2012-11-15,68.99,69.20,68.72,69.07,11803600,67.41
2012-11-14,69.63,69.76,69.03,69.27,10470700,67.61
2012-11-13,69.52,70.11,69.40,69.51,8244500,67.84
2012-11-12,69.79,70.05,69.31,69.68,9761000,68.01
2012-11-09,69.56,70.26,69.43,69.87,10511700,68.20
2012-11-08,70.15,70.42,69.65,69.65,12652100,67.98
2012-11-07,70.69,70.99,69.70,70.34,12719700,68.65
2012-11-06,71.00,71.62,70.89,71.01,7927500,69.31
2012-11-05,70.86,71.00,70.47,70.79,6874500,69.09
2012-11-02,71.70,71.70,70.83,70.90,7946700,69.20
2012-11-01,71.10,71.90,70.83,71.50,11226000,69.79
2012-10-31,71.11,71.25,70.48,70.82,9950600,69.12
2012-10-26,71.00,71.32,70.56,70.90,8965200,69.20
2012-10-25,71.01,71.56,70.99,71.14,9672700,69.43
2012-10-24,70.99,71.20,70.67,70.74,8572000,69.04
2012-10-23,71.17,71.53,70.53,70.89,11086000,69.19
2012-10-22,71.79,72.29,71.33,71.78,14033400,70.06
2012-10-19,72.11,72.24,71.73,71.86,18391000,70.14
2012-10-18,70.87,72.74,70.82,72.52,33591100,70.78
2012-10-17,69.73,71.18,69.55,71.00,26522700,69.30
2012-10-16,69.30,69.80,69.02,69.55,13688800,67.88
2012-10-15,68.18,68.99,68.07,68.60,14868000,66.96
2012-10-12,68.18,68.51,67.80,67.97,8685500,66.34
2012-10-11,68.21,68.30,67.86,67.97,9505500,66.34
2012-10-10,68.38,68.49,67.98,68.22,10710100,66.58
2012-10-09,68.62,68.97,68.10,68.41,15365900,66.77
2012-10-08,69.60,69.65,69.17,69.44,6444600,67.78
2012-10-05,69.46,69.74,69.32,69.65,9429900,67.98
2012-10-04,69.10,69.50,69.01,69.27,9395900,67.61
2012-10-03,69.19,69.32,68.73,69.00,8557900,67.35
2012-10-02,69.12,69.28,68.64,68.96,10062700,67.31
2012-10-01,68.92,69.45,68.92,69.13,9647200,67.47
2012-09-28,68.77,69.04,68.50,68.91,10293200,67.26
2012-09-27,69.09,69.35,68.89,69.01,8253200,67.36
2012-09-26,69.50,69.50,68.96,69.00,9971900,67.35
2012-09-25,69.01,69.64,69.01,69.32,11625400,67.66
2012-09-24,68.88,69.20,68.81,69.00,9082100,67.35
2012-09-21,69.05,69.36,68.84,69.06,19064400,67.40
2012-09-20,68.41,68.99,68.33,68.90,8704000,67.25
2012-09-19,68.75,68.92,68.60,68.60,9911300,66.96
2012-09-18,68.08,68.67,68.07,68.55,8063100,66.91
2012-09-17,68.49,68.70,68.00,68.25,11584100,66.61
2012-09-14,68.91,68.91,68.08,68.47,13024000,66.83
2012-09-13,68.01,69.17,68.00,68.99,13006300,67.34
2012-09-12,68.37,68.46,68.03,68.15,8230700,66.52
2012-09-11,68.36,68.55,68.18,68.20,8821700,66.57
2012-09-10,67.99,68.47,67.83,68.18,11441300,66.55
2012-09-07,67.97,68.01,67.52,67.88,8403300,66.25
2012-09-06,67.71,68.22,67.59,67.84,13075500,66.21
2012-09-05,67.44,67.87,67.14,67.27,9266000,65.66
2012-09-04,67.49,67.54,66.97,67.26,8402700,65.65
2012-08-31,67.45,67.90,67.16,67.43,10151800,65.81
2012-08-30,67.23,67.41,66.85,67.21,9672700,65.60
2012-08-29,67.28,67.83,67.06,67.37,9609500,65.76
2012-08-28,67.31,67.70,67.22,67.51,6750800,65.89
2012-08-27,67.54,67.96,67.48,67.49,8761000,65.87
2012-08-24,67.22,67.84,67.15,67.60,11297500,65.98
2012-08-23,67.80,67.95,67.56,67.74,9062700,65.52
2012-08-22,67.63,67.93,67.53,67.75,8230900,65.53
2012-08-21,67.69,68.25,67.62,67.78,9544900,65.56
2012-08-20,67.80,67.84,67.67,67.70,12645200,65.48
2012-08-17,68.12,68.18,67.51,67.80,11999500,65.58
2012-08-16,68.44,68.45,68.02,68.20,13518500,65.97
2012-08-15,68.51,68.84,68.30,68.35,9349100,66.11
2012-08-14,68.74,68.75,68.50,68.64,8217800,66.39
2012-08-13,68.39,68.55,68.17,68.46,7199200,66.22
2012-08-10,68.12,68.71,68.12,68.64,7645000,66.39
2012-08-09,68.33,68.65,68.17,68.32,7764200,66.08
2012-08-08,68.29,68.56,68.22,68.35,6573100,66.11
2012-08-07,68.81,68.94,68.21,68.29,11268400,66.05
2012-08-06,69.18,69.34,68.78,68.84,8723200,66.58
2012-08-03,68.98,69.32,68.89,69.12,10898800,66.86
2012-08-02,68.81,68.98,68.02,68.45,13536000,66.21
2012-08-01,69.48,69.75,69.25,69.38,11681700,67.11
2012-07-31,69.25,69.56,69.10,69.22,10313900,66.95
2012-07-30,69.37,69.65,69.16,69.45,8379500,67.17
2012-07-27,68.95,69.68,68.89,69.52,14015900,67.24
2012-07-26,68.30,68.98,68.21,68.74,16477200,66.49
2012-07-25,67.67,68.02,67.39,67.53,9882200,65.32
2012-07-24,68.10,68.25,67.00,67.35,12145700,65.14
2012-07-23,68.14,68.31,67.65,68.11,11771400,65.88
2012-07-20,69.35,69.36,68.35,68.63,13964600,66.38
2012-07-19,69.25,69.70,68.98,69.53,13499500,67.25
2012-07-18,68.74,69.46,68.66,69.37,15616200,67.10
2012-07-17,67.84,69.18,67.61,69.00,24201900,66.74
2012-07-16,68.47,68.72,68.36,68.45,12921500,66.21
2012-07-13,67.79,68.74,67.73,68.61,13238800,66.36
2012-07-12,67.62,68.12,67.44,67.71,16484200,65.49
2012-07-11,68.03,68.11,67.72,67.90,12026100,65.68
2012-07-10,67.97,68.10,67.74,67.88,12851800,65.66
2012-07-09,67.74,67.96,67.63,67.78,12485900,65.56
