Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,51.08,51.78,50.88,51.56,1654700,51.56
2013-07-11,50.36,51.91,50.23,51.38,1966000,51.38
2013-07-10,49.48,50.01,49.30,49.32,1693900,49.32
2013-07-09,49.50,50.00,49.38,49.48,1697500,49.48
2013-07-08,49.04,49.20,48.58,49.12,1630800,49.12
2013-07-05,48.63,48.83,47.96,48.82,1499300,48.82
2013-07-03,48.30,48.56,48.03,48.34,1083500,48.34
2013-07-02,48.70,49.10,48.26,48.35,1407800,48.35
2013-07-01,48.82,49.07,48.12,48.82,2060200,48.82
2013-06-28,49.14,49.91,48.51,48.53,4778600,48.53
2013-06-27,49.30,49.66,48.93,49.44,2470000,49.44
2013-06-26,50.62,50.62,48.95,48.99,2525300,48.99
2013-06-25,50.36,50.94,49.96,50.10,1910000,50.10
2013-06-24,49.57,50.18,48.52,49.70,3228600,49.70
2013-06-21,51.45,51.58,49.90,50.30,2706200,50.30
2013-06-20,52.09,52.12,50.85,51.12,3148300,51.12
2013-06-19,53.25,54.12,52.95,52.96,2040800,52.96
2013-06-18,52.34,53.22,52.12,53.04,1872800,53.04
2013-06-17,52.94,53.07,51.99,52.41,2104500,52.41
2013-06-14,53.84,54.02,52.36,52.86,1588200,52.86
2013-06-13,52.00,53.96,51.98,53.84,1536700,53.84
2013-06-12,52.76,52.98,51.75,51.97,1212600,51.97
2013-06-11,52.19,52.87,51.51,52.28,1096100,52.28
2013-06-10,53.69,53.85,52.55,52.77,1642200,52.77
2013-06-07,53.49,53.80,52.71,53.67,1599300,53.67
2013-06-06,52.83,53.50,52.47,53.04,1412900,53.04
2013-06-05,53.32,53.48,52.50,52.87,2256000,52.87
2013-06-04,53.66,54.59,53.64,54.05,1865200,54.05
2013-06-03,54.28,54.55,52.55,53.76,2863100,53.76
2013-05-31,54.86,55.36,54.07,54.08,2306800,54.08
2013-05-30,54.80,57.10,53.53,55.61,4227700,55.44
2013-05-29,54.59,56.23,54.26,55.08,2479600,54.91
2013-05-28,56.29,56.30,54.77,54.79,1774500,54.62
2013-05-24,56.10,56.10,54.71,55.42,1885000,55.25
2013-05-23,55.45,56.39,55.06,56.11,2035600,55.93
2013-05-22,58.50,58.60,56.53,56.82,2843200,56.64
2013-05-21,58.90,59.61,58.29,58.95,2582700,58.76
2013-05-20,56.70,58.93,56.58,58.81,2482600,58.62
2013-05-17,56.73,57.03,56.42,56.74,1798900,56.56
2013-05-16,56.03,57.53,55.71,56.58,2113800,56.40
2013-05-15,56.34,56.88,55.75,56.11,1906300,55.93
2013-05-14,57.65,57.73,56.03,56.74,2952400,56.56
2013-05-13,59.41,59.42,57.11,57.57,2280900,57.39
2013-05-10,60.61,60.74,58.99,59.71,1758800,59.52
2013-05-09,61.42,61.67,60.45,60.62,1911500,60.43
2013-05-08,60.28,61.75,60.17,61.48,2305900,61.29
2013-05-07,58.99,60.50,58.80,60.20,2250200,60.01
2013-05-06,57.73,59.16,57.18,58.71,1232800,58.53
2013-05-03,56.09,57.78,56.09,57.63,1708800,57.45
2013-05-02,54.80,55.43,54.53,55.25,1458600,55.08
2013-05-01,56.18,56.18,54.46,54.61,1617100,54.44
2013-04-30,57.07,57.07,55.70,56.52,1473200,56.34
2013-04-29,57.01,57.54,56.11,57.19,1191300,57.01
2013-04-26,57.15,57.16,56.26,56.60,1082500,56.42
2013-04-25,56.69,57.87,56.36,57.31,1716000,57.13
2013-04-24,55.30,56.45,55.04,56.16,1637900,55.98
2013-04-23,54.78,55.88,54.18,55.16,1474000,54.99
2013-04-22,54.27,54.88,52.89,54.48,1895700,54.31
