Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,55.51,55.85,54.75,54.97,32524400,54.97
2013-07-11,55.84,55.87,54.55,55.14,21322600,55.14
2013-07-10,54.77,55.15,54.44,54.83,16915000,54.83
2013-07-09,55.07,55.17,54.19,54.89,20508700,54.89
2013-07-08,54.54,54.91,54.05,54.70,21786900,54.70
2013-07-05,53.36,54.00,53.11,53.99,17070200,53.99
2013-07-03,52.31,52.81,52.21,52.77,10442300,52.77
2013-07-02,52.57,53.53,52.12,52.80,23935300,52.80
2013-07-01,53.22,53.63,52.43,52.49,23511100,52.11
2013-06-28,53.12,53.13,52.58,52.79,18256000,52.41
2013-06-27,53.03,53.49,52.88,53.15,17093600,52.77
2013-06-26,52.65,52.80,51.88,52.50,19332000,52.12
2013-06-25,51.51,52.56,51.51,52.08,20951400,51.70
2013-06-24,50.88,51.45,50.11,50.92,30736500,50.55
2013-06-21,52.96,52.98,51.69,51.96,44412200,51.58
2013-06-20,53.08,53.18,52.27,52.48,31857100,52.10
2013-06-19,53.99,54.51,53.52,53.55,20840000,53.16
2013-06-18,54.03,54.27,53.72,54.11,13259100,53.72
2013-06-17,53.70,54.26,53.54,53.85,16856600,53.46
2013-06-14,54.04,54.13,52.91,53.13,17185300,52.75
2013-06-13,53.00,54.24,52.97,54.17,17090200,53.78
2013-06-12,53.90,54.10,52.97,53.18,18479100,52.80
2013-06-11,53.46,54.05,53.11,53.49,17600800,53.10
2013-06-10,54.64,54.84,54.02,54.36,16007000,53.97
2013-06-07,53.77,54.48,53.41,54.27,21691000,53.88
2013-06-06,52.84,53.52,52.27,53.50,23940900,53.11
2013-06-05,53.78,54.27,52.70,53.03,24326000,52.65
2013-06-04,54.54,55.39,53.87,54.04,22022600,53.65
2013-06-03,54.60,54.86,53.04,54.49,28279600,54.10
2013-05-31,55.71,55.83,54.59,54.59,24990100,54.19
2013-05-30,54.60,55.90,54.53,55.62,24890800,55.22
2013-05-29,54.09,54.96,53.91,54.67,20482600,54.27
2013-05-28,54.56,54.65,54.03,54.60,27162300,54.20
2013-05-24,52.90,53.66,52.72,53.66,18342300,53.27
2013-05-23,52.82,53.79,52.66,53.35,25294200,52.96
2013-05-22,53.43,54.96,53.29,53.63,46968300,53.24
2013-05-21,52.53,53.67,52.45,53.02,37112600,52.64
2013-05-20,52.28,52.63,51.91,52.29,22020000,51.91
2013-05-17,51.26,52.33,51.25,52.30,26080300,51.92
2013-05-16,50.87,51.66,50.84,50.97,21389500,50.60
2013-05-15,50.20,51.43,50.15,51.09,27467000,50.72
2013-05-14,49.77,50.42,49.66,50.23,24188400,49.87
2013-05-13,48.84,49.70,48.61,49.67,23979500,49.31
2013-05-10,49.05,49.23,48.64,48.96,16199600,48.61
2013-05-09,49.70,49.81,48.92,49.04,18103100,48.68
2013-05-08,49.22,49.99,49.11,49.76,23559300,49.40
2013-05-07,48.57,49.39,48.26,49.14,24291600,48.78
2013-05-06,47.71,48.39,47.57,48.18,20829500,47.83
2013-05-03,48.63,48.70,46.98,47.57,43257900,47.23
2013-05-02,48.25,48.25,47.71,48.08,15529300,47.73
2013-05-01,48.76,48.91,47.85,48.01,17686400,47.66
2013-04-30,48.96,49.25,48.72,49.01,13802600,48.66
2013-04-29,49.08,49.10,48.65,48.92,13496300,48.57
2013-04-26,48.86,49.09,48.61,48.88,13929000,48.53
2013-04-25,49.02,49.63,48.89,49.00,19058800,48.65
2013-04-24,48.32,48.92,48.16,48.72,16459300,48.37
2013-04-23,47.68,48.24,47.39,48.17,20568500,47.82
2013-04-22,47.40,47.49,46.87,47.35,15230100,47.01
2013-04-19,47.15,47.36,46.70,47.23,19746100,46.89
2013-04-18,46.80,47.33,46.05,46.64,26106800,46.30
2013-04-17,48.11,48.18,46.38,46.79,43466300,46.45
2013-04-16,48.43,48.52,47.59,48.49,23865500,48.14
2013-04-15,48.39,49.34,47.90,47.93,31527300,47.58
2013-04-12,48.90,49.58,48.45,49.01,37805900,48.66
2013-04-11,49.21,49.60,48.83,49.31,22584700,48.95
2013-04-10,48.94,49.56,48.88,49.25,20388900,48.89
2013-04-09,48.74,48.96,48.46,48.68,20066700,48.33
2013-04-08,47.88,48.59,47.59,48.58,18672300,48.23
2013-04-05,46.79,48.04,46.75,47.91,22961500,47.56
2013-04-04,46.96,47.54,46.90,47.49,21514000,47.15
2013-04-03,48.03,48.07,46.53,46.85,33467400,46.51
2013-04-02,48.01,48.38,47.88,48.28,17273700,47.63
2013-04-01,47.55,47.99,47.49,47.83,17442200,47.19
2013-03-28,47.84,47.93,47.28,47.46,27506700,46.82
2013-03-27,48.20,48.31,47.56,47.77,26530100,47.13
2013-03-26,48.74,48.97,48.32,48.64,16417500,47.99
2013-03-25,49.04,49.32,48.16,48.52,23581400,47.87
2013-03-22,48.63,49.00,48.34,48.78,22791500,48.13
2013-03-21,48.79,49.23,48.35,48.35,23535900,47.70
2013-03-20,49.57,49.64,49.04,49.12,19385300,48.46
2013-03-19,49.65,49.99,48.68,49.20,24411500,48.54
2013-03-18,49.19,49.66,48.95,49.51,28011400,48.85
2013-03-15,49.97,50.29,49.15,50.02,60880800,49.35
2013-03-14,50.25,51.00,50.19,51.00,26378700,50.32
2013-03-13,50.29,50.43,50.11,50.16,16680200,49.49
2013-03-12,50.35,50.67,50.05,50.28,18003400,49.61
2013-03-11,50.23,50.77,49.91,50.48,19473000,49.80
2013-03-08,50.59,50.85,49.61,50.20,32711900,49.53
2013-03-07,50.05,50.86,50.01,50.63,24245400,49.95
2013-03-06,49.88,50.19,49.62,50.03,19607900,49.36
2013-03-05,49.49,50.11,49.31,49.49,25561100,48.83
2013-03-04,48.73,49.14,48.33,49.10,17695200,48.44
2013-03-01,48.60,49.42,48.37,48.91,25923400,48.25
