Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,11.61,11.80,11.58,11.79,8326000,11.79
2013-07-11,11.96,11.96,11.51,11.57,14680700,11.57
2013-07-10,11.87,11.91,11.68,11.79,10235700,11.79
2013-07-09,11.99,12.01,11.81,11.88,13754900,11.88
2013-07-08,12.06,12.13,11.89,11.91,11242700,11.91
2013-07-05,11.53,12.00,11.53,12.00,14123700,12.00
2013-07-03,11.33,11.46,11.29,11.43,5205100,11.43
2013-07-02,11.24,11.49,11.21,11.40,12127100,11.40
2013-07-01,11.07,11.40,11.06,11.24,12289900,11.24
2013-06-28,11.04,11.09,10.91,11.04,10049300,11.04
2013-06-27,10.98,11.09,10.91,11.08,9505900,11.08
2013-06-26,10.97,10.97,10.78,10.88,13099200,10.88
2013-06-25,10.54,10.75,10.48,10.72,11264500,10.72
2013-06-24,10.40,10.56,10.32,10.44,13526100,10.44
2013-06-21,10.49,10.62,10.35,10.54,17504700,10.54
2013-06-20,10.32,10.65,10.24,10.37,26917100,10.37
2013-06-19,10.48,10.52,10.38,10.41,10232800,10.41
2013-06-18,10.39,10.59,10.36,10.50,10058500,10.50
2013-06-17,10.47,10.50,10.35,10.42,8790600,10.42
2013-06-14,10.65,10.66,10.31,10.41,11455800,10.41
2013-06-13,10.48,10.69,10.41,10.68,9976400,10.68
2013-06-12,10.81,10.84,10.48,10.48,11838600,10.48
2013-06-11,10.89,10.94,10.74,10.74,10677600,10.74
2013-06-10,10.87,11.06,10.84,10.99,15392700,10.99
2013-06-07,10.69,10.89,10.62,10.86,12458600,10.86
2013-06-06,10.46,10.60,10.40,10.59,8491500,10.59
2013-06-05,10.64,10.71,10.48,10.48,8710000,10.48
2013-06-04,10.76,10.89,10.65,10.67,6664500,10.67
2013-06-03,10.80,10.89,10.62,10.77,8357700,10.77
2013-05-31,10.83,10.89,10.75,10.78,12452100,10.78
2013-05-30,10.75,10.94,10.74,10.85,11078600,10.85
2013-05-29,10.66,10.82,10.57,10.72,11826700,10.72
2013-05-28,10.78,10.85,10.66,10.74,9827000,10.74
2013-05-24,10.55,10.67,10.53,10.66,6965800,10.66
2013-05-23,10.48,10.69,10.44,10.63,8596300,10.63
2013-05-22,10.85,11.00,10.65,10.69,12546600,10.63
2013-05-21,10.87,10.95,10.82,10.86,6393500,10.80
2013-05-20,10.77,10.93,10.76,10.85,8770500,10.79
2013-05-17,10.66,10.85,10.63,10.80,9686200,10.74
2013-05-16,10.63,10.72,10.56,10.57,9375500,10.52
2013-05-15,10.50,10.72,10.42,10.63,12296200,10.58
2013-05-14,10.36,10.55,10.35,10.55,8534900,10.50
2013-05-13,10.29,10.43,10.27,10.35,5657500,10.30
2013-05-10,10.31,10.36,10.24,10.30,6029300,10.25
2013-05-09,10.33,10.37,10.25,10.29,5453100,10.24
2013-05-08,10.21,10.38,10.16,10.35,7821300,10.30
2013-05-07,10.18,10.24,10.10,10.23,8867200,10.18
2013-05-06,10.05,10.15,10.01,10.14,6755200,10.09
2013-05-03,9.98,10.11,9.98,10.03,7671200,9.98
2013-05-02,9.89,9.98,9.84,9.92,8496400,9.87
2013-05-01,9.95,10.00,9.87,9.88,7669300,9.83
2013-04-30,9.84,10.00,9.79,9.97,13377400,9.92
2013-04-29,9.82,9.99,9.82,9.91,9326300,9.86
2013-04-26,9.83,9.90,9.72,9.80,7818500,9.75
2013-04-25,9.76,9.90,9.76,9.83,6502200,9.78
2013-04-24,9.58,9.75,9.58,9.73,6476400,9.68
2013-04-23,9.48,9.65,9.48,9.59,9836700,9.54
2013-04-22,9.39,9.54,9.30,9.44,8021200,9.39
2013-04-19,9.37,9.45,9.29,9.41,9342100,9.36
2013-04-18,9.53,9.59,9.29,9.33,21239300,9.28
2013-04-17,9.58,9.64,9.46,9.53,13926500,9.48
2013-04-16,9.70,9.70,9.54,9.65,13121100,9.60
2013-04-15,9.80,9.83,9.55,9.55,12563800,9.50
2013-04-12,9.95,10.03,9.83,9.84,14374000,9.79
2013-04-11,10.04,10.26,9.94,10.03,23954600,9.98
2013-04-10,9.91,10.04,9.87,10.03,9333800,9.98
2013-04-09,9.82,9.90,9.76,9.85,6669800,9.80
2013-04-08,9.64,9.81,9.56,9.81,8160700,9.76
2013-04-05,9.57,9.69,9.44,9.66,16508900,9.61
2013-04-04,9.59,9.72,9.57,9.71,9830700,9.66
2013-04-03,9.74,9.75,9.54,9.59,10510100,9.54
2013-04-02,9.85,9.85,9.71,9.75,7406800,9.70
2013-04-01,9.92,9.94,9.75,9.82,9236100,9.77
2013-03-28,10.01,10.10,9.88,9.96,11449300,9.91
2013-03-27,10.02,10.04,9.94,10.04,6768700,9.99
2013-03-26,10.01,10.10,9.95,10.09,9170300,10.04
2013-03-25,10.10,10.11,9.95,9.97,8408000,9.92
2013-03-22,10.06,10.07,10.00,10.05,6755700,10.00
2013-03-21,10.11,10.14,10.00,10.02,8109400,9.97
2013-03-20,10.14,10.19,10.11,10.15,10090200,10.10
2013-03-19,10.15,10.16,9.97,10.07,14949200,10.02
2013-03-18,9.96,10.15,9.94,10.11,11376800,10.06
2013-03-15,9.99,10.14,9.92,10.11,19671800,10.06
2013-03-14,10.04,10.05,9.89,10.00,11158200,9.95
2013-03-13,9.86,10.02,9.84,10.00,13891800,9.95
2013-03-12,9.91,9.91,9.79,9.86,11780200,9.81
2013-03-11,9.88,9.95,9.83,9.91,14516700,9.86
2013-03-08,10.03,10.03,9.80,9.86,23450900,9.81
2013-03-07,9.79,9.95,9.76,9.92,28278900,9.87
2013-03-06,9.58,9.75,9.56,9.66,16675800,9.61
2013-03-05,9.53,9.63,9.49,9.52,15312000,9.47
2013-03-04,9.32,9.50,9.30,9.49,15460700,9.44
2013-03-01,9.26,9.40,9.20,9.33,10548200,9.28
2013-02-28,9.39,9.48,9.30,9.39,11901200,9.29
2013-02-27,9.24,9.39,9.23,9.38,12618000,9.28
2013-02-26,9.31,9.33,9.14,9.24,20370900,9.14
2013-02-25,9.55,9.60,9.22,9.24,20192300,9.14
2013-02-22,9.40,9.52,9.39,9.51,8584700,9.41
2013-02-21,9.35,9.41,9.26,9.34,15916100,9.24
2013-02-20,9.54,9.56,9.34,9.35,11414200,9.25
2013-02-19,9.50,9.64,9.47,9.58,11510500,9.48
2013-02-15,9.53,9.56,9.39,9.48,9585900,9.38
2013-02-14,9.45,9.53,9.44,9.48,9224800,9.38
2013-02-13,9.55,9.55,9.45,9.45,11420000,9.35
2013-02-12,9.52,9.55,9.45,9.53,8900700,9.43
2013-02-11,9.51,9.56,9.46,9.48,10758400,9.38
2013-02-08,9.50,9.60,9.48,9.57,7594400,9.47
2013-02-07,9.53,9.56,9.44,9.50,7877600,9.40
2013-02-06,9.40,9.55,9.38,9.53,9842500,9.43
2013-02-05,9.41,9.55,9.38,9.49,14566500,9.39
