Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,60.00,60.40,59.66,60.39,2226300,60.39
2013-07-11,59.65,60.00,59.25,59.93,2226700,59.93
2013-07-10,58.07,59.38,57.85,59.24,2705600,59.24
2013-07-09,56.14,58.48,55.68,58.15,4090100,58.15
2013-07-08,56.61,56.80,55.29,55.49,1939300,55.49
2013-07-05,55.47,56.60,55.25,56.47,1676000,56.47
2013-07-03,54.45,55.57,54.29,55.07,716200,55.07
2013-07-02,55.13,55.78,54.46,54.85,1250400,54.85
2013-07-01,56.18,56.46,55.18,55.28,1239100,55.28
2013-06-28,55.19,56.63,55.00,55.73,2300900,55.73
2013-06-27,55.84,56.43,55.50,55.57,1766400,55.57
2013-06-26,56.11,56.22,55.12,55.33,1632700,55.33
2013-06-25,54.35,55.74,53.81,55.50,1968400,55.50
2013-06-24,54.51,54.61,53.38,53.81,2606700,53.81
2013-06-21,54.69,55.07,54.04,54.77,2755900,54.77
2013-06-20,55.55,55.87,54.22,54.43,1741500,54.43
2013-06-19,56.02,56.88,55.72,56.21,1692000,56.21
2013-06-18,56.19,56.67,56.01,56.39,1453400,56.39
2013-06-17,56.09,56.55,55.76,55.98,1321400,55.98
2013-06-14,56.55,56.65,55.70,55.71,1117400,55.71
2013-06-13,55.34,56.83,55.03,56.61,1340400,56.61
2013-06-12,56.10,56.10,55.09,55.18,2047400,55.18
2013-06-11,56.16,56.49,55.22,55.28,1159000,55.28
2013-06-10,56.70,56.81,56.24,56.74,868100,56.74
2013-06-07,56.67,56.88,56.03,56.77,1191600,56.77
2013-06-06,56.69,56.93,55.67,56.08,971000,56.08
2013-06-05,56.95,56.98,56.18,56.50,1312600,56.50
2013-06-04,57.04,57.56,56.64,56.98,1485300,56.98
2013-06-03,56.68,57.35,56.23,56.90,1849700,56.90
2013-05-31,56.33,56.79,56.16,56.29,2372500,56.29
2013-05-30,55.63,56.80,55.50,56.51,2102600,56.51
2013-05-29,55.45,56.05,55.01,55.62,2950500,55.62
2013-05-28,55.34,55.91,55.14,55.67,2213200,55.67
2013-05-24,54.47,55.00,54.35,54.67,1272600,54.67
2013-05-23,55.07,55.37,54.37,54.94,2324100,54.94
2013-05-22,56.15,56.72,55.38,55.48,2033800,55.48
2013-05-21,55.95,56.12,55.50,56.06,1362300,56.06
2013-05-20,55.61,56.30,55.43,55.62,2079800,55.62
2013-05-17,55.48,55.88,54.90,55.87,1948300,55.87
2013-05-16,55.26,55.69,54.99,55.21,2464600,55.21
2013-05-15,54.25,55.45,54.11,55.05,1646700,55.05
2013-05-14,53.78,54.47,53.53,54.45,1546300,54.45
2013-05-13,54.19,54.39,53.51,53.70,1599500,53.70
2013-05-10,54.29,54.78,53.81,54.47,1428600,54.47
2013-05-09,54.59,54.97,54.01,54.20,1970600,54.20
2013-05-08,54.78,54.90,54.09,54.70,1324500,54.30
2013-05-07,54.22,54.74,53.99,54.46,3404900,54.06
2013-05-06,54.25,54.37,53.85,54.06,2057400,53.66
2013-05-03,54.61,54.69,54.10,54.30,2840100,53.90
2013-05-02,53.59,54.10,53.49,53.89,2040800,53.50
2013-05-01,54.23,54.37,53.45,53.59,2246200,53.20
2013-04-30,53.15,54.50,53.02,54.25,4325000,53.85
2013-04-29,51.78,53.25,51.73,53.11,3191700,52.72
2013-04-26,51.61,53.00,50.23,52.11,7812600,51.73
2013-04-25,55.80,57.00,55.62,55.90,2457600,55.49
2013-04-24,55.12,55.55,54.88,55.49,1479900,55.08
