Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,39.87,40.11,39.67,40.07,2022100,40.07
2013-07-11,39.75,40.00,39.47,39.95,3107600,39.95
2013-07-10,39.58,39.72,39.09,39.32,2411000,39.32
2013-07-09,39.09,39.57,38.97,39.52,3179500,39.52
2013-07-08,38.52,38.98,38.52,38.97,2274300,38.97
2013-07-05,38.47,38.51,37.91,38.44,2067600,38.44
2013-07-03,38.11,38.44,37.87,38.42,1331700,38.42
2013-07-02,38.74,38.74,38.08,38.28,4656000,38.28
2013-07-01,38.39,38.90,38.10,38.63,3692900,38.63
2013-06-28,38.23,38.79,37.92,38.15,10660700,38.15
2013-06-27,37.71,38.33,37.65,38.27,3735200,38.27
2013-06-26,37.50,37.73,37.26,37.57,3416600,37.57
2013-06-25,36.95,37.49,36.88,37.16,6178200,37.16
2013-06-24,36.10,36.93,35.52,36.56,5197200,36.56
2013-06-21,36.83,36.83,35.89,36.28,6986100,36.28
2013-06-20,37.70,37.73,36.10,36.30,8171000,36.30
2013-06-19,38.55,38.90,38.05,38.06,3273000,38.06
2013-06-18,38.51,38.74,38.32,38.57,2764000,38.57
2013-06-17,38.67,38.95,38.43,38.59,3678600,38.59
2013-06-14,38.02,38.60,37.74,38.42,2960900,38.42
2013-06-13,37.63,38.03,36.95,37.96,5421300,37.96
2013-06-12,38.49,38.59,37.43,37.63,3821900,37.63
2013-06-11,38.55,38.56,38.00,38.19,3089500,38.19
2013-06-10,39.70,39.73,38.81,38.88,2589600,38.88
2013-06-07,39.17,39.61,38.66,39.54,2961200,39.54
2013-06-06,37.88,38.95,37.72,38.94,4740900,38.94
2013-06-05,37.74,37.96,37.41,37.81,4017300,37.81
2013-06-04,38.27,38.43,37.75,37.93,2348100,37.93
2013-06-03,38.01,38.37,37.80,38.36,2896300,38.36
2013-05-31,38.96,39.09,37.98,37.98,5887100,37.98
2013-05-30,39.54,39.75,38.60,39.00,3978400,39.00
2013-05-29,40.26,40.26,39.36,39.58,3384400,39.58
2013-05-28,40.99,41.04,40.36,40.42,2181900,40.42
2013-05-24,40.29,40.76,40.13,40.58,1765500,40.58
2013-05-23,40.59,40.63,40.15,40.45,3559000,40.45
2013-05-22,41.05,41.48,40.85,40.99,2385400,40.99
2013-05-21,41.05,41.49,40.94,41.09,3374400,41.09
2013-05-20,40.48,41.10,40.42,41.05,3705700,41.05
2013-05-17,39.92,40.48,39.92,40.48,3219600,40.48
2013-05-16,40.24,40.27,39.85,39.92,2609300,39.92
2013-05-15,39.94,40.42,39.91,40.20,2369000,40.20
2013-05-14,39.59,39.98,39.49,39.98,3071400,39.98
2013-05-13,39.45,39.60,39.18,39.49,1709700,39.49
2013-05-10,39.41,39.54,39.31,39.45,2177300,39.45
2013-05-09,39.45,39.60,39.27,39.46,2804300,39.46
2013-05-08,39.10,39.45,39.01,39.42,2434600,39.42
2013-05-07,39.07,39.26,38.83,39.26,2627200,39.26
2013-05-06,38.96,39.23,38.77,39.07,2878400,39.07
2013-05-03,38.93,38.94,38.56,38.85,3943400,38.85
2013-05-02,38.54,38.81,38.42,38.72,2811800,38.72
2013-05-01,39.07,39.09,38.46,38.53,3204400,38.53
2013-04-30,39.00,39.11,38.58,39.10,3119900,39.10
2013-04-29,39.07,39.08,38.80,38.90,2299000,38.90
2013-04-26,39.16,39.36,38.60,38.78,2820500,38.78
2013-04-25,39.60,39.87,39.02,39.11,4393800,39.11
2013-04-24,39.66,40.09,39.50,39.98,3676500,39.60
2013-04-23,39.24,39.67,39.05,39.53,3081700,39.15
2013-04-22,38.94,39.10,38.78,39.00,3285300,38.63
2013-04-19,38.12,39.02,38.07,38.87,4680300,38.50
2013-04-18,37.77,38.24,37.60,37.92,3856600,37.56
2013-04-17,38.24,38.27,37.60,37.80,4556400,37.44
2013-04-16,38.14,38.47,38.00,38.37,3332000,38.01
2013-04-15,38.55,38.57,37.94,37.95,3346100,37.59
2013-04-12,38.52,38.90,38.41,38.78,2733500,38.41
2013-04-11,39.00,39.07,38.71,38.77,2688300,38.40
2013-04-10,38.75,39.05,38.64,38.94,2679500,38.57
2013-04-09,38.10,38.80,38.04,38.64,3844000,38.27
2013-04-08,37.52,38.13,37.50,38.12,3494400,37.76
2013-04-05,37.55,37.80,37.24,37.52,4467500,37.16
2013-04-04,37.84,38.15,37.66,37.86,2887700,37.50
2013-04-03,38.78,38.84,37.59,37.84,5635300,37.48
2013-04-02,39.30,39.35,38.74,38.84,3672800,38.47
2013-04-01,38.67,39.39,38.67,39.11,4330200,38.74
2013-03-28,38.36,38.80,38.08,38.68,5106100,38.31
2013-03-27,37.87,38.43,37.77,38.37,3475900,38.01
2013-03-26,37.72,38.00,37.57,37.99,3271800,37.63
2013-03-25,37.71,37.76,37.35,37.60,3859800,37.24
2013-03-22,37.17,37.86,37.16,37.62,2849300,37.26
2013-03-21,36.93,37.70,36.86,37.20,4955500,36.85
2013-03-20,36.65,37.03,36.64,36.97,3557400,36.62
2013-03-19,36.27,36.60,36.17,36.55,2420400,36.20
2013-03-18,36.21,36.48,36.11,36.24,2694700,35.90
2013-03-15,36.81,36.88,36.39,36.40,6779400,36.05
2013-03-14,37.00,37.21,36.84,36.95,2923700,36.60
2013-03-13,37.25,37.35,36.78,36.93,3112800,36.58
2013-03-12,37.36,37.47,37.13,37.27,3451500,36.92
2013-03-11,37.38,37.43,37.13,37.32,1825700,36.97
2013-03-08,37.38,37.45,37.09,37.37,3082100,37.01
2013-03-07,37.06,37.28,36.83,37.26,3200900,36.91
2013-03-06,37.54,37.54,36.90,36.97,2915500,36.62
2013-03-05,37.78,37.78,37.24,37.46,2709200,37.10
2013-03-04,37.20,37.54,36.84,37.54,3215500,37.18
2013-03-01,36.96,37.31,36.72,37.26,3194300,36.91
2013-02-28,37.06,37.48,36.77,37.07,7566200,36.72
2013-02-27,36.09,37.06,36.09,37.06,4729400,36.71
2013-02-26,36.20,36.47,35.89,36.21,3534200,35.87
2013-02-25,37.04,37.22,36.11,36.11,3751200,35.77
2013-02-22,36.80,37.06,36.67,37.00,2112200,36.65
2013-02-21,37.10,37.10,36.55,36.73,4219300,36.38
2013-02-20,37.44,37.55,37.10,37.13,4938200,36.78
2013-02-19,37.52,37.79,37.32,37.42,3850300,37.06
2013-02-15,37.56,37.84,37.42,37.52,3855100,37.16
2013-02-14,37.62,37.77,37.37,37.57,2910100,37.21
2013-02-13,37.82,37.91,37.68,37.80,1976700,37.44
2013-02-12,37.59,37.82,37.35,37.74,2674800,37.38
2013-02-11,37.57,37.75,37.50,37.65,2927400,37.29
2013-02-08,37.72,38.17,37.41,37.60,6391100,37.24
2013-02-07,37.38,37.93,37.32,37.77,4982500,37.41
2013-02-06,37.25,37.47,37.18,37.27,10241100,36.92
2013-02-05,36.73,37.48,36.70,37.38,4759100,37.02
2013-02-04,37.40,37.47,36.56,36.58,5491700,36.23
2013-02-01,37.74,37.78,37.25,37.49,7240500,37.13
2013-01-31,37.85,37.85,37.24,37.46,9122500,37.10
2013-01-30,37.38,38.21,37.34,37.73,6233100,37.37
2013-01-29,37.38,37.53,37.17,37.30,13342500,36.95
2013-01-28,37.55,37.73,37.34,37.53,14001500,36.81
2013-01-25,37.52,37.71,37.14,37.25,13173200,36.53
2013-01-24,37.67,37.85,37.19,37.23,2605000,36.51
2013-01-23,37.83,37.88,37.44,37.58,3946400,36.86
2013-01-22,37.33,37.81,37.31,37.79,4336600,37.06
2013-01-18,37.38,37.41,36.66,37.41,4698600,36.69
2013-01-17,37.13,37.70,37.03,37.24,6122000,36.52
2013-01-16,36.64,36.83,36.54,36.60,4389000,35.89
2013-01-15,36.84,36.92,36.68,36.84,2970100,36.13
2013-01-14,37.07,37.25,36.91,36.94,3289600,36.23
2013-01-11,37.31,37.31,36.94,37.06,3713800,36.35
2013-01-10,37.32,37.37,36.93,37.10,5543000,36.39
2013-01-09,37.36,37.38,36.93,37.12,4059900,36.40
2013-01-08,37.26,37.35,37.00,37.34,3633100,36.62
2013-01-07,36.68,37.34,36.62,37.32,5109800,36.60
2013-01-04,36.98,37.01,36.56,36.71,5350100,36.00
2013-01-03,36.58,37.08,36.58,36.98,5574900,36.27
2013-01-02,35.82,36.56,35.74,36.53,5596300,35.83
2012-12-31,34.64,35.34,34.49,35.33,2766200,34.65
2012-12-28,34.56,34.98,34.49,34.62,2760800,33.95
2012-12-27,34.82,35.04,34.30,34.77,2897800,34.10
2012-12-26,35.10,35.24,34.55,34.75,2584300,34.08
2012-12-24,35.22,35.39,35.00,35.03,1392900,34.35
2012-12-21,35.13,35.50,34.71,35.34,5055600,34.66
2012-12-20,35.27,35.48,35.06,35.47,3951000,34.79
2012-12-19,35.36,35.49,35.01,35.24,4115000,34.56
2012-12-18,34.53,35.39,34.41,35.29,11732500,34.61
2012-12-17,33.82,34.48,33.80,34.46,5228500,33.80
2012-12-14,33.70,33.97,33.57,33.72,4072000,33.07
2012-12-13,33.68,33.98,33.32,33.80,4437400,33.15
2012-12-12,33.75,33.99,33.52,33.72,6022300,33.07
2012-12-11,33.70,33.73,33.31,33.63,4261300,32.98
2012-12-10,33.60,33.96,33.55,33.65,3578600,33.00
2012-12-07,33.77,34.04,33.56,33.58,5610000,32.93
2012-12-06,33.90,34.00,33.61,33.63,4849400,32.98
2012-12-05,34.04,34.12,33.72,33.83,4378000,33.18
2012-12-04,33.80,34.05,33.76,33.92,3453900,33.27
2012-12-03,34.06,34.22,33.72,33.90,4026900,33.25
2012-11-30,33.68,34.25,33.68,33.81,8457700,33.16
2012-11-29,34.28,34.52,34.10,34.22,3953300,33.56
2012-11-28,33.55,34.13,33.02,34.12,5276700,33.46
2012-11-27,33.65,33.89,33.38,33.76,4495600,33.11
2012-11-26,33.61,33.77,33.55,33.68,2798900,33.03
2012-11-23,33.56,33.91,33.41,33.72,1620300,33.07
2012-11-21,33.54,33.65,33.36,33.46,2739700,32.82
2012-11-20,33.41,33.55,33.30,33.46,3592400,32.82
2012-11-19,32.69,33.60,32.67,33.48,7662000,32.83
2012-11-16,32.07,32.41,31.93,32.30,7519500,31.68
2012-11-15,32.20,32.42,32.01,32.03,6968100,31.41
2012-11-14,32.30,32.66,32.10,32.12,6792200,31.50
2012-11-13,32.29,32.79,32.01,32.24,4345300,31.62
2012-11-12,32.75,32.85,32.42,32.53,3812100,31.90
2012-11-09,32.82,32.84,32.47,32.58,5668900,31.95
2012-11-08,33.31,33.47,32.90,32.94,3669000,32.31
2012-11-07,33.94,33.99,33.23,33.34,5556000,32.70
