Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,41.03,41.13,40.73,41.03,10686400,41.03
2013-07-11,41.00,41.15,40.74,41.03,13489600,41.03
2013-07-10,40.92,40.96,40.53,40.68,9539300,40.68
2013-07-09,40.86,41.07,40.72,40.83,8760500,40.83
2013-07-08,40.65,40.76,40.42,40.54,9936300,40.54
2013-07-05,40.72,40.80,40.15,40.52,10402200,40.52
2013-07-03,40.24,40.56,40.03,40.49,5264800,40.49
2013-07-02,40.47,40.74,40.18,40.37,12248300,40.37
2013-07-01,40.50,40.92,40.36,40.46,10754300,40.46
2013-06-28,40.25,40.44,40.10,40.11,16316000,40.11
2013-06-27,40.65,40.88,40.24,40.26,11459100,40.26
2013-06-26,40.08,40.48,40.06,40.33,13855600,40.33
2013-06-25,39.82,39.93,39.44,39.72,12942100,39.72
2013-06-24,39.45,40.01,39.13,39.53,16433700,39.53
2013-06-21,39.63,39.97,39.30,39.76,21938300,39.76
2013-06-20,40.27,40.35,38.97,39.13,24899700,39.13
2013-06-19,41.01,41.44,40.41,40.41,16936100,40.41
2013-06-18,40.70,40.99,40.57,40.93,9893100,40.93
2013-06-17,40.54,40.91,40.40,40.68,12409200,40.68
2013-06-14,40.38,40.79,40.26,40.34,13635100,40.34
2013-06-13,40.31,40.48,39.68,40.41,17861200,40.41
2013-06-12,40.79,40.94,40.28,40.39,11611100,40.39
2013-06-11,40.88,40.98,40.40,40.79,16491600,40.51
2013-06-10,41.50,41.52,41.04,41.18,11247400,40.90
2013-06-07,41.20,41.73,40.98,41.41,14459600,41.13
2013-06-06,40.55,40.79,40.31,40.79,11171600,40.51
2013-06-05,41.40,41.40,40.60,40.65,16429300,40.37
2013-06-04,41.59,41.72,40.95,41.42,19241000,41.14
2013-06-03,39.95,40.84,39.63,40.81,16577200,40.53
2013-05-31,40.65,40.77,39.99,39.99,26184400,39.72
2013-05-30,41.49,41.60,40.75,40.77,20874500,40.49
2013-05-29,42.34,42.43,41.31,41.40,16986600,41.12
2013-05-28,42.60,43.05,42.40,42.55,14412100,42.26
2013-05-24,41.54,42.37,41.50,42.24,11542100,41.95
2013-05-23,41.93,42.07,41.56,41.93,10934200,41.64
2013-05-22,42.28,42.86,42.04,42.25,13615600,41.96
2013-05-21,42.48,42.56,42.07,42.34,9148800,42.05
2013-05-20,42.95,42.95,42.30,42.38,9966000,42.09
2013-05-17,43.05,43.13,42.56,42.97,12611200,42.68
2013-05-16,42.91,43.43,42.79,43.09,12330000,42.79
2013-05-15,42.50,43.10,42.39,42.92,12306200,42.63
2013-05-14,42.18,42.67,42.01,42.52,13023900,42.23
2013-05-13,42.14,42.44,42.00,42.19,9291000,41.90
2013-05-10,42.11,42.24,41.85,42.15,9927000,41.86
2013-05-09,42.51,42.56,42.00,42.12,10113700,41.83
2013-05-08,42.54,42.68,42.16,42.46,12636300,42.17
2013-05-07,42.21,42.71,42.15,42.70,13785300,42.41
2013-05-06,42.29,42.29,41.87,42.08,9356100,41.79
2013-05-03,42.17,42.42,41.96,42.24,11757800,41.95
2013-05-02,41.66,42.16,41.49,41.96,18709600,41.67
2013-05-01,42.15,42.56,42.14,42.21,8710600,41.92
2013-04-30,42.15,42.39,41.88,42.33,13432200,42.04
2013-04-29,42.24,42.29,41.92,42.24,11311100,41.95
2013-04-26,42.18,42.43,42.09,42.10,15159800,41.81
2013-04-25,42.26,42.54,42.08,42.35,10197100,42.06
2013-04-24,42.64,42.90,42.10,42.15,11368200,41.86
2013-04-23,42.78,42.96,42.26,42.70,11216200,42.41
2013-04-22,42.52,42.85,42.40,42.72,10544100,42.43
2013-04-19,42.28,42.77,42.20,42.66,13875800,42.37
2013-04-18,42.48,42.65,42.09,42.10,16034200,41.81
2013-04-17,42.14,42.70,42.03,42.55,24208000,42.26
2013-04-16,41.40,42.48,41.25,42.37,32135700,42.08
2013-04-15,40.85,40.99,40.05,40.09,16050600,39.81
2013-04-12,40.91,41.11,40.68,41.08,10394700,40.80
2013-04-11,41.13,41.41,41.06,41.18,10962500,40.90
2013-04-10,40.78,41.17,40.71,41.07,9703700,40.79
2013-04-09,40.81,41.13,40.51,40.71,21056100,40.43
2013-04-08,40.06,40.87,39.77,40.86,22757900,40.58
2013-04-05,40.21,40.36,40.01,40.08,10729500,39.80
2013-04-04,40.27,40.59,40.20,40.54,11435900,40.26
2013-04-03,40.78,40.82,40.08,40.17,13639200,39.89
2013-04-02,40.43,40.90,40.42,40.72,13359200,40.44
2013-04-01,40.39,40.49,40.17,40.45,8200500,40.17
2013-03-28,40.38,40.60,40.02,40.44,14227200,40.16
2013-03-27,40.45,40.54,40.06,40.22,14559900,39.94
2013-03-26,40.13,40.70,40.13,40.69,13666500,40.41
2013-03-25,40.11,40.25,39.96,40.12,15718400,39.84
2013-03-22,39.98,40.28,39.89,40.04,16128500,39.77
2013-03-21,39.85,40.43,39.76,40.07,23063600,39.79
2013-03-20,39.40,39.92,39.36,39.87,19271900,39.60
2013-03-19,38.92,39.40,38.82,39.33,15192000,39.06
2013-03-18,38.61,38.94,38.57,38.76,11479900,38.49
