Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,53.91,54.00,53.35,53.49,1274200,53.49
2013-07-11,53.96,54.02,53.35,53.91,1458600,53.91
2013-07-10,53.73,53.92,53.25,53.55,2275400,53.55
2013-07-09,53.77,53.93,53.21,53.69,1114600,53.69
2013-07-08,52.91,53.49,52.78,53.47,1601800,53.47
2013-07-05,52.34,52.76,51.83,52.75,1162000,52.75
2013-07-03,52.22,52.24,51.76,52.11,860200,52.11
2013-07-02,52.00,53.25,51.82,52.47,3910700,52.47
2013-07-01,50.86,51.91,50.77,51.57,2350300,51.57
2013-06-28,50.67,51.13,50.51,50.51,3202500,50.51
2013-06-27,51.44,51.72,50.67,50.68,2217500,50.68
2013-06-26,51.00,51.20,50.71,51.13,1339700,51.13
2013-06-25,50.15,50.81,49.99,50.60,1596000,50.60
2013-06-24,50.18,50.36,49.39,49.83,1970200,49.83
2013-06-21,50.90,50.98,50.13,50.59,3670500,50.59
2013-06-20,51.39,51.60,50.47,50.56,2495800,50.56
2013-06-19,52.40,52.70,51.73,51.79,2299400,51.79
2013-06-18,52.76,52.79,51.93,52.44,2304900,52.44
2013-06-17,52.40,53.21,52.40,52.75,2872400,52.75
2013-06-14,51.80,52.21,51.65,52.15,2702400,52.15
2013-06-13,51.13,51.96,51.04,51.91,1041900,51.91
2013-06-12,51.58,51.90,51.06,51.20,1502700,51.20
2013-06-11,51.36,51.90,51.25,51.27,1117300,51.27
2013-06-10,51.57,51.99,51.33,51.71,2036400,51.71
2013-06-07,51.71,52.04,51.54,51.96,2270500,51.61
2013-06-06,50.76,51.45,50.61,51.34,1674200,50.99
2013-06-05,51.64,52.05,50.96,50.97,2847000,50.63
2013-06-04,51.47,52.08,51.44,51.85,2814700,51.50
2013-06-03,51.39,51.93,51.13,51.43,3057100,51.08
2013-05-31,51.08,51.82,51.00,51.41,2343200,51.06
2013-05-30,51.43,51.71,51.08,51.12,1300400,50.78
2013-05-29,51.36,51.77,50.80,51.54,1723400,51.19
2013-05-28,52.20,52.28,51.49,51.63,2436400,51.28
2013-05-24,51.73,52.01,51.46,51.91,1408000,51.56
2013-05-23,51.77,52.27,51.73,52.14,2814300,51.79
2013-05-22,52.17,52.44,51.66,52.08,3650900,51.73
2013-05-21,50.93,52.72,50.91,52.35,4257900,52.00
2013-05-20,51.37,51.45,50.75,51.20,3055400,50.86
2013-05-17,51.79,52.30,51.38,51.58,3350100,51.23
2013-05-16,52.82,52.94,51.45,52.03,11672600,51.68
2013-05-15,49.19,49.74,48.87,49.68,3239300,49.35
2013-05-14,48.19,49.31,48.10,49.19,2889600,48.86
2013-05-13,48.87,49.03,48.11,48.17,2493000,47.85
2013-05-10,48.19,48.91,47.99,48.90,2460900,48.57
2013-05-09,46.93,48.76,46.93,48.21,4345300,47.89
2013-05-08,47.42,47.49,46.86,47.00,4769700,46.68
2013-05-07,47.62,47.68,46.97,47.66,3207300,47.34
2013-05-06,48.37,48.73,48.03,48.24,2365600,47.92
2013-05-03,47.34,48.34,47.00,48.31,2602200,47.98
2013-05-02,46.83,47.55,46.55,47.00,2035600,46.68
2013-05-01,46.98,47.25,46.58,46.60,1950900,46.29
2013-04-30,47.37,47.42,46.81,47.06,2220700,46.74
2013-04-29,48.48,48.49,47.11,47.32,3148800,47.00
2013-04-26,48.09,48.55,47.99,48.28,1845500,47.95
2013-04-25,47.67,48.21,47.51,48.01,1187500,47.69
2013-04-24,47.84,48.20,47.31,47.50,1267000,47.18
2013-04-23,47.55,48.04,47.35,47.71,1529600,47.39
2013-04-22,47.41,47.71,47.04,47.34,1110800,47.02
2013-04-19,47.14,47.54,46.88,47.44,1817300,47.12
2013-04-18,47.11,47.58,46.43,46.96,2781200,46.64
2013-04-17,46.73,47.10,46.26,46.97,2055900,46.65
2013-04-16,47.56,47.67,46.46,47.08,3164400,46.76
2013-04-15,48.04,48.42,47.31,47.44,1672500,47.12
2013-04-12,48.88,49.30,48.29,48.42,1742800,48.09
2013-04-11,47.85,49.13,47.81,48.92,1987300,48.59
2013-04-10,47.57,47.93,47.51,47.86,1807000,47.54
2013-04-09,48.18,48.18,47.38,47.42,2061700,47.10
2013-04-08,48.10,48.12,47.44,48.02,1564700,47.70
2013-04-05,47.69,48.16,47.45,48.16,2662500,47.84
2013-04-04,46.99,48.28,46.99,48.11,2735600,47.79
2013-04-03,45.89,47.24,45.83,47.05,3876900,46.73
2013-04-02,45.65,45.81,45.33,45.71,1790000,45.40
2013-04-01,46.11,46.20,45.45,45.54,2019000,45.23
2013-03-28,46.47,46.47,45.76,46.13,2303400,45.82
2013-03-27,46.50,46.84,46.31,46.60,1572200,46.29
2013-03-26,46.66,46.77,46.15,46.73,1745300,46.42
2013-03-25,46.56,46.90,46.32,46.39,2120900,46.08
2013-03-22,45.82,46.40,45.81,46.32,3032000,46.01
2013-03-21,46.44,46.82,46.28,46.43,2168200,46.12
2013-03-20,46.73,46.96,46.13,46.76,2823000,46.45
2013-03-19,47.58,47.89,46.37,46.56,4982700,46.25
2013-03-18,48.91,49.13,48.47,48.54,1755900,48.21
2013-03-15,48.92,49.34,48.78,49.32,3086500,48.99
2013-03-14,48.90,49.20,48.69,49.08,2499700,48.75
2013-03-13,47.46,48.98,47.45,48.82,3966600,48.49
2013-03-12,47.01,47.56,46.92,47.33,2234500,47.01
2013-03-11,46.38,47.05,46.23,47.05,1792500,46.73
2013-03-08,46.31,46.91,46.07,46.66,2549300,46.00
2013-03-07,46.43,46.64,46.12,46.19,1397300,45.53
2013-03-06,46.66,46.77,46.15,46.27,1606600,45.61
2013-03-05,46.41,46.77,46.22,46.67,2248200,46.01
2013-03-04,46.14,46.76,46.08,46.39,2007400,45.73
2013-03-01,46.00,46.33,45.85,46.17,3322500,45.52
2013-02-28,45.00,46.64,44.57,46.10,7820100,45.45
2013-02-27,45.72,46.63,45.54,46.61,2856500,45.95
2013-02-26,45.80,45.95,45.23,45.64,1981600,44.99
2013-02-25,46.27,46.47,45.51,45.51,1849400,44.86
2013-02-22,46.63,46.75,46.06,46.19,2003600,45.53
2013-02-21,46.41,46.79,46.11,46.51,2213500,45.85
2013-02-20,46.86,48.24,46.57,46.57,4375000,45.91
2013-02-19,46.57,46.84,46.00,46.48,3173500,45.82
2013-02-15,46.74,46.97,45.84,46.34,3898700,45.68
2013-02-14,46.50,47.16,46.49,46.98,2299100,46.31
2013-02-13,46.19,46.61,46.08,46.60,2320500,45.94
2013-02-12,46.00,46.26,45.97,46.06,1623800,45.41
2013-02-11,46.10,46.34,45.78,46.11,2398400,45.46
2013-02-08,45.97,46.16,45.62,46.01,2357100,45.36
2013-02-07,47.25,47.29,45.10,45.81,5722300,45.16
2013-02-06,45.36,46.31,45.10,46.25,3610700,45.59
2013-02-05,44.96,45.70,44.95,45.38,2477200,44.74
2013-02-04,45.72,45.88,45.00,45.21,2675000,44.57
2013-02-01,46.42,46.55,45.91,46.01,3102600,45.36
2013-01-31,46.10,46.35,45.72,46.29,3331800,45.63
2013-01-30,45.48,46.04,45.31,45.73,3183000,45.08
2013-01-29,45.05,45.61,44.86,45.52,3210800,44.87
2013-01-28,45.30,45.30,44.70,45.10,2839000,44.46
2013-01-25,44.78,45.29,44.77,45.25,2929200,44.61
2013-01-24,43.51,45.09,43.51,44.90,4249600,44.26
2013-01-23,43.68,43.90,43.38,43.45,1882600,42.83
2013-01-22,43.80,43.96,43.38,43.70,2598100,43.08
2013-01-18,43.64,44.11,43.32,43.83,2931000,43.21
2013-01-17,43.01,43.78,42.97,43.45,3184400,42.83
2013-01-16,42.67,42.99,42.50,42.79,2685600,42.18
2013-01-15,42.03,42.88,42.03,42.75,3549100,42.14
2013-01-14,42.05,42.23,41.81,41.99,1880100,41.39
2013-01-11,42.64,42.65,41.96,42.02,2635900,41.42
2013-01-10,42.07,42.52,41.93,42.50,3413400,41.90
2013-01-09,41.50,42.19,41.49,41.95,3105100,41.35
2013-01-08,41.95,42.38,41.81,41.81,3717800,41.22
2013-01-07,42.14,42.52,41.85,41.97,2730200,41.37
2013-01-04,42.35,42.64,42.12,42.23,3426700,41.63
2013-01-03,41.58,42.80,41.35,42.35,8161900,41.75
2013-01-02,43.45,43.45,41.88,42.21,6120500,41.61
2012-12-31,42.14,43.07,42.07,42.98,2854300,42.37
2012-12-28,42.41,42.76,42.11,42.28,2806500,41.68
2012-12-27,42.65,42.86,42.04,42.54,3359600,41.94
2012-12-26,43.52,43.60,42.36,42.65,2788400,42.04
2012-12-24,43.58,43.85,43.37,43.46,2049900,42.84
2012-12-21,43.36,43.60,43.10,43.35,5484200,42.74
2012-12-20,43.41,43.80,43.06,43.79,4225200,43.17
2012-12-19,44.44,45.21,44.37,44.75,3284400,44.12
2012-12-18,44.10,44.58,44.00,44.32,2871000,43.69
2012-12-17,43.87,44.19,43.55,44.19,2728400,43.56
2012-12-14,43.76,44.00,43.58,43.80,3167200,43.18
2012-12-13,43.90,44.20,43.55,43.87,3272600,43.25
2012-12-12,43.64,44.01,43.31,43.75,4466500,43.13
2012-12-11,43.90,43.95,43.24,43.50,4070800,42.88
2012-12-10,43.94,44.03,43.56,43.66,3636900,43.04
2012-12-07,44.10,44.39,43.73,44.09,2212600,43.46
2012-12-06,44.18,44.32,43.68,44.03,3673200,43.41
2012-12-05,43.88,44.39,43.42,44.15,3778000,43.52
2012-12-04,43.84,44.24,43.67,43.73,5079200,43.11
2012-12-03,44.47,44.61,43.76,43.77,4925900,43.15
2012-11-30,45.06,45.06,44.18,44.65,7726400,43.70
2012-11-29,46.00,47.18,44.95,45.02,20641600,44.06
2012-11-28,50.44,51.23,50.13,51.15,4111600,50.06
2012-11-27,51.78,52.09,51.14,51.16,2590400,50.07
2012-11-26,51.99,52.56,51.51,51.91,2157300,50.81
2012-11-23,52.27,52.35,51.63,52.25,1357900,51.14
2012-11-21,52.12,52.22,51.63,51.97,2247200,50.87
2012-11-20,52.24,52.35,51.59,52.14,1541900,51.03
2012-11-19,51.34,52.23,51.29,52.23,2192700,51.12
2012-11-16,51.46,51.48,50.70,51.03,2617100,49.95
2012-11-15,51.26,51.59,50.69,51.19,2172700,50.10
2012-11-14,51.36,51.97,51.14,51.23,2514300,50.14
2012-11-13,51.07,51.87,50.88,51.11,1789000,50.02
2012-11-12,51.74,51.74,51.11,51.18,2132100,50.09
2012-11-09,51.20,52.51,51.05,51.66,3137100,50.56
2012-11-08,52.40,53.38,51.51,51.55,6280200,50.45
2012-11-07,54.75,55.03,53.95,54.32,2501600,53.17
2012-11-06,55.00,55.11,54.80,55.11,4325700,53.94
2012-11-05,54.45,55.00,54.41,54.93,2911500,53.76
2012-11-02,55.12,55.21,54.55,54.55,2917600,53.39
2012-11-01,54.73,55.25,54.20,54.99,6015400,53.82
2012-10-31,52.89,53.72,52.51,53.28,4158000,52.15
2012-10-26,51.51,52.78,51.39,52.34,3052300,51.23
2012-10-25,51.69,51.72,50.93,51.59,1907100,50.49
2012-10-24,51.80,51.82,51.03,51.36,2785000,50.27
2012-10-23,51.96,52.01,51.40,51.71,2253800,50.61
2012-10-22,52.92,52.92,52.03,52.37,2255400,51.26
2012-10-19,53.48,53.93,52.63,52.93,3594800,51.81
2012-10-18,52.81,53.70,52.79,53.62,2829300,52.48
2012-10-17,52.62,53.29,52.28,52.81,3054000,51.69
2012-10-16,52.00,52.59,51.97,52.45,3259800,51.34
2012-10-15,51.64,51.98,51.28,51.71,2987700,50.61
2012-10-12,51.33,51.61,51.22,51.42,3899300,50.33
2012-10-11,50.62,51.63,50.23,51.16,5275600,50.07
2012-10-10,50.65,50.95,50.06,50.14,1905700,49.07
2012-10-09,51.09,51.33,50.44,50.60,2138500,49.52
2012-10-08,50.98,51.38,50.64,51.07,1875900,49.98
2012-10-05,51.23,51.69,50.71,51.00,3661700,49.92
2012-10-04,50.27,52.17,50.25,50.93,8685800,49.85
2012-10-03,51.00,52.42,50.98,52.24,3971100,51.13
2012-10-02,51.25,51.47,50.68,50.94,4470400,49.86
2012-10-01,51.34,52.53,51.29,51.82,2704700,50.72
2012-09-28,50.84,51.29,50.47,51.22,1821500,50.13
2012-09-27,51.40,51.58,50.68,51.00,2289900,49.92
2012-09-26,51.19,51.84,51.09,51.39,2231600,50.30
2012-09-25,52.37,52.85,51.15,51.18,2353200,50.09
2012-09-24,52.48,52.58,51.92,52.29,2653500,51.18
2012-09-21,53.07,53.36,52.69,52.82,5115800,51.70
2012-09-20,53.20,53.47,52.50,53.07,2679100,51.94
2012-09-19,53.11,53.75,53.05,53.46,2642700,52.32
2012-09-18,53.30,53.39,52.91,53.08,1995100,51.95
2012-09-17,53.40,53.58,53.06,53.30,1839700,52.17
2012-09-14,53.73,54.00,53.26,53.40,2576700,52.27
2012-09-13,53.78,53.93,53.09,53.70,2461600,52.56
