Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,112.90,115.20,112.30,113.81,852200,113.81
2013-07-11,114.20,114.50,112.53,113.27,1141700,113.27
2013-07-10,114.46,115.49,111.45,112.77,1272500,112.77
2013-07-09,112.95,115.00,112.78,114.95,816400,114.95
2013-07-08,112.62,113.31,111.29,112.51,865300,112.51
2013-07-05,110.51,113.07,110.51,112.59,657500,112.59
2013-07-03,109.71,110.68,109.05,109.97,575300,109.97
2013-07-02,107.99,110.08,107.99,109.99,1133500,109.99
2013-07-01,108.29,109.55,107.45,108.42,722400,108.42
2013-06-28,107.42,107.43,105.46,105.96,848200,105.96
2013-06-27,108.71,109.11,106.96,107.68,781000,107.68
2013-06-26,107.49,108.68,106.54,107.87,636700,107.87
2013-06-25,105.11,107.10,104.22,106.74,662700,106.74
2013-06-24,104.96,104.96,102.03,103.67,936400,103.67
2013-06-21,108.76,108.96,106.44,107.07,1035600,107.07
2013-06-20,109.14,109.91,107.83,107.99,909700,107.99
2013-06-19,112.09,112.34,110.41,110.43,469400,110.43
2013-06-18,110.26,112.41,109.43,112.18,339900,112.18
2013-06-17,111.60,111.69,109.08,109.98,581100,109.98
2013-06-14,111.12,112.45,110.23,110.60,514600,110.60
2013-06-13,107.53,111.75,106.94,111.45,784600,111.45
2013-06-12,110.63,110.97,107.18,107.53,620600,107.53
2013-06-11,109.02,111.21,108.36,109.34,511500,109.34
2013-06-10,110.75,110.94,109.20,110.23,476700,110.23
2013-06-07,109.10,111.30,108.82,110.47,514100,110.47
2013-06-06,105.98,108.40,105.06,108.36,600900,108.36
2013-06-05,108.03,108.79,105.96,106.13,931400,105.91
2013-06-04,109.50,111.16,108.23,108.85,585500,108.63
2013-06-03,111.15,111.24,107.84,109.68,916900,109.46
2013-05-31,111.37,113.62,110.70,110.70,920000,110.48
2013-05-30,112.13,112.97,111.61,112.03,571400,111.80
2013-05-29,112.89,113.61,111.56,112.07,660400,111.84
2013-05-28,113.21,114.66,112.62,113.82,1097900,113.59
2013-05-24,111.75,112.65,110.05,111.37,1059400,111.14
2013-05-23,109.24,112.00,107.50,112.00,17341100,111.77
2013-05-22,113.34,114.11,109.69,110.27,1273700,110.05
2013-05-21,114.70,116.07,113.58,113.78,759900,113.55
2013-05-20,116.39,117.34,114.25,114.70,1227700,114.47
2013-05-17,117.37,118.29,116.43,117.16,1050100,116.92
2013-05-16,117.14,118.88,115.61,116.19,1036500,115.95
2013-05-15,116.04,117.14,115.29,117.14,635000,116.90
2013-05-14,111.59,116.38,111.39,116.34,1317500,116.10
2013-05-13,109.83,112.17,109.18,111.46,786300,111.23
2013-05-10,109.26,110.18,108.81,109.93,733800,109.71
2013-05-09,110.10,110.73,108.80,109.26,574800,109.04
2013-05-08,109.26,110.61,109.22,109.96,1216500,109.74
2013-05-07,109.66,110.50,109.25,109.86,1063100,109.64
2013-05-06,110.34,110.62,108.36,109.23,820900,109.01
2013-05-03,106.35,111.63,106.35,110.15,1101300,109.93
2013-05-02,104.09,106.45,104.05,105.56,839100,105.35
2013-05-01,108.30,109.28,103.57,103.82,1096800,103.61
2013-04-30,107.74,109.07,106.62,109.07,1003700,108.85
2013-04-29,106.77,107.84,106.29,107.64,566700,107.42
2013-04-26,107.25,107.43,106.10,106.64,411900,106.42
2013-04-25,107.27,108.38,107.01,107.34,637300,107.12
2013-04-24,106.90,107.43,106.19,106.75,666400,106.53
2013-04-23,106.27,107.46,105.76,106.91,734700,106.69
2013-04-22,106.49,107.27,103.53,105.60,975000,105.39
2013-04-19,100.58,107.09,100.58,106.46,1133100,106.24
2013-04-18,104.48,104.86,102.44,103.37,1541600,103.16
2013-04-17,102.91,104.79,102.02,103.74,922800,103.53
2013-04-16,103.18,104.00,102.19,103.62,868000,103.41
2013-04-15,106.17,106.17,101.39,101.86,1593200,101.65
2013-04-12,106.84,107.89,106.66,107.77,492800,107.55
2013-04-11,107.68,108.10,106.80,107.21,579700,106.99
2013-04-10,106.21,107.52,105.88,107.51,641700,107.29
2013-04-09,106.69,106.98,104.75,105.78,479600,105.57
2013-04-08,104.57,106.62,104.49,106.43,604400,106.21
2013-04-05,101.59,104.85,100.35,104.73,1016500,104.52
2013-04-04,104.40,105.13,103.01,104.00,1056500,103.79
2013-04-03,105.70,106.68,102.75,104.46,1537800,104.25
2013-04-02,109.02,110.38,105.51,105.83,1339600,105.62
2013-04-01,110.87,111.16,108.41,108.57,700600,108.35
2013-03-28,107.63,112.25,107.34,110.90,1431300,110.68
2013-03-27,108.78,108.79,106.42,107.74,1614900,107.52
2013-03-26,107.44,109.54,107.33,109.51,1009300,109.29
2013-03-25,107.54,108.56,106.21,106.71,743400,106.49
