Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,45.47,45.71,45.32,45.68,746300,45.68
2013-07-11,45.57,45.57,45.16,45.45,909000,45.45
2013-07-10,45.27,45.43,44.86,45.00,997700,45.00
2013-07-09,45.30,45.39,45.05,45.27,1387300,45.27
2013-07-08,44.99,45.13,44.87,44.99,1064100,44.99
2013-07-05,44.56,44.88,44.39,44.87,559200,44.87
2013-07-03,44.21,44.37,44.03,44.26,503300,44.26
2013-07-02,44.60,45.01,44.40,44.50,712800,44.50
2013-07-01,44.83,44.88,44.53,44.68,744500,44.68
2013-06-28,44.35,44.61,44.11,44.40,1285400,44.40
2013-06-27,44.32,44.58,44.20,44.51,517000,44.51
2013-06-26,44.09,44.32,43.82,43.97,649500,43.97
2013-06-25,43.78,43.98,43.37,43.85,1058800,43.85
2013-06-24,43.24,43.54,42.85,43.22,931900,43.22
2013-06-21,43.90,43.96,43.12,43.58,1410100,43.58
2013-06-20,44.34,44.42,43.47,43.58,1122900,43.58
2013-06-19,45.18,45.33,44.65,44.65,659100,44.65
2013-06-18,44.95,45.17,44.88,45.17,734600,45.17
2013-06-17,44.83,45.10,44.55,44.87,844800,44.87
2013-06-14,44.92,45.15,44.51,44.58,574400,44.58
2013-06-13,44.35,44.99,44.25,44.99,900600,44.99
2013-06-12,45.04,45.21,44.34,44.43,932200,44.43
2013-06-11,45.07,45.27,44.75,44.78,742200,44.78
2013-06-10,45.84,45.86,45.16,45.35,1103300,45.35
2013-06-07,45.27,45.81,45.19,45.74,621200,45.74
2013-06-06,44.66,45.11,44.46,45.11,789300,45.11
2013-06-05,45.16,45.21,44.69,44.71,1056500,44.71
2013-06-04,45.81,45.97,45.14,45.25,1049900,45.25
2013-06-03,46.00,46.00,45.22,45.82,1133300,45.82
2013-05-31,46.01,46.36,45.81,45.82,2094300,45.82
2013-05-30,46.16,46.38,45.96,46.19,724100,46.19
2013-05-29,45.94,46.34,45.94,46.18,1127600,46.12
2013-05-28,46.44,46.57,45.97,46.20,1359900,46.14
2013-05-24,45.75,45.96,45.57,45.95,463500,45.89
2013-05-23,46.08,46.21,45.74,46.06,807000,46.00
2013-05-22,46.66,47.10,46.17,46.39,1058400,46.33
2013-05-21,46.71,46.86,46.37,46.66,974700,46.60
2013-05-20,46.40,46.83,46.30,46.71,712100,46.65
2013-05-17,46.13,46.50,46.01,46.44,729400,46.38
2013-05-16,46.13,46.37,45.95,46.04,596700,45.98
2013-05-15,46.00,46.29,45.78,46.28,505500,46.22
