Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,37.25,37.87,36.68,37.05,6326600,37.05
2013-07-11,35.78,37.57,35.72,37.44,10996400,37.44
2013-07-10,35.00,35.29,34.18,34.56,5667400,34.56
2013-07-09,33.30,35.19,33.29,35.01,12173700,35.01
2013-07-08,34.12,34.35,33.00,33.05,7537600,33.05
2013-07-05,35.36,35.36,33.10,33.93,8843500,33.89
2013-07-03,34.81,35.55,34.71,35.35,2410700,35.31
2013-07-02,35.39,35.80,34.72,34.99,5649500,34.95
2013-07-01,36.30,36.91,35.39,35.47,6721400,35.43
2013-06-28,37.06,37.08,36.00,36.04,8860800,36.00
2013-06-27,36.63,37.50,36.36,37.38,8617700,37.34
2013-06-26,35.65,36.25,35.31,36.01,7880400,35.97
2013-06-25,36.59,36.94,34.80,35.23,21750900,35.19
2013-06-24,34.68,35.54,33.80,34.99,13371100,34.95
2013-06-21,35.27,35.68,33.36,35.25,15996500,35.21
2013-06-20,37.30,37.30,34.46,34.94,17668800,34.90
2013-06-19,39.34,39.52,37.77,37.85,5669700,37.81
2013-06-18,39.25,39.41,38.36,39.32,5006200,39.27
2013-06-17,39.41,39.97,38.93,39.32,4971700,39.27
2013-06-14,38.60,39.64,38.60,39.03,4846400,38.98
2013-06-13,36.76,39.09,36.75,38.73,7572900,38.68
2013-06-12,37.36,37.52,36.51,36.72,5749400,36.68
2013-06-11,36.84,37.48,36.33,36.62,5670900,36.58
2013-06-10,38.08,38.23,36.90,37.31,5797800,37.27
2013-06-07,39.04,39.60,37.88,38.60,6236500,38.55
2013-06-06,37.42,38.63,36.90,38.55,6065600,38.50
2013-06-05,37.98,38.48,36.80,37.45,6512200,37.41
2013-06-04,39.37,39.90,37.81,38.04,8273500,38.00
2013-06-03,39.58,39.90,38.00,39.23,5350000,39.18
2013-05-31,39.97,40.64,39.26,39.32,4675200,39.27
2013-05-30,40.48,41.10,39.86,40.14,4207300,40.09
2013-05-29,41.71,41.78,40.22,40.36,6657200,40.31
2013-05-28,43.50,43.70,41.79,42.21,4100800,42.16
2013-05-24,42.92,42.97,42.35,42.79,2916700,42.74
2013-05-23,41.65,43.79,41.25,43.40,8014000,43.35
2013-05-22,42.82,43.81,41.84,42.29,4844300,42.24
2013-05-21,43.30,43.47,41.61,42.47,4744000,42.42
2013-05-20,43.79,44.40,43.01,43.22,3015000,43.17
2013-05-17,43.11,43.98,43.11,43.82,2645700,43.77
2013-05-16,43.28,43.81,42.37,42.94,4753100,42.89
2013-05-15,43.77,44.19,43.36,43.70,2868600,43.65
2013-05-14,43.20,44.12,43.01,43.88,3977500,43.83
2013-05-13,42.48,43.43,42.45,43.24,2909400,43.19
2013-05-10,42.31,42.89,42.26,42.68,2325000,42.63
2013-05-09,42.23,43.62,42.22,42.40,3315200,42.35
2013-05-08,42.06,42.33,41.41,42.25,3132600,42.20
2013-05-07,42.16,42.36,41.53,42.20,2114100,42.15
2013-05-06,42.04,42.47,41.76,42.12,1889600,42.07
2013-05-03,42.46,43.32,41.76,42.11,4604900,42.06
2013-05-02,40.75,42.21,40.45,41.92,3981800,41.87
2013-05-01,40.80,41.03,40.22,40.37,3332700,40.32
2013-04-30,41.29,41.64,40.47,41.22,4945300,41.17
2013-04-29,42.27,42.90,41.37,41.42,3751700,41.37
2013-04-26,42.38,42.87,41.80,42.30,4028600,42.25
2013-04-25,41.53,42.50,41.16,41.93,3481900,41.88
2013-04-24,41.58,42.24,40.87,41.41,4897100,41.36
2013-04-23,40.35,41.52,39.85,41.45,8047100,41.40
2013-04-22,38.17,38.86,37.11,38.79,4897200,38.74
2013-04-19,37.51,38.29,36.76,38.17,4473300,38.09
2013-04-18,38.30,38.32,36.82,37.23,4623700,37.15
2013-04-17,38.30,38.41,37.39,38.29,4223000,38.20
2013-04-16,38.85,39.23,37.73,38.70,6123400,38.61
2013-04-15,40.06,40.12,37.66,37.78,6142200,37.70
2013-04-12,38.78,40.78,38.73,40.48,6032300,40.39
2013-04-11,39.43,39.72,38.89,39.06,4338200,38.97
2013-04-10,39.86,39.89,39.00,39.51,3705700,39.42
2013-04-09,40.40,40.63,39.46,39.74,3265600,39.65
2013-04-08,39.28,40.46,38.74,40.44,4101900,40.35
2013-04-05,38.08,39.50,37.95,39.34,4213900,39.25
2013-04-04,39.17,39.20,38.45,38.79,4473000,38.70
2013-04-03,40.01,40.13,38.09,38.93,6639300,38.84
2013-04-02,40.74,41.14,40.01,40.03,3695200,39.94
2013-04-01,41.38,41.65,40.44,40.61,3659700,40.52
2013-03-28,41.84,41.85,41.11,41.48,3974200,41.39
2013-03-27,41.29,41.83,41.16,41.79,2528100,41.70
2013-03-26,41.70,41.98,41.26,41.72,3025400,41.63
2013-03-25,42.13,42.87,41.33,41.56,3481200,41.47
2013-03-22,42.50,42.59,41.82,42.12,3522100,42.03
2013-03-21,43.30,43.40,42.10,42.39,6637800,42.30
2013-03-20,41.74,43.90,41.13,43.40,9804200,43.30
2013-03-19,42.22,42.30,41.00,41.42,4440400,41.33
2013-03-18,41.25,41.80,41.03,41.58,3107600,41.49
2013-03-15,42.05,42.30,41.40,41.77,3906400,41.68
2013-03-14,41.25,42.06,41.24,41.94,3132600,41.85
2013-03-13,40.92,41.37,40.37,41.18,3884800,41.09
2013-03-12,41.66,41.80,40.94,40.99,3391300,40.90
2013-03-11,41.52,42.09,41.37,41.81,2949900,41.72
2013-03-08,41.78,41.84,40.93,41.72,3785500,41.63
2013-03-07,41.08,41.50,40.60,41.42,2929200,41.33
2013-03-06,40.97,41.72,40.86,41.25,4134300,41.16
2013-03-05,40.03,40.97,39.97,40.69,4142300,40.60
2013-03-04,38.76,39.87,38.75,39.86,4037200,39.77
2013-03-01,38.44,39.04,37.78,38.84,3902000,38.75
2013-02-28,39.03,39.74,38.51,38.59,4041400,38.50
2013-02-27,38.12,39.15,37.82,38.94,4341400,38.85
2013-02-26,36.91,38.11,36.76,38.01,5634600,37.93
2013-02-25,38.16,38.37,36.63,36.66,3731700,36.58
2013-02-22,37.87,38.22,37.43,37.88,3336600,37.80
2013-02-21,37.19,37.88,36.61,37.69,6817900,37.61
2013-02-20,39.50,39.60,37.03,37.18,7559700,37.10
2013-02-19,40.25,40.59,39.02,39.91,3799100,39.82
2013-02-15,40.62,41.13,40.06,40.20,2633600,40.11
2013-02-14,40.80,41.05,40.56,40.64,2189900,40.55
2013-02-13,40.89,41.28,40.46,40.83,2587200,40.74
2013-02-12,39.29,41.55,39.29,40.87,5905300,40.78
2013-02-11,39.86,40.18,39.21,39.27,4463400,39.18
2013-02-08,40.25,40.35,39.46,39.96,3628900,39.87
2013-02-07,40.75,40.94,39.68,40.12,3387000,40.03
2013-02-06,40.82,41.37,40.59,40.70,2359500,40.61
2013-02-05,40.86,41.30,39.83,40.97,4076200,40.88
2013-02-04,41.02,41.45,40.53,40.55,3154400,40.46
2013-02-01,41.85,42.27,41.02,41.07,3354100,40.98
2013-01-31,41.20,41.68,40.68,41.54,3358100,41.45
2013-01-30,42.52,42.53,41.30,41.60,3918800,41.51
2013-01-29,42.41,42.99,42.03,42.68,3913000,42.55
2013-01-28,43.07,43.22,41.79,41.91,3817500,41.78
2013-01-25,42.43,43.18,42.12,43.07,3163800,42.93
2013-01-24,42.67,43.14,42.13,42.30,4081500,42.17
2013-01-23,41.93,42.69,41.92,42.61,3574700,42.48
2013-01-22,42.02,42.19,41.19,42.07,4289300,41.94
2013-01-18,42.05,42.34,41.61,42.08,3910500,41.95
2013-01-17,41.05,42.12,40.96,41.94,5867200,41.81
2013-01-16,40.75,41.17,40.44,40.52,4722900,40.39
2013-01-15,40.70,41.30,39.80,40.68,12976300,40.55
2013-01-14,41.15,41.45,40.66,41.02,4057900,40.89
2013-01-11,41.12,41.80,40.53,40.95,3296700,40.82
2013-01-10,41.93,41.96,40.72,41.02,3589300,40.89
2013-01-09,41.47,42.00,41.25,41.71,3274900,41.58
2013-01-08,41.14,41.38,40.59,41.17,2910100,41.04
2013-01-07,40.05,41.24,39.96,41.22,4721500,41.09
2013-01-04,39.90,40.27,39.57,40.23,3040300,40.10
2013-01-03,39.95,40.82,39.49,39.91,3994300,39.78
2013-01-02,39.95,40.00,39.46,39.88,3400400,39.75
2012-12-31,37.59,38.72,37.25,38.67,3005700,38.55
2012-12-28,37.72,38.06,37.38,37.62,2187900,37.50
2012-12-27,38.15,38.50,37.02,38.08,3967800,37.96
2012-12-26,38.47,38.83,37.98,38.01,2558200,37.89
2012-12-24,38.37,38.86,38.19,38.28,1252300,38.16
2012-12-21,38.76,38.79,37.97,38.46,5419800,38.34
2012-12-20,39.11,39.66,38.68,39.29,4205700,39.17
2012-12-19,39.67,39.88,38.35,39.27,7933900,39.15
2012-12-18,38.94,39.72,38.73,39.71,5360000,39.58
2012-12-17,37.35,38.80,37.35,38.80,4053500,38.68
2012-12-14,37.11,37.44,36.76,37.31,2938000,37.19
2012-12-13,37.75,38.06,37.06,37.20,3251600,37.08
2012-12-12,36.72,38.14,36.65,37.87,5044600,37.75
2012-12-11,36.77,37.14,36.25,36.41,4740900,36.29
2012-12-10,36.70,37.00,36.17,36.60,2437000,36.48
2012-12-07,36.44,37.04,36.13,36.69,3102600,36.57
2012-12-06,36.13,36.78,35.51,36.29,5019700,36.18
2012-12-05,37.79,37.87,36.03,36.42,5848800,36.30
2012-12-04,38.28,38.38,37.53,37.78,5562500,37.66
2012-12-03,38.31,38.40,37.77,37.81,4554200,37.69
2012-11-30,38.25,38.34,37.56,38.04,10641100,37.92
2012-11-29,38.53,38.98,37.96,38.23,4308700,38.11
2012-11-28,38.45,38.84,37.45,38.38,5486700,38.26
2012-11-27,38.58,39.30,38.42,38.72,4810300,38.60
2012-11-26,38.33,38.73,37.97,38.54,5991300,38.42
2012-11-23,38.47,38.85,37.92,38.68,1232400,38.56
2012-11-21,38.13,38.80,37.86,38.32,4036100,38.20
2012-11-20,37.12,38.50,37.01,38.10,6861200,37.98
2012-11-19,36.78,37.54,36.28,36.81,5504800,36.69
2012-11-16,34.99,36.46,34.83,36.13,6896400,36.02
2012-11-15,34.93,35.90,33.92,34.90,9241600,34.79
2012-11-14,36.52,36.55,34.93,35.01,6777500,34.90
2012-11-13,36.07,37.10,35.78,36.21,6598500,36.10
2012-11-12,38.35,38.71,36.31,36.38,7060700,36.27
2012-11-09,38.20,38.89,36.69,38.11,7841400,37.99
2012-11-08,39.10,39.10,37.96,38.41,4306000,38.29
2012-11-07,38.32,39.33,38.20,39.05,6150400,38.93
2012-11-06,38.64,39.00,38.21,38.89,5222600,38.77
2012-11-05,37.30,38.69,37.09,38.62,3480200,38.50
2012-11-02,38.50,38.98,37.26,37.31,4108900,37.19
2012-11-01,37.63,38.58,37.50,38.29,3883700,38.17
2012-10-31,37.43,37.96,36.67,37.47,3354500,37.35
2012-10-26,37.39,37.65,36.40,37.02,3683500,36.90
2012-10-25,38.65,38.81,36.85,37.51,4859100,37.39
2012-10-24,37.87,38.55,37.72,38.20,3651300,38.08
2012-10-23,37.63,38.05,37.25,37.75,3921700,37.63
2012-10-22,38.52,38.99,37.80,38.18,3683000,38.06
2012-10-19,38.64,39.25,38.31,38.73,8395400,38.61
2012-10-18,38.08,38.72,38.06,38.68,4527600,38.56
2012-10-17,37.97,38.94,37.80,38.13,7083500,38.01
2012-10-16,37.29,37.36,36.42,37.32,3784900,37.20
2012-10-15,35.86,37.15,35.79,37.05,4078700,36.93
2012-10-12,35.89,36.00,35.25,35.76,6540200,35.65
2012-10-11,36.99,37.00,35.37,35.72,5409600,35.61
2012-10-10,36.77,37.51,36.66,36.78,4037400,36.62
2012-10-09,37.49,37.55,36.66,36.84,5424200,36.68
2012-10-08,37.77,38.06,37.39,37.61,5780000,37.45
2012-10-05,37.88,38.22,37.64,37.92,5870900,37.76
2012-10-04,37.43,37.56,36.72,37.51,7132400,37.35
2012-10-03,35.03,37.51,35.03,37.41,8820500,37.25
2012-10-02,35.11,35.14,34.40,34.99,5309900,34.84
2012-10-01,35.27,35.34,34.52,34.65,3194500,34.50
2012-09-28,35.01,35.18,34.68,34.77,3632600,34.62
2012-09-27,34.49,35.68,34.25,35.26,5703600,35.11
2012-09-26,36.06,36.79,34.27,34.64,9897800,34.49
2012-09-25,36.83,37.51,36.17,36.26,8733700,36.11
2012-09-24,38.27,38.27,36.04,36.96,13928700,36.80
2012-09-21,36.89,37.88,36.74,37.51,8589800,37.35
2012-09-20,36.00,36.68,35.76,36.60,4912800,36.44
2012-09-19,35.55,36.68,35.47,36.26,4982700,36.11
2012-09-18,35.89,36.49,35.33,35.59,3733400,35.44
2012-09-17,36.51,36.61,35.57,35.94,3953600,35.79
2012-09-14,35.67,36.75,35.57,36.47,6470200,36.32
2012-09-13,34.47,35.44,33.81,35.12,4885400,34.97
2012-09-12,33.30,34.52,33.30,34.52,6069200,34.37
2012-09-11,33.14,33.54,32.89,33.08,4843400,32.94
2012-09-10,33.95,34.00,33.13,33.19,4825500,33.05
2012-09-07,34.14,34.22,33.51,33.93,3370300,33.79
2012-09-06,33.11,34.20,33.00,34.08,5596600,33.94
2012-09-05,32.79,33.05,32.53,32.88,3002200,32.74
2012-09-04,32.40,33.14,32.17,32.86,3123300,32.72
2012-08-31,32.44,32.80,31.90,32.43,2663100,32.29
2012-08-30,32.12,32.30,31.45,32.10,2554000,31.96
2012-08-29,32.21,32.50,32.07,32.22,2737900,32.08
2012-08-28,32.01,32.58,31.96,32.27,3868600,32.13
2012-08-27,32.75,32.80,31.94,32.01,3449000,31.87
2012-08-24,32.00,32.85,31.87,32.63,3962100,32.49
2012-08-23,32.15,32.71,31.97,32.03,4172700,31.89
2012-08-22,31.61,32.73,31.56,32.35,7301800,32.21
2012-08-21,31.97,32.36,31.07,31.18,5994900,31.05
2012-08-20,32.72,32.75,31.45,31.88,4227100,31.74
2012-08-17,32.72,32.81,32.02,32.74,3607900,32.60
2012-08-16,31.30,32.54,31.04,32.41,5608800,32.27
2012-08-15,31.27,31.60,30.90,31.33,2974400,31.20
2012-08-14,31.45,31.86,31.13,31.28,3461200,31.15
2012-08-13,31.23,31.52,30.65,31.23,4348200,31.10
2012-08-10,31.49,31.54,30.76,31.20,3149100,31.07
2012-08-09,30.64,31.83,30.64,31.49,5347000,31.36
2012-08-08,30.17,30.76,29.77,30.71,3788100,30.58
2012-08-07,29.91,30.50,29.26,30.37,4078300,30.24
2012-08-06,30.20,30.50,29.50,29.70,3282600,29.57
2012-08-03,30.00,30.38,29.42,30.09,6348200,29.96
2012-08-02,28.77,29.73,28.51,29.59,5397200,29.46
2012-08-01,29.40,29.78,28.85,28.97,4445900,28.85
2012-07-31,29.58,29.92,29.06,29.21,4701900,29.09
2012-07-30,30.28,30.64,29.29,29.56,4078400,29.43
2012-07-27,30.36,30.79,29.35,30.34,4768900,30.21
2012-07-26,29.63,30.36,29.46,30.19,5643800,30.06
2012-07-25,30.49,30.67,28.95,29.04,6215800,28.92
2012-07-24,30.79,31.24,29.90,30.26,4705200,30.13
2012-07-23,30.26,31.19,30.16,30.84,4667800,30.71
2012-07-20,30.10,31.35,30.10,30.84,5411600,30.71
2012-07-19,30.35,30.59,29.51,30.32,8182600,30.19
2012-07-18,31.07,31.75,30.09,30.38,6738200,30.25
2012-07-17,31.58,31.58,30.51,31.15,5926100,31.02
2012-07-16,31.08,31.62,30.52,31.39,3461200,31.26
2012-07-13,31.41,31.82,30.92,31.02,5906000,30.89
2012-07-12,29.86,31.37,29.65,31.06,6658900,30.93
2012-07-11,30.87,30.87,29.80,29.98,6775300,29.85
2012-07-10,31.75,31.88,30.19,30.51,7756000,30.38
2012-07-09,31.60,31.80,31.10,31.47,7739900,31.34
