Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,96.00,96.89,95.36,96.70,867100,96.70
2013-07-11,97.88,97.90,96.51,96.70,775300,96.70
2013-07-10,95.71,97.33,95.71,96.85,861300,96.85
2013-07-09,98.19,98.19,95.58,95.86,1926900,95.86
2013-07-08,100.32,100.46,99.45,100.15,568200,100.15
2013-07-05,99.07,99.92,98.76,99.90,546600,99.90
2013-07-03,98.19,98.86,98.19,98.46,451100,98.46
2013-07-02,100.04,100.24,98.90,99.22,577700,99.22
2013-07-01,100.33,101.03,99.90,100.26,456100,100.26
2013-06-28,100.44,100.78,99.17,100.10,747800,100.10
2013-06-27,100.04,101.41,100.04,100.79,485300,100.79
2013-06-26,99.74,99.93,99.07,99.45,427100,99.45
2013-06-25,99.87,100.00,98.29,99.26,747600,99.26
2013-06-24,98.84,100.30,97.74,99.04,1368400,99.04
2013-06-21,99.69,100.40,98.96,99.46,709900,99.46
2013-06-20,99.53,99.99,98.71,98.99,1203200,98.99
2013-06-19,100.73,101.07,99.69,100.01,443300,100.01
2013-06-18,100.48,100.90,100.19,100.78,384100,100.78
2013-06-17,100.62,101.49,100.18,100.44,466200,100.44
2013-06-14,99.83,100.98,99.71,100.00,466500,100.00
2013-06-13,99.88,100.33,98.79,100.08,888000,100.08
2013-06-12,100.89,101.38,99.67,99.85,441800,99.85
2013-06-11,99.83,100.96,97.86,100.49,586400,100.49
2013-06-10,99.85,100.93,99.72,100.79,463800,100.79
2013-06-07,98.96,100.24,98.82,99.87,898200,99.87
2013-06-06,98.68,99.04,97.98,98.64,809400,98.64
2013-06-05,99.67,99.79,98.29,98.60,441000,98.60
2013-06-04,99.80,100.24,99.11,99.81,420100,99.81
2013-06-03,99.80,100.03,98.97,99.98,703700,99.98
2013-05-31,99.90,100.78,99.45,99.49,1015500,99.49
2013-05-30,100.21,100.70,99.67,100.12,862100,100.12
2013-05-29,101.06,101.27,99.76,100.10,496100,100.10
2013-05-28,100.48,101.31,100.48,100.96,698900,100.96
2013-05-24,99.72,100.61,99.56,100.37,650900,100.37
2013-05-23,99.40,101.08,99.09,100.71,753300,100.71
2013-05-22,100.53,101.69,99.70,99.80,1161400,99.80
2013-05-21,99.60,101.02,99.21,100.63,1256100,100.63
2013-05-20,98.80,99.72,98.49,99.63,880500,99.63
2013-05-17,97.87,99.11,97.69,98.97,1668500,98.97
2013-05-16,96.38,97.79,95.95,97.68,1129000,97.68
2013-05-15,95.27,96.66,95.25,96.40,1057400,96.40
2013-05-14,95.00,95.36,94.72,95.27,813400,95.27
2013-05-13,94.05,95.45,93.83,95.01,761300,95.01
2013-05-10,93.71,94.36,93.38,94.36,901100,94.36
2013-05-09,94.34,94.34,93.07,93.37,693200,93.37
2013-05-08,92.88,94.44,92.75,94.13,740300,94.13
2013-05-07,93.46,93.61,92.89,93.25,636900,93.25
2013-05-06,92.83,93.95,92.74,93.55,668600,93.55
2013-05-03,93.24,93.33,91.25,92.81,788800,92.81
2013-05-02,92.65,93.11,92.49,92.83,721600,92.83
2013-05-01,93.18,93.76,92.36,92.52,595700,92.52
2013-04-30,93.58,93.65,92.52,93.36,669700,93.36
2013-04-29,93.95,94.50,93.50,93.52,452100,93.52
2013-04-26,93.71,94.31,93.42,93.67,534200,93.67
2013-04-25,94.10,94.24,93.40,93.80,718600,93.80
2013-04-24,93.74,93.99,93.33,93.84,747000,93.84
2013-04-23,93.73,94.63,92.92,93.54,1145600,93.54
2013-04-22,93.84,94.28,93.11,93.76,1272900,93.76
2013-04-19,93.76,95.70,93.59,93.86,1275300,93.86
2013-04-18,94.12,94.22,92.43,93.11,1922800,93.11
2013-04-17,92.49,94.52,92.39,94.01,1438900,94.01
2013-04-16,93.60,94.50,91.92,94.39,969200,94.39
2013-04-15,93.88,94.30,93.48,93.50,935300,93.50
2013-04-12,94.01,94.65,92.44,94.36,1044400,94.36
