Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,74.60,74.61,74.39,74.60,2014400,74.60
2013-07-11,74.73,74.81,74.43,74.60,1478700,74.60
2013-07-10,74.38,74.55,74.35,74.51,1937200,74.51
2013-07-09,74.23,74.47,74.22,74.38,1519900,74.38
2013-07-08,74.20,74.25,74.17,74.23,1435900,74.23
2013-07-05,74.16,74.23,74.08,74.22,1362700,74.22
2013-07-03,74.09,74.13,74.06,74.06,813600,74.06
2013-07-02,74.10,74.15,74.06,74.08,1667800,74.08
2013-07-01,74.09,74.22,74.05,74.07,1767800,74.07
2013-06-28,74.02,74.10,73.99,74.00,3620600,74.00
2013-06-27,74.12,74.15,74.02,74.02,1054200,74.02
2013-06-26,74.09,74.13,74.00,74.04,2156300,74.04
2013-06-25,74.17,74.17,73.96,74.04,1900900,74.04
2013-06-24,74.05,74.07,73.91,74.00,2980400,74.00
2013-06-21,74.08,74.18,74.00,74.13,4958700,74.13
2013-06-20,74.09,74.11,73.93,74.00,2779400,74.00
2013-06-19,74.27,74.27,74.06,74.21,1767600,74.21
2013-06-18,74.25,74.30,74.16,74.27,992400,74.27
2013-06-17,74.24,74.25,74.11,74.24,1177600,74.24
2013-06-14,74.09,74.24,74.02,74.16,1222300,74.16
2013-06-13,74.02,74.23,73.94,74.20,1649000,74.20
2013-06-12,74.08,74.16,73.97,73.97,1591300,73.97
2013-06-11,74.04,74.21,73.95,74.04,1316300,74.04
2013-06-10,74.12,74.18,74.02,74.13,1195100,74.13
2013-06-07,74.14,74.24,74.00,74.10,1363500,74.10
2013-06-06,73.95,74.13,73.90,74.13,3614300,74.13
2013-06-05,74.06,74.19,73.90,73.90,3551800,73.90
2013-06-04,74.12,74.26,73.98,73.98,3261500,73.98
2013-06-03,74.13,74.37,73.95,74.23,3639900,74.23
2013-05-31,74.24,74.40,74.08,74.10,2822700,74.10
2013-05-30,74.23,74.48,74.21,74.41,2667500,74.41
2013-05-29,74.04,74.30,73.98,74.25,2851400,74.25
2013-05-28,74.09,74.28,74.02,74.20,2067600,74.20
2013-05-24,73.91,74.07,73.83,74.04,3160500,74.04
2013-05-23,74.00,74.09,73.89,73.94,2952200,73.94
2013-05-22,74.09,74.33,73.82,74.10,7220200,74.10
2013-05-21,73.57,73.70,73.52,73.68,2179400,73.68
2013-05-20,73.55,73.59,73.51,73.57,1984600,73.57
2013-05-17,73.54,73.58,73.49,73.54,2684300,73.54
2013-05-16,73.51,73.55,73.48,73.49,2351000,73.49
2013-05-15,73.50,73.56,73.48,73.54,3259200,73.54
2013-05-14,73.53,73.57,73.46,73.51,3613800,73.51
2013-05-13,73.52,73.58,73.52,73.53,2712600,73.53
2013-05-10,73.60,73.62,73.50,73.53,2701300,73.53
2013-05-09,73.55,73.60,73.51,73.54,1716700,73.54
2013-05-08,73.51,73.61,73.50,73.58,2532200,73.58
2013-05-07,73.50,73.58,73.50,73.52,2266600,73.52
2013-05-06,73.62,73.63,73.50,73.54,3217200,73.54
2013-05-03,73.68,73.71,73.60,73.65,3570300,73.65
2013-05-02,73.59,73.66,73.58,73.63,2803000,73.63
2013-05-01,73.66,73.73,73.53,73.57,3601900,73.57
2013-04-30,73.68,73.74,73.63,73.69,2890500,73.69
2013-04-29,73.75,73.80,73.68,73.68,1817800,73.68
2013-04-26,73.70,73.80,73.67,73.74,3713500,73.74
2013-04-25,73.70,73.85,73.65,73.76,3676300,73.76
2013-04-24,73.73,73.85,73.66,73.70,3221000,73.70
2013-04-23,73.60,73.72,73.55,73.64,3789000,73.64
2013-04-22,73.55,73.70,73.55,73.57,5129700,73.57
2013-04-19,73.63,73.75,73.53,73.54,5534800,73.54
