Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,39.64,39.92,39.12,39.90,3303800,39.90
2013-07-11,38.94,39.61,38.68,39.50,3094400,39.50
2013-07-10,37.62,38.13,37.56,38.11,1436600,38.11
2013-07-09,37.30,37.67,37.21,37.60,987900,37.60
2013-07-08,37.77,37.85,36.92,37.04,1432400,37.04
2013-07-05,37.17,37.65,36.97,37.61,1220000,37.61
2013-07-03,36.67,37.18,36.54,36.96,740200,36.96
2013-07-02,36.93,37.44,36.56,36.80,2412200,36.80
2013-07-01,36.98,37.17,36.62,36.75,1494900,36.75
2013-06-28,36.54,37.09,36.38,36.84,1968300,36.84
2013-06-27,36.86,37.03,36.73,36.78,1178100,36.78
2013-06-26,36.75,36.93,36.33,36.65,1578600,36.65
2013-06-25,36.33,36.54,35.79,36.44,2372400,36.44
2013-06-24,36.31,36.31,35.59,35.78,2005300,35.78
2013-06-21,36.11,36.38,35.89,36.35,2732500,36.35
2013-06-20,36.43,36.49,35.85,35.92,2333400,35.92
2013-06-19,37.34,37.50,36.77,36.81,1970300,36.81
2013-06-18,36.94,37.53,36.94,37.28,1318400,37.28
2013-06-17,36.64,37.06,36.64,36.86,1477800,36.86
2013-06-14,36.63,36.84,36.33,36.39,1202900,36.39
2013-06-13,35.71,36.64,35.51,36.60,1909400,36.60
2013-06-12,36.63,36.73,35.69,35.70,1550800,35.70
2013-06-11,36.88,36.89,36.32,36.35,1894700,36.35
2013-06-10,37.16,37.31,36.89,37.16,1085500,37.16
2013-06-07,36.93,37.14,36.56,37.09,1558100,37.09
2013-06-06,37.18,37.22,36.50,36.74,1826600,36.74
2013-06-05,37.48,37.57,37.00,37.09,1573100,37.09
2013-06-04,37.87,38.04,37.54,37.60,2438200,37.60
2013-06-03,37.55,37.75,37.12,37.40,1957100,37.40
2013-05-31,38.00,38.07,37.50,37.53,2607700,37.53
2013-05-30,37.65,38.44,37.47,38.32,2528100,38.32
2013-05-29,37.38,37.66,37.01,37.49,1718200,37.49
2013-05-28,37.50,37.64,37.21,37.24,1452600,37.24
2013-05-24,36.66,37.13,36.66,37.05,1454500,37.05
2013-05-23,37.14,37.20,36.82,37.04,2446600,37.04
2013-05-22,37.72,37.76,37.15,37.30,2936600,37.30
2013-05-21,37.80,37.84,37.61,37.64,1931500,37.64
2013-05-20,38.02,38.07,37.63,37.71,1742400,37.71
2013-05-17,38.01,38.09,37.79,38.06,1663400,38.06
2013-05-16,38.00,38.14,37.69,37.74,1917300,37.74
2013-05-15,37.71,38.04,37.67,37.93,2033400,37.93
2013-05-14,37.96,38.18,37.72,38.13,1611400,37.87
2013-05-13,38.30,38.38,37.79,37.86,1828200,37.60
2013-05-10,38.23,38.38,38.01,38.38,1606300,38.12
2013-05-09,37.92,38.34,37.90,38.12,1730400,37.86
2013-05-08,37.73,38.14,37.64,38.09,1630400,37.83
2013-05-07,37.86,38.00,37.70,37.83,1791100,37.57
2013-05-06,37.32,37.85,37.20,37.79,2196500,37.53
2013-05-03,37.32,37.45,37.21,37.31,2528700,37.06
2013-05-02,36.65,37.01,36.27,36.97,3066600,36.72
2013-05-01,36.33,36.58,36.09,36.10,2567000,35.85
2013-04-30,35.69,36.59,35.60,36.50,3945500,36.25
2013-04-29,35.47,35.86,35.44,35.79,1846900,35.55
2013-04-26,35.55,35.70,35.30,35.48,2755800,35.24
