Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,32.73,32.88,32.40,32.64,1151800,32.64
2013-07-11,32.24,33.23,32.22,32.75,3397100,32.75
2013-07-10,31.69,31.80,31.40,31.57,1231100,31.57
2013-07-09,30.92,31.90,30.61,31.68,1938700,31.68
2013-07-08,31.14,31.35,30.56,30.63,1632300,30.63
2013-07-05,31.32,31.32,30.28,31.00,2077800,31.00
2013-07-03,31.08,31.35,30.90,30.97,658600,30.97
2013-07-02,31.29,31.71,31.14,31.30,1480000,31.30
2013-07-01,31.09,31.67,31.00,31.31,2112100,31.31
2013-06-28,31.20,31.20,30.59,31.01,2652700,31.01
2013-06-27,31.08,31.49,30.87,31.40,2056200,31.40
2013-06-26,30.97,31.37,30.85,30.85,1458500,30.85
2013-06-25,30.37,30.87,30.20,30.72,1711500,30.72
2013-06-24,30.09,30.32,29.28,29.96,2694900,29.96
2013-06-21,30.95,31.08,30.35,30.53,3040500,30.53
2013-06-20,31.90,31.96,30.62,30.69,3835500,30.69
2013-06-19,33.60,33.74,32.23,32.26,3235700,32.26
2013-06-18,33.29,33.76,33.13,33.58,1470100,33.58
2013-06-17,32.90,33.87,32.90,33.18,2232300,33.18
2013-06-14,33.34,33.36,32.53,32.62,1037400,32.62
2013-06-13,32.40,33.41,32.11,33.36,2479100,33.36
2013-06-12,32.42,32.94,32.25,32.44,3741900,32.44
2013-06-11,33.80,34.13,33.25,33.34,1684700,33.34
2013-06-10,34.26,34.42,33.94,34.18,1259800,34.18
2013-06-07,34.26,34.58,33.70,34.06,2719900,34.06
2013-06-06,33.46,34.02,33.09,34.01,2119900,33.88
2013-06-05,34.25,34.36,33.31,33.47,1839400,33.34
2013-06-04,35.05,35.46,34.26,34.38,1395700,34.25
2013-06-03,35.15,35.52,34.31,35.00,1873400,34.87
2013-05-31,35.77,36.08,35.04,35.04,1626400,34.91
2013-05-30,35.26,36.12,35.21,35.95,998900,35.81
2013-05-29,35.65,35.76,35.08,35.23,1742000,35.10
2013-05-28,35.49,36.39,35.45,35.91,1513600,35.77
2013-05-24,34.42,35.07,34.42,35.01,797100,34.88
2013-05-23,34.70,35.21,34.42,34.92,1416400,34.79
2013-05-22,36.13,37.04,35.04,35.29,2027200,35.16
2013-05-21,35.99,36.40,35.96,36.13,839900,35.99
2013-05-20,36.14,36.62,36.03,36.09,1306000,35.95
2013-05-17,35.49,36.15,35.46,36.13,1466600,35.99
2013-05-16,34.83,35.55,34.76,35.28,2313200,35.15
2013-05-15,34.55,34.90,34.54,34.86,2817800,34.73
2013-05-14,34.34,34.84,34.34,34.69,2357600,34.56
2013-05-13,34.09,34.53,34.02,34.29,1162700,34.16
2013-05-10,33.62,34.31,33.43,34.16,1254900,34.03
2013-05-09,33.33,34.12,33.33,33.64,1776200,33.51
2013-05-08,32.91,33.47,32.81,33.39,889600,33.26
