Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,113.12,113.57,111.78,112.53,1459400,112.53
2013-07-11,112.38,113.16,112.02,113.10,1118300,113.10
2013-07-10,109.62,111.68,109.48,111.52,1397000,111.52
2013-07-09,109.73,110.31,109.15,109.57,1150900,109.57
2013-07-08,109.05,109.39,108.72,109.17,1102500,109.17
2013-07-05,107.58,108.67,107.37,108.66,731800,108.66
2013-07-03,106.29,107.38,105.54,107.20,651600,107.20
2013-07-02,107.96,107.96,105.94,106.40,1587000,106.40
2013-07-01,108.46,108.85,107.89,108.06,1509100,108.06
2013-06-28,107.11,108.86,107.11,108.46,2717300,108.46
2013-06-27,106.15,107.63,106.01,107.36,2536000,107.36
2013-06-26,104.50,105.91,104.36,105.77,1666600,105.77
2013-06-25,104.50,104.61,103.54,103.67,1467900,103.67
2013-06-24,104.71,104.92,103.51,103.83,1419200,103.83
2013-06-21,105.50,106.13,105.00,105.06,2836100,105.06
2013-06-20,106.26,106.93,105.00,105.04,2591400,105.04
2013-06-19,108.76,109.09,106.90,106.93,1566000,106.93
2013-06-18,108.58,109.26,108.32,108.85,1656600,108.85
2013-06-17,108.25,109.25,107.74,108.27,1144300,108.27
2013-06-14,107.75,108.46,107.21,107.70,1053100,107.70
2013-06-13,107.04,108.29,106.62,107.97,1831000,107.97
2013-06-12,106.91,107.40,106.30,107.05,1597200,107.05
2013-06-11,105.96,106.66,105.22,105.96,1139100,105.96
2013-06-10,107.44,107.64,106.42,106.67,1108500,106.67
2013-06-07,104.56,107.46,104.42,107.36,1826600,107.36
2013-06-06,103.80,104.51,103.04,104.37,1652600,104.37
2013-06-05,104.86,104.93,103.44,103.59,1333500,103.59
2013-06-04,105.24,105.82,104.66,105.07,1554900,105.07
2013-06-03,106.00,106.00,104.65,105.44,2035200,105.44
2013-05-31,106.67,107.79,105.83,105.83,1975800,105.83
2013-05-30,107.63,108.55,107.02,107.03,2068600,107.03
2013-05-29,107.15,107.71,106.58,107.31,1546300,106.16
2013-05-28,107.76,108.80,107.55,107.75,5380200,106.60
2013-05-24,106.08,107.10,105.53,107.06,4807100,105.91
2013-05-23,105.68,106.79,105.46,106.30,4760300,105.16
2013-05-22,106.82,107.93,106.26,106.49,2119500,105.35
2013-05-21,106.78,107.10,106.10,106.99,1452000,105.84
2013-05-20,105.93,107.00,105.83,106.56,1501100,105.42
2013-05-17,104.53,106.41,104.53,106.41,2610700,105.27
2013-05-16,103.92,104.65,103.78,104.00,1574300,102.89
2013-05-15,101.80,104.09,101.32,104.05,2214200,102.93
2013-05-14,102.00,102.89,101.80,102.87,1115100,101.77
2013-05-13,101.88,102.25,101.50,101.89,1327000,100.80
2013-05-10,101.23,101.95,101.23,101.94,1307500,100.85
2013-05-09,102.00,102.28,101.06,101.35,2024000,100.26
2013-05-08,102.56,102.61,101.69,101.80,1972700,100.71
2013-05-07,102.25,102.89,102.03,102.88,1497800,101.78
2013-05-06,101.72,102.89,101.57,102.19,2300200,101.09
2013-05-03,101.00,102.15,100.84,102.01,2356600,100.92
2013-05-02,99.53,101.12,99.16,100.67,1805400,99.59
2013-05-01,98.90,100.24,98.77,99.35,1957100,98.29
2013-04-30,98.60,99.20,98.34,99.09,1813500,98.03
2013-04-29,98.99,99.21,98.57,99.06,1232000,98.00
2013-04-26,98.27,99.40,98.14,98.97,1634800,97.91
2013-04-25,96.04,98.65,96.00,98.27,2109700,97.22
2013-04-24,97.63,98.28,97.55,97.69,1913400,96.64
2013-04-23,98.25,99.49,95.86,97.06,2489300,96.02
2013-04-22,96.60,96.67,95.67,95.85,1378500,94.82
2013-04-19,95.50,96.50,95.36,96.28,1487500,95.25
2013-04-18,95.85,95.95,94.54,95.02,1287800,94.00
2013-04-17,95.89,96.07,94.70,95.56,1883900,94.54
2013-04-16,96.07,96.34,95.62,96.26,1516900,95.23
2013-04-15,96.56,97.15,95.24,95.44,1636300,94.42
2013-04-12,96.90,97.25,96.25,97.18,1235000,96.14
2013-04-11,96.34,97.57,96.27,97.30,1868000,96.26
2013-04-10,95.86,96.37,95.69,95.98,1372100,94.95
2013-04-09,95.32,95.51,94.31,95.41,1432700,94.39
2013-04-08,94.58,95.10,94.04,95.09,1197700,94.07
2013-04-05,94.83,95.21,94.00,94.53,2581700,93.52
2013-04-04,95.49,96.13,95.26,95.40,1465100,94.38
2013-04-03,95.28,96.46,95.04,95.09,2627100,94.07
2013-04-02,95.50,95.64,94.69,95.01,1676500,93.99
2013-04-01,96.14,96.45,94.78,95.00,2139300,93.98
2013-03-28,94.39,96.59,94.39,96.52,3824000,95.49
2013-03-27,93.24,94.67,93.04,94.47,1904300,93.46
2013-03-26,92.75,93.75,92.63,93.70,1974100,92.70
2013-03-25,92.61,93.00,91.91,92.31,1324400,91.32
2013-03-22,92.17,92.84,91.80,92.26,1560400,91.27
2013-03-21,92.00,92.45,91.65,91.68,1571500,90.70
2013-03-20,93.23,93.50,92.23,92.24,1849800,91.25
2013-03-19,92.73,93.57,92.46,92.87,1465500,91.87
2013-03-18,91.81,93.14,91.70,92.36,1491200,91.37
