Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,39.73,39.82,39.28,39.56,3424100,39.56
2013-07-11,40.66,40.66,39.50,39.65,4131400,39.65
2013-07-10,39.44,40.08,39.33,39.99,3648300,39.99
2013-07-09,39.17,39.68,39.08,39.44,2781300,39.44
2013-07-08,39.08,39.35,38.26,38.68,4109300,38.68
2013-07-05,37.47,39.00,37.47,38.98,3444100,38.86
2013-07-03,36.96,37.34,36.82,36.98,1161100,36.87
2013-07-02,37.23,37.74,37.18,37.40,3281500,37.28
2013-07-01,36.73,37.44,36.72,37.36,2839800,37.24
2013-06-28,36.20,36.75,35.84,36.47,2247400,36.36
2013-06-27,36.20,36.58,36.06,36.44,1538000,36.33
2013-06-26,36.10,36.31,35.59,35.95,2364800,35.84
2013-06-25,35.09,35.77,34.83,35.54,2949800,35.43
2013-06-24,34.81,35.01,34.02,34.60,2769500,34.49
2013-06-21,35.72,36.11,35.10,35.42,2969900,35.31
2013-06-20,35.07,35.82,34.82,35.48,4464400,35.37
2013-06-19,35.51,36.50,35.20,35.54,4154100,35.43
2013-06-18,35.33,36.04,35.25,35.87,1860400,35.76
2013-06-17,34.92,35.51,34.74,35.22,3142900,35.11
2013-06-14,35.41,35.45,34.30,34.53,2641000,34.42
2013-06-13,34.70,35.56,34.49,35.42,2812600,35.31
2013-06-12,35.69,35.80,34.66,34.76,2681000,34.65
2013-06-11,35.57,35.85,35.25,35.37,2559400,35.26
2013-06-10,36.06,36.71,36.06,36.24,2915500,36.13
2013-06-07,34.99,35.96,34.93,35.89,3386200,35.78
2013-06-06,33.88,34.67,33.57,34.65,3316800,34.54
2013-06-05,34.74,34.84,33.84,33.88,3727000,33.78
2013-06-04,35.27,35.74,34.51,34.80,3540500,34.69
2013-06-03,35.78,35.89,34.58,35.30,3777700,35.19
2013-05-31,36.04,36.63,35.66,35.66,3550800,35.55
2013-05-30,35.53,36.59,35.40,36.36,2059700,36.25
2013-05-29,34.81,35.90,34.81,35.53,4152600,35.42
2013-05-28,35.19,35.93,35.04,35.24,2799200,35.13
2013-05-24,34.44,34.51,33.92,34.48,1969800,34.37
2013-05-23,34.32,35.07,34.18,34.80,2681600,34.69
2013-05-22,35.22,36.11,34.73,34.90,2849300,34.79
