Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,43.39,43.86,43.35,43.83,4507900,43.83
2013-07-11,44.02,44.20,43.28,43.37,7224800,43.37
2013-07-10,43.74,43.82,43.17,43.39,5247600,43.39
2013-07-09,43.56,43.98,43.41,43.81,5482000,43.81
2013-07-08,42.88,43.55,42.87,43.50,5727200,43.50
2013-07-05,42.50,42.89,42.30,42.78,4048600,42.78
2013-07-03,42.10,42.50,41.94,42.32,4074000,42.32
2013-07-02,41.45,42.84,41.34,42.37,12271900,42.37
2013-07-01,41.19,41.43,40.95,41.06,5924500,41.06
2013-06-28,41.08,41.30,40.70,40.90,12195300,40.90
2013-06-27,40.75,41.38,40.69,41.15,7787200,41.15
2013-06-26,39.95,40.66,39.95,40.53,9528600,40.53
2013-06-25,39.80,39.92,39.48,39.51,9647300,39.51
2013-06-24,39.05,39.82,38.87,39.45,8683000,39.45
2013-06-21,40.24,40.27,39.27,39.55,16890200,39.55
2013-06-20,40.59,40.63,39.81,39.82,12013600,39.82
2013-06-19,41.59,41.65,40.99,41.03,7614100,41.03
2013-06-18,41.41,41.60,41.15,41.46,4486900,41.46
2013-06-17,41.38,41.79,41.08,41.37,5958300,41.37
2013-06-14,41.04,41.84,41.00,41.16,7450400,41.16
2013-06-13,40.60,41.35,40.52,41.18,5622400,41.18
2013-06-12,41.30,41.52,40.58,40.61,6525200,40.61
2013-06-11,40.64,41.35,40.60,40.89,4589200,40.89
2013-06-10,41.58,41.77,40.98,41.18,7370100,41.18
2013-06-07,41.01,41.67,40.89,41.60,10925100,41.60
2013-06-06,39.79,40.70,39.56,40.70,9583100,40.70
2013-06-05,40.83,40.85,39.59,39.60,12360700,39.60
2013-06-04,42.17,42.46,40.97,40.99,9221300,40.99
2013-06-03,42.12,42.36,41.62,42.36,6169800,42.36
2013-05-31,42.44,43.26,42.11,42.11,7494500,42.11
2013-05-30,43.24,43.49,42.63,42.66,6775400,42.66
2013-05-29,42.56,43.27,42.43,43.09,7309000,43.09
2013-05-28,43.12,43.42,42.71,42.86,6755800,42.86
2013-05-24,42.13,42.71,42.06,42.64,7603100,42.64
2013-05-23,42.44,42.79,42.15,42.69,8272600,42.69
2013-05-22,43.30,43.84,42.46,42.97,19588200,42.97
2013-05-21,43.08,43.40,42.18,42.45,10779500,42.45
2013-05-20,42.26,42.77,42.16,42.38,7161200,42.38
2013-05-17,42.81,42.97,42.39,42.67,7812700,42.67
2013-05-16,43.17,43.55,42.72,42.76,7490700,42.76
2013-05-15,42.74,43.28,42.74,43.23,6682500,43.23
2013-05-14,42.21,42.90,42.21,42.78,6416800,42.78
2013-05-13,41.88,42.29,41.88,42.09,3863200,42.09
2013-05-10,41.89,42.08,41.63,42.07,4584900,42.07
2013-05-09,42.13,42.29,41.55,41.77,9947700,41.77
2013-05-08,40.70,42.40,40.22,42.35,14062900,42.35
2013-05-07,40.87,41.14,40.12,40.29,8953600,40.29
2013-05-06,39.54,40.88,39.50,40.81,10498100,40.81
2013-05-03,39.15,39.61,39.05,39.59,6987500,39.59
2013-05-02,38.29,38.87,38.12,38.87,5687700,38.87
2013-05-01,38.34,38.52,37.98,38.18,7105500,38.18
2013-04-30,38.19,38.58,38.06,38.42,5850700,38.42
2013-04-29,37.78,38.45,37.56,38.25,10374100,38.25
2013-04-26,37.79,38.02,37.70,37.70,5232900,37.70
2013-04-25,37.73,37.94,37.42,37.79,8312400,37.79
2013-04-24,38.15,38.34,37.66,37.71,7076300,37.71
2013-04-23,37.80,38.33,37.62,38.01,8800300,38.01
2013-04-22,38.03,38.06,37.39,37.69,5180100,37.69
2013-04-19,37.48,38.35,37.47,38.12,7786800,37.96
2013-04-18,37.74,37.76,37.09,37.32,8215600,37.16
2013-04-17,37.82,37.97,37.38,37.59,8839500,37.43
2013-04-16,38.20,38.37,37.47,37.99,11945000,37.83
2013-04-15,38.60,39.18,37.90,37.91,10045400,37.75
2013-04-12,38.69,39.38,38.56,38.92,6995900,38.76
2013-04-11,39.15,39.42,38.80,38.84,7878200,38.68
2013-04-10,38.87,39.08,38.64,39.01,7302100,38.85
2013-04-09,39.08,39.24,38.79,38.87,6667100,38.71
2013-04-08,38.36,39.03,38.32,38.98,7895600,38.82
2013-04-05,38.17,38.50,37.68,38.39,7626000,38.23
