Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,7.48,7.55,7.48,7.54,2578200,7.54
2013-07-11,7.44,7.53,7.38,7.51,3551400,7.51
2013-07-10,7.31,7.35,7.22,7.33,3733500,7.33
2013-07-09,7.32,7.39,7.25,7.29,3302500,7.29
2013-07-08,7.42,7.45,7.22,7.29,4338400,7.29
2013-07-05,7.29,7.40,7.27,7.38,2579600,7.38
2013-07-03,7.09,7.30,7.09,7.24,3023800,7.24
2013-07-02,7.15,7.30,7.11,7.20,5797900,7.20
2013-07-01,7.19,7.31,7.13,7.17,4732200,7.17
2013-06-28,6.94,7.18,6.88,7.14,12706700,7.14
2013-06-27,6.98,7.07,6.93,7.00,3826000,7.00
2013-06-26,6.96,7.05,6.87,6.90,4686300,6.90
2013-06-25,6.85,6.99,6.78,6.87,5049100,6.87
2013-06-24,6.97,6.99,6.78,6.80,7636400,6.80
2013-06-21,7.11,7.14,6.94,7.02,6298100,7.02
2013-06-20,7.16,7.19,7.02,7.06,5227600,7.06
2013-06-19,7.38,7.45,7.25,7.28,4655900,7.28
2013-06-18,7.44,7.48,7.37,7.40,4069200,7.40
2013-06-17,7.35,7.50,7.33,7.41,5008500,7.41
2013-06-14,7.36,7.43,7.29,7.31,4014300,7.31
2013-06-13,7.17,7.38,7.16,7.36,4732300,7.36
2013-06-12,7.24,7.24,7.08,7.18,5806700,7.18
2013-06-11,7.28,7.36,7.15,7.15,5162600,7.15
2013-06-10,7.36,7.44,7.32,7.36,3585000,7.36
2013-06-07,7.26,7.36,7.24,7.36,5198000,7.36
2013-06-06,7.21,7.26,7.08,7.20,5826800,7.20
2013-06-05,7.32,7.39,7.20,7.22,5165100,7.22
2013-06-04,7.49,7.55,7.35,7.40,6944500,7.40
2013-06-03,7.43,7.49,7.28,7.41,6549900,7.41
2013-05-31,7.51,7.59,7.39,7.41,6512700,7.41
2013-05-30,7.43,7.60,7.38,7.57,8278900,7.57
2013-05-29,7.29,7.44,7.20,7.38,7017000,7.38
2013-05-28,7.25,7.43,7.25,7.36,6883000,7.36
2013-05-24,7.07,7.23,7.06,7.22,4355900,7.22
2013-05-23,6.90,7.15,6.83,7.13,6625100,7.13
2013-05-22,7.17,7.25,7.01,7.05,6543300,7.05
2013-05-21,7.20,7.25,7.14,7.21,3488800,7.21
2013-05-20,7.22,7.24,7.16,7.22,2787400,7.22
2013-05-17,7.15,7.25,7.13,7.23,4737700,7.23
2013-05-16,7.08,7.15,7.08,7.12,4933800,7.12
2013-05-15,6.92,7.09,6.88,7.09,6867100,7.09
2013-05-14,6.81,7.06,6.80,7.03,9136300,7.03
2013-05-13,7.03,7.05,6.82,6.83,6926300,6.83
2013-05-10,7.00,7.05,6.95,7.03,4505700,7.03
2013-05-09,6.83,7.01,6.83,6.96,8081400,6.96
2013-05-08,6.68,6.88,6.68,6.88,5405900,6.88
2013-05-07,6.75,6.81,6.63,6.68,8083600,6.68
2013-05-06,6.74,6.85,6.64,6.65,11945300,6.65
2013-05-03,6.50,6.74,6.50,6.72,8657500,6.72
2013-05-02,6.37,6.46,6.37,6.43,3711500,6.43
2013-05-01,6.34,6.44,6.31,6.40,7292100,6.40
2013-04-30,6.46,6.55,6.41,6.54,7325200,6.54
2013-04-29,6.42,6.48,6.38,6.46,3936300,6.46
2013-04-26,6.48,6.48,6.38,6.40,6578600,6.40
2013-04-25,6.44,6.58,6.38,6.47,10983700,6.47
2013-04-24,6.22,6.39,6.18,6.35,6873500,6.35
2013-04-23,6.17,6.24,6.12,6.20,4370700,6.20
2013-04-22,6.16,6.17,5.99,6.14,3718200,6.14
2013-04-19,6.12,6.17,6.01,6.10,3660200,6.10
2013-04-18,6.24,6.27,6.06,6.09,4521000,6.09
2013-04-17,6.31,6.36,6.17,6.18,6541500,6.18
2013-04-16,6.27,6.46,6.26,6.39,6017500,6.39
2013-04-15,6.32,6.38,6.19,6.20,5303600,6.20
2013-04-12,6.48,6.58,6.30,6.40,5674500,6.40
2013-04-11,6.50,6.60,6.45,6.52,7180000,6.52
2013-04-10,6.43,6.55,6.42,6.52,5828500,6.52
2013-04-09,6.46,6.50,6.37,6.43,4215300,6.43
2013-04-08,6.44,6.47,6.29,6.45,4599600,6.45
2013-04-05,6.21,6.46,6.05,6.45,12959400,6.45
2013-04-04,6.17,6.39,6.10,6.33,6539400,6.33
2013-04-03,6.43,6.49,6.17,6.17,10707700,6.17
2013-04-02,6.59,6.60,6.45,6.47,3482800,6.47
2013-04-01,6.77,6.77,6.52,6.55,4377300,6.55
2013-03-28,6.75,6.81,6.70,6.78,4020700,6.78
2013-03-27,6.61,6.77,6.61,6.73,3465900,6.73
2013-03-26,6.59,6.75,6.55,6.71,6774900,6.71
2013-03-25,6.64,6.70,6.51,6.57,4007800,6.57
