Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,52.33,52.33,51.57,51.82,1633100,51.82
2013-07-11,51.24,52.39,51.05,52.33,3639400,52.33
2013-07-10,50.52,50.80,50.08,50.61,2616700,50.61
2013-07-09,50.58,51.06,50.09,50.57,2195100,50.57
2013-07-08,49.85,50.60,49.76,50.37,2309400,50.37
2013-07-05,49.59,49.95,49.05,49.67,2196400,49.67
2013-07-03,49.50,49.50,48.77,49.20,1171500,49.20
2013-07-02,49.59,50.18,49.47,49.79,1487800,49.79
2013-07-01,49.67,50.08,49.55,49.59,2676600,49.59
2013-06-28,49.21,49.87,49.06,49.25,3553700,49.25
2013-06-27,49.89,50.08,49.15,49.19,3301300,49.19
2013-06-26,50.18,50.41,49.40,49.73,1826100,49.73
2013-06-25,49.79,50.14,49.38,49.73,1548300,49.73
2013-06-24,50.99,51.03,49.21,49.29,2583800,49.29
2013-06-21,51.64,51.97,51.18,51.51,4861100,51.51
2013-06-20,51.17,51.63,50.41,51.18,4451100,51.18
2013-06-19,52.32,53.14,51.75,51.82,3004200,51.82
2013-06-18,50.98,52.41,50.96,52.32,1972500,52.32
2013-06-17,50.98,51.27,50.65,51.00,2164300,51.00
2013-06-14,50.74,51.67,50.73,50.79,4201500,50.79
2013-06-13,50.25,51.09,50.18,50.99,1845800,50.99
2013-06-12,50.46,50.83,49.87,50.01,1781700,50.01
2013-06-11,50.29,50.33,49.78,50.07,1388600,50.07
2013-06-10,50.99,51.22,50.44,50.68,1794900,50.68
2013-06-07,50.92,51.24,50.53,50.88,2698000,50.88
2013-06-06,51.48,51.48,49.85,50.66,3993400,50.66
2013-06-05,51.38,51.90,51.16,51.66,3953600,51.66
2013-06-04,50.67,52.47,50.49,51.94,5961800,51.64
2013-06-03,50.03,50.74,49.67,50.73,3799000,50.44
2013-05-31,49.52,50.21,49.29,50.01,3486700,49.72
2013-05-30,49.04,49.90,48.96,49.62,2700900,49.33
2013-05-29,49.16,49.29,48.76,48.89,3257400,48.61
2013-05-28,50.52,50.52,49.74,49.84,2502400,49.55
2013-05-24,50.52,50.80,49.62,49.79,3018900,49.50
2013-05-23,51.11,52.09,50.92,51.19,2456700,50.89
2013-05-22,52.12,52.32,51.21,51.47,2822000,51.17
2013-05-21,51.84,52.13,51.53,51.95,2481200,51.65
2013-05-20,50.30,51.87,50.11,51.81,4614200,51.51
2013-05-17,49.82,50.39,49.28,50.29,3904300,50.00
2013-05-16,50.84,51.05,50.30,50.49,1923300,50.20
2013-05-15,50.76,51.05,50.56,50.86,1985500,50.57
2013-05-14,50.84,50.91,50.53,50.70,2240000,50.41
2013-05-13,51.50,51.50,50.70,50.85,2292700,50.56
2013-05-10,51.49,51.72,50.82,51.64,3671500,51.34
2013-05-09,52.18,52.78,51.84,52.08,5895700,51.78
2013-05-08,52.44,53.33,51.76,53.21,5532700,52.90
2013-05-07,51.24,52.67,50.76,52.63,3190100,52.33
2013-05-06,51.15,51.16,50.45,50.98,1749300,50.69
2013-05-03,50.73,51.27,50.65,51.17,1437300,50.87
2013-05-02,50.10,50.49,49.80,50.35,1680600,50.06
2013-05-01,50.36,50.49,49.90,50.14,1579600,49.85
2013-04-30,50.10,50.41,49.59,50.41,2157400,50.12
2013-04-29,50.52,50.63,49.83,49.94,2398600,49.65
2013-04-26,50.23,50.65,49.76,50.49,2459500,50.20
2013-04-25,48.99,50.84,48.83,50.29,3264700,50.00
2013-04-24,48.39,48.78,48.39,48.74,1179900,48.46
2013-04-23,48.40,49.16,47.84,48.29,1568300,48.01
2013-04-22,48.51,48.67,47.82,48.25,1197400,47.97
