Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,26.79,26.81,26.48,26.77,902400,26.77
2013-07-11,26.44,26.81,26.24,26.79,1259500,26.79
2013-07-10,26.06,26.30,25.77,26.04,1054900,26.04
2013-07-09,25.85,26.24,25.70,26.10,1218200,26.10
2013-07-08,26.22,26.28,25.61,25.65,1781600,25.65
2013-07-05,25.93,26.16,25.90,26.13,921500,26.13
2013-07-03,25.90,26.14,25.73,25.75,865400,25.75
2013-07-02,26.48,26.73,25.96,26.11,1479200,26.11
2013-07-01,26.31,26.60,26.29,26.45,1586400,26.45
2013-06-28,25.74,26.39,25.62,26.22,2744900,26.22
2013-06-27,25.27,25.99,25.09,25.82,1759200,25.82
2013-06-26,25.22,25.22,24.75,25.01,1738800,25.01
2013-06-25,25.25,25.43,24.84,24.98,2065500,24.98
2013-06-24,25.42,25.54,24.70,24.93,2428600,24.93
2013-06-21,25.61,26.00,25.22,25.71,3691700,25.71
2013-06-20,26.16,26.21,25.31,25.41,2366800,25.41
2013-06-19,27.30,27.34,26.42,26.43,2485100,26.43
2013-06-18,27.80,27.91,27.30,27.36,1667100,27.36
2013-06-17,27.97,28.21,27.54,27.74,1185000,27.74
2013-06-14,28.15,28.20,27.71,27.76,940400,27.76
2013-06-13,27.72,28.18,27.70,28.15,1335600,28.15
2013-06-12,28.59,28.65,27.72,27.75,1692700,27.69
2013-06-11,28.92,28.98,28.36,28.37,1629200,28.31
2013-06-10,29.62,29.68,29.13,29.25,1093700,29.18
2013-06-07,29.62,29.78,29.36,29.52,1361400,29.45
2013-06-06,29.24,29.55,28.76,29.36,1632900,29.29
2013-06-05,29.85,29.93,29.21,29.22,1547900,29.15
2013-06-04,30.65,30.73,29.78,29.91,1658700,29.84
2013-06-03,31.47,31.51,30.32,30.71,1206700,30.64
2013-05-31,31.48,31.85,31.31,31.38,1951600,31.31
2013-05-30,30.96,31.62,30.96,31.52,1177000,31.45
2013-05-29,30.92,31.33,30.69,30.96,1172000,30.89
2013-05-28,31.10,31.50,30.49,31.15,2029200,31.08
2013-05-24,30.36,30.68,30.27,30.65,861300,30.58
2013-05-23,30.85,30.85,30.38,30.58,2314800,30.51
2013-05-22,31.58,31.99,30.97,31.28,2008900,31.21
2013-05-21,31.87,32.00,31.53,31.57,1022800,31.50
2013-05-20,32.02,32.19,31.70,31.87,1066200,31.80
2013-05-17,31.76,32.13,31.69,32.02,946800,31.95
2013-05-16,31.66,31.95,31.56,31.70,990800,31.63
2013-05-15,31.78,31.84,31.49,31.79,1439000,31.72
2013-05-14,31.70,31.95,31.67,31.85,1086800,31.78
2013-05-13,31.58,31.79,31.43,31.69,1101500,31.62
2013-05-10,31.89,31.99,31.10,31.70,1635300,31.63
2013-05-09,32.08,32.25,31.73,31.85,1194200,31.78
2013-05-08,32.01,32.33,31.92,32.20,1274900,32.13
2013-05-07,32.00,32.43,31.83,32.00,1178200,31.93
2013-05-06,31.31,31.91,31.31,31.88,1321600,31.81
2013-05-03,31.30,31.77,31.09,31.29,1630900,31.22
2013-05-02,30.70,31.10,30.51,31.10,1181800,31.03
2013-05-01,30.81,30.89,30.22,30.60,2031600,30.53
2013-04-30,30.51,30.89,30.10,30.89,1995200,30.82
2013-04-29,30.16,30.23,29.93,30.16,767600,30.09
2013-04-26,30.19,30.21,29.89,29.99,744200,29.92
2013-04-25,30.39,30.49,30.18,30.25,1275600,30.18
2013-04-24,30.04,30.39,29.96,30.30,1790000,30.23
2013-04-23,29.47,29.98,29.42,29.92,1322400,29.85
2013-04-22,29.07,29.36,28.63,29.24,1191500,29.17
2013-04-19,28.72,29.08,28.41,29.05,1428700,28.98
2013-04-18,28.90,28.94,28.37,28.60,1145400,28.54
2013-04-17,29.31,29.33,28.50,28.85,1656500,28.78
2013-04-16,28.75,29.60,28.70,29.58,1631700,29.51
2013-04-15,28.83,28.96,28.44,28.47,1711000,28.41
2013-04-12,29.05,29.12,28.70,29.03,974800,28.96
2013-04-11,29.12,29.57,29.00,29.22,1735400,29.15
2013-04-10,28.59,29.14,28.47,29.14,1644300,29.07
2013-04-09,28.01,28.46,27.93,28.46,1157300,28.40
2013-04-08,27.46,27.93,27.30,27.93,935600,27.87
