Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,13.29,13.48,13.24,13.46,5236100,13.46
2013-07-11,13.25,13.33,13.09,13.29,5941200,13.29
2013-07-10,13.09,13.25,12.96,13.14,5318500,13.14
2013-07-09,12.97,13.15,12.93,13.10,5027100,13.10
2013-07-08,12.86,12.91,12.76,12.91,5467200,12.91
2013-07-05,12.77,12.86,12.71,12.79,3729700,12.79
2013-07-03,12.67,12.88,12.58,12.71,3393500,12.71
2013-07-02,13.09,13.12,12.67,12.71,6153300,12.71
2013-07-01,12.96,13.25,12.94,13.11,4687300,13.11
2013-06-28,12.99,13.05,12.83,12.89,7505200,12.89
2013-06-27,13.02,13.23,12.79,13.04,8318700,13.04
2013-06-26,13.18,13.26,12.92,12.97,9528900,12.97
2013-06-25,13.37,13.44,13.29,13.35,6309600,13.35
2013-06-24,13.35,13.35,13.12,13.31,10729700,13.31
2013-06-21,13.63,13.71,13.35,13.48,8274700,13.48
2013-06-20,13.56,13.70,13.51,13.53,7671800,13.53
2013-06-19,13.86,13.87,13.69,13.69,6045300,13.69
2013-06-18,13.80,13.90,13.70,13.86,4758900,13.86
2013-06-17,13.93,13.94,13.66,13.78,7905200,13.78
2013-06-14,13.92,14.01,13.83,13.87,5130500,13.87
2013-06-13,13.85,14.06,13.81,13.98,5776400,13.98
2013-06-12,14.07,14.10,13.77,13.87,5151900,13.87
2013-06-11,13.82,14.05,13.73,13.95,6520200,13.95
2013-06-10,13.94,14.06,13.89,13.98,5084600,13.98
2013-06-07,13.65,13.94,13.63,13.88,8502300,13.88
2013-06-06,13.57,13.69,13.19,13.50,12848500,13.50
2013-06-05,13.88,13.92,13.58,13.63,8708700,13.63
2013-06-04,13.99,14.20,13.80,13.92,8438700,13.92
2013-06-03,14.18,14.28,13.84,14.00,7664700,14.00
2013-05-31,14.22,14.36,14.17,14.17,8734000,14.13
2013-05-30,14.18,14.37,14.18,14.27,7007900,14.23
2013-05-29,14.19,14.28,14.06,14.13,7174200,14.09
2013-05-28,14.40,14.44,14.15,14.27,7824000,14.23
