Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,69.39,70.18,68.78,70.00,2900900,70.00
2013-07-11,70.61,70.64,69.11,69.39,3655800,69.39
2013-07-10,68.63,69.92,68.58,69.81,3841600,69.81
2013-07-09,69.00,69.49,68.00,68.97,2485700,68.97
2013-07-08,68.33,68.62,67.77,68.30,2207100,68.30
2013-07-05,67.33,67.69,66.71,67.68,2870300,67.68
2013-07-03,64.96,66.61,64.74,66.50,1988000,66.50
2013-07-02,66.31,66.70,64.94,65.41,5823100,65.41
2013-07-01,67.00,68.38,66.07,66.28,6962200,66.28
2013-06-28,67.45,67.75,66.26,66.26,9611400,66.26
2013-06-27,67.70,68.02,67.07,67.50,4610100,67.50
2013-06-26,66.95,67.23,65.58,66.98,3619100,66.98
2013-06-25,65.69,66.89,65.69,66.46,3535800,66.46
2013-06-24,65.06,65.75,63.89,65.03,4875000,65.03
2013-06-21,67.54,67.69,65.23,66.75,5077300,66.75
2013-06-20,67.45,68.16,66.70,67.00,3979700,67.00
2013-06-19,68.97,69.42,68.49,68.61,2692200,68.61
2013-06-18,68.48,69.45,68.39,68.81,3209500,68.81
2013-06-17,68.10,68.53,67.45,68.14,3489500,68.14
2013-06-14,66.48,68.11,66.30,67.42,4428000,67.42
2013-06-13,64.05,66.90,64.00,66.59,7208400,66.59
2013-06-12,65.04,65.29,64.03,64.12,2382100,64.12
2013-06-11,64.23,65.22,63.67,64.19,3285900,64.19
2013-06-10,65.06,65.84,64.77,65.00,3366200,65.00
2013-06-07,65.49,65.60,64.62,64.87,7591100,64.87
2013-06-06,65.56,66.58,65.30,66.40,4045600,66.40
2013-06-05,67.41,67.64,65.40,65.68,4468500,65.68
2013-06-04,67.09,68.46,67.09,67.68,4081400,67.68
2013-06-03,66.82,67.37,65.22,67.31,4076400,67.31
2013-05-31,66.61,68.07,66.01,66.65,6467400,66.65
2013-05-30,66.25,67.59,65.84,66.79,3137600,66.79
2013-05-29,66.54,67.08,65.72,66.28,3045700,65.78
2013-05-28,66.74,68.09,66.32,67.18,4458900,66.67
2013-05-24,65.26,65.92,64.85,65.72,2250300,65.22
2013-05-23,64.80,66.22,62.71,65.83,4929900,65.33
2013-05-22,65.59,67.05,64.64,65.07,3481700,64.58
2013-05-21,66.92,67.28,65.81,65.85,4137800,65.35
2013-05-20,67.27,67.45,66.80,66.95,2870000,66.44
2013-05-17,66.34,67.32,65.74,67.32,5283700,66.81
2013-05-16,64.35,66.20,64.28,66.11,5269500,65.61
2013-05-15,64.42,65.36,64.36,64.68,3677600,64.19
2013-05-14,62.07,64.99,61.99,64.64,6491800,64.15
2013-05-13,62.50,62.78,61.34,62.30,5771000,61.83
2013-05-10,61.11,61.61,60.41,61.55,4563000,61.09
2013-05-09,62.66,62.91,61.37,61.47,5334000,61.01
2013-05-08,63.30,63.52,61.91,62.84,3595700,62.37
2013-05-07,62.94,63.80,62.11,63.28,4320500,62.80
2013-05-06,62.59,62.65,61.23,62.65,4331500,62.18
2013-05-03,60.17,61.06,60.07,60.95,4445700,60.49
2013-05-02,57.96,59.47,57.33,58.90,5113500,58.46
2013-05-01,60.55,60.75,57.41,57.54,5845600,57.11
2013-04-30,61.44,61.49,60.48,60.70,3456000,60.24
2013-04-29,60.39,61.64,59.68,61.46,3344900,61.00
2013-04-26,61.99,62.24,58.57,60.14,4348200,59.69
2013-04-25,61.90,63.27,60.77,60.92,4978300,60.46
2013-04-24,59.56,60.56,59.13,60.33,3638700,59.87
2013-04-23,58.89,59.70,58.69,59.34,2779300,58.89
2013-04-22,58.15,59.11,57.37,58.64,2878100,58.20
2013-04-19,56.25,58.01,56.16,57.86,4639600,57.42
2013-04-18,56.24,56.35,55.02,55.81,4929300,55.39
2013-04-17,56.66,56.66,55.42,56.10,6444600,55.68
2013-04-16,56.15,57.55,55.70,57.33,4901800,56.90
2013-04-15,58.64,58.71,55.47,55.51,7147600,55.09
2013-04-12,61.07,61.20,58.67,59.46,4362800,59.01
2013-04-11,60.75,62.13,60.55,61.38,3175700,60.92
2013-04-10,60.42,60.87,59.92,60.77,2354300,60.31
2013-04-09,58.84,60.35,58.69,60.22,3583700,59.77
2013-04-08,59.03,59.10,58.20,58.80,4337600,58.36
2013-04-05,57.67,59.04,57.11,58.98,4232100,58.54
2013-04-04,58.80,59.32,58.61,58.78,3655200,58.34
2013-04-03,59.77,59.80,57.78,58.65,10159800,58.21
2013-04-02,62.43,62.61,59.54,59.84,6255400,59.39
2013-04-01,63.09,63.17,61.56,61.75,3734600,61.28
2013-03-28,63.56,64.15,63.18,63.29,2877400,62.81
2013-03-27,63.01,63.52,62.57,63.37,2227300,62.89
2013-03-26,63.74,64.00,63.36,63.45,3756100,62.97
2013-03-25,64.91,65.14,63.19,63.35,3528700,62.87
2013-03-22,64.66,64.93,64.25,64.50,2185500,64.01
2013-03-21,65.01,65.69,64.23,64.41,3722900,63.92
2013-03-20,64.52,65.67,64.46,65.42,4508000,64.93
2013-03-19,63.73,64.46,62.85,64.01,5836900,63.53
2013-03-18,63.39,64.06,63.08,63.75,3358000,63.27
2013-03-15,64.44,65.69,63.87,64.01,5085600,63.53
2013-03-14,63.94,65.35,63.86,64.77,4700700,64.28
2013-03-13,64.09,64.52,63.19,63.30,4699200,62.82
2013-03-12,63.77,64.40,63.62,64.08,4514200,63.60
2013-03-11,63.32,63.83,62.20,63.73,3089700,63.25
2013-03-08,62.79,63.85,62.59,63.60,3132600,63.12
2013-03-07,62.72,62.73,62.08,62.13,2085300,61.66
2013-03-06,61.90,62.79,61.41,62.52,4936700,62.05
2013-03-05,60.54,61.42,60.53,60.77,4684700,60.31
2013-03-04,59.47,60.44,58.75,60.44,3376500,59.98
2013-03-01,58.19,60.64,57.43,59.69,5650000,59.24
2013-02-28,58.38,59.46,58.17,58.62,3648900,58.18
2013-02-27,57.01,58.44,56.50,58.20,5336900,57.76
2013-02-26,57.46,57.72,55.94,56.84,7557200,56.41
2013-02-25,59.38,59.68,56.97,56.98,4838100,56.55
2013-02-22,58.30,59.32,57.97,59.32,3972500,58.87
2013-02-21,59.04,59.31,56.91,57.68,1058600,57.24
2013-02-20,61.15,61.40,60.17,60.26,8481500,59.41
2013-02-19,60.84,61.18,60.38,61.18,3519300,60.32
2013-02-15,61.19,61.29,59.88,60.40,7182900,59.55
2013-02-14,61.57,61.90,61.06,61.17,9634700,60.31
2013-02-13,61.71,63.30,61.60,62.30,3862200,61.42
2013-02-12,60.62,60.89,60.12,60.51,2779700,59.65
2013-02-11,61.82,61.82,60.29,60.54,3176500,59.68
2013-02-08,61.56,62.23,60.94,62.11,3317300,61.23
2013-02-07,61.20,61.75,60.37,61.42,2842100,60.55
2013-02-06,61.29,61.49,60.46,61.06,3376400,60.20
2013-02-05,61.71,62.27,61.22,61.25,3935300,60.38
2013-02-04,61.14,62.43,61.04,61.09,4986900,60.23
2013-02-01,61.90,63.22,60.32,61.37,8406600,60.50
2013-01-31,62.56,64.20,62.20,63.42,4498800,62.52
2013-01-30,63.22,63.55,62.76,63.02,2485300,62.13
2013-01-29,61.50,63.55,61.50,63.26,5482900,62.37
2013-01-28,62.67,62.69,60.86,61.24,5244700,60.37
2013-01-25,62.91,62.97,62.18,62.75,2332800,61.86
2013-01-24,62.26,62.82,62.21,62.52,2664000,61.64
2013-01-23,61.25,62.16,61.16,62.11,4122200,61.23
2013-01-22,62.60,62.70,61.46,61.47,3583900,60.60
2013-01-18,62.05,62.59,61.53,62.59,2672400,61.71
2013-01-17,61.16,62.22,61.02,62.13,3670600,61.25
2013-01-16,61.02,61.07,60.26,60.52,2614700,59.66
2013-01-15,60.93,61.65,60.88,61.34,2181400,60.47
2013-01-14,60.78,61.42,60.73,61.20,3198300,60.34
2013-01-11,60.72,60.96,60.20,60.91,1993300,60.05
2013-01-10,60.19,60.74,59.55,60.61,3617100,59.75
2013-01-09,60.10,60.17,59.43,59.60,2962700,58.76
2013-01-08,58.93,59.80,58.28,59.74,3778700,58.90
