Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,49.69,50.05,49.24,49.43,3545900,49.43
2013-07-11,50.00,50.04,49.18,49.69,3675400,49.69
2013-07-10,50.25,50.49,48.96,49.47,4714900,49.47
2013-07-09,50.50,50.77,50.25,50.37,2917600,50.37
2013-07-08,49.36,50.47,49.34,50.27,3733900,50.27
2013-07-05,49.00,49.24,48.47,49.18,2018800,49.18
2013-07-03,48.04,48.55,47.79,48.48,1999200,48.48
2013-07-02,48.25,48.68,48.01,48.40,3605300,48.40
2013-07-01,48.25,48.90,48.20,48.26,3648000,48.26
2013-06-28,48.24,48.50,47.93,48.00,5577500,48.00
2013-06-27,48.16,48.68,48.03,48.15,4038200,48.15
2013-06-26,47.00,47.80,46.96,47.73,2913800,47.73
2013-06-25,46.45,46.83,46.28,46.58,2247500,46.58
2013-06-24,46.37,46.53,45.72,46.14,3015600,46.14
2013-06-21,47.20,47.39,46.13,46.86,5252700,46.86
2013-06-20,47.98,48.26,46.67,46.82,4195200,46.82
2013-06-19,49.37,49.46,48.27,48.33,3360100,48.33
2013-06-18,48.70,49.48,48.64,49.32,2530100,49.32
2013-06-17,48.91,49.42,48.52,48.81,2853600,48.81
2013-06-14,48.51,49.26,48.35,48.48,2194600,48.48
2013-06-13,48.17,48.92,47.92,48.76,3378500,48.76
2013-06-12,48.68,48.93,47.97,48.06,3097000,48.06
2013-06-11,48.46,49.15,48.27,48.56,2939700,48.31
2013-06-10,48.80,49.18,48.66,48.93,3482300,48.68
2013-06-07,48.63,49.01,48.48,48.61,2961500,48.36
2013-06-06,47.51,48.39,47.40,48.39,3690900,48.14
2013-06-05,48.15,48.38,47.28,47.36,3730000,47.12
2013-06-04,48.62,48.77,47.85,48.39,4006800,48.14
2013-06-03,48.59,48.81,47.95,48.75,4051500,48.50
2013-05-31,48.73,49.32,48.34,48.34,3329700,48.09
2013-05-30,48.91,49.70,48.85,49.19,3751100,48.94
2013-05-29,49.06,49.15,48.38,48.85,2622100,48.60
2013-05-28,49.72,50.00,49.07,49.42,2592900,49.17
2013-05-24,48.59,49.34,48.36,49.21,2732600,48.96
2013-05-23,48.60,49.28,48.46,48.98,3017000,48.73
2013-05-22,49.43,49.93,48.72,49.00,4382100,48.75
2013-05-21,48.81,49.61,48.81,49.43,4511200,49.18
2013-05-20,48.38,49.09,48.26,48.85,4030800,48.60
2013-05-17,48.03,48.67,47.55,48.67,5834100,48.42
2013-05-16,48.41,48.67,47.59,47.88,4558200,47.63
2013-05-15,48.25,48.93,47.30,48.57,9460700,48.32
2013-05-14,47.00,47.67,46.92,47.39,4491000,47.15
2013-05-13,47.02,47.12,46.54,46.88,2687700,46.64
2013-05-10,46.62,47.23,46.58,47.23,2999300,46.99
2013-05-09,46.59,46.81,46.26,46.45,2676800,46.21
2013-05-08,46.54,47.12,46.26,46.64,3440600,46.40
2013-05-07,46.07,46.74,45.78,46.50,3191700,46.26
2013-05-06,46.01,46.28,45.80,46.00,2573800,45.76
2013-05-03,45.25,46.45,45.18,46.23,4073100,45.99
2013-05-02,44.65,44.96,44.49,44.78,2517700,44.55
2013-05-01,44.54,44.96,44.33,44.70,2781700,44.47
2013-04-30,44.92,45.09,44.27,44.60,3649300,44.37
2013-04-29,44.78,45.40,44.76,45.07,2574700,44.84
2013-04-26,44.71,44.92,44.40,44.63,2584600,44.40
2013-04-25,44.03,45.18,43.99,44.78,3948600,44.55
2013-04-24,44.05,44.42,43.66,43.89,2540000,43.66
2013-04-23,43.65,44.18,43.47,43.95,3282900,43.72
2013-04-22,43.59,43.82,43.11,43.54,2376600,43.32
2013-04-19,43.14,43.71,43.04,43.54,2642000,43.32
2013-04-18,43.59,43.59,42.85,42.94,3046600,42.72
2013-04-17,43.60,43.71,43.15,43.61,4381500,43.39
2013-04-16,43.91,44.02,43.64,43.93,2932000,43.70
2013-04-15,44.10,44.41,43.35,43.42,3492400,43.20
2013-04-12,44.20,45.39,44.19,44.43,6256800,44.20
2013-04-11,44.19,45.26,44.19,44.31,5699200,44.08
2013-04-10,43.94,44.95,43.85,44.36,4472500,44.13
2013-04-09,43.88,44.11,43.49,43.67,3450800,43.45
2013-04-08,43.35,44.24,43.33,43.99,5087900,43.76
2013-04-05,42.92,43.54,42.83,43.39,5080600,43.17
2013-04-04,42.38,43.88,42.32,43.56,6727700,43.34
2013-04-03,42.03,42.62,41.74,42.39,5805900,42.17
2013-04-02,41.89,42.17,41.77,42.03,2722000,41.81
2013-04-01,41.78,42.20,41.51,41.63,2696700,41.42
2013-03-28,41.68,41.94,41.33,41.84,5142500,41.62
2013-03-27,41.78,42.03,41.53,41.73,3144300,41.52
2013-03-26,42.40,42.45,41.44,41.99,4980000,41.77
2013-03-25,42.40,42.74,42.17,42.36,4182000,42.14
2013-03-22,42.34,42.74,42.32,42.66,3956500,42.44
2013-03-21,42.22,42.89,42.09,42.17,5903100,41.95
2013-03-20,41.70,42.78,41.70,42.55,6413500,42.33
2013-03-19,41.56,41.71,40.89,41.67,5775300,41.46
2013-03-18,41.27,41.77,41.26,41.58,3276000,41.37
2013-03-15,41.89,42.10,41.38,41.78,6106500,41.56
2013-03-14,42.28,42.35,41.72,42.15,4632600,41.93
2013-03-13,41.96,42.47,41.81,42.11,6586600,41.89
2013-03-12,41.50,42.22,41.50,41.97,4044200,41.55
2013-03-11,41.43,41.93,41.31,41.71,3091600,41.30
2013-03-08,41.36,41.75,41.12,41.67,2882300,41.26
2013-03-07,41.12,41.54,40.96,41.23,4119000,40.82
2013-03-06,41.36,41.67,41.06,41.08,6828200,40.67
2013-03-05,41.74,42.18,41.63,41.72,5802400,41.31
2013-03-04,40.71,41.82,40.71,41.54,5733600,41.13
2013-03-01,40.74,41.05,40.36,40.68,6094200,40.28
2013-02-28,40.48,41.57,40.27,41.10,6182800,40.69
2013-02-27,39.75,40.90,39.62,40.58,6174700,40.18
2013-02-26,40.15,40.30,38.83,39.59,10560400,39.20
2013-02-25,39.17,39.34,38.52,38.52,5917200,38.14
2013-02-22,39.32,39.67,38.88,39.08,3568600,38.69
2013-02-21,39.53,39.76,39.11,39.33,3747400,38.94
2013-02-20,40.33,40.41,39.45,39.51,4458100,39.12
2013-02-19,39.35,40.47,39.03,40.43,5812900,40.03
2013-02-15,39.53,39.79,38.73,39.12,8496500,38.73
2013-02-14,39.73,39.83,39.35,39.54,3923900,39.15
2013-02-13,40.29,40.49,39.80,39.96,2696400,39.56
2013-02-12,40.37,40.42,40.02,40.11,2498200,39.71
2013-02-11,39.63,40.37,39.48,40.24,3761100,39.84
2013-02-08,40.39,40.39,39.67,39.92,4122000,39.53
2013-02-07,40.51,41.15,39.58,40.27,7051100,39.87
2013-02-06,39.67,39.91,39.02,39.48,7777200,39.09
2013-02-05,39.45,40.27,39.15,39.85,7064300,39.46
2013-02-04,39.24,39.41,38.63,38.72,3550200,38.34
2013-02-01,39.96,39.96,39.40,39.51,4276800,39.12
2013-01-31,39.68,39.68,39.06,39.51,4715700,39.12
2013-01-30,39.95,39.95,39.42,39.54,5347200,39.15
2013-01-29,39.23,40.00,39.00,39.95,4039300,39.55
2013-01-28,39.13,39.55,38.68,39.39,4873500,39.00
2013-01-25,39.13,39.38,38.62,38.74,5191900,38.36
2013-01-24,38.31,39.06,38.31,39.00,5291300,38.61
2013-01-23,38.15,38.50,38.01,38.23,4760100,37.85
2013-01-22,38.36,38.38,37.80,38.18,4132300,37.80
2013-01-18,38.17,38.42,37.74,38.42,3245500,38.04
2013-01-17,38.61,38.88,38.05,38.07,4462300,37.69
2013-01-16,37.72,38.66,37.67,38.43,5061100,38.05
2013-01-15,36.95,38.04,36.89,37.91,5792100,37.54
2013-01-14,36.87,37.19,36.75,37.08,3067500,36.71
2013-01-11,37.38,37.38,36.75,36.89,5890400,36.53
2013-01-10,36.82,37.26,36.35,37.25,5433400,36.88
2013-01-09,36.68,37.22,36.61,36.69,6006100,36.33
2013-01-08,37.61,37.85,37.05,37.05,5173700,36.68
2013-01-07,37.93,38.07,37.36,37.65,4605600,37.28
2013-01-04,37.53,38.33,37.50,37.94,8317900,37.56
2013-01-03,38.19,38.85,37.29,37.47,12902900,37.10
2013-01-02,39.55,39.55,38.05,38.31,8234800,37.93
2012-12-31,37.20,39.12,37.17,39.02,7895600,38.63
2012-12-28,36.88,38.04,36.66,37.36,6389100,36.99
2012-12-27,36.93,37.36,36.38,37.08,4988300,36.71
2012-12-26,37.46,37.65,36.30,37.13,5664300,36.76
2012-12-24,37.41,37.79,37.28,37.52,1567000,37.15
2012-12-21,37.59,37.85,37.32,37.51,6604600,37.14
2012-12-20,37.30,38.30,37.15,37.91,6726700,37.54
2012-12-19,39.03,39.54,38.75,38.77,4557000,38.39
2012-12-18,38.75,39.29,38.44,39.11,3217900,38.72
2012-12-17,38.27,38.73,37.76,38.71,4959400,38.33
2012-12-14,38.20,38.63,38.03,38.07,4590400,37.69
2012-12-13,38.76,39.05,38.05,38.22,4710500,37.84
2012-12-12,38.93,39.23,38.29,38.86,4596900,38.48
2012-12-11,39.54,39.62,38.68,38.86,4885300,38.28
2012-12-10,39.32,39.72,39.08,39.35,4897100,38.76
2012-12-07,39.17,39.48,38.88,39.41,4526900,38.82
2012-12-06,38.87,39.16,38.61,38.92,5892300,38.34
2012-12-05,38.21,39.16,38.11,38.87,8368500,38.29
2012-12-04,38.05,38.36,37.93,38.27,4799900,37.70
2012-12-03,38.93,38.93,38.09,38.10,6328400,37.53
2012-11-30,38.68,38.90,38.02,38.70,10663700,38.12
2012-11-29,39.24,39.83,38.26,38.62,13763000,38.04
2012-11-28,39.54,40.42,39.47,40.36,5606900,39.76
2012-11-27,39.49,40.15,39.34,39.63,7452600,39.04
2012-11-26,41.00,41.09,39.65,39.86,7968100,39.26
2012-11-23,41.49,41.76,41.20,41.73,3132900,41.10
2012-11-21,40.85,41.23,40.70,41.01,3391600,40.40
2012-11-20,40.90,41.14,40.31,40.77,5336500,40.16
2012-11-19,40.41,40.93,40.32,40.93,4484100,40.32
2012-11-16,39.41,40.31,39.10,40.18,6764500,39.58
2012-11-15,39.00,39.81,38.75,39.34,4726700,38.75
2012-11-14,39.21,39.63,38.79,38.90,5134500,38.32
2012-11-13,38.57,39.77,38.30,39.08,6968900,38.49
2012-11-12,39.00,39.07,38.60,38.70,2730600,38.12
2012-11-09,38.81,39.16,38.57,38.93,5762400,38.35
2012-11-08,40.36,40.67,39.01,39.01,5792600,38.43
2012-11-07,40.92,41.98,40.45,40.45,7878000,39.84
2012-11-06,41.25,41.44,40.76,41.38,4673600,40.76
2012-11-05,40.54,41.27,40.29,41.16,5265900,40.54
2012-11-02,40.67,41.00,40.49,40.61,5126000,40.00
2012-11-01,39.26,40.60,39.00,40.52,6356500,39.91
2012-10-31,38.93,39.25,37.76,38.07,6014600,37.50
2012-10-26,38.86,38.86,38.19,38.48,3965800,37.90
2012-10-25,39.14,39.32,38.07,38.68,4619000,38.10
2012-10-24,39.56,39.65,38.83,38.88,4046300,38.30
2012-10-23,39.56,39.68,38.96,39.46,3887700,38.87
2012-10-22,39.84,39.99,39.42,39.99,3151200,39.39
2012-10-19,40.41,40.56,39.74,39.99,3122100,39.39
2012-10-18,40.82,41.05,40.24,40.46,4509000,39.85
2012-10-17,40.54,41.24,40.34,40.84,5364300,40.23
2012-10-16,39.99,40.50,39.92,40.47,3545300,39.86
2012-10-15,39.54,39.99,39.37,39.91,3686300,39.31
2012-10-12,39.14,39.51,39.08,39.41,3589500,38.82
2012-10-11,39.53,39.94,39.03,39.23,3669800,38.64
2012-10-10,39.59,39.71,38.99,39.00,3499400,38.42
2012-10-09,39.38,40.00,39.28,39.63,5176200,39.04
2012-10-08,39.37,39.70,39.13,39.31,2524500,38.72
2012-10-05,39.92,39.99,39.48,39.61,3398100,39.02
2012-10-04,39.55,40.53,39.40,39.67,5962500,39.08
2012-10-03,38.72,39.51,38.70,39.49,5524400,38.90
2012-10-02,38.87,39.23,38.29,38.68,6720300,38.10
2012-10-01,37.71,38.97,37.71,38.58,6462300,38.00
2012-09-28,37.29,37.74,36.94,37.62,5466700,37.06
2012-09-27,37.90,38.11,37.45,37.51,5701400,36.95
2012-09-26,37.80,38.05,37.25,37.75,5106200,37.18
2012-09-25,38.00,38.53,37.75,37.75,5738300,37.18
2012-09-24,38.19,38.24,37.65,37.81,5612800,37.24
2012-09-21,38.76,39.10,38.33,38.39,5699800,37.81
2012-09-20,38.72,38.98,38.54,38.65,4610200,38.07
2012-09-19,38.56,39.28,38.38,39.04,6998900,38.45
2012-09-18,38.50,38.55,37.93,38.50,5412400,37.92
2012-09-17,39.19,39.25,38.37,38.55,3977100,37.97
2012-09-14,39.29,39.91,39.03,39.24,5042900,38.65
2012-09-13,39.18,39.78,38.71,39.28,6424800,38.69
2012-09-12,39.28,39.73,38.82,39.22,6621500,38.63
