Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,63.92,64.37,63.19,63.78,1018900,63.78
2013-07-11,63.59,64.36,63.58,64.13,697900,64.13
2013-07-10,62.92,62.96,61.97,62.80,594600,62.80
2013-07-09,62.46,63.32,62.13,62.96,766400,62.96
2013-07-08,61.47,62.38,61.47,62.04,838700,62.04
2013-07-05,61.51,61.70,59.95,61.40,575800,61.40
2013-07-03,61.25,61.58,60.66,61.18,489100,61.18
2013-07-02,60.54,61.73,60.54,61.72,1141100,61.72
2013-07-01,61.34,61.57,60.43,60.54,574800,60.54
2013-06-28,60.79,61.34,60.24,60.97,1030300,60.97
2013-06-27,60.72,61.37,60.63,61.01,758600,61.01
2013-06-26,59.87,60.75,59.83,60.52,1491300,60.52
2013-06-25,58.46,59.66,58.16,59.38,1039200,59.38
2013-06-24,57.90,59.17,56.68,57.84,812900,57.84
2013-06-21,58.43,58.95,57.38,58.45,1329000,58.45
2013-06-20,60.19,60.28,57.73,57.98,1026200,57.98
2013-06-19,62.70,62.85,60.58,60.79,553200,60.79
2013-06-18,62.49,63.09,61.87,62.70,613000,62.70
2013-06-17,62.44,62.75,62.11,62.40,876800,62.40
2013-06-14,62.63,63.29,61.95,62.25,1177400,62.25
2013-06-13,61.14,62.93,60.85,62.80,1020300,62.80
2013-06-12,61.83,62.10,60.65,60.76,489800,60.76
2013-06-11,62.19,62.46,61.45,61.58,670000,61.58
2013-06-10,63.21,63.21,62.43,62.69,1089700,62.69
2013-06-07,63.18,63.34,62.25,62.75,1393100,62.75
2013-06-06,61.58,62.82,61.42,62.82,2110100,62.82
2013-06-05,62.54,62.98,61.35,61.61,1378200,61.61
2013-06-04,64.06,64.32,62.68,62.69,1634900,62.69
2013-06-03,64.58,64.79,63.67,63.94,1088600,63.94
2013-05-31,65.47,66.28,64.90,64.91,1604200,64.91
2013-05-30,66.07,66.81,65.57,65.86,926200,65.86
2013-05-29,65.83,66.20,64.36,65.85,1203300,65.85
2013-05-28,67.65,67.74,66.08,66.43,1013000,66.43
2013-05-24,66.76,67.00,65.83,66.86,760100,66.86
2013-05-23,68.04,68.05,66.90,67.09,742800,67.09
2013-05-22,70.65,71.44,68.21,68.63,1286700,68.63
2013-05-21,70.97,71.12,70.45,70.65,1394300,70.65
2013-05-20,70.41,70.99,70.40,70.84,1088400,70.84
2013-05-17,70.06,70.60,69.92,70.41,752100,70.41
2013-05-16,70.46,70.92,69.78,70.05,593700,70.05
2013-05-15,70.04,70.70,69.71,70.70,963000,70.70
2013-05-14,70.46,70.72,70.04,70.34,1032700,70.34
2013-05-13,70.15,70.40,69.77,70.34,793700,70.34
2013-05-10,69.85,70.47,69.77,70.24,771800,70.24
2013-05-09,69.80,70.29,69.50,69.66,2207100,69.66
2013-05-08,69.90,70.86,69.68,70.00,30212500,70.00
2013-05-07,70.77,70.83,70.04,70.65,1846000,70.07
2013-05-06,72.01,72.19,70.07,70.81,2827700,70.23
2013-05-03,69.48,70.69,69.32,70.42,974100,69.84
2013-05-02,70.31,70.31,68.99,69.04,906400,68.47
2013-05-01,69.92,70.36,68.57,68.79,875300,68.23
2013-04-30,69.66,70.05,69.25,70.05,1172900,69.47
2013-04-29,69.12,69.56,68.80,69.56,551700,68.99
2013-04-26,68.34,68.89,68.33,68.80,942500,68.24
2013-04-25,67.69,68.53,67.03,68.45,729500,67.89
2013-04-24,67.25,67.64,66.99,67.63,485000,67.07
2013-04-23,67.07,67.35,66.58,67.16,598200,66.61
2013-04-22,67.38,67.39,66.41,66.72,489200,66.17
2013-04-19,66.38,67.34,65.92,67.18,517300,66.63
2013-04-18,66.44,66.49,65.86,66.18,618500,65.64
2013-04-17,67.08,67.08,65.76,66.41,768200,65.86
2013-04-16,66.48,67.46,65.71,67.42,583900,66.87
2013-04-15,67.23,67.64,65.97,65.99,794300,65.45
2013-04-12,67.05,67.54,66.93,67.54,680900,66.99
2013-04-11,66.42,67.39,66.42,67.16,1156000,66.61
2013-04-10,65.83,66.65,65.61,66.64,797500,66.09
