Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,42.20,42.32,41.70,41.73,2183300,41.73
2013-07-11,42.52,42.69,42.12,42.18,1952300,42.18
2013-07-10,41.75,41.97,41.47,41.93,1299500,41.93
2013-07-09,41.96,42.04,41.45,41.74,2054300,41.74
2013-07-08,41.61,42.11,41.59,41.72,1807100,41.72
2013-07-05,40.72,41.43,40.58,41.40,1527300,41.40
2013-07-03,40.01,40.45,39.82,40.30,831700,40.30
2013-07-02,40.38,40.67,40.14,40.23,1953100,40.23
2013-07-01,40.67,40.86,40.29,40.32,1602300,40.32
2013-06-28,40.14,40.71,39.96,40.37,2708600,40.37
2013-06-27,39.73,40.41,39.63,40.25,2152600,40.25
2013-06-26,39.70,39.84,39.42,39.45,2481300,39.45
2013-06-25,39.28,39.42,38.89,39.35,2193900,39.35
2013-06-24,38.50,39.14,38.23,38.71,2635400,38.71
2013-06-21,39.35,39.54,38.17,38.93,4642400,38.93
2013-06-20,39.98,40.00,38.98,39.05,2795600,39.05
2013-06-19,40.78,41.07,40.41,40.42,2794200,40.42
2013-06-18,40.66,41.10,40.57,40.82,2055200,40.82
2013-06-17,41.02,41.12,40.53,40.66,2472600,40.66
2013-06-14,41.08,41.54,40.59,40.77,1352700,40.77
2013-06-13,40.54,41.18,40.26,41.09,1751000,41.09
2013-06-12,41.13,41.41,40.28,40.59,2219800,40.59
2013-06-11,41.01,41.23,40.59,40.84,1778700,40.84
2013-06-10,41.70,41.89,41.38,41.48,2003800,41.48
2013-06-07,41.24,41.70,41.10,41.66,2058800,41.66
2013-06-06,40.33,41.02,40.09,41.01,1936400,41.01
2013-06-05,40.24,40.88,40.09,40.39,3339900,40.39
2013-06-04,42.13,42.23,40.40,40.41,4192200,40.41
2013-06-03,42.35,42.39,41.54,42.20,2129300,42.20
2013-05-31,42.42,42.84,42.01,42.01,2352200,42.01
2013-05-30,42.48,42.91,42.38,42.52,1521300,42.52
2013-05-29,42.91,43.08,42.26,42.33,1546500,42.33
2013-05-28,43.25,43.55,43.08,43.23,1394300,43.23
2013-05-24,42.38,42.86,42.14,42.77,1442900,42.77
2013-05-23,42.35,43.16,42.32,42.58,1889000,42.58
2013-05-22,43.34,43.82,42.55,42.77,1622900,42.77
2013-05-21,43.37,43.71,43.22,43.48,1282700,43.31
2013-05-20,43.69,43.84,43.31,43.36,1355400,43.19
2013-05-17,43.32,43.84,43.32,43.73,1786800,43.56
2013-05-16,43.86,43.94,43.13,43.19,1089600,43.02
2013-05-15,43.91,44.45,43.74,43.97,3448500,43.80
2013-05-14,43.65,44.00,43.61,43.96,1986200,43.79
2013-05-13,43.92,43.93,43.60,43.63,1438300,43.46
2013-05-10,43.35,43.97,43.24,43.97,1762100,43.80
2013-05-09,43.51,43.64,43.13,43.23,1710100,43.06
2013-05-08,43.34,43.70,43.22,43.49,1657900,43.32
2013-05-07,43.21,43.71,43.21,43.54,1217300,43.37
2013-05-06,43.00,43.27,42.94,43.11,1826300,42.94
2013-05-03,43.25,43.56,42.87,43.01,2589500,42.84
2013-05-02,42.57,42.96,41.45,42.84,3229800,42.67
2013-05-01,42.46,42.91,42.29,42.48,2508200,42.31
2013-04-30,41.80,43.13,41.80,43.06,3683900,42.89
2013-04-29,41.50,41.67,41.21,41.62,1661400,41.46
2013-04-26,41.53,42.00,41.48,41.57,2228700,41.41
2013-04-25,41.72,41.92,41.59,41.64,2066600,41.48
2013-04-24,41.98,42.06,41.39,41.43,1729800,41.27
2013-04-23,41.51,41.94,41.49,41.87,1744400,41.71
2013-04-22,41.38,41.56,41.03,41.33,1456000,41.17
2013-04-19,40.91,41.43,40.71,41.34,1267800,41.18
2013-04-18,41.24,41.39,40.55,40.81,1993900,40.65
2013-04-17,41.42,41.56,40.83,41.13,1635200,40.97
2013-04-16,41.20,41.75,41.12,41.75,2480000,41.59
2013-04-15,42.20,42.24,40.55,40.71,4070100,40.55
2013-04-12,42.07,42.59,41.98,42.59,1123100,42.42
2013-04-11,42.19,42.37,42.08,42.21,1702600,42.04
2013-04-10,41.73,42.15,41.58,41.99,1877000,41.83
2013-04-09,41.55,41.87,41.39,41.60,1744900,41.44
2013-04-08,40.55,41.30,40.50,41.30,944100,41.14
2013-04-05,40.59,40.69,40.20,40.66,1775100,40.50
2013-04-04,40.98,41.33,40.88,41.30,1549400,41.14
2013-04-03,41.52,41.66,40.85,41.00,2291500,40.84
2013-04-02,41.86,41.92,41.31,41.46,1691500,41.30
2013-04-01,42.12,42.25,41.60,41.63,1777700,41.47
