Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,20.71,21.01,20.59,20.75,3428400,20.75
2013-07-11,20.38,21.25,20.35,20.79,7427300,20.79
2013-07-10,20.01,20.08,19.71,19.90,3125000,19.90
2013-07-09,19.54,20.16,19.52,20.00,3442000,20.00
2013-07-08,19.92,20.01,19.28,19.31,3745400,19.31
2013-07-05,20.14,20.15,19.30,19.79,2966800,19.79
2013-07-03,19.65,20.13,19.59,19.96,2180500,19.96
2013-07-02,20.11,20.22,19.72,19.76,3840300,19.76
2013-07-01,19.61,20.24,19.59,20.20,4238300,20.13
2013-06-28,19.89,19.92,19.48,19.49,4611300,19.42
2013-06-27,19.46,20.08,19.23,20.02,5198000,19.95
2013-06-26,19.28,19.61,19.13,19.22,3015800,19.15
2013-06-25,19.23,19.47,18.71,19.06,6074300,18.99
2013-06-24,18.71,19.23,18.43,18.93,6813100,18.86
2013-06-21,19.82,19.82,18.43,19.06,10570000,18.99
2013-06-20,20.60,20.64,19.51,19.62,6253500,19.55
2013-06-19,21.48,21.60,20.89,20.90,3946900,20.82
2013-06-18,21.08,21.60,20.99,21.55,3599300,21.47
2013-06-17,20.99,21.31,20.82,21.05,5078300,20.97
2013-06-14,20.95,21.35,20.64,20.79,4719000,20.71
2013-06-13,19.79,20.97,19.79,20.94,5504700,20.86
2013-06-12,19.77,20.21,19.53,19.88,6903100,19.81
2013-06-11,19.73,20.13,19.50,19.55,4095600,19.48
2013-06-10,20.35,20.49,19.62,20.08,4619900,20.01
2013-06-07,20.26,20.74,19.90,20.21,4307100,20.13
2013-06-06,20.09,20.20,19.49,20.16,5418000,20.09
2013-06-05,20.11,20.19,19.59,19.71,5297400,19.64
2013-06-04,20.79,21.21,19.94,20.02,6640900,19.95
2013-06-03,21.13,21.16,20.14,20.74,7007100,20.66
2013-05-31,21.26,21.65,21.01,21.02,3926900,20.94
2013-05-30,21.36,21.61,21.09,21.34,5282500,21.26
2013-05-29,21.95,21.97,21.30,21.33,4629700,21.25
2013-05-28,22.52,22.66,21.93,22.08,3371900,22.00
2013-05-24,21.95,22.15,21.54,22.14,2640400,22.06
2013-05-23,21.52,22.32,21.26,22.17,5056400,22.09
2013-05-22,22.18,22.64,21.59,21.85,7834600,21.77
2013-05-21,22.38,22.68,21.95,22.05,7254200,21.97
2013-05-20,22.70,22.83,22.14,22.23,4111900,22.15
2013-05-17,22.40,22.81,22.34,22.74,3220200,22.66
2013-05-16,22.47,22.65,21.90,22.21,3924600,22.13
2013-05-15,22.01,22.66,21.95,22.60,5080000,22.52
2013-05-14,21.38,22.23,21.31,22.17,4357200,22.09
2013-05-13,21.59,21.80,21.33,21.43,2544200,21.35
2013-05-10,21.21,21.57,21.01,21.56,3858600,21.48
2013-05-09,21.36,21.77,21.09,21.13,6683400,21.05
2013-05-08,21.59,21.59,21.27,21.40,3767900,21.32
2013-05-07,21.68,21.74,21.23,21.58,5405800,21.50
2013-05-06,21.61,21.75,21.42,21.59,5294600,21.51
2013-05-03,21.27,22.10,21.27,21.60,7421900,21.52
2013-05-02,20.12,21.10,20.12,20.96,6162300,20.88
2013-05-01,19.43,20.29,19.43,20.11,8326000,20.04
2013-04-30,20.15,20.44,19.20,19.44,12613800,19.37
2013-04-29,20.71,20.92,20.41,20.42,7679300,20.34
2013-04-26,20.31,20.69,20.17,20.62,5175500,20.54
2013-04-25,20.41,20.59,20.29,20.35,4193700,20.27
2013-04-24,20.12,20.47,19.96,20.31,4098900,20.23
2013-04-23,19.41,20.04,19.41,20.03,5113700,19.96
2013-04-22,19.32,19.34,18.86,19.21,3001100,19.14
2013-04-19,18.87,19.40,18.79,19.27,3258600,19.20
2013-04-18,19.09,19.12,18.60,18.79,4147800,18.72
2013-04-17,19.10,19.10,18.51,19.00,4942000,18.93
2013-04-16,18.96,19.39,18.80,19.33,5055700,19.26
2013-04-15,19.94,19.96,18.57,18.65,7201400,18.58
2013-04-12,20.10,20.29,19.84,20.11,3230200,20.04
2013-04-11,19.85,20.25,19.81,20.16,4157600,20.09
2013-04-10,19.61,19.85,19.49,19.83,3370100,19.76
2013-04-09,19.66,19.77,19.43,19.59,3810900,19.52
2013-04-08,19.27,19.64,19.11,19.60,4412200,19.53
2013-04-05,18.91,19.35,18.46,19.28,4466900,19.21
2013-04-04,19.23,19.59,19.01,19.23,5569600,19.16
2013-04-03,19.57,19.75,18.96,19.20,4535500,19.13
2013-04-02,19.95,20.09,19.51,19.64,2714000,19.49
2013-04-01,20.27,20.29,19.76,19.89,2668900,19.74
2013-03-28,20.52,20.55,20.13,20.25,3619800,20.10
2013-03-27,20.46,20.54,20.16,20.50,2483100,20.35
2013-03-26,20.63,20.82,20.34,20.64,3701300,20.48
2013-03-25,20.68,20.94,20.36,20.55,3292700,20.40
2013-03-22,20.59,20.69,20.39,20.60,2845000,20.45
2013-03-21,20.78,20.85,20.09,20.54,6763300,20.39
2013-03-20,20.54,21.07,20.54,20.94,4622400,20.78
2013-03-19,20.36,20.62,20.11,20.41,4061100,20.26
2013-03-18,19.71,20.44,19.62,20.22,4653000,20.07
2013-03-15,20.24,20.39,19.93,19.96,5610500,19.81
2013-03-14,20.24,20.55,20.22,20.27,4599100,20.12
2013-03-13,19.60,20.23,19.51,20.19,4992900,20.04
2013-03-12,19.85,19.89,19.39,19.56,3897300,19.41
2013-03-11,20.21,20.26,19.82,19.85,5070700,19.70
2013-03-08,20.16,20.28,19.88,19.94,4083300,19.79
2013-03-07,19.97,20.24,19.74,19.96,4740800,19.81
2013-03-06,20.14,20.24,19.71,19.89,3775700,19.74
2013-03-05,19.66,20.18,19.61,20.02,4858300,19.87
2013-03-04,19.10,19.51,19.04,19.51,3257700,19.36
2013-03-01,19.12,19.37,18.82,19.22,4111700,19.08
2013-02-28,19.20,19.49,19.10,19.26,2949000,19.12
2013-02-27,18.74,19.32,18.73,19.20,4055900,19.06
2013-02-26,18.19,18.81,17.98,18.72,6841100,18.58
2013-02-25,19.03,19.18,17.98,18.01,5849600,17.87
2013-02-22,18.76,19.03,18.75,18.92,3710700,18.78
2013-02-21,18.63,18.76,18.41,18.64,7450500,18.50
2013-02-20,19.88,19.89,18.64,18.73,8109800,18.59
2013-02-19,20.04,20.13,19.75,19.98,6404800,19.83
2013-02-15,20.22,20.25,19.94,20.00,4603100,19.85
2013-02-14,20.45,20.45,20.08,20.11,5631400,19.96
2013-02-13,20.10,20.70,20.08,20.36,8811300,20.21
2013-02-12,19.30,20.44,19.04,20.01,23556500,19.86
2013-02-11,17.79,17.95,17.66,17.79,4466300,17.66
2013-02-08,17.88,17.94,17.66,17.79,2785400,17.66
2013-02-07,18.26,18.27,17.78,17.86,4050500,17.73
2013-02-06,18.24,18.38,18.17,18.28,3336800,18.14
2013-02-05,18.42,18.43,18.20,18.37,2942500,18.23
2013-02-04,18.36,18.55,18.16,18.27,4084800,18.13
2013-02-01,18.63,18.82,18.45,18.55,4424400,18.41
2013-01-31,18.11,18.42,17.91,18.39,4313000,18.25
2013-01-30,18.32,18.64,18.16,18.22,3932000,18.08
2013-01-29,18.12,18.34,18.08,18.28,2818600,18.14
2013-01-28,18.39,18.49,18.00,18.13,4372700,17.99
2013-01-25,17.81,18.41,17.75,18.36,6697400,18.22
2013-01-24,17.61,17.85,17.59,17.73,3458600,17.60
