Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,46.83,47.19,46.72,47.08,2456100,47.08
2013-07-11,47.10,47.11,46.35,46.69,2184100,46.69
2013-07-10,46.41,46.56,46.08,46.52,1906900,46.52
2013-07-09,46.47,46.97,46.34,46.38,1904200,46.38
2013-07-08,45.97,46.25,45.81,46.02,1786000,46.02
2013-07-05,45.10,45.81,44.99,45.69,1390300,45.69
2013-07-03,44.94,45.23,44.89,44.93,1063600,44.93
2013-07-02,45.58,45.71,44.99,45.04,2250400,45.04
2013-07-01,45.46,45.80,45.33,45.65,1500100,45.65
2013-06-28,44.78,45.59,44.74,45.31,3130000,45.31
2013-06-27,44.65,45.17,44.65,44.97,1145500,44.97
2013-06-26,44.75,44.91,44.21,44.44,1414300,44.44
2013-06-25,44.35,44.45,43.83,44.36,1114700,44.36
2013-06-24,43.97,44.17,43.78,43.92,2452900,43.92
2013-06-21,44.32,44.52,43.83,44.12,3819300,44.12
2013-06-20,44.84,45.00,43.98,44.02,2000200,44.02
2013-06-19,45.15,45.79,45.05,45.21,2111800,45.21
2013-06-18,44.47,45.09,44.42,45.05,1307200,45.05
2013-06-17,44.83,45.08,44.20,44.46,2307900,44.46
2013-06-14,44.95,45.23,44.68,44.71,1289600,44.71
2013-06-13,43.90,44.97,43.90,44.89,1370600,44.89
2013-06-12,44.91,44.93,43.94,43.97,1703000,43.97
2013-06-11,44.46,45.00,44.22,44.73,1871800,44.73
2013-06-10,44.81,45.44,44.74,44.93,1591600,44.93
2013-06-07,44.78,45.21,44.50,45.18,1922700,45.18
2013-06-06,44.13,44.32,43.85,44.32,1958400,44.32
2013-06-05,44.80,44.87,43.93,43.99,1762100,43.99
2013-06-04,44.92,45.15,44.49,44.81,1662300,44.81
2013-06-03,44.70,45.12,44.46,44.94,2542000,44.94
2013-05-31,44.84,45.35,44.74,44.75,2282100,44.75
2013-05-30,44.95,45.71,44.80,45.01,1663300,45.01
2013-05-29,45.65,45.65,44.84,44.85,2248400,44.85
2013-05-28,45.93,46.55,45.65,45.73,1128000,45.73
2013-05-24,45.10,45.78,44.97,45.63,1315600,45.63
2013-05-23,45.55,45.66,45.21,45.35,2039900,45.35
2013-05-22,46.48,47.08,45.73,45.87,1734300,45.87
2013-05-21,46.09,46.79,45.78,46.65,1605200,46.65
2013-05-20,46.68,46.82,46.09,46.17,1791400,45.81
2013-05-17,46.59,46.80,46.20,46.79,1614500,46.43
2013-05-16,46.56,46.88,46.09,46.19,1101200,45.83
2013-05-15,46.50,46.86,46.33,46.65,1816200,46.29
2013-05-14,46.11,48.48,46.03,46.58,1465100,46.22
2013-05-13,46.02,46.30,45.93,46.17,1027100,45.81
2013-05-10,45.90,46.32,45.87,45.98,1347900,45.62
2013-05-09,46.44,46.54,45.94,46.08,1586200,45.72
2013-05-08,46.00,46.42,45.89,46.26,1456600,45.90
2013-05-07,45.57,46.10,45.50,45.89,1698200,45.53
2013-05-06,45.28,45.54,44.95,45.52,1312900,45.17
2013-05-03,45.11,45.54,44.90,45.35,1760000,45.00
2013-05-02,45.68,45.68,44.66,44.79,1612800,44.44
2013-05-01,45.70,45.71,44.87,44.93,1817800,44.58
2013-04-30,44.74,45.72,44.55,45.66,3189900,45.30
2013-04-29,44.66,44.94,44.44,44.81,1636400,44.46
2013-04-26,44.91,44.97,44.56,44.65,1955600,44.30
2013-04-25,44.35,44.98,44.22,44.82,2938400,44.47
2013-04-24,44.44,44.50,44.15,44.24,1844500,43.90
2013-04-23,44.37,44.44,43.57,44.21,2917000,43.87
2013-04-22,44.12,44.40,43.83,44.07,2236800,43.73
2013-04-19,43.92,44.06,43.59,44.01,3021700,43.67
2013-04-18,43.75,44.25,43.13,43.98,4138700,43.64
2013-04-17,44.91,45.37,43.69,43.78,6434300,43.44
2013-04-16,43.12,43.25,42.80,42.98,4536400,42.64
2013-04-15,43.92,44.23,43.00,43.02,2210900,42.68
2013-04-12,44.21,44.29,43.95,44.02,1891100,43.68
2013-04-11,44.19,44.42,44.03,44.22,1850300,43.88
2013-04-10,43.52,44.07,43.40,44.06,1896400,43.72
2013-04-09,42.88,43.42,42.68,43.26,2099600,42.92
2013-04-08,42.61,42.91,42.46,42.91,1950800,42.58
2013-04-05,42.21,42.69,41.91,42.64,2991600,42.31
2013-04-04,42.93,43.45,42.80,43.28,2347600,42.94
2013-04-03,44.05,44.08,42.96,42.99,2733400,42.65
2013-04-02,43.81,44.25,43.65,44.02,1964400,43.68
2013-04-01,43.73,43.94,43.50,43.55,2065800,43.21
2013-03-28,43.51,43.93,43.35,43.77,3412700,43.43
2013-03-27,43.16,43.54,43.12,43.35,1821600,43.01
2013-03-26,43.75,43.77,43.44,43.56,1682600,43.22
2013-03-25,43.92,43.99,43.08,43.51,3379300,43.17
2013-03-22,42.78,43.24,42.38,43.24,2452700,42.90
2013-03-21,42.20,42.64,42.20,42.58,2255200,42.25
2013-03-20,42.25,42.49,42.08,42.30,2488000,41.97
2013-03-19,41.83,42.07,41.52,41.81,1617200,41.48
2013-03-18,41.73,42.10,41.62,41.79,1476200,41.46
2013-03-15,42.01,42.34,42.01,42.14,2611400,41.81
2013-03-14,42.06,42.33,42.01,42.30,2194800,41.97
2013-03-13,41.71,42.02,41.42,41.92,2354900,41.59
2013-03-12,41.71,41.78,41.45,41.61,2430900,41.29
2013-03-11,41.26,41.67,41.26,41.67,1850200,41.35
2013-03-08,41.46,41.64,41.02,41.43,1749000,41.11
2013-03-07,41.16,41.48,41.00,41.26,2554200,40.94
2013-03-06,41.22,41.43,40.89,40.94,2079600,40.62
2013-03-05,40.93,41.29,40.77,41.17,1825700,40.85
2013-03-04,40.38,40.71,40.34,40.60,2461600,40.28
2013-03-01,40.59,40.73,40.18,40.50,2663700,40.18
2013-02-28,40.74,41.11,40.67,40.75,2420200,40.43
2013-02-27,40.13,40.94,40.08,40.82,2411400,40.50
2013-02-26,40.08,40.35,39.87,40.20,1664800,39.89
2013-02-25,40.90,41.01,39.95,39.96,1844000,39.65
2013-02-22,40.66,41.00,40.29,40.52,2036000,40.20
2013-02-21,40.85,40.87,40.33,40.42,2315300,40.10
2013-02-20,40.87,41.13,40.69,40.77,2389800,40.45
2013-02-19,41.00,41.29,40.67,41.20,3580400,40.52
2013-02-15,41.11,41.31,40.78,40.85,3206900,40.18
2013-02-14,41.08,41.19,40.78,41.15,2903100,40.47
2013-02-13,40.81,41.10,40.62,40.99,2489200,40.32
2013-02-12,40.31,40.69,40.29,40.67,2914900,40.00
2013-02-11,40.26,40.47,40.08,40.27,2598900,39.61
2013-02-08,39.59,40.40,39.59,40.32,3665600,39.66
2013-02-07,39.76,39.80,39.18,39.67,3456700,39.02
2013-02-06,39.16,39.65,39.00,39.51,3048400,38.86
2013-02-05,39.00,39.41,38.86,39.37,3651600,38.72
2013-02-04,38.22,38.94,38.12,38.78,4216100,38.14
2013-02-01,37.01,38.55,36.75,38.26,7448100,37.63
2013-01-31,36.90,37.80,36.90,37.63,6104600,37.01
2013-01-30,37.19,37.39,37.04,37.11,2119700,36.50
2013-01-29,37.00,37.37,36.90,37.26,3222900,36.65
2013-01-28,37.23,37.30,36.84,36.95,2633400,36.34
