Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,38.94,39.54,38.82,39.44,1843100,39.44
2013-07-11,38.55,39.04,38.31,38.92,1890900,38.92
2013-07-10,37.66,38.04,37.62,38.03,1651000,38.03
2013-07-09,37.73,37.87,37.51,37.80,1148900,37.80
2013-07-08,38.42,38.47,37.26,37.44,1805500,37.44
2013-07-05,38.07,38.33,37.70,38.23,897300,38.23
2013-07-03,37.33,37.96,37.19,37.80,721600,37.80
2013-07-02,37.24,38.03,37.21,37.45,1418600,37.45
2013-07-01,37.57,37.75,37.18,37.37,1322100,37.37
2013-06-28,36.90,37.54,36.81,37.25,2824400,37.25
2013-06-27,37.15,37.40,36.88,37.09,3069600,37.09
2013-06-26,37.17,37.31,36.62,36.95,1111700,36.95
2013-06-25,36.70,36.91,36.42,36.81,1432200,36.81
2013-06-24,36.52,36.63,36.15,36.30,1516200,36.30
2013-06-21,36.54,36.92,36.38,36.75,2559200,36.75
2013-06-20,36.89,37.05,36.27,36.44,1906800,36.44
2013-06-19,38.01,38.16,37.38,37.41,1339200,37.41
2013-06-18,37.49,38.09,37.49,38.04,1371900,38.04
2013-06-17,37.32,37.82,37.25,37.55,1621200,37.55
2013-06-14,37.22,37.43,36.85,37.04,1276300,37.04
2013-06-13,36.37,37.32,36.16,37.25,1539100,37.25
2013-06-12,37.11,37.11,36.34,36.34,1992200,36.34
2013-06-11,36.48,37.10,36.14,36.77,2660500,36.77
2013-06-10,36.70,37.05,36.62,36.82,1975100,36.82
2013-06-07,36.41,36.73,36.09,36.70,1288800,36.70
2013-06-06,36.56,36.58,35.74,36.21,2106800,36.21
2013-06-05,36.90,37.09,36.41,36.44,1789900,36.44
2013-06-04,38.21,38.35,36.74,37.09,4826100,37.09
2013-06-03,36.50,36.87,36.34,36.84,1685100,36.84
2013-05-31,37.01,37.22,36.48,36.48,1780200,36.48
2013-05-30,36.71,37.37,36.64,37.24,1627600,37.24
2013-05-29,36.72,36.95,36.31,36.59,2028600,36.59
2013-05-28,36.62,36.89,36.29,36.44,1069600,36.44
2013-05-24,36.17,36.38,35.81,36.32,1446500,36.32
2013-05-23,36.14,36.54,35.96,36.34,1974000,36.34
2013-05-22,36.69,37.06,36.14,36.32,2309100,36.32
2013-05-21,36.66,37.01,36.58,36.67,1988200,36.67
2013-05-20,37.01,37.26,36.62,36.68,2020400,36.68
2013-05-17,37.47,37.53,36.81,37.08,2997600,37.08
2013-05-16,37.56,37.94,37.55,37.58,1438000,37.23
2013-05-15,37.30,37.97,37.22,37.63,2249300,37.28
2013-05-14,37.29,37.43,37.03,37.40,1669000,37.05
2013-05-13,37.00,37.38,36.87,37.16,4332800,36.81
2013-05-10,37.13,37.31,36.95,37.21,4623800,36.86
2013-05-09,37.35,37.46,36.99,37.10,4974300,36.75
2013-05-08,37.17,37.57,37.06,37.46,1504600,37.11
2013-05-07,37.38,37.49,36.96,37.16,1949400,36.81
2013-05-06,37.31,37.87,37.30,37.41,2936400,37.06
2013-05-03,37.71,37.91,37.22,37.55,4158000,37.20
2013-05-02,36.09,36.66,36.00,36.61,2325300,36.27
2013-05-01,36.31,36.45,36.03,36.10,1051500,35.76
2013-04-30,35.92,36.42,35.75,36.42,1385300,36.08
2013-04-29,35.65,36.05,35.53,35.96,1082200,35.62
2013-04-26,36.27,36.27,35.55,35.60,1997800,35.27
2013-04-25,35.93,36.34,35.75,36.29,1707000,35.95
2013-04-24,35.50,35.88,35.38,35.75,1097600,35.41
2013-04-23,34.92,35.55,34.84,35.40,1386300,35.07
2013-04-22,34.39,34.93,34.04,34.71,1767000,34.38
2013-04-19,34.09,34.44,33.72,34.34,2148900,34.02
2013-04-18,35.30,35.31,34.16,34.23,2729800,33.91
2013-04-17,35.90,35.90,34.70,34.93,3372900,34.60
2013-04-16,36.00,36.43,35.79,36.30,1343500,35.96
2013-04-15,36.07,36.44,35.79,35.87,1368900,35.53
2013-04-12,36.65,36.65,36.04,36.31,1310700,35.97
2013-04-11,36.57,37.00,36.49,36.70,1529600,36.36
2013-04-10,36.08,36.77,36.02,36.74,2049100,36.39
2013-04-09,35.74,36.20,35.36,35.92,1847000,35.58
2013-04-08,35.47,35.77,35.21,35.70,1397700,35.36
2013-04-05,35.10,35.61,34.64,35.54,1685900,35.21
2013-04-04,35.32,35.74,35.06,35.66,2316500,35.33
2013-04-03,36.12,36.12,35.24,35.37,2599700,35.04
2013-04-02,36.30,36.33,35.89,36.09,1936200,35.75
2013-04-01,36.83,36.85,36.14,36.27,1440600,35.93
2013-03-28,36.49,36.79,36.32,36.77,1575100,36.42
2013-03-27,36.37,36.58,36.23,36.50,1810600,36.16
2013-03-26,36.37,36.83,36.33,36.71,975300,36.37
2013-03-25,36.38,36.46,35.96,36.22,1780400,35.88
2013-03-22,35.97,36.24,35.75,36.20,1004300,35.86
2013-03-21,35.99,36.13,35.67,35.73,1199700,35.39
