Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,61.53,61.68,60.79,61.04,1456900,61.04
2013-07-11,61.25,62.25,60.92,61.34,2107600,61.34
2013-07-10,61.55,61.93,59.73,60.03,2095300,60.03
2013-07-09,61.96,62.18,61.42,61.66,1681500,61.66
2013-07-08,61.08,62.15,61.06,61.26,1224700,61.26
2013-07-05,60.49,60.80,59.85,60.74,942400,60.74
2013-07-03,60.12,60.52,59.69,60.04,656900,60.04
2013-07-02,61.02,61.93,60.29,60.45,1058400,60.45
2013-07-01,61.17,62.65,61.17,61.30,2147200,61.30
2013-06-28,60.69,61.47,60.57,60.93,2563800,60.93
2013-06-27,59.30,61.01,58.82,60.83,1672200,60.83
2013-06-26,58.94,59.30,58.56,58.82,1090500,58.82
2013-06-25,58.53,59.50,58.11,58.43,1233100,58.43
2013-06-24,58.08,58.21,56.75,57.64,1409500,57.64
2013-06-21,59.26,59.49,57.96,58.88,1747300,58.88
2013-06-20,60.36,60.84,58.66,58.80,1990300,58.80
2013-06-19,62.52,62.80,60.97,61.01,1349400,61.01
2013-06-18,62.32,62.82,62.01,62.61,978600,62.61
2013-06-17,62.82,62.93,62.00,62.19,1473300,62.19
2013-06-14,62.73,63.00,61.89,62.20,1045700,62.20
2013-06-13,61.04,63.08,60.51,62.86,1638000,62.86
2013-06-12,64.21,64.29,60.44,61.04,2916900,61.04
2013-06-11,64.28,64.48,63.51,63.52,1505800,63.52
2013-06-10,65.26,65.61,64.60,65.00,1396100,65.00
2013-06-07,65.43,65.83,64.82,65.74,998500,65.74
2013-06-06,63.80,65.03,63.37,64.96,1441600,64.96
2013-06-05,65.01,65.09,63.27,63.62,1764700,63.62
2013-06-04,65.83,66.05,65.06,65.27,1246700,65.27
2013-06-03,66.56,66.92,65.21,65.83,1535200,65.83
2013-05-31,67.30,67.89,66.44,66.44,1224700,66.44
2013-05-30,67.08,68.06,66.79,67.60,941500,67.60
2013-05-29,67.15,67.65,66.50,67.21,957800,67.21
2013-05-28,68.11,68.68,67.13,67.63,1103000,67.63
2013-05-24,66.19,67.50,65.70,67.25,1322300,67.25
2013-05-23,66.16,67.19,65.80,66.57,1296200,66.57
2013-05-22,68.53,69.70,66.43,66.98,1956300,66.98
2013-05-21,67.87,69.18,67.84,68.62,1296600,68.62
2013-05-20,67.91,68.46,67.74,67.95,1194500,67.95
2013-05-17,66.72,68.01,66.72,67.91,1649000,67.91
2013-05-16,67.16,67.60,66.72,66.81,988600,66.81
2013-05-15,66.36,68.13,66.24,67.37,1683900,67.17
2013-05-14,65.19,66.70,65.19,66.68,1379000,66.48
2013-05-13,65.18,65.63,64.21,65.10,1675500,64.91
2013-05-10,64.18,65.40,64.18,65.40,1375100,65.21
2013-05-09,63.84,64.36,63.84,64.17,1947300,63.98
2013-05-08,63.90,65.26,63.04,63.84,2279000,63.65
2013-05-07,63.50,64.22,63.28,64.12,1572400,63.93
2013-05-06,62.49,63.77,62.19,63.50,3017500,63.31
2013-05-03,61.33,62.97,58.09,62.75,3729000,62.56
2013-05-02,60.47,61.06,60.15,60.55,4352400,60.37
2013-05-01,60.25,61.19,60.09,60.80,2372600,60.62
2013-04-30,59.83,61.50,59.50,60.85,3603000,60.67
2013-04-29,57.55,61.26,57.52,59.69,6036800,59.51
2013-04-26,55.14,55.36,54.77,55.12,1014900,54.96
2013-04-25,54.41,55.30,54.36,55.05,1120600,54.89
2013-04-24,55.16,55.56,54.22,54.30,2070200,54.14
2013-04-23,55.00,55.24,54.53,55.07,984900,54.91
2013-04-22,54.97,54.98,54.20,54.83,591200,54.67
2013-04-19,54.50,54.90,54.01,54.84,1061100,54.68
2013-04-18,54.72,54.98,53.87,54.23,1203100,54.07
2013-04-17,54.28,54.88,53.90,54.64,1407800,54.48
2013-04-16,53.85,54.67,53.69,54.63,1002500,54.47
2013-04-15,54.24,54.43,53.46,53.46,1471300,53.30
2013-04-12,54.13,54.70,53.77,54.40,772800,54.24
2013-04-11,54.06,54.89,53.23,54.36,1197900,54.20
2013-04-10,52.90,54.79,52.70,54.17,1741500,54.01
2013-04-09,53.19,53.19,52.28,52.91,784100,52.75
2013-04-08,52.44,53.01,51.87,52.99,1086600,52.83
2013-04-05,51.96,52.48,51.31,52.40,1140000,52.24
2013-04-04,52.16,53.30,52.00,52.80,983300,52.64
2013-04-03,53.00,53.34,51.78,52.23,1945400,52.07
