Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,30.16,30.42,30.03,30.36,8961800,30.36
2013-07-11,29.60,30.20,29.45,30.17,8894500,30.17
2013-07-10,29.03,29.22,28.90,29.15,7964200,29.15
2013-07-09,29.04,29.17,28.74,29.04,9269000,29.04
2013-07-08,28.95,29.05,28.69,28.75,9245600,28.75
2013-07-05,28.90,28.99,28.50,28.78,6723600,28.78
2013-07-03,28.58,28.79,28.54,28.58,4534100,28.58
2013-07-02,28.80,29.17,28.69,28.78,6864000,28.78
2013-07-01,28.79,29.45,28.71,29.05,9324400,29.05
2013-06-28,28.89,29.20,28.53,28.53,12446300,28.53
2013-06-27,29.06,29.33,28.89,29.15,7100200,29.15
2013-06-26,28.82,29.04,28.68,28.85,8515100,28.72
2013-06-25,28.88,28.97,28.53,28.62,8635500,28.49
2013-06-24,28.59,28.86,28.43,28.64,9793400,28.51
2013-06-21,28.62,29.01,28.22,28.85,19734200,28.72
2013-06-20,29.21,29.44,28.24,28.34,15787400,28.21
2013-06-19,30.41,30.57,29.53,29.53,8724600,29.40
2013-06-18,30.33,30.61,30.24,30.50,6105900,30.36
2013-06-17,29.91,30.64,29.91,30.34,11431800,30.20
2013-06-14,29.82,30.23,29.62,29.81,8726500,29.68
2013-06-13,29.48,30.00,29.19,29.97,7881100,29.83
2013-06-12,30.00,30.05,29.46,29.53,8441000,29.40
2013-06-11,29.94,29.97,29.21,29.80,11656600,29.67
2013-06-10,29.84,30.18,29.46,29.58,10261800,29.45
2013-06-07,29.54,29.96,29.31,29.86,8802400,29.73
2013-06-06,29.51,29.58,29.08,29.29,10668300,29.16
2013-06-05,29.45,29.59,29.33,29.47,7614100,29.34
2013-06-04,29.92,30.06,29.36,29.57,9680000,29.44
2013-06-03,29.47,29.75,29.21,29.74,8879200,29.61
2013-05-31,29.39,29.84,29.21,29.48,18751500,29.35
2013-05-30,30.05,30.17,29.58,29.60,17736000,29.47
2013-05-29,31.08,31.21,30.27,30.28,14112200,30.14
2013-05-28,31.23,31.92,31.11,31.28,10189800,31.14
2013-05-24,31.00,31.33,30.76,30.95,10606700,30.81
2013-05-23,31.43,31.76,30.98,31.23,14956500,31.09
2013-05-22,30.94,31.99,30.90,31.77,18373100,31.63
2013-05-21,30.92,31.01,30.59,31.01,7138100,30.87
2013-05-20,31.49,31.51,30.74,30.80,10092700,30.66
2013-05-17,31.41,31.62,31.15,31.50,11930700,31.36
2013-05-16,31.40,31.68,31.20,31.46,11020400,31.32
2013-05-15,31.20,31.53,31.11,31.50,6828800,31.36
2013-05-14,30.84,31.27,30.83,31.18,13649400,31.04
2013-05-13,30.52,30.91,30.45,30.83,11166700,30.69
2013-05-10,30.73,30.78,30.43,30.63,14250200,30.49
2013-05-09,30.96,31.05,30.53,30.58,10968900,30.44
2013-05-08,31.16,31.50,30.64,30.92,22959000,30.78
2013-05-07,31.06,31.43,31.04,31.41,7524200,31.27
2013-05-06,31.64,31.80,31.11,31.15,9768400,31.01
2013-05-03,31.68,31.83,31.51,31.73,8364300,31.59
2013-05-02,31.46,31.74,31.31,31.42,7464300,31.28
2013-05-01,31.30,31.69,31.30,31.46,11243800,31.32
2013-04-30,31.51,31.69,31.30,31.45,10107900,31.31
2013-04-29,31.52,31.66,31.35,31.62,7146200,31.48
2013-04-26,31.78,31.80,31.44,31.56,9889900,31.42
2013-04-25,31.66,31.83,31.48,31.68,10815500,31.54
2013-04-24,32.03,32.10,31.42,31.46,10562800,31.32
