Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,57.38,57.76,57.20,57.44,1194500,57.44
2013-07-11,56.46,57.61,56.32,57.56,1402000,57.56
2013-07-10,55.44,55.97,55.33,55.89,961700,55.89
2013-07-09,55.74,56.11,55.32,55.51,1510900,55.51
2013-07-08,55.18,56.16,55.01,55.69,1083900,55.69
2013-07-05,54.58,54.97,54.40,54.87,649700,54.87
2013-07-03,53.87,54.37,53.70,54.28,286400,54.28
2013-07-02,54.11,54.99,53.80,53.99,967200,53.99
2013-07-01,53.56,54.88,53.45,54.06,1444300,54.06
2013-06-28,53.24,53.65,52.86,53.19,2661200,53.19
2013-06-27,53.68,53.69,52.91,53.27,1723500,53.27
2013-06-26,53.22,53.59,53.06,53.15,1270000,53.15
2013-06-25,53.98,53.98,52.77,53.04,1554000,53.04
2013-06-24,53.57,54.12,52.68,53.20,1623500,53.20
2013-06-21,54.50,54.95,53.05,54.41,3723500,54.41
2013-06-20,54.87,55.84,53.01,54.57,2180100,54.57
2013-06-19,56.16,56.55,55.51,55.51,1350900,55.51
2013-06-18,54.96,56.11,54.88,56.08,1173000,56.08
2013-06-17,54.95,55.15,54.49,55.05,1337000,55.05
2013-06-14,55.06,55.27,54.54,54.73,825800,54.73
2013-06-13,54.37,55.13,54.16,55.07,1295300,55.07
2013-06-12,54.69,55.14,54.38,54.54,1554900,54.54
2013-06-11,55.71,55.71,54.16,54.45,1950100,54.45
2013-06-10,54.79,55.08,54.41,54.82,931900,54.82
2013-06-07,54.38,54.85,54.00,54.74,2031300,54.74
2013-06-06,53.68,54.37,53.55,54.07,2255700,54.07
2013-06-05,54.34,54.51,53.36,53.80,1883300,53.80
2013-06-04,54.67,55.04,54.38,54.62,1082500,54.62
2013-06-03,54.60,55.00,54.41,55.00,1363000,55.00
2013-05-31,54.99,55.27,54.55,54.55,1749700,54.55
2013-05-30,54.32,55.39,54.14,55.21,1560200,55.21
2013-05-29,54.04,54.46,53.76,54.09,732600,54.09
2013-05-28,54.16,55.33,54.05,54.40,1251400,54.40
2013-05-24,53.29,53.85,52.91,53.45,1389900,53.45
2013-05-23,54.53,54.70,53.85,54.03,1300800,53.75
2013-05-22,55.45,55.94,54.47,54.70,1105300,54.42
2013-05-21,55.08,55.83,55.03,55.57,1771500,55.28
2013-05-20,55.47,55.65,54.88,54.99,1434200,54.71
2013-05-17,55.33,55.86,55.33,55.70,1314400,55.41
2013-05-16,55.55,55.95,55.40,55.50,1134900,55.21
2013-05-15,55.35,56.07,55.29,55.92,861400,55.63
2013-05-14,55.42,56.00,55.11,55.60,846000,55.31
2013-05-13,55.54,55.71,55.05,55.18,1263700,54.89
2013-05-10,54.75,55.69,54.75,55.69,1087500,55.40
2013-05-09,54.79,55.16,54.59,54.74,1300000,54.46
2013-05-08,54.52,55.00,54.10,54.99,1000000,54.71
2013-05-07,54.44,54.67,54.15,54.61,1435100,54.33
2013-05-06,54.50,54.63,54.18,54.28,958700,54.00
2013-05-03,54.13,54.68,53.76,54.43,1502900,54.15
2013-05-02,54.21,54.23,53.59,53.85,1354200,53.57
2013-05-01,54.08,54.30,53.68,54.01,1576400,53.73
2013-04-30,54.53,54.92,53.56,54.11,3351300,53.83
2013-04-29,54.00,55.00,53.28,53.45,4966100,53.17
2013-04-26,51.61,52.00,51.56,52.00,1578400,51.73
2013-04-25,51.20,52.01,50.98,51.55,1909700,51.28
2013-04-24,51.97,52.25,51.77,51.81,995200,51.54
2013-04-23,52.14,52.25,51.40,51.93,1254400,51.66
2013-04-22,51.81,52.06,51.60,52.00,939600,51.73
2013-04-19,51.67,51.87,51.20,51.85,2019700,51.58
2013-04-18,51.83,51.88,51.07,51.48,1619100,51.21
2013-04-17,51.88,52.15,51.54,51.81,2651700,51.54
2013-04-16,51.38,52.06,51.09,52.01,2153800,51.74
2013-04-15,51.45,51.80,51.15,51.23,2316400,50.96
2013-04-12,51.75,51.88,51.31,51.80,2663900,51.53
2013-04-11,51.99,52.08,51.62,51.82,2111900,51.55
2013-04-10,51.45,52.21,51.42,51.93,1764100,51.66
2013-04-09,52.00,52.00,51.11,51.42,1218700,51.15
2013-04-08,51.49,51.93,51.11,51.93,1272800,51.66
2013-04-05,50.69,51.77,50.51,51.54,1583700,51.27
2013-04-04,51.12,52.03,51.02,51.37,1535700,51.10
2013-04-03,51.85,52.11,51.18,51.27,2190800,51.00
2013-04-02,51.63,52.09,51.45,51.82,1864600,51.55
2013-04-01,51.87,52.27,51.30,51.55,2287500,51.28
2013-03-28,50.51,52.38,50.33,52.08,3289000,51.81
2013-03-27,49.93,50.60,48.93,50.46,2402900,50.20
2013-03-26,50.26,50.53,49.78,50.34,2517100,50.08
2013-03-25,49.01,50.18,49.01,50.03,3543400,49.77
2013-03-22,48.70,49.10,48.19,48.37,1271000,48.12
2013-03-21,48.23,48.91,48.14,48.59,1342700,48.34
2013-03-20,47.99,48.73,47.99,48.53,1243400,48.28
2013-03-19,48.60,48.70,47.56,47.79,1318800,47.54
2013-03-18,48.33,48.52,48.00,48.39,1586500,48.14
2013-03-15,48.71,49.17,48.64,48.90,2377900,48.65
2013-03-14,49.43,49.68,48.62,48.87,1750900,48.62
2013-03-13,48.32,49.46,48.02,49.35,3243300,49.09
2013-03-12,48.46,48.68,47.70,48.45,2537800,48.20
2013-03-11,47.71,49.50,47.52,48.59,4403100,48.34
2013-03-08,47.91,48.08,47.37,47.56,2394800,47.31
2013-03-07,47.89,48.44,47.62,47.73,1601200,47.48
2013-03-06,48.18,48.57,47.60,47.93,2639700,47.68
2013-03-05,47.19,48.44,46.56,48.19,2982300,47.94
2013-03-04,47.35,47.38,46.99,47.14,1888000,46.90
2013-03-01,46.53,47.47,46.38,47.26,1942500,47.02
2013-02-28,46.51,46.95,46.19,46.55,2852300,46.31
2013-02-27,45.85,46.78,45.79,46.72,1951900,46.48
2013-02-26,45.70,46.01,44.93,45.87,2595400,45.63
2013-02-25,46.08,46.73,45.55,45.55,2801300,45.31
2013-02-22,45.84,46.11,45.67,46.04,2355800,45.80
2013-02-21,45.61,46.20,45.20,45.85,3500700,45.33
2013-02-20,45.25,46.12,45.05,45.90,4387900,45.38
2013-02-19,44.85,46.06,44.75,46.02,5091900,45.50
2013-02-15,44.82,45.30,44.20,44.95,4421800,44.44
2013-02-14,44.14,45.00,44.07,44.86,5003200,44.35
2013-02-13,44.19,44.50,43.91,44.33,5094300,43.83
2013-02-12,43.67,45.16,43.63,44.03,6460300,43.53
2013-02-11,42.79,44.69,42.52,44.28,9587100,43.78
