Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,73.74,74.34,73.16,74.27,1806700,74.27
2013-07-11,73.46,75.00,72.84,74.13,3210300,74.13
2013-07-10,70.41,73.44,69.74,72.95,5033300,72.95
2013-07-09,70.05,70.36,68.71,70.25,3065800,70.25
2013-07-08,69.21,70.39,69.21,69.96,5870400,69.96
2013-07-05,68.94,69.53,68.28,69.33,4776000,69.33
2013-07-03,72.30,72.77,66.80,68.85,13363700,68.85
2013-07-02,78.00,78.00,74.59,74.90,4198200,74.90
2013-07-01,79.62,80.98,78.99,79.43,979200,79.43
2013-06-28,78.70,79.70,78.18,79.23,1702400,79.23
2013-06-27,79.24,79.74,78.75,78.76,988300,78.76
2013-06-26,77.86,79.04,77.86,78.71,958000,78.71
2013-06-25,77.25,77.81,76.75,77.30,1417500,77.30
2013-06-24,77.52,77.76,76.22,76.94,2006900,76.94
2013-06-21,78.56,79.48,77.54,78.25,1380000,78.25
2013-06-20,79.89,80.01,77.64,78.11,1897400,78.11
2013-06-19,83.09,83.39,80.79,80.83,949100,80.49
2013-06-18,82.78,83.68,82.78,83.24,611900,82.89
2013-06-17,81.77,83.67,81.66,83.01,1019700,82.66
2013-06-14,82.18,82.68,81.03,81.35,605000,81.01
2013-06-13,81.10,82.34,80.58,82.23,852500,81.88
2013-06-12,82.01,82.64,81.24,81.29,886600,80.95
2013-06-11,81.76,82.14,80.74,81.64,745100,81.30
2013-06-10,82.81,82.89,81.13,82.08,1034000,81.73
2013-06-07,80.33,82.85,80.33,82.63,1347100,82.28
2013-06-06,80.05,80.11,78.88,79.78,1133900,79.44
2013-06-05,81.48,81.54,79.75,79.92,1392600,79.58
2013-06-04,82.59,83.06,81.17,81.75,1163800,81.41
2013-06-03,81.05,82.69,80.48,82.62,1005100,82.27
2013-05-31,82.75,83.00,81.06,81.07,1155800,80.73
2013-05-30,84.87,84.87,83.05,83.12,1133000,82.77
2013-05-29,85.93,85.93,84.25,85.02,1624600,84.66
2013-05-28,84.90,86.87,84.82,86.19,2256500,85.83
2013-05-24,83.87,84.75,83.11,84.44,1385700,84.08
2013-05-23,85.36,85.49,82.55,84.37,3463300,84.02
2013-05-22,81.06,86.00,81.00,85.90,4246900,85.54
2013-05-21,79.64,80.90,79.54,80.85,1352400,80.51
2013-05-20,80.47,80.59,79.35,79.50,1453800,79.17
2013-05-17,80.51,80.81,79.93,80.47,886600,80.13
2013-05-16,81.05,81.25,80.33,80.52,1311100,80.18
2013-05-15,80.63,81.36,79.70,81.28,1284800,80.94
2013-05-14,79.22,80.89,79.22,80.66,1433700,80.32
2013-05-13,79.08,80.04,79.08,79.35,1110000,79.02
2013-05-10,78.78,78.99,78.07,78.97,1092600,78.64
2013-05-09,79.61,80.16,78.70,78.92,1033000,78.59
2013-05-08,80.20,80.49,79.54,79.83,951300,79.49
2013-05-07,80.25,80.51,79.88,80.18,850200,79.84
2013-05-06,80.48,80.85,79.91,80.21,1021800,79.87
2013-05-03,80.24,81.35,80.13,80.72,1343600,80.38
2013-05-02,80.84,80.98,79.35,79.80,1408900,79.46
