Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,71.86,71.99,71.45,71.63,514900,71.63
2013-07-11,71.34,72.21,71.13,72.04,828100,72.04
2013-07-10,70.04,70.59,70.00,70.49,585100,70.49
2013-07-09,70.75,70.85,70.12,70.30,438200,70.30
2013-07-08,69.99,70.50,69.71,70.16,510700,70.16
2013-07-05,69.59,69.81,68.81,69.68,389600,69.68
2013-07-03,68.11,69.68,68.11,69.17,612500,69.17
2013-07-02,70.45,70.53,69.69,70.10,787800,69.76
2013-07-01,70.61,70.91,70.25,70.54,742000,70.20
2013-06-28,70.44,70.92,69.66,70.36,791300,70.02
2013-06-27,71.00,71.94,69.60,70.59,1204100,70.25
2013-06-26,71.62,72.35,71.59,72.03,583200,71.68
2013-06-25,71.78,71.78,70.60,71.17,551500,70.82
2013-06-24,70.85,71.83,70.54,71.20,517000,70.85
2013-06-21,70.50,71.53,70.43,71.44,1444800,71.09
2013-06-20,71.59,71.71,69.90,70.00,824800,69.66
2013-06-19,73.48,73.49,72.02,72.02,980700,71.67
2013-06-18,72.71,73.43,72.61,73.36,317300,73.00
2013-06-17,72.60,73.14,72.48,72.80,608000,72.45
2013-06-14,72.17,72.54,71.87,72.25,359500,71.90
2013-06-13,71.51,72.31,71.00,72.13,523800,71.78
2013-06-12,71.47,71.75,71.14,71.37,963200,71.02
2013-06-11,70.62,71.37,70.12,71.00,472400,70.66
2013-06-10,71.00,71.00,70.16,70.78,691200,70.44
2013-06-07,69.84,70.96,69.73,70.92,558300,70.58
2013-06-06,69.00,69.70,68.68,69.70,912500,69.36
2013-06-05,68.93,69.38,68.75,68.84,484800,68.51
2013-06-04,69.25,70.01,69.09,69.47,596300,69.13
2013-06-03,69.04,69.99,68.75,69.50,826200,69.16
2013-05-31,70.51,70.87,69.08,69.08,1113400,68.74
2013-05-30,71.95,72.02,71.15,71.17,767400,70.82
2013-05-29,73.42,73.48,71.78,71.88,899600,71.53
2013-05-28,74.22,74.65,73.54,73.69,452300,73.33
2013-05-24,73.53,74.03,73.17,73.83,405000,73.47
2013-05-23,73.65,73.96,73.30,73.71,507600,73.35
2013-05-22,74.29,75.26,73.86,74.00,382000,73.64
2013-05-21,74.33,74.63,74.08,74.34,359100,73.98
2013-05-20,74.68,74.89,74.28,74.36,512600,74.00
2013-05-17,74.35,74.87,74.19,74.68,777300,74.32
2013-05-16,74.58,74.99,74.44,74.51,463700,74.15
2013-05-15,74.65,74.86,74.46,74.76,702100,74.40
2013-05-14,73.68,74.77,73.68,74.74,473800,74.38
2013-05-13,73.26,73.90,72.94,73.67,499300,73.31
2013-05-10,72.74,73.28,72.67,73.08,349400,72.73
2013-05-09,73.05,73.36,72.63,72.83,621100,72.48
2013-05-08,73.03,73.42,72.56,72.99,385600,72.64
2013-05-07,72.34,73.14,72.26,73.13,349800,72.78
2013-05-06,72.57,72.70,72.10,72.24,340100,71.89
2013-05-03,72.00,72.94,72.00,72.68,575400,72.33
2013-05-02,71.81,72.85,71.81,72.67,408700,72.32
2013-05-01,71.90,72.65,71.72,71.79,422600,71.44
2013-04-30,71.50,72.08,71.26,71.94,456400,71.59
2013-04-29,71.30,71.78,71.10,71.64,363300,71.29
2013-04-26,71.77,72.01,71.12,71.20,433700,70.85
2013-04-25,71.79,72.16,71.60,71.74,477100,71.39
2013-04-24,72.17,72.33,71.53,71.60,692100,71.25
2013-04-23,71.79,72.33,71.25,72.11,545000,71.76
2013-04-22,71.86,71.94,71.27,71.77,680900,71.42
2013-04-19,71.75,72.60,71.69,72.30,899900,71.95
2013-04-18,71.45,71.92,71.34,71.46,546600,71.11
2013-04-17,71.48,71.83,71.04,71.41,755000,71.06
2013-04-16,70.96,72.07,70.80,71.90,978600,71.55
2013-04-15,71.46,71.63,70.54,70.54,651400,70.20
2013-04-12,71.12,71.80,70.94,71.72,571500,71.37
2013-04-11,71.32,71.85,71.10,71.25,511100,70.90
2013-04-10,71.24,71.59,71.20,71.49,1005900,70.80
2013-04-09,70.85,71.27,70.38,70.89,704700,70.21
2013-04-08,71.02,71.20,70.42,71.11,504700,70.43
2013-04-05,71.13,71.20,70.47,70.90,782800,70.22
2013-04-04,71.98,72.39,71.41,71.68,692700,70.99
2013-04-03,72.47,72.73,71.47,71.60,840300,70.91
2013-04-02,72.42,73.70,71.66,72.62,761100,71.92
2013-04-01,73.21,73.21,71.96,72.71,816100,72.01
2013-03-28,72.98,73.69,72.84,73.55,753900,72.85
2013-03-27,72.03,72.73,71.88,72.65,630100,71.95
2013-03-26,71.95,72.57,71.82,72.41,366800,71.72
2013-03-25,72.39,72.45,71.57,71.79,342200,71.10
2013-03-22,71.15,72.25,71.15,72.19,373300,71.50
2013-03-21,71.66,71.79,71.18,71.26,394800,70.58
2013-03-20,71.40,71.73,71.20,71.71,644000,71.02
2013-03-19,70.75,71.08,70.45,71.01,321300,70.33
2013-03-18,70.40,70.87,70.15,70.60,372100,69.92
2013-03-15,70.71,70.97,70.52,70.75,846500,70.07
2013-03-14,70.51,71.11,70.39,71.01,556100,70.33
2013-03-13,70.35,70.69,70.16,70.34,867000,69.67
2013-03-12,69.96,70.43,69.70,70.35,420900,69.68
2013-03-11,70.00,70.40,69.84,70.15,669500,69.48
2013-03-08,70.44,70.44,69.72,70.20,536800,69.53
2013-03-07,69.96,70.44,69.84,70.15,750100,69.48
2013-03-06,70.00,70.07,69.38,69.77,1128100,69.10
2013-03-05,69.37,69.99,68.87,69.90,715600,69.23
2013-03-04,68.25,69.26,68.11,69.22,650800,68.56
2013-03-01,67.15,68.48,66.59,68.39,937500,67.73
