Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,30.18,30.23,29.65,29.91,964400,29.91
2013-07-11,30.37,30.39,29.96,30.17,735900,30.17
2013-07-10,30.00,30.18,29.70,29.93,855100,29.93
2013-07-09,30.01,30.18,29.89,29.98,743900,29.98
2013-07-08,30.04,30.26,29.86,29.93,465400,29.93
2013-07-05,29.54,29.94,29.48,29.92,325400,29.92
2013-07-03,29.50,29.59,29.05,29.38,280700,29.38
2013-07-02,29.64,29.99,29.49,29.68,531800,29.68
2013-07-01,29.52,29.95,29.41,29.76,567600,29.76
2013-06-28,29.03,29.56,28.93,29.34,751200,29.34
2013-06-27,29.16,29.53,29.04,29.17,670200,29.17
2013-06-26,29.26,29.26,28.82,28.95,440100,28.95
2013-06-25,29.06,29.32,28.86,29.23,504500,28.99
2013-06-24,28.81,29.40,28.50,28.78,554900,28.54
2013-06-21,29.28,29.35,28.88,29.08,882100,28.84
2013-06-20,29.47,29.55,29.04,29.09,526500,28.85
2013-06-19,30.19,30.29,29.83,29.84,267700,29.59
2013-06-18,30.02,30.22,29.91,30.19,333000,29.94
2013-06-17,29.69,30.15,29.60,29.92,341700,29.67
2013-06-14,29.69,29.97,29.49,29.58,311600,29.34
2013-06-13,29.02,29.63,28.78,29.58,403700,29.34
2013-06-12,29.59,29.59,28.93,29.04,295700,28.80
2013-06-11,29.23,29.62,29.15,29.35,305900,29.11
2013-06-10,29.78,29.84,29.57,29.66,338900,29.42
2013-06-07,29.64,29.88,29.46,29.72,342400,29.48
2013-06-06,29.27,29.35,28.96,29.35,756100,29.11
2013-06-05,29.37,29.37,29.00,29.22,620400,28.98
2013-06-04,29.70,29.94,29.25,29.44,797400,29.20
2013-06-03,29.45,29.74,29.21,29.71,536900,29.47
2013-05-31,29.56,29.90,29.34,29.34,594200,29.10
2013-05-30,29.50,29.78,29.39,29.69,464500,29.45
2013-05-29,29.31,29.53,29.23,29.40,547900,29.16
2013-05-28,29.97,30.03,29.39,29.55,739200,29.31
2013-05-24,29.50,29.67,29.32,29.56,417200,29.32
2013-05-23,29.73,29.90,29.41,29.67,662400,29.43
2013-05-22,30.59,30.59,29.54,29.74,732200,29.50
2013-05-21,30.57,30.57,30.14,30.42,457600,30.17
2013-05-20,30.41,30.53,30.27,30.44,452300,30.19
2013-05-17,30.08,30.45,29.70,30.43,578500,30.18
2013-05-16,29.78,30.23,29.54,29.95,1005900,29.70
2013-05-15,28.85,29.85,28.60,29.85,671600,29.60
2013-05-14,29.40,29.68,29.22,29.68,495700,29.44
2013-05-13,29.57,29.58,29.30,29.43,526600,29.19
2013-05-10,29.51,29.62,29.19,29.60,395600,29.36
2013-05-09,29.11,29.50,29.06,29.42,609200,29.18
2013-05-08,28.94,29.18,28.78,29.15,544900,28.91
2013-05-07,28.90,28.97,28.54,28.87,563300,28.63
2013-05-06,28.63,28.89,28.43,28.81,569700,28.57
2013-05-03,28.10,28.58,27.79,28.53,643900,28.30
2013-05-02,27.19,27.79,27.13,27.71,796900,27.48
2013-05-01,27.42,27.56,27.14,27.17,710700,26.95
2013-04-30,27.02,27.60,26.83,27.57,727800,27.34
2013-04-29,26.99,27.16,26.78,26.98,729000,26.76
2013-04-26,27.07,27.16,26.82,26.89,835300,26.67
2013-04-25,26.65,27.29,26.57,27.00,1196200,26.78
2013-04-24,26.29,26.69,26.14,26.58,1357800,26.36
2013-04-23,25.68,26.62,25.49,26.38,2445800,26.16
2013-04-22,27.20,27.62,26.86,27.47,887000,27.24
2013-04-19,27.09,27.19,26.86,27.09,711800,26.87
2013-04-18,27.36,27.44,26.96,26.97,610900,26.75
2013-04-17,28.01,28.01,27.22,27.27,1053100,27.05
2013-04-16,28.05,28.40,27.94,28.38,699200,28.15
2013-04-15,28.84,28.84,27.79,27.83,975700,27.60
2013-04-12,29.33,29.41,28.94,29.04,767200,28.80
2013-04-11,29.13,29.45,28.98,29.42,483900,29.18
2013-04-10,28.48,29.11,28.33,29.09,377000,28.85
2013-04-09,28.32,28.49,28.15,28.46,475100,28.23
2013-04-08,28.15,28.25,27.90,28.22,478700,27.99
2013-04-05,28.07,28.35,28.04,28.17,485600,27.94
2013-04-04,28.48,28.66,28.36,28.52,421500,28.29
2013-04-03,28.71,28.86,28.45,28.53,725900,28.30
2013-04-02,29.26,29.33,28.58,28.67,577100,28.43
2013-04-01,29.50,29.56,28.98,29.03,555100,28.79
2013-03-28,29.10,29.34,28.80,29.28,402300,29.04
2013-03-27,28.75,29.09,28.75,29.03,400400,28.79
2013-03-26,29.26,29.29,28.88,29.00,627100,28.76
2013-03-25,29.14,29.36,29.12,29.30,871800,28.84
2013-03-22,28.77,29.02,28.65,29.02,668000,28.57
2013-03-21,28.72,28.85,28.59,28.73,496100,28.28
2013-03-20,28.85,28.94,28.69,28.91,328400,28.46
2013-03-19,28.62,28.71,28.26,28.62,430300,28.17
2013-03-18,28.34,28.71,28.24,28.45,421400,28.00
2013-03-15,28.73,28.89,28.41,28.68,974600,28.23
2013-03-14,28.83,28.95,28.66,28.91,256700,28.46
2013-03-13,28.80,28.80,28.53,28.70,252700,28.25
2013-03-12,28.74,28.78,28.54,28.70,389300,28.25
2013-03-11,28.65,28.73,28.40,28.72,450300,28.27
2013-03-08,28.39,28.62,28.07,28.61,510700,28.16
2013-03-07,28.42,28.44,28.07,28.19,461700,27.75
2013-03-06,28.24,28.47,28.10,28.26,378000,27.82
2013-03-05,28.01,28.41,28.01,28.15,374300,27.71
2013-03-04,27.75,27.80,27.45,27.75,366500,27.32
2013-03-01,27.58,27.91,27.27,27.83,609100,27.39
2013-02-28,27.86,28.13,27.70,27.74,383200,27.31
2013-02-27,27.28,27.81,27.28,27.73,329100,27.30
2013-02-26,27.32,27.41,27.08,27.35,512800,26.92
2013-02-25,28.20,28.20,27.16,27.18,454800,26.75
2013-02-22,27.74,27.93,27.64,27.93,422300,27.49
2013-02-21,28.10,28.10,27.48,27.63,475100,27.20
2013-02-20,28.31,28.53,28.08,28.19,676400,27.75
2013-02-19,27.61,28.26,27.48,28.25,486500,27.81
2013-02-15,27.90,28.15,27.80,28.05,908600,27.61
2013-02-14,27.85,27.96,27.68,27.86,498500,27.42
2013-02-13,27.86,28.06,27.75,27.93,308400,27.49
2013-02-12,27.70,27.85,27.65,27.82,241700,27.38
2013-02-11,27.50,27.71,27.42,27.69,341600,27.26
2013-02-08,27.63,27.90,27.49,27.54,527500,27.11
2013-02-07,27.64,27.64,27.25,27.49,391000,27.06
2013-02-06,27.42,27.63,27.37,27.53,559800,27.10
2013-02-05,27.32,27.71,27.14,27.60,557000,27.17
2013-02-04,27.22,27.37,27.07,27.09,328900,26.67
2013-02-01,27.30,27.57,27.18,27.41,558100,26.98
2013-01-31,27.06,27.21,26.96,27.16,470200,26.73
2013-01-30,27.21,27.30,26.91,27.01,698300,26.59
2013-01-29,27.02,27.24,26.99,27.22,414900,26.79
2013-01-28,27.34,27.36,27.05,27.14,630800,26.72
2013-01-25,27.18,27.47,27.18,27.47,592700,27.04
2013-01-24,27.69,27.75,26.77,27.17,1283500,26.74
2013-01-23,28.73,28.73,27.80,27.83,961500,27.39
2013-01-22,28.43,28.72,28.31,28.67,591300,28.22
2013-01-18,28.60,28.60,28.23,28.49,486200,28.04
2013-01-17,28.33,28.59,28.16,28.45,456800,28.00
2013-01-16,28.22,28.26,28.10,28.25,436800,27.81
2013-01-15,28.13,28.35,28.07,28.32,397700,27.88
2013-01-14,28.55,28.78,28.30,28.35,478600,27.91
2013-01-11,28.57,28.65,28.29,28.64,841300,28.19
2013-01-10,28.75,28.81,28.25,28.50,655000,28.05
2013-01-09,28.16,28.54,27.89,28.52,568500,28.07
2013-01-08,28.17,28.22,27.97,28.03,647700,27.59
2013-01-07,28.43,28.49,28.24,28.32,580000,27.88
2013-01-04,28.68,28.82,28.52,28.62,892400,28.17
2013-01-03,28.54,29.00,28.28,28.62,837000,28.17
2013-01-02,27.96,28.54,27.85,28.54,1034000,28.09
