Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,103.17,103.44,102.19,102.95,2336800,102.95
2013-07-11,102.59,103.54,102.28,103.34,2058100,103.34
2013-07-10,101.26,102.09,100.90,101.49,2428000,101.49
2013-07-09,99.87,101.69,99.62,101.40,4047100,101.40
2013-07-08,98.88,99.36,98.68,99.19,2846400,99.19
2013-07-05,98.50,99.04,98.23,98.71,1841700,98.71
2013-07-03,97.54,98.38,97.25,97.89,1357000,97.89
2013-07-02,96.53,98.49,96.50,98.42,4620600,98.42
2013-07-01,99.20,99.61,96.75,96.97,4309700,96.60
2013-06-28,98.54,99.41,97.89,98.80,3947000,98.42
2013-06-27,101.17,101.17,98.59,98.75,3252600,98.37
2013-06-26,101.65,102.27,99.23,100.84,4091200,100.45
2013-06-25,102.72,103.00,101.24,101.40,2701100,101.01
2013-06-24,101.57,102.60,100.49,101.70,2250500,101.31
2013-06-21,104.40,104.50,102.32,103.19,3985900,102.79
2013-06-20,104.85,105.41,103.20,103.45,3054400,103.05
2013-06-19,105.62,106.33,105.13,105.89,3002500,105.48
2013-06-18,105.00,105.81,104.15,105.63,1574600,105.22
2013-06-17,106.68,106.80,104.13,104.82,2592100,104.41
2013-06-14,105.89,106.47,105.13,105.63,2259900,105.22
2013-06-13,103.39,105.45,102.59,105.44,2802600,105.03
2013-06-12,105.12,105.76,103.42,103.46,2244900,103.06
2013-06-11,104.91,105.20,103.56,104.51,3405700,104.11
2013-06-10,105.00,106.77,104.61,106.25,5636600,105.84
2013-06-07,99.82,101.95,99.53,101.65,4094900,101.26
2013-06-06,99.13,99.94,97.05,98.72,3468000,98.34
2013-06-05,101.65,101.75,98.43,98.91,4176700,98.53
2013-06-04,102.32,102.63,101.07,102.11,3296000,101.72
2013-06-03,100.42,102.17,100.06,102.08,4084700,101.69
2013-05-31,104.51,104.53,100.64,100.64,5337100,100.25
2013-05-30,104.68,105.52,104.64,104.97,1838300,104.56
2013-05-29,105.57,105.86,103.34,105.42,3026300,105.01
2013-05-28,105.36,105.81,104.61,105.55,3362800,105.14
2013-05-24,104.50,105.04,103.84,104.83,1815300,104.42
2013-05-23,103.38,105.87,103.31,104.99,2808300,104.58
2013-05-22,106.47,106.53,103.50,104.04,3522400,103.64
2013-05-21,108.41,108.41,106.53,106.59,2568100,106.18
2013-05-20,108.43,108.78,108.04,108.31,2088900,107.89
2013-05-17,108.04,109.12,107.85,108.38,3008400,107.96
2013-05-16,108.76,109.00,107.56,107.67,1578800,107.25
