Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,117.06,117.93,116.39,117.78,752700,117.78
2013-07-11,118.54,118.54,116.09,116.85,725900,116.85
2013-07-10,117.44,117.99,116.51,117.52,876200,117.52
2013-07-09,117.31,118.36,116.55,117.57,1076600,117.57
2013-07-08,116.20,117.12,115.90,116.88,859400,116.88
2013-07-05,114.44,116.40,114.36,116.40,634300,116.40
2013-07-03,113.18,113.86,112.49,113.55,456300,113.55
2013-07-02,112.78,114.06,112.68,113.73,947100,113.73
2013-07-01,112.00,113.85,111.79,112.90,861500,112.90
2013-06-28,111.32,112.01,110.68,111.75,1063000,111.75
2013-06-27,110.21,111.78,110.19,111.50,974300,111.50
2013-06-26,108.59,110.13,108.49,109.71,1109900,109.71
2013-06-25,105.71,107.51,105.21,107.23,953300,107.23
2013-06-24,105.23,105.98,104.38,105.17,784500,105.17
2013-06-21,105.52,106.66,104.49,106.25,1407100,106.25
2013-06-20,102.90,104.92,102.38,104.30,1070900,104.30
2013-06-19,104.12,104.42,103.32,103.51,634300,103.51
2013-06-18,103.03,104.70,102.36,104.13,1459200,104.13
2013-06-17,103.35,103.41,102.54,103.04,531800,103.04
2013-06-14,104.50,104.50,102.32,102.51,544900,102.51
2013-06-13,102.08,103.65,101.57,103.56,552300,103.56
2013-06-12,103.39,103.74,102.06,102.06,666100,102.06
2013-06-11,103.16,103.68,102.46,102.90,892100,102.90
2013-06-10,104.04,104.42,103.61,103.99,635600,103.99
2013-06-07,103.15,103.83,102.73,103.74,405500,103.74
2013-06-06,102.30,102.78,100.67,102.68,1030700,102.68
2013-06-05,103.83,104.38,102.66,102.79,691100,102.79
2013-06-04,105.58,106.26,104.00,104.29,1270800,104.29
2013-06-03,105.16,105.72,104.43,105.60,818100,105.60
2013-05-31,105.80,106.29,104.90,104.90,664700,104.90
2013-05-30,105.80,106.47,105.11,106.01,439000,106.01
2013-05-29,105.66,106.53,105.51,105.99,741400,105.29
2013-05-28,105.62,106.58,105.50,106.08,486300,105.38
2013-05-24,103.80,104.74,103.24,104.71,385900,104.02
2013-05-23,103.89,104.89,103.76,104.26,465900,103.57
2013-05-22,106.14,107.41,104.49,104.67,622200,103.98
2013-05-21,106.00,106.68,105.79,106.25,486300,105.55
2013-05-20,105.78,106.32,105.44,106.03,400800,105.33
2013-05-17,104.76,106.08,104.76,105.94,530900,105.24
2013-05-16,105.03,105.64,104.34,104.69,602200,104.00
2013-05-15,103.49,105.84,103.49,105.37,578800,104.67
