Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,12.74,12.85,12.57,12.69,33419400,12.69
2013-07-11,12.87,12.88,12.47,12.70,52200200,12.70
2013-07-10,12.93,13.24,12.47,12.55,89756800,12.55
2013-07-09,14.08,14.14,13.08,13.14,91785500,13.14
2013-07-08,14.36,14.36,13.87,14.03,53084600,14.03
2013-07-05,14.27,14.37,14.12,14.31,29733500,14.31
2013-07-03,14.29,14.29,14.11,14.14,24459400,14.14
2013-07-02,14.03,14.33,13.85,14.31,61184500,14.31
2013-07-01,14.47,14.60,14.18,14.27,33888700,14.27
2013-06-28,14.30,14.47,14.02,14.33,36595700,14.33
2013-06-27,14.30,14.53,14.27,14.34,38714400,14.34
2013-06-26,13.89,14.31,13.87,14.18,44851200,14.18
2013-06-25,13.74,13.82,13.42,13.75,32876400,13.75
2013-06-24,13.81,13.87,13.16,13.46,68189200,13.46
2013-06-21,13.85,14.05,13.70,13.90,73369500,13.90
2013-06-20,13.48,13.81,13.19,13.54,74952500,13.54
2013-06-19,13.82,14.11,13.64,13.97,83877300,13.97
2013-06-18,13.34,13.76,13.31,13.75,57565600,13.75
2013-06-17,13.16,13.50,13.08,13.24,50566400,13.24
2013-06-14,13.08,13.16,12.64,12.76,29740300,12.76
2013-06-13,12.53,12.92,12.47,12.91,30201100,12.91
2013-06-12,12.98,13.12,12.46,12.49,34187900,12.49
2013-06-11,12.87,13.20,12.63,12.81,49707600,12.81
2013-06-10,12.64,13.08,12.64,12.95,40488200,12.95
2013-06-07,12.56,12.72,12.37,12.65,32387400,12.65
2013-06-06,12.18,12.54,12.14,12.35,47845000,12.35
2013-06-05,11.69,12.14,11.67,12.02,40890700,12.02
2013-06-04,11.73,12.00,11.65,11.71,26370500,11.71
2013-06-03,11.74,11.99,11.41,11.73,26323300,11.73
2013-05-31,11.83,11.91,11.68,11.68,23852400,11.68
2013-05-30,11.81,11.99,11.75,11.89,25785400,11.89
2013-05-29,11.69,11.92,11.60,11.83,25442000,11.83
2013-05-28,11.74,11.88,11.69,11.78,25633800,11.78
2013-05-24,11.30,11.66,11.29,11.59,28601200,11.59
2013-05-23,10.73,11.49,10.57,11.39,57163600,11.39
2013-05-22,11.23,11.68,10.80,10.92,51816600,10.92
2013-05-21,11.21,11.32,11.16,11.23,18960900,11.23
2013-05-20,11.31,11.40,11.08,11.21,24658400,11.21
2013-05-17,11.16,11.42,11.13,11.31,30543500,11.31
2013-05-16,10.93,11.26,10.93,11.06,35904000,11.06
2013-05-15,10.68,11.00,10.63,10.87,25065200,10.87
2013-05-14,10.70,10.71,10.52,10.65,20576300,10.65
2013-05-13,10.75,10.81,10.60,10.66,22562900,10.66
2013-05-10,10.60,10.90,10.60,10.82,35312700,10.82
2013-05-09,10.22,10.75,10.21,10.71,46665700,10.71
2013-05-08,9.92,10.26,9.82,10.24,37045600,10.24
2013-05-07,9.80,9.98,9.66,9.97,26888100,9.97
2013-05-06,9.73,9.94,9.70,9.76,21095600,9.76
2013-05-03,9.45,9.70,9.43,9.63,23315600,9.63
2013-05-02,9.10,9.36,9.07,9.32,26660200,9.32
2013-05-01,9.42,9.47,9.15,9.20,29141100,9.20
2013-04-30,9.41,9.46,9.19,9.42,27791600,9.42
2013-04-29,9.48,9.50,9.34,9.35,17186600,9.35
2013-04-26,9.50,9.73,9.41,9.43,20556000,9.43
2013-04-25,9.36,9.64,9.32,9.53,28185700,9.53
2013-04-24,9.40,9.50,9.31,9.42,21267500,9.42
2013-04-23,9.40,9.49,9.27,9.42,24296500,9.42
2013-04-22,9.36,9.43,9.14,9.31,25020600,9.31
2013-04-19,9.26,9.47,9.10,9.35,32770600,9.35
2013-04-18,9.53,9.58,9.11,9.23,34728800,9.23
2013-04-17,9.74,9.76,9.35,9.39,37507500,9.39
2013-04-16,9.78,9.89,9.70,9.87,28017800,9.87
2013-04-15,9.93,9.96,9.56,9.56,28352800,9.56
2013-04-12,9.92,10.09,9.83,10.01,19470600,10.01
2013-04-11,9.91,10.15,9.77,9.98,28744300,9.98
2013-04-10,9.64,10.22,9.63,10.09,49796900,10.09
2013-04-09,9.45,9.67,9.39,9.57,21306900,9.57
2013-04-08,9.29,9.41,9.06,9.39,27065000,9.39
2013-04-05,9.15,9.59,9.12,9.31,41642300,9.31
2013-04-04,9.09,9.33,9.04,9.31,30485200,9.31
2013-04-03,9.35,9.45,9.05,9.10,31012800,9.10
2013-04-02,9.51,9.71,9.25,9.30,36023200,9.30
2013-04-01,9.97,9.98,9.34,9.38,44911900,9.38
2013-03-28,10.01,10.03,9.87,9.98,21787500,9.98
2013-03-27,9.76,10.04,9.68,9.96,27592700,9.96
2013-03-26,9.92,10.10,9.80,9.92,29906700,9.92
2013-03-25,10.01,10.13,9.78,9.88,39368000,9.88
2013-03-22,9.75,10.27,9.73,10.04,99807600,10.04
2013-03-21,9.35,9.37,9.07,9.07,39419600,9.07
2013-03-20,9.33,9.48,9.19,9.31,31547600,9.31
2013-03-19,9.27,9.41,9.09,9.24,26663100,9.24
2013-03-18,9.05,9.32,8.98,9.18,28917300,9.18
2013-03-15,9.74,9.75,9.27,9.37,43397000,9.37
2013-03-14,9.62,9.74,9.58,9.69,25192800,9.69
2013-03-13,9.35,9.66,9.35,9.51,41491000,9.51
2013-03-12,9.36,9.45,9.20,9.32,35260600,9.32
2013-03-11,9.15,9.40,9.00,9.35,43535800,9.35
2013-03-08,9.03,9.24,8.92,9.20,34822800,9.20
2013-03-07,8.77,8.95,8.71,8.94,26147300,8.94
