Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,64.05,64.58,63.62,64.58,982300,64.58
2013-07-11,63.81,64.50,63.36,64.18,1064100,64.18
2013-07-10,62.72,63.32,62.51,62.89,1050500,62.89
2013-07-09,62.36,62.95,62.28,62.65,1540900,62.65
2013-07-08,61.93,62.38,61.58,61.78,1343500,61.78
2013-07-05,61.61,61.71,60.77,61.59,821900,61.59
2013-07-03,60.89,61.55,60.29,61.19,1164200,61.19
2013-07-02,61.45,61.52,60.45,60.89,1752000,60.89
2013-07-01,61.41,61.71,61.08,61.19,1011100,61.19
2013-06-28,61.29,61.89,60.89,60.89,1548900,60.89
2013-06-27,61.64,62.05,61.05,61.55,1491400,61.55
2013-06-26,61.55,61.73,60.55,61.19,2261800,61.19
2013-06-25,61.06,61.56,60.70,61.23,1331300,61.23
2013-06-24,60.63,60.82,59.29,60.31,1499200,60.31
2013-06-21,61.58,61.78,60.77,61.29,1816900,61.29
2013-06-20,61.96,62.08,60.91,61.15,2009100,61.15
2013-06-19,63.41,63.91,62.67,62.71,1441500,62.71
2013-06-18,63.48,64.33,63.42,63.60,1449600,63.60
2013-06-17,63.64,63.85,63.22,63.62,1059200,63.62
2013-06-14,63.08,64.38,62.84,63.06,1276500,63.06
2013-06-13,63.22,64.24,62.89,63.96,1373800,63.96
2013-06-12,65.04,65.30,63.24,63.36,1172600,63.36
2013-06-11,65.14,65.70,64.46,64.65,1392600,64.65
2013-06-10,65.74,66.28,65.52,66.09,1698800,66.09
2013-06-07,64.18,65.86,63.56,65.74,1847000,65.74
2013-06-06,62.99,64.08,62.79,64.05,1285100,64.05
2013-06-05,62.98,63.65,62.74,63.05,1649900,63.05
2013-06-04,63.20,64.10,62.81,63.02,1217900,63.02
2013-06-03,63.38,63.68,62.78,63.32,1382500,63.32
2013-05-31,64.00,64.36,63.29,63.32,1744000,63.32
2013-05-30,62.98,64.49,62.88,64.12,1582800,64.12
2013-05-29,61.51,63.14,61.40,62.96,2055700,62.96
2013-05-28,62.32,62.41,61.45,61.70,1547100,61.70
2013-05-24,61.79,62.29,61.10,61.58,1680000,61.58
2013-05-23,62.08,62.11,61.15,61.99,1727000,61.99
2013-05-22,64.32,64.53,62.23,62.63,2024300,62.63
2013-05-21,64.89,65.33,64.32,64.39,1091800,64.39
2013-05-20,64.28,65.68,64.28,64.79,1685100,64.79
2013-05-17,63.96,64.43,63.47,64.27,1103700,64.27
2013-05-16,63.99,64.36,63.56,63.72,1274200,63.72
2013-05-15,63.94,64.29,63.34,64.24,954200,64.24
2013-05-14,63.23,64.72,63.23,64.63,1640000,64.32
2013-05-13,62.46,63.23,62.41,62.93,1265300,62.63
2013-05-10,63.74,63.74,62.01,62.75,1633300,62.45
2013-05-09,64.13,64.50,63.51,63.91,1208400,63.60
2013-05-08,64.22,64.48,63.56,64.06,2269800,63.75
2013-05-07,62.90,64.27,62.81,64.21,1715100,63.90
2013-05-06,61.35,62.92,61.15,62.60,1331900,62.30
2013-05-03,61.10,61.81,61.04,61.44,1300000,61.14
2013-05-02,61.19,61.28,59.85,60.63,1763800,60.34
2013-05-01,61.42,61.58,60.56,60.80,1972900,60.51
2013-04-30,62.37,62.64,61.77,62.09,1622200,61.79
2013-04-29,61.63,62.49,61.45,62.24,1216800,61.94
2013-04-26,61.40,61.42,60.58,61.19,892900,60.89
2013-04-25,61.45,61.94,60.86,61.41,1310900,61.11
2013-04-24,60.96,61.71,60.95,61.06,1369700,60.76
2013-04-23,60.57,60.90,60.02,60.85,1874700,60.56
2013-04-22,60.75,60.85,59.79,60.40,1583400,60.11
2013-04-19,61.37,61.54,60.00,60.60,1743100,60.31
2013-04-18,60.03,61.22,59.62,60.93,2259200,60.63
2013-04-17,60.25,60.28,58.96,59.98,3384000,59.69
2013-04-16,60.95,61.09,60.10,60.63,2142700,60.34
2013-04-15,61.10,61.28,59.89,60.24,3436800,59.95
2013-04-12,63.22,63.26,61.25,61.54,1915800,61.24
2013-04-11,64.43,64.43,63.54,63.71,846600,63.40
2013-04-10,64.74,64.86,63.87,64.14,1194000,63.83
2013-04-09,63.61,64.87,63.46,64.66,1278400,64.35
2013-04-08,62.60,63.67,62.51,63.60,1218600,63.29
2013-04-05,61.88,63.09,61.88,62.75,1042700,62.45
2013-04-04,62.82,63.03,62.34,62.76,2091400,62.46
2013-04-03,63.19,63.56,62.55,62.95,1476700,62.65
2013-04-02,63.44,63.75,62.97,63.20,788600,62.89
2013-04-01,63.67,63.85,62.96,63.29,967700,62.98
2013-03-28,63.79,63.89,63.34,63.73,1391600,63.42
2013-03-27,63.40,63.85,62.90,63.80,1253300,63.49
2013-03-26,62.45,63.64,62.40,63.59,1568400,63.28
2013-03-25,61.78,62.14,61.58,62.03,1180900,61.73
