Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,64.34,64.44,63.78,64.30,1322400,64.30
2013-07-11,64.37,64.62,63.57,64.53,1351400,64.53
2013-07-10,64.14,64.50,63.57,63.75,1882200,63.75
2013-07-09,62.84,64.06,62.75,63.86,1716900,63.86
2013-07-08,62.73,62.74,62.04,62.29,2312700,62.29
2013-07-05,62.09,62.76,61.47,62.71,1189400,62.71
2013-07-03,61.04,61.69,60.79,61.63,1076200,61.63
2013-07-02,59.99,61.36,59.92,61.04,1692300,61.04
2013-07-01,60.31,60.83,59.85,59.88,2464900,59.88
2013-06-28,60.55,61.13,60.03,60.04,3246700,60.04
2013-06-27,60.90,61.77,60.71,60.88,2378700,60.88
2013-06-26,60.29,60.34,59.01,60.19,2021600,60.19
2013-06-25,60.27,60.44,59.25,59.77,2121700,59.77
2013-06-24,58.61,60.21,57.63,59.61,2711900,59.61
2013-06-21,59.17,59.74,58.38,59.44,2652000,59.44
2013-06-20,59.58,59.89,58.48,58.79,2310500,58.79
2013-06-19,60.58,61.61,60.52,60.53,1725500,60.53
2013-06-18,59.67,60.87,59.56,60.69,1781300,60.69
2013-06-17,58.40,59.78,58.40,59.70,1933100,59.70
2013-06-14,58.19,58.52,57.46,57.91,1144500,57.91
2013-06-13,57.17,58.42,56.92,58.34,1258700,58.34
2013-06-12,58.33,58.34,57.00,57.20,2094700,57.20
2013-06-11,57.71,58.30,57.17,57.76,1528900,57.76
2013-06-10,58.65,58.70,57.90,58.46,1056900,58.46
2013-06-07,57.80,58.66,57.36,58.61,1257500,58.61
2013-06-06,56.76,57.37,56.26,57.37,1332800,57.37
2013-06-05,57.42,57.61,56.70,56.75,2075300,56.75
2013-06-04,57.62,58.24,57.16,57.75,1992000,57.75
2013-06-03,57.79,58.83,57.47,57.77,1896500,57.77
2013-05-31,58.80,59.04,57.64,57.65,1490000,57.65
2013-05-30,59.43,59.64,58.46,59.10,1228800,59.10
2013-05-29,58.83,59.35,58.27,59.12,915400,59.12
2013-05-28,118.50,120.28,117.53,118.26,4322200,59.13
2013-05-24,118.02,118.17,115.62,117.38,2480200,58.69
2013-05-23,117.31,118.81,116.07,118.75,2398000,59.38
2013-05-22,121.94,123.21,117.86,119.07,3989600,59.53
2013-05-21,122.49,123.05,121.11,121.14,1745600,60.57
2013-05-20,121.37,123.07,121.24,122.50,2147400,61.25
2013-05-17,118.34,121.36,118.31,121.30,3124200,60.65
2013-05-16,117.73,118.34,116.50,117.82,2623000,58.91
2013-05-15,118.53,118.85,116.36,117.99,3296400,58.99
2013-05-14,115.50,117.67,115.50,117.61,2163200,58.81
2013-05-13,114.38,115.68,114.14,115.65,1951400,57.83
2013-05-10,115.36,115.70,114.13,114.78,2393600,57.39
2013-05-09,117.18,117.80,115.57,116.01,3872800,58.01
2013-05-08,116.81,117.48,116.01,117.43,2929000,58.72
2013-05-07,114.86,117.45,114.86,116.81,2694800,58.40
2013-05-06,113.22,114.19,112.59,114.08,1852200,57.04
2013-05-03,111.91,113.29,111.75,113.07,3183600,56.53
2013-05-02,111.03,111.72,110.20,110.82,2965200,55.41
2013-05-01,112.61,112.61,110.12,110.91,2399600,55.32
2013-04-30,112.81,113.80,112.01,113.29,1891200,56.50
2013-04-29,112.55,113.72,111.80,113.04,1763200,56.38
2013-04-26,113.57,113.84,110.64,111.69,2445000,55.70
2013-04-25,113.34,116.38,112.20,113.57,2983000,56.64
2013-04-24,111.15,113.51,110.87,112.62,2540800,56.17
2013-04-23,109.25,110.95,108.85,110.72,3011400,55.22
2013-04-22,107.58,109.02,106.33,108.61,1593000,54.17
2013-04-19,107.93,108.18,105.95,107.21,1733600,53.47
2013-04-18,106.88,108.30,105.24,107.61,2311800,53.67
2013-04-17,108.59,108.59,105.89,106.49,3027600,53.11
2013-04-16,109.29,110.65,107.95,109.93,2901600,54.83
2013-04-15,112.60,112.66,107.99,107.99,2869600,53.86
2013-04-12,117.38,117.38,113.28,113.54,3300000,56.63
2013-04-11,117.79,118.48,116.42,117.96,2559600,58.83
2013-04-10,117.44,117.71,116.54,116.66,1912400,58.18
2013-04-09,115.61,117.70,115.08,116.88,1466000,58.29
2013-04-08,112.21,115.67,112.02,115.59,2169400,57.65
2013-04-05,110.97,112.06,110.39,111.57,3189000,55.64
2013-04-04,115.67,116.05,112.50,112.71,3610800,56.21
2013-04-03,116.59,117.58,114.25,115.24,2142000,57.47
