Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,34.25,34.38,34.07,34.30,700900,34.30
2013-07-11,33.60,34.19,33.58,34.12,1425200,34.12
2013-07-10,33.31,33.43,32.96,33.27,913300,33.27
2013-07-09,33.34,33.46,33.07,33.24,913800,33.24
2013-07-08,33.39,33.50,33.13,33.14,809500,33.14
2013-07-05,32.76,33.30,32.73,33.30,734700,33.30
2013-07-03,32.86,32.97,32.62,32.72,410300,32.72
2013-07-02,33.24,33.50,32.84,33.06,718300,33.06
2013-07-01,32.95,33.46,32.80,33.11,957300,33.11
2013-06-28,32.78,32.94,32.39,32.79,1394700,32.79
2013-06-27,32.67,32.88,32.43,32.86,1185500,32.86
2013-06-26,32.71,32.84,32.31,32.43,1757700,32.43
2013-06-25,31.99,32.63,31.93,32.35,1425600,32.35
2013-06-24,32.42,32.57,31.52,31.85,1178500,31.85
2013-06-21,33.04,33.05,32.41,32.57,2784500,32.57
2013-06-20,32.51,32.99,32.25,32.75,1954100,32.75
2013-06-19,33.10,33.12,32.64,32.71,975000,32.71
2013-06-18,32.98,33.35,32.95,33.19,993600,33.19
2013-06-17,32.86,33.27,32.60,33.04,803600,33.04
2013-06-14,32.66,32.96,32.34,32.60,991300,32.60
2013-06-13,31.20,32.74,31.19,32.58,2188600,32.58
2013-06-12,32.17,32.27,31.32,31.34,1286700,31.34
2013-06-11,32.47,32.54,31.97,32.12,1189900,31.99
2013-06-10,33.00,33.43,32.58,32.92,1117200,32.79
2013-06-07,32.18,32.89,31.94,32.88,1293900,32.75
2013-06-06,31.14,31.86,31.07,31.85,1111500,31.72
2013-06-05,31.02,31.20,30.59,31.04,1503900,30.91
2013-06-04,31.18,31.51,30.75,30.84,1361300,30.72
2013-06-03,31.46,31.60,30.53,31.06,1308500,30.93
2013-05-31,32.12,32.31,31.46,31.46,1653100,31.33
2013-05-30,31.53,32.45,31.34,32.15,1384800,32.02
2013-05-29,31.50,31.80,31.26,31.59,1660400,31.46
2013-05-28,31.21,31.66,30.98,31.47,1632900,31.34
2013-05-24,30.78,30.82,30.31,30.72,1010100,30.60
2013-05-23,30.71,30.97,30.39,30.92,2210600,30.79
2013-05-22,30.39,31.69,30.34,30.98,3056600,30.85
