Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,39.28,40.29,39.23,40.25,2659400,40.25
2013-07-11,39.69,39.75,38.94,39.23,1817100,39.23
2013-07-10,39.28,39.39,38.93,39.18,1989700,39.18
2013-07-09,39.26,39.49,39.08,39.28,2439800,39.28
2013-07-08,38.83,39.50,38.66,39.01,3455700,39.01
2013-07-05,37.94,38.69,37.71,38.60,2181400,38.60
2013-07-03,37.73,37.79,37.16,37.65,1567000,37.65
2013-07-02,38.01,38.43,37.76,37.95,2159400,37.95
2013-07-01,37.85,38.24,37.43,37.95,1757300,37.95
2013-06-28,37.97,38.19,37.58,37.58,2412600,37.58
2013-06-27,37.69,38.24,37.54,38.07,2452800,38.07
2013-06-26,37.22,37.50,36.84,37.46,2017300,37.46
2013-06-25,36.85,37.10,36.64,36.94,2283300,36.94
2013-06-24,36.55,36.81,35.49,36.42,3535500,36.42
2013-06-21,37.39,37.51,36.60,37.17,2884600,37.17
2013-06-20,37.49,37.69,37.00,37.14,3229800,37.14
2013-06-19,38.45,38.92,38.16,38.17,2067600,38.17
2013-06-18,37.97,38.49,37.84,38.48,2464500,38.48
2013-06-17,37.90,38.26,37.71,38.02,1848300,38.02
2013-06-14,38.06,38.23,37.45,37.55,1906900,37.55
2013-06-13,37.27,38.10,37.27,38.03,3251000,38.03
2013-06-12,38.38,38.51,37.26,37.30,3635500,37.30
2013-06-11,38.45,38.73,38.00,38.06,1946400,38.06
2013-06-10,39.45,39.49,38.76,38.90,1844200,38.90
2013-06-07,39.14,39.33,38.85,39.23,2523900,39.23
2013-06-06,38.86,39.43,38.52,38.97,2359500,38.97
2013-06-05,39.21,39.67,38.91,38.97,2480200,38.97
2013-06-04,39.25,39.86,39.00,39.20,2068600,39.20
2013-06-03,38.92,39.44,38.57,39.41,2885100,39.41
2013-05-31,40.02,40.05,38.75,38.75,4365200,38.75
2013-05-30,40.28,40.47,39.93,40.15,2305800,40.15
2013-05-29,40.47,40.70,40.05,40.30,2691500,40.30
2013-05-28,41.26,41.41,40.40,40.71,2988400,40.71
2013-05-24,40.50,40.70,40.14,40.61,1982300,40.61
2013-05-23,40.14,41.04,39.58,40.89,2555800,40.89
2013-05-22,41.63,42.29,40.56,40.74,4119900,40.74
2013-05-21,42.26,42.29,41.56,41.63,3284000,41.63
2013-05-20,40.27,42.34,40.27,42.26,4746700,42.26
2013-05-17,40.75,41.49,40.40,40.66,6575700,40.66
2013-05-16,39.96,40.34,39.63,39.90,3462700,39.90
2013-05-15,39.45,40.15,39.04,39.97,2809800,39.97
2013-05-14,40.03,40.43,39.46,39.64,3451900,39.64
2013-05-13,39.78,40.10,39.58,39.96,1638400,39.96
2013-05-10,39.93,40.31,39.69,40.03,3825800,40.03
2013-05-09,39.42,40.43,39.41,40.15,3854400,40.15
2013-05-08,39.09,39.93,38.82,39.90,3550600,39.90
2013-05-07,39.08,39.45,38.80,39.21,2610100,39.21
2013-05-06,38.70,39.10,38.54,38.92,2302300,38.92
2013-05-03,37.72,39.10,37.63,38.86,4286700,38.86
2013-05-02,37.01,37.54,36.71,37.36,2816600,37.36
2013-05-01,37.17,37.28,36.46,36.88,3781000,36.75
2013-04-30,37.26,37.52,36.57,37.50,2323800,37.37
2013-04-29,37.45,37.55,37.04,37.37,1450100,37.24
2013-04-26,37.22,37.53,36.61,37.11,1856900,36.98
2013-04-25,37.73,38.11,37.16,37.52,2187200,37.39
2013-04-24,36.69,37.79,36.69,37.47,3242800,37.34
2013-04-23,36.78,36.92,36.24,36.62,3470100,36.49
2013-04-22,36.31,36.95,36.03,36.62,2451500,36.49
2013-04-19,36.85,36.99,35.62,36.02,3941900,35.89
2013-04-18,36.13,36.77,35.06,36.53,7002600,36.40
2013-04-17,35.76,35.76,34.77,34.95,5074300,34.83
2013-04-16,35.03,36.34,35.01,36.22,6306200,36.09
2013-04-15,36.23,36.38,34.65,34.67,5683700,34.55
2013-04-12,37.08,37.24,36.49,36.70,4967100,36.57
2013-04-11,38.06,38.21,37.07,37.45,8032600,37.32
2013-04-10,37.70,38.50,37.58,37.93,4591900,37.80
2013-04-09,37.81,37.91,37.31,37.66,3199600,37.53
2013-04-08,37.83,37.98,37.21,37.77,3741200,37.64
2013-04-05,35.85,37.74,35.70,37.70,5673800,37.57
2013-04-04,36.16,36.43,35.74,36.40,4098400,36.27
2013-04-03,36.63,36.82,35.94,36.17,4182900,36.04
