Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,83.20,84.14,82.80,84.01,1446000,84.01
2013-07-11,82.28,83.40,82.26,83.23,1735600,83.23
2013-07-10,81.18,81.93,80.86,81.63,1046300,81.63
2013-07-09,81.02,81.68,80.65,81.35,1562000,81.35
2013-07-08,80.01,81.10,79.80,80.66,1994900,80.66
2013-07-05,80.17,80.31,79.04,79.93,1195000,79.93
2013-07-03,79.93,80.42,79.72,80.12,697800,80.12
2013-07-02,80.23,81.00,80.02,80.34,1984100,80.34
2013-07-01,81.88,81.95,79.95,80.23,2606900,80.23
2013-06-28,81.46,81.77,80.18,81.48,2742600,81.48
2013-06-27,80.22,80.95,79.92,80.42,1250000,80.42
2013-06-26,79.60,80.47,79.51,79.84,1668700,79.84
2013-06-25,78.95,79.37,78.12,79.00,1619600,79.00
2013-06-24,77.84,79.07,77.21,78.38,1690800,78.38
2013-06-21,77.95,78.76,76.91,78.33,3173000,78.33
2013-06-20,79.57,79.59,77.20,77.33,2516000,77.33
2013-06-19,81.40,81.78,80.19,80.19,1963500,80.19
2013-06-18,80.86,81.70,80.72,81.59,1937000,81.59
2013-06-17,80.39,80.96,80.21,80.66,2300900,80.66
2013-06-14,79.18,80.33,79.15,79.73,2262800,79.73
2013-06-13,77.86,79.31,77.59,79.13,1692100,79.13
2013-06-12,79.25,79.44,77.62,77.75,1696900,77.75
2013-06-11,78.10,79.12,77.87,78.87,2856500,78.87
2013-06-10,78.73,79.40,78.40,78.68,3210200,78.68
2013-06-07,78.01,78.83,77.53,78.80,3262100,78.80
2013-06-06,75.97,77.39,75.79,77.39,2886600,77.39
2013-06-05,76.25,76.36,75.64,75.99,1534400,75.99
2013-06-04,76.14,76.71,75.99,76.49,2280800,76.49
2013-06-03,75.66,76.88,74.78,76.28,2191200,76.28
2013-05-31,75.41,77.13,75.33,75.62,2571800,75.62
2013-05-30,75.56,76.95,75.12,75.71,1962600,75.71
2013-05-29,76.62,76.71,74.86,75.72,2521200,75.06
2013-05-28,77.58,77.61,76.60,77.02,2045400,76.35
2013-05-24,77.90,78.00,76.88,77.30,1837700,76.63
2013-05-23,78.62,78.62,76.50,78.22,2062200,77.54
2013-05-22,80.39,81.15,78.75,79.16,1804800,78.47
2013-05-21,80.26,80.82,79.71,80.49,1373100,79.79
2013-05-20,81.01,81.14,79.97,80.24,1330900,79.54
2013-05-17,80.57,81.12,80.28,81.10,1335500,80.39
2013-05-16,80.90,81.20,80.32,80.43,1161300,79.73
2013-05-15,80.25,81.71,80.13,81.16,1466600,80.45
2013-05-14,79.72,80.52,79.42,80.19,1202500,79.49
2013-05-13,79.75,79.94,79.24,79.62,1279300,78.93
2013-05-10,79.86,80.07,79.22,80.00,1831600,79.30
2013-05-09,80.91,81.10,79.60,79.84,1969000,79.14
2013-05-08,81.54,81.88,80.59,80.94,1753700,80.23
2013-05-07,80.78,81.72,80.69,81.72,1343000,81.01
2013-05-06,81.60,81.84,80.60,80.60,1108300,79.90
2013-05-03,82.05,82.20,81.53,81.75,1281500,81.04
2013-05-02,81.21,81.86,81.07,81.73,1139900,81.02
2013-05-01,81.65,82.00,81.14,81.33,1623900,80.62
2013-04-30,82.03,82.65,81.58,82.03,2122800,81.31
2013-04-29,80.72,81.35,80.23,81.26,1229400,80.55
2013-04-26,80.40,80.88,80.24,80.54,921600,79.84
2013-04-25,80.56,80.81,80.11,80.44,1149100,79.74
2013-04-24,80.27,80.98,79.81,80.56,1415300,79.86
2013-04-23,80.10,80.44,79.67,80.11,1484100,79.41
2013-04-22,80.00,80.28,79.43,79.91,1079100,79.21
2013-04-19,79.09,80.12,78.97,80.08,1641100,79.38
2013-04-18,79.24,79.49,78.61,78.85,1798000,78.16
2013-04-17,79.50,79.53,78.55,79.02,1510500,78.33
2013-04-16,79.13,79.83,78.70,79.71,1455300,79.02
2013-04-15,79.39,80.22,78.94,78.95,2043600,78.26
2013-04-12,79.70,80.08,79.17,79.49,2308300,78.80
2013-04-11,80.00,80.25,79.56,79.84,1729300,79.14
2013-04-10,79.22,80.07,79.22,79.86,1324500,79.16
2013-04-09,79.79,79.95,79.13,79.19,1379700,78.50
2013-04-08,79.45,79.97,78.77,79.94,1465000,79.24
2013-04-05,78.52,79.63,78.52,79.54,1642000,78.85
2013-04-04,78.51,79.41,78.41,79.23,1884800,78.54
2013-04-03,79.07,79.25,78.18,78.32,2078200,77.64
2013-04-02,77.70,78.22,77.68,78.16,1373600,77.48
2013-04-01,77.61,77.68,77.24,77.48,995100,76.80
2013-03-28,77.01,77.79,76.98,77.68,1691700,77.00
2013-03-27,76.79,77.35,76.75,76.88,2254200,76.21
2013-03-26,76.35,77.20,76.28,77.17,2982100,76.50
2013-03-25,76.42,76.95,75.94,76.18,2114800,75.52
2013-03-22,75.64,76.25,75.44,76.17,1740400,75.51
2013-03-21,75.50,75.95,75.31,75.59,1849000,74.93
2013-03-20,75.35,75.81,74.87,75.70,1786700,75.04
2013-03-19,74.79,75.37,74.74,75.12,2223700,74.47
2013-03-18,74.17,74.45,73.96,74.12,1596900,73.47
2013-03-15,73.67,74.54,73.63,74.47,2849000,73.82
2013-03-14,73.32,74.05,73.25,74.01,2326300,73.36
2013-03-13,73.16,73.85,72.67,73.75,2610000,73.11
2013-03-12,74.26,74.40,72.12,73.10,3762700,72.46
2013-03-11,74.00,74.40,73.98,74.18,1538400,73.53
2013-03-08,74.15,74.29,73.61,74.16,1789400,73.51
2013-03-07,74.16,74.43,73.82,73.94,1622700,73.30
2013-03-06,73.95,74.23,73.84,74.17,1409400,73.52
2013-03-05,73.87,74.21,73.66,73.88,1965200,73.24
2013-03-04,72.23,73.76,72.19,73.59,2140400,72.95
2013-03-01,71.85,72.37,71.51,72.36,2051200,71.73
2013-02-28,71.88,72.35,71.77,71.87,2104800,71.24
2013-02-27,71.44,71.97,71.42,71.94,2216900,71.31
2013-02-26,72.41,72.80,71.93,72.27,6048300,70.99
2013-02-25,72.85,73.50,72.19,72.19,6872500,70.91
2013-02-22,72.60,73.04,72.60,72.75,5997400,71.46
2013-02-21,73.04,73.08,72.52,72.53,1324900,71.24
2013-02-20,72.90,73.41,72.84,72.94,5857300,71.64
2013-02-19,72.69,73.04,72.55,72.90,2608200,71.60
2013-02-15,72.38,72.60,72.23,72.50,2470100,71.21
2013-02-14,72.34,72.64,71.84,72.20,1779500,70.92
2013-02-13,72.58,72.92,72.42,72.55,1501400,71.26
2013-02-12,72.13,72.56,72.03,72.49,1779700,71.20
2013-02-11,72.01,72.22,71.98,72.18,1097100,70.90
2013-02-08,72.26,72.29,71.92,72.10,1057000,70.82
2013-02-07,72.23,72.63,71.83,72.25,2339900,70.97
2013-02-06,72.00,72.01,71.63,72.01,2383500,70.73
2013-02-05,72.30,72.46,72.06,72.16,1459500,70.88
2013-02-04,72.17,72.39,71.92,71.99,1386300,70.71
2013-02-01,72.45,72.71,72.26,72.28,1594900,71.00
2013-01-31,72.00,72.22,71.72,72.05,2017100,70.77
2013-01-30,72.54,72.56,72.00,72.00,2159100,70.72
2013-01-29,72.53,72.87,72.14,72.61,1938500,71.32
2013-01-28,72.85,72.85,71.90,72.40,1513300,71.11
2013-01-25,72.43,72.52,71.67,72.50,1238300,71.21
2013-01-24,71.84,72.35,71.72,72.10,1112100,70.82
2013-01-23,71.60,71.84,71.35,71.79,1940700,70.51
2013-01-22,71.48,72.04,71.47,71.98,2215400,70.70
2013-01-18,71.30,71.63,71.17,71.55,1764500,70.28
2013-01-17,70.96,71.39,70.62,71.08,1473100,69.82
2013-01-16,71.64,71.85,71.23,71.31,1413600,70.04
2013-01-15,71.54,71.93,71.42,71.88,989400,70.60
2013-01-14,71.58,71.95,71.50,71.69,1401300,70.42
2013-01-11,71.81,71.88,71.42,71.78,1544400,70.50
2013-01-10,71.06,71.51,70.76,71.49,1469100,70.22
2013-01-09,71.31,71.31,70.53,70.80,1307900,69.54
2013-01-08,70.58,71.30,70.39,71.30,1993100,70.03
2013-01-07,70.85,70.94,70.38,70.55,1394600,69.30
2013-01-04,70.64,70.95,70.45,70.88,934800,69.62
2013-01-03,70.60,70.83,70.33,70.53,1227300,69.28
2013-01-02,69.99,70.57,69.81,70.52,2238300,69.27
2012-12-31,68.13,69.25,67.75,69.19,1480400,67.96
2012-12-28,68.85,69.33,68.24,68.25,1355300,67.04
2012-12-27,68.98,69.45,68.51,69.21,1337300,67.98
