Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,27.94,27.94,27.13,27.43,7776300,27.43
2013-07-11,27.67,28.30,27.40,28.12,12726700,28.12
2013-07-10,27.09,27.19,26.47,26.61,11386200,26.61
2013-07-09,27.22,27.50,26.58,27.07,12729200,27.07
2013-07-08,28.17,28.26,27.00,27.02,10252300,27.02
2013-07-05,28.11,28.12,26.97,27.78,10035900,27.78
2013-07-03,29.40,29.81,28.83,29.02,6099300,29.02
2013-07-02,29.90,30.12,28.86,29.17,10360500,29.17
2013-07-01,30.31,30.69,29.16,30.18,12430700,30.18
2013-06-28,27.58,30.25,27.44,29.95,21341900,29.95
2013-06-27,27.61,28.23,27.32,27.71,12906200,27.71
2013-06-26,27.95,28.08,27.07,27.22,14951800,27.22
2013-06-25,29.18,29.45,28.41,28.93,9037700,28.93
2013-06-24,29.45,29.63,28.29,29.02,10225900,29.02
2013-06-21,30.00,30.37,28.85,30.05,14879100,30.05
2013-06-20,30.74,30.83,29.40,29.75,16749000,29.75
2013-06-19,32.62,33.23,31.82,31.90,6878300,31.90
2013-06-18,33.23,33.27,31.97,32.59,6809100,32.59
2013-06-17,33.24,33.63,33.15,33.44,4215100,33.44
2013-06-14,33.81,33.89,33.01,33.19,4417400,33.19
2013-06-13,33.05,33.70,32.71,33.66,5896800,33.66
2013-06-12,32.94,33.54,32.65,33.33,6374800,33.33
2013-06-11,33.33,33.73,32.76,32.81,6223000,32.81
2013-06-10,33.67,34.15,33.43,33.90,5114900,33.90
2013-06-07,34.41,34.42,33.70,34.11,6447800,33.76
2013-06-06,34.46,35.34,34.38,34.95,7140200,34.59
2013-06-05,34.56,35.14,34.16,34.60,6812300,34.24
2013-06-04,34.47,34.63,33.58,34.45,6600500,34.10
2013-06-03,34.40,35.44,34.30,34.88,8026900,34.52
2013-05-31,34.13,34.29,33.67,34.28,9006700,33.93
2013-05-30,33.69,34.48,33.63,34.34,9522000,33.99
2013-05-29,32.22,33.13,32.12,33.10,7391200,32.76
2013-05-28,32.01,32.65,31.52,32.05,6157100,31.72
2013-05-24,32.15,32.59,31.65,31.97,6072700,31.64
2013-05-23,32.42,32.74,31.80,32.22,6920900,31.89
2013-05-22,32.43,33.12,31.51,31.96,9599200,31.63
2013-05-21,31.59,32.22,31.39,31.94,8498600,31.61
2013-05-20,30.66,32.39,30.42,32.28,11313000,31.95
2013-05-17,31.27,31.32,30.30,30.63,12107700,30.32
2013-05-16,31.17,31.91,30.63,31.43,9623800,31.11
2013-05-15,32.21,32.28,31.45,31.57,9295900,31.25
2013-05-14,32.54,33.08,32.35,32.51,5164800,32.18
2013-05-13,32.94,32.94,32.31,32.62,4807800,32.29
2013-05-10,32.50,33.12,32.10,33.12,7016700,32.78
2013-05-09,33.43,34.25,32.94,33.16,7043100,32.82
2013-05-08,32.87,34.07,32.78,33.91,6976400,33.56
2013-05-07,32.69,32.74,32.08,32.45,8649200,32.12
2013-05-06,33.29,33.48,33.04,33.07,4865200,32.73
2013-05-03,32.78,33.43,32.70,33.00,6972900,32.66
2013-05-02,32.79,32.99,32.19,32.66,6347700,32.32
2013-05-01,32.15,32.97,31.76,32.59,10649200,32.26
2013-04-30,33.14,33.32,31.33,32.40,17564300,32.07
2013-04-29,33.84,34.27,33.64,33.97,5832700,33.62
2013-04-26,34.50,34.54,33.23,33.47,9658200,33.13
2013-04-25,34.88,35.13,34.23,34.33,11158100,33.98
2013-04-24,33.27,34.50,33.05,34.33,10937500,33.98
2013-04-23,33.12,33.16,31.77,32.43,10156600,32.10
2013-04-22,33.43,33.92,32.80,33.40,9701500,33.06
2013-04-19,33.40,33.57,32.30,32.98,9134700,32.64
2013-04-18,32.61,33.11,32.20,32.77,11663400,32.43
2013-04-17,33.66,33.82,32.13,32.36,15992800,32.03
2013-04-16,34.69,34.84,33.53,33.78,13910200,33.43
2013-04-15,34.36,34.74,33.51,33.92,22564900,33.57
2013-04-12,38.11,38.21,36.35,36.37,14376900,36.00
2013-04-11,39.07,39.32,38.59,38.65,6476300,38.25
2013-04-10,39.67,39.85,38.86,38.99,7059800,38.59
2013-04-09,39.13,40.64,39.02,40.03,8586900,39.62
2013-04-08,39.36,39.52,38.74,39.01,6577400,38.61
2013-04-05,39.76,40.32,39.15,39.37,8500500,38.97
2013-04-04,38.41,39.28,38.07,39.12,7520600,38.72
2013-04-03,39.69,40.01,38.32,38.47,11822400,38.08
2013-04-02,41.00,41.10,39.75,39.83,7999100,39.42
2013-04-01,42.00,42.00,41.22,41.39,4399700,40.97
2013-03-28,41.51,41.94,41.34,41.89,6398800,41.46
2013-03-27,41.13,41.86,40.93,41.74,5638800,41.31
2013-03-26,40.97,41.13,40.53,41.08,5625900,40.66
2013-03-25,41.56,41.62,41.06,41.09,5565100,40.67
2013-03-22,41.22,41.65,41.14,41.61,4541000,41.18
2013-03-21,40.63,41.84,40.60,41.45,8801600,41.02
2013-03-20,40.34,40.64,40.11,40.38,4253300,39.97
2013-03-19,39.85,40.72,39.80,40.37,6912800,39.96
2013-03-18,40.13,40.70,39.99,40.03,5614200,39.62
2013-03-15,39.54,39.84,39.41,39.68,9668800,39.27
2013-03-14,38.92,39.65,38.85,39.59,6235500,39.18
2013-03-13,39.77,39.80,38.88,38.99,7470500,38.59
2013-03-12,39.34,40.20,39.34,39.66,6667400,39.25
2013-03-11,39.23,39.43,38.77,38.89,5498600,38.49
2013-03-08,39.76,40.08,39.20,39.25,10081300,38.43
2013-03-07,40.15,40.88,39.88,39.93,7757700,39.09
2013-03-06,38.58,40.04,38.50,40.01,9569600,39.17
2013-03-05,39.29,39.35,38.55,38.60,8589700,37.79
2013-03-04,39.64,39.74,38.60,39.00,9782800,38.18
2013-03-01,40.37,40.59,39.56,39.62,9494800,38.79
2013-02-28,40.64,40.84,40.13,40.29,10834000,39.44
2013-02-27,41.22,41.25,40.58,40.62,8863800,39.77
2013-02-26,41.15,41.72,40.83,41.44,9945400,40.57
2013-02-25,41.19,41.60,40.80,40.96,8504300,40.10
2013-02-22,41.56,41.76,40.73,40.82,10384700,39.96
2013-02-21,40.69,41.48,40.51,40.55,10184000,39.70
2013-02-20,42.54,42.54,40.44,40.56,14308300,39.71
2013-02-19,43.08,43.39,42.79,42.90,8078800,42.00
2013-02-15,43.68,43.80,42.79,43.27,13871700,42.36
2013-02-14,44.94,45.09,44.38,44.55,7641300,43.62
2013-02-13,45.26,45.48,44.82,44.85,5481500,43.91
2013-02-12,44.40,45.30,44.38,45.28,6451100,44.33
2013-02-11,44.57,44.67,44.15,44.49,4172000,43.56
2013-02-08,45.18,45.27,44.77,44.93,4763200,43.99
2013-02-07,44.79,45.82,44.51,45.25,5097500,44.30
2013-02-06,44.22,45.17,44.20,45.04,4981000,44.10
2013-02-05,44.34,44.47,44.01,44.33,4107800,43.40
2013-02-04,43.59,44.56,43.43,44.10,5975500,43.17
2013-02-01,43.61,43.72,43.01,43.71,6312700,42.79
2013-01-31,42.97,43.31,42.85,42.96,9403300,42.06
2013-01-30,43.86,44.33,43.10,43.12,8940800,42.22
2013-01-29,43.01,43.65,42.99,43.39,7142200,42.48
2013-01-28,43.49,43.51,42.55,42.82,6510500,41.92
2013-01-25,43.96,44.19,42.96,43.36,7200500,42.45
2013-01-24,44.67,44.84,43.89,44.01,5554200,43.09
2013-01-23,45.62,45.79,44.70,44.76,5962300,43.82
2013-01-22,44.96,45.71,44.56,45.58,7030700,44.62
2013-01-18,44.56,45.22,44.46,44.89,6738100,43.95
2013-01-17,45.00,45.00,44.00,44.44,6514500,43.51
2013-01-16,45.02,45.18,44.58,44.75,5166100,43.81
2013-01-15,45.45,45.74,44.89,45.19,4137000,44.24
2013-01-14,45.86,45.89,45.14,45.30,3366500,44.35
2013-01-11,46.00,46.03,45.33,45.76,3836700,44.80
2013-01-10,45.35,46.13,45.35,45.95,5371300,44.99
2013-01-09,45.39,45.49,44.61,44.90,5568600,43.96
2013-01-08,45.00,45.93,44.66,45.56,6373500,44.60
2013-01-07,45.60,45.76,44.95,45.01,4853400,44.07
2013-01-04,45.30,46.05,45.09,45.94,5834100,44.98
2013-01-03,46.76,47.25,45.50,45.62,6017100,44.66
2013-01-02,47.34,47.59,46.75,46.90,7254500,45.92
2012-12-31,44.92,46.83,44.84,46.44,6560100,45.47
2012-12-28,45.35,45.80,45.00,45.03,5169400,44.09
2012-12-27,44.97,45.87,44.76,45.47,6080200,44.52
2012-12-26,44.40,45.30,44.38,45.08,4841900,44.13
2012-12-24,44.58,44.58,43.85,44.23,2595400,43.30
2012-12-21,44.00,45.05,43.91,44.58,10630000,43.64
2012-12-20,43.31,44.14,42.96,44.10,8941100,43.17
2012-12-19,44.20,44.42,43.69,43.75,5181600,42.83
2012-12-18,44.65,44.87,43.76,44.36,6495800,43.43
2012-12-17,44.24,44.76,44.07,44.66,3888900,43.72
2012-12-14,44.01,44.52,43.74,44.29,4717200,43.36
2012-12-13,44.58,44.86,43.51,44.17,7910300,43.24
2012-12-12,45.23,45.81,45.05,45.50,6702400,44.55
2012-12-11,45.08,45.57,45.00,45.23,5880600,44.28
2012-12-10,44.80,45.36,44.80,45.11,5489800,44.16
2012-12-07,44.55,44.74,44.07,44.42,4693400,43.49
2012-12-06,44.00,44.62,43.88,44.29,4351100,43.36
2012-12-05,45.14,45.14,43.85,43.96,9197100,43.04
2012-12-04,44.87,45.44,44.68,45.09,7355500,44.14
2012-12-03,47.13,47.13,45.64,45.68,7060200,44.38
2012-11-30,47.02,47.54,46.44,47.09,6173800,45.75
2012-11-29,47.47,47.74,46.75,47.05,3979800,45.71
2012-11-28,46.10,47.34,45.90,47.31,5994800,45.96
2012-11-27,47.29,47.33,46.81,47.00,5556500,45.66
2012-11-26,47.25,47.37,46.71,47.37,4957300,46.02
2012-11-23,47.34,47.80,46.87,47.69,2431100,46.33
2012-11-21,46.50,47.32,46.23,47.08,3884700,45.74
2012-11-20,46.61,46.75,46.20,46.62,5066300,45.29
2012-11-19,46.88,47.08,46.49,46.79,5804800,45.46
2012-11-16,45.48,46.23,45.00,46.12,7602500,44.81
2012-11-15,45.81,45.99,44.50,45.53,8333000,44.23
2012-11-14,47.38,47.51,45.69,45.79,7164400,44.49
2012-11-13,47.33,47.88,47.06,47.19,4236900,45.85
2012-11-12,48.15,48.32,47.61,47.71,3057600,46.35
2012-11-09,49.03,49.03,47.90,48.07,5069500,46.70
2012-11-08,48.56,49.58,48.23,48.81,5731200,47.42
2012-11-07,48.76,49.07,47.83,48.74,6314500,47.35
2012-11-06,48.61,48.92,48.22,48.50,7029900,47.12
2012-11-05,49.12,49.56,48.24,48.39,7063600,47.01
2012-11-02,52.04,52.13,48.72,48.74,12215700,47.35
2012-11-01,54.22,54.30,52.70,53.22,7396200,51.70
2012-10-31,53.73,54.96,53.30,54.58,4999900,53.03
2012-10-26,53.64,53.88,52.95,53.31,4328900,51.79
2012-10-25,53.08,53.79,53.08,53.56,5038000,52.03
2012-10-24,54.13,54.35,52.55,52.58,6108600,51.08
2012-10-23,54.62,54.82,53.80,53.83,3977600,52.30
2012-10-22,54.73,55.76,54.61,55.49,3356500,53.91
2012-10-19,54.86,55.31,53.96,54.90,5358900,53.34
2012-10-18,55.65,55.88,54.91,54.97,4050400,53.40
2012-10-17,55.78,56.38,55.06,56.06,3666500,54.46
2012-10-16,55.31,55.97,54.99,55.88,3618200,54.29
2012-10-15,54.62,55.03,53.94,54.60,4065100,53.05
2012-10-12,55.42,55.75,54.90,54.94,4263600,53.38
2012-10-11,55.10,55.83,54.83,55.35,3504500,53.77
2012-10-10,54.40,55.06,54.17,54.85,3933300,53.29
2012-10-09,55.81,56.28,54.49,54.50,4271000,52.95
2012-10-08,55.45,56.01,55.12,55.76,2130900,54.17
2012-10-05,56.24,56.63,55.49,55.85,2983600,54.26
2012-10-04,55.78,56.64,55.78,56.24,4922300,54.64
2012-10-03,55.81,55.95,55.21,55.47,2763500,53.89
2012-10-02,55.89,56.09,55.17,55.67,3482400,54.08
2012-10-01,56.70,56.85,55.60,55.70,5560400,54.11
2012-09-28,56.25,56.52,55.57,56.02,4925100,54.42
2012-09-27,55.74,56.67,55.20,56.54,5804300,54.93
2012-09-26,54.47,55.85,53.80,55.26,6099000,53.69
2012-09-25,55.95,56.56,55.04,55.06,6491900,53.49
2012-09-24,55.60,55.81,55.03,55.26,6804200,53.69
2012-09-21,57.93,57.93,56.22,56.31,14268700,54.71
2012-09-20,56.40,56.79,56.01,56.62,7821100,55.01
2012-09-19,57.10,57.35,56.53,56.85,5921900,55.23
2012-09-18,56.61,57.15,56.13,56.77,7249100,55.15
2012-09-17,57.05,57.67,56.24,56.96,7270500,55.34
2012-09-14,56.37,57.65,56.32,57.20,12656400,55.57
2012-09-13,52.42,55.85,51.95,55.45,12625900,53.87
2012-09-12,52.35,52.76,51.05,52.56,5975300,51.06
2012-09-11,51.66,52.58,51.66,52.00,5498900,50.52
2012-09-10,51.47,52.00,51.10,51.36,4493000,49.90
2012-09-07,52.07,52.50,51.52,51.69,6099400,50.22
2012-09-06,50.18,50.90,49.68,50.90,6194200,49.45
2012-09-05,49.61,49.86,49.08,49.62,3781400,48.21
