Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,245.83,257.43,245.75,257.26,4891200,257.26
2013-07-11,248.00,249.20,240.82,244.17,3020900,244.17
2013-07-10,245.55,246.90,239.21,243.82,3248300,243.82
2013-07-09,235.04,247.41,234.87,247.38,5072800,247.38
2013-07-08,226.98,235.24,225.51,233.10,3469900,233.10
2013-07-05,222.09,225.25,219.33,225.10,1422500,225.10
2013-07-03,222.12,224.00,218.95,220.91,1232200,220.91
2013-07-02,225.23,227.47,218.00,221.46,2532900,221.46
2013-07-01,213.62,225.33,212.00,224.28,3502500,224.28
2013-06-28,214.27,216.30,210.05,211.09,2797300,211.09
2013-06-27,212.91,216.73,209.60,214.97,2618100,214.97
2013-06-26,214.55,218.25,210.82,212.10,2690600,212.10
2013-06-25,211.97,213.50,207.56,212.90,2988400,212.90
2013-06-24,213.00,219.08,209.00,215.60,2556600,215.60
2013-06-21,225.05,226.38,214.20,216.90,3342600,216.90
2013-06-20,229.47,231.00,220.54,223.52,3016600,223.52
2013-06-19,228.00,235.88,227.61,232.31,3193300,232.31
2013-06-18,230.24,231.00,226.40,228.83,2496700,228.83
2013-06-17,225.54,230.50,223.75,229.23,5121600,229.23
2013-06-14,214.77,217.29,212.32,213.99,1785100,213.99
2013-06-13,207.99,215.55,205.75,215.39,2644500,215.39
2013-06-12,215.83,215.83,206.87,207.64,2729800,207.64
2013-06-11,217.85,220.27,213.80,214.46,2030500,214.46
2013-06-10,223.03,223.33,216.06,220.93,1973200,220.93
2013-06-07,218.64,220.82,215.65,220.22,2185600,220.22
2013-06-06,222.12,225.40,214.00,217.74,3724200,217.74
2013-06-05,223.19,228.00,218.40,223.46,4728000,223.46
2013-06-04,220.12,227.55,218.57,225.31,3286700,225.31
2013-06-03,227.05,227.50,217.57,221.97,3038700,221.97
2013-05-31,225.24,229.58,224.05,226.25,3630900,226.25
2013-05-30,216.03,223.00,211.55,222.66,3441100,222.66
2013-05-29,214.55,221.38,209.91,215.34,4871700,215.34
2013-05-28,231.75,235.96,212.98,214.19,5627800,214.19
2013-05-24,225.23,229.00,224.50,228.74,1686900,228.74
2013-05-23,225.70,228.20,221.55,226.18,2314000,226.18
2013-05-22,234.40,238.20,226.64,228.56,3109900,228.56
2013-05-21,240.04,240.90,235.00,237.09,1641600,237.09
2013-05-20,238.44,241.65,236.76,239.55,2109400,239.55
2013-05-17,238.53,242.75,236.00,239.00,2877300,239.00
2013-05-16,246.95,248.85,235.20,237.03,4007600,237.03
2013-05-15,239.47,245.43,237.83,243.40,5147100,243.40
2013-05-14,231.99,236.59,230.80,233.97,5505100,233.97
2013-05-13,217.17,229.69,217.14,229.38,5908200,229.38
2013-05-10,216.41,219.75,214.56,217.69,2692100,217.69
2013-05-09,208.03,218.88,206.52,216.41,5158400,216.41
2013-05-08,204.93,210.40,204.53,208.61,2517600,208.61
2013-05-07,208.78,210.52,205.60,206.25,2439900,206.25
2013-05-06,209.63,212.45,204.02,210.69,4533000,210.69
2013-05-03,215.78,218.23,212.70,213.45,2204500,213.45
2013-05-02,213.24,215.45,210.19,214.49,2618400,214.49
2013-05-01,215.92,217.39,211.65,212.91,2622800,212.91
2013-04-30,214.60,219.75,214.24,216.07,3581600,216.07
2013-04-29,216.61,217.73,212.01,215.01,2969600,215.01
2013-04-26,217.00,217.13,212.52,215.55,3112900,215.55
2013-04-25,216.98,218.79,213.27,213.75,4182000,213.75
2013-04-24,217.60,224.30,213.22,216.72,6699800,216.72
2013-04-23,215.57,219.38,209.51,216.99,16396900,216.99
2013-04-22,165.72,176.50,165.72,174.37,12037500,174.37
2013-04-19,165.50,169.17,163.03,163.37,2880500,163.37
2013-04-18,171.00,171.90,161.80,163.82,3303000,163.82
2013-04-17,174.34,177.39,168.27,169.36,3935100,169.36
2013-04-16,174.97,177.73,172.27,175.85,4244500,175.85
2013-04-15,175.56,182.35,174.80,176.50,6647000,176.50
2013-04-12,176.99,177.64,171.20,173.20,5399700,173.20
2013-04-11,168.83,173.40,168.82,173.01,4711100,173.01
2013-04-10,168.00,169.45,164.91,166.07,4244200,166.07
2013-04-09,163.49,171.37,162.05,169.36,4863700,169.36
2013-04-08,165.83,166.30,159.00,163.06,4535000,163.06
2013-04-05,163.52,170.50,162.53,164.66,4644700,164.66
2013-04-04,167.37,170.13,163.81,166.69,4922900,166.69
2013-04-03,177.05,178.33,164.26,169.74,10765400,169.74
2013-04-02,183.90,185.18,176.10,176.69,4611500,176.69
2013-04-01,190.95,191.50,181.47,182.43,3278200,182.43
2013-03-28,190.75,192.90,188.60,189.28,2798300,189.28
2013-03-27,189.64,197.06,188.33,190.24,5782200,190.24
2013-03-26,184.00,192.64,183.60,190.61,6688200,190.61
2013-03-25,182.43,184.84,179.77,180.79,2146400,180.79
2013-03-22,183.10,183.86,179.50,181.30,2027000,181.30
2013-03-21,182.40,187.40,181.97,181.99,2686300,181.99
2013-03-20,182.62,183.85,180.43,183.05,1590300,183.05
2013-03-19,186.00,186.75,179.25,181.37,2839100,181.37
2013-03-18,181.38,186.77,180.55,185.59,2581900,185.59
2013-03-15,189.25,189.99,184.55,184.85,2952500,184.85
2013-03-14,192.69,192.69,187.07,188.37,4064400,188.37
2013-03-13,187.40,195.19,186.75,192.36,7699800,192.36
2013-03-12,179.36,184.17,179.25,182.11,3021700,182.11
2013-03-11,184.00,184.52,179.01,180.45,3002200,180.45
2013-03-08,182.45,185.85,180.71,184.70,3359000,184.70
2013-03-07,180.00,182.50,176.16,181.56,4099400,181.56
2013-03-06,182.15,184.96,179.58,182.94,2490800,182.94
2013-03-05,184.67,185.31,178.08,181.73,4618100,181.73
2013-03-04,188.68,190.08,176.66,181.21,6832000,181.21
2013-03-01,187.11,190.34,186.21,189.37,3064500,189.37
2013-02-28,183.81,192.13,183.51,188.08,4899100,188.08
2013-02-27,183.58,186.00,180.56,184.32,3232400,184.32
2013-02-26,180.60,185.22,175.60,184.09,4840300,184.09
2013-02-25,180.99,187.10,175.45,179.32,7452100,179.32
2013-02-22,183.72,183.79,178.43,179.86,5567300,179.86
2013-02-21,186.00,192.20,182.50,187.15,5270600,187.15
2013-02-20,197.58,197.62,186.50,187.12,4999500,187.12
2013-02-19,191.00,197.17,190.15,196.45,4876900,196.45
2013-02-15,188.57,190.00,186.26,189.51,3807500,189.51
2013-02-14,187.29,189.85,184.69,187.40,4568500,187.40
2013-02-13,180.90,186.40,179.66,186.27,5847000,186.27
2013-02-12,180.66,183.56,175.71,177.95,4914200,177.95
2013-02-11,178.98,182.05,174.80,177.89,4189300,177.89
2013-02-08,181.74,183.96,180.01,180.97,3665400,180.97
2013-02-07,185.75,188.88,178.54,181.96,7583800,181.96
2013-02-06,175.00,185.35,174.55,184.41,9598700,184.41
2013-02-05,172.38,177.89,171.00,174.39,8150900,174.39
2013-02-04,162.78,175.13,162.78,174.74,7281300,174.74
2013-02-01,170.00,173.00,163.88,164.80,7194000,164.80
2013-01-31,167.10,169.00,160.32,165.24,5085900,165.24
2013-01-30,173.49,175.50,162.66,167.70,6866100,167.70
2013-01-29,158.13,169.88,156.63,169.12,8506000,169.12
2013-01-28,172.51,177.25,160.79,162.11,15586400,162.11
2013-01-25,145.67,172.68,145.61,169.56,27349400,169.56
2013-01-24,143.99,149.17,139.62,146.86,16972200,146.86
2013-01-23,97.13,103.83,97.02,103.26,10605000,103.26
2013-01-22,99.65,99.65,96.59,97.81,3253300,97.81
2013-01-18,100.38,101.94,98.68,99.17,5142800,99.17
2013-01-17,98.09,98.60,95.75,97.70,2317300,97.70
2013-01-16,101.82,102.30,96.76,97.48,4002100,97.48
2013-01-15,103.02,104.36,101.05,101.69,2438300,101.69
2013-01-14,100.99,104.50,100.56,103.45,3353300,103.45
2013-01-11,98.18,101.92,98.00,101.29,4264500,101.29
2013-01-10,96.57,99.92,95.70,98.00,3731100,98.00
2013-01-09,97.12,97.95,94.55,95.91,2889000,95.91
2013-01-08,100.01,100.99,96.80,97.16,3530700,97.16
2013-01-07,96.39,101.75,96.12,99.20,6507200,99.20
2013-01-04,96.54,97.71,95.54,95.98,2537300,95.98
2013-01-03,91.97,97.92,91.53,96.59,3987500,96.59
2013-01-02,95.21,95.81,90.69,92.01,2775900,92.01
2012-12-31,89.38,93.50,89.01,92.59,2582700,92.59
2012-12-28,89.80,90.55,88.90,89.33,1589000,89.33
2012-12-27,90.59,91.44,88.54,90.50,2128300,90.50
2012-12-26,89.84,92.90,89.38,90.65,2166700,90.65
2012-12-24,91.56,91.85,89.30,90.23,1027600,90.23
2012-12-21,92.05,92.88,91.11,91.34,4061500,91.34
2012-12-20,94.33,94.50,92.65,93.50,2373100,93.50
2012-12-19,96.60,97.80,93.45,93.98,4382100,93.98
2012-12-18,94.97,97.55,94.25,95.64,4192600,95.64
2012-12-17,92.97,94.99,92.11,94.70,3094400,94.70
2012-12-14,92.67,94.69,92.00,93.30,3958100,93.30
2012-12-13,90.85,93.32,89.87,92.56,4123700,92.56
2012-12-12,86.27,93.15,85.94,90.73,7847000,90.73
2012-12-11,85.30,87.23,84.40,86.08,2289800,86.08
2012-12-10,86.00,87.00,84.50,84.80,2046100,84.80
2012-12-07,88.27,89.78,85.29,85.98,4968600,85.98
2012-12-06,82.20,88.56,81.70,86.17,5443400,86.17
2012-12-05,86.60,87.58,82.92,83.37,8479700,83.37
2012-12-04,75.51,88.00,74.50,86.65,14536800,86.65
2012-12-03,81.85,81.97,75.50,76.00,4171100,76.00
2012-11-30,80.50,81.71,79.33,81.71,2140900,81.71
2012-11-29,82.39,82.78,80.80,81.38,1639000,81.38
2012-11-28,82.75,83.57,81.81,82.23,2070800,82.23
2012-11-27,82.03,83.50,81.56,83.08,2217800,83.08
2012-11-26,82.60,82.88,80.07,82.06,1926300,82.06
2012-11-23,83.41,83.75,82.18,82.95,1199500,82.95
2012-11-21,82.50,84.56,82.50,83.00,1555700,83.00
2012-11-20,81.51,83.70,81.12,82.40,2191500,82.40
2012-11-19,82.01,82.99,80.15,81.36,3323900,81.36
2012-11-16,81.28,83.10,80.32,80.90,4594900,80.90
2012-11-15,80.11,81.90,79.50,81.48,2485800,81.48
2012-11-14,80.00,81.32,78.75,79.78,3844400,79.78
2012-11-13,77.84,80.94,77.34,79.61,3881500,79.61
2012-11-12,79.00,80.31,78.01,78.19,2618600,78.19
2012-11-09,76.31,78.88,76.11,77.90,3324700,77.90
2012-11-08,78.15,80.33,75.79,75.97,4768800,75.97
2012-11-07,76.43,79.25,76.43,77.68,4442800,77.68
2012-11-06,77.06,79.95,75.71,76.37,5586100,76.37
2012-11-05,74.57,78.94,74.50,78.24,4145200,78.24
2012-11-02,77.25,79.85,75.97,76.90,4235800,76.90
2012-11-01,77.85,79.69,74.65,77.69,8952800,77.69
2012-10-31,66.41,84.95,65.55,79.24,15329800,79.24
2012-10-26,61.55,70.24,60.49,69.58,14776200,69.58
2012-10-25,60.05,61.67,59.90,61.51,4720900,61.51
2012-10-24,57.86,61.00,57.40,60.12,14294300,60.12
2012-10-23,67.30,69.15,66.06,68.22,9071200,68.22
2012-10-22,64.36,69.73,64.29,67.88,6525500,67.88
2012-10-19,67.19,67.50,64.26,64.98,3268800,64.98
2012-10-18,68.49,69.84,66.95,67.36,3828200,67.36
2012-10-17,66.01,68.82,65.64,68.52,3780600,68.52
2012-10-16,64.90,66.21,63.76,66.05,4186000,66.05
2012-10-15,65.15,65.18,63.40,64.76,2963600,64.76
2012-10-12,65.80,66.60,63.76,64.33,2958600,64.33
2012-10-11,66.90,67.10,65.23,65.98,3144800,65.98
2012-10-10,65.83,67.93,65.13,65.50,5534700,65.50
2012-10-09,68.90,69.48,65.40,65.53,11735000,65.53
2012-10-08,71.39,74.23,70.12,73.52,13182900,73.52
2012-10-05,67.06,68.20,65.12,66.56,8452900,66.56
2012-10-04,62.65,67.27,62.61,66.67,13088100,66.67
2012-10-03,58.39,62.65,58.25,62.58,10866400,62.58
2012-10-02,56.45,57.29,55.30,56.46,3084200,56.46
2012-10-01,54.60,56.60,54.34,56.05,4395100,56.05
2012-09-28,55.04,55.81,54.22,54.44,2276100,54.44
2012-09-27,55.86,56.10,54.16,55.55,3050100,55.55
2012-09-26,53.99,55.93,53.05,55.13,5232200,55.13
2012-09-25,56.75,56.96,53.70,53.80,5979800,53.80
2012-09-24,56.86,57.84,56.29,56.39,3380200,56.39
2012-09-21,59.43,59.72,57.41,57.79,4296400,57.79
2012-09-20,56.42,58.79,56.40,58.74,5316800,58.74
2012-09-19,56.74,57.90,55.70,57.04,5049800,57.04
