Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,25.38,25.75,25.26,25.75,1416100,25.75
2013-07-11,25.53,25.79,25.16,25.47,1834000,25.47
2013-07-10,25.00,25.39,24.91,25.20,1794600,25.20
2013-07-09,25.01,25.10,24.83,25.00,1603300,25.00
2013-07-08,24.63,25.06,24.52,24.86,1737300,24.86
2013-07-05,24.03,24.52,23.56,24.51,1053300,24.51
2013-07-03,24.09,24.09,23.56,23.93,1345300,23.93
2013-07-02,24.10,24.54,23.95,24.10,1370100,24.10
2013-07-01,24.08,24.42,23.86,24.16,1322900,24.16
2013-06-28,23.97,24.10,23.77,23.89,1472300,23.89
2013-06-27,24.33,24.51,24.09,24.15,1416200,24.15
2013-06-26,24.21,24.43,23.94,24.13,1544800,24.13
2013-06-25,23.68,24.17,23.57,24.06,2277000,24.06
2013-06-24,23.21,23.72,22.74,23.42,2241600,23.42
2013-06-21,23.40,23.61,22.98,23.56,2668500,23.56
2013-06-20,24.06,24.06,23.09,23.25,2936700,23.25
2013-06-19,23.98,24.64,23.98,24.43,3527300,24.43
2013-06-18,23.22,24.06,23.13,23.94,2778300,23.94
2013-06-17,22.71,23.19,22.70,23.01,1309700,23.01
2013-06-14,22.96,22.96,22.42,22.50,1137900,22.50
2013-06-13,22.31,22.86,22.15,22.83,1455300,22.83
2013-06-12,23.05,23.17,22.26,22.37,1703900,22.37
2013-06-11,23.32,23.34,22.72,22.78,1318500,22.78
2013-06-10,23.57,23.69,23.31,23.61,984200,23.61
2013-06-07,23.09,23.68,22.99,23.54,1374700,23.54
2013-06-06,23.29,23.46,22.77,22.97,1884400,22.97
2013-06-05,23.75,23.84,23.28,23.29,1953500,23.29
2013-06-04,23.81,24.01,23.37,23.75,3355600,23.75
2013-06-03,23.91,24.48,23.69,23.93,2404400,23.93
2013-05-31,24.76,24.80,23.71,23.79,8273700,23.79
2013-05-30,24.89,25.07,24.51,24.89,1936900,24.89
2013-05-29,24.76,25.20,24.53,24.89,2048600,24.89
2013-05-28,24.71,25.01,24.42,24.70,2605900,24.70
2013-05-24,24.52,24.54,23.95,24.36,1797600,24.36
2013-05-23,24.00,24.88,23.78,24.78,2646600,24.78
2013-05-22,24.59,25.73,24.27,24.64,5682700,24.64
2013-05-21,24.13,24.85,24.11,24.66,2398600,24.66
2013-05-20,23.61,24.26,23.56,24.25,2005800,24.25
2013-05-17,23.39,23.70,23.35,23.58,1908700,23.58
2013-05-16,23.74,23.87,23.25,23.30,1913000,23.30
2013-05-15,23.60,23.79,23.36,23.79,2297000,23.79
2013-05-14,23.32,23.80,23.27,23.77,1644100,23.77
2013-05-13,23.52,23.64,23.11,23.30,2347700,23.30
2013-05-10,22.44,23.68,22.30,23.65,2368100,23.65
2013-05-09,22.83,22.96,22.44,22.57,2628600,22.57
2013-05-08,23.09,23.35,22.58,22.88,2782100,22.88
2013-05-07,22.99,23.36,22.77,23.14,1989400,23.14
2013-05-06,22.86,23.11,22.77,22.91,1524700,22.91
2013-05-03,22.31,22.97,22.15,22.78,2607500,22.78
2013-05-02,21.77,22.27,21.56,22.07,2924900,22.07
2013-05-01,21.58,21.93,21.40,21.71,3503800,21.71
2013-04-30,22.00,22.01,21.60,21.79,2852500,21.79
2013-04-29,22.56,22.59,21.96,22.01,2516900,22.01
2013-04-26,22.14,22.54,21.95,22.39,4945900,22.39
2013-04-25,21.40,22.61,21.23,21.91,4069700,21.91
2013-04-24,20.54,21.85,20.52,21.31,7814800,21.31
2013-04-23,20.03,20.26,19.68,19.84,3230200,19.84
2013-04-22,20.15,20.30,19.57,19.95,2905200,19.95
2013-04-19,20.90,20.95,19.79,20.04,3423000,20.04
