Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,30.09,30.33,29.98,30.29,1022400,30.29
2013-07-11,30.13,30.29,29.90,30.14,1655100,30.14
2013-07-10,29.69,29.90,29.58,29.89,1908500,29.89
2013-07-09,29.41,29.74,29.39,29.71,1814200,29.71
2013-07-08,28.73,29.32,28.67,29.24,1423800,29.24
2013-07-05,28.64,28.70,28.27,28.62,1336200,28.62
2013-07-03,28.52,28.77,28.44,28.62,1017900,28.62
2013-07-02,28.47,28.84,28.44,28.70,2124500,28.70
2013-07-01,28.62,28.91,28.37,28.54,2070800,28.54
2013-06-28,28.44,28.81,28.15,28.64,1987600,28.64
2013-06-27,28.24,28.56,28.17,28.43,1627000,28.43
2013-06-26,28.05,28.18,27.83,28.10,1970400,28.10
2013-06-25,27.78,27.94,27.54,27.86,1910800,27.86
2013-06-24,27.81,27.96,27.40,27.69,2047700,27.69
2013-06-21,27.80,28.17,27.11,28.06,2850100,28.06
2013-06-20,28.48,28.48,27.56,27.62,2392200,27.62
2013-06-19,29.30,29.52,28.68,28.68,1354800,28.68
2013-06-18,29.19,29.46,29.06,29.38,1045700,29.38
2013-06-17,29.23,29.37,28.97,29.17,1734400,29.17
2013-06-14,28.79,29.35,28.70,29.11,2260900,29.11
2013-06-13,28.11,28.85,28.03,28.81,2127700,28.81
2013-06-12,28.60,28.60,28.03,28.14,2124700,28.14
2013-06-11,28.24,28.48,28.13,28.17,1388100,28.17
2013-06-10,28.57,28.61,28.12,28.43,1405500,28.43
2013-06-07,28.39,28.65,28.15,28.53,1639700,28.53
2013-06-06,28.00,28.38,27.82,28.38,1996300,28.38
2013-06-05,28.21,28.23,27.96,27.99,1406000,27.99
2013-06-04,28.65,28.69,28.13,28.27,2087200,28.27
2013-06-03,28.72,28.92,28.26,28.70,1786500,28.70
2013-05-31,28.65,29.15,28.63,28.73,2122700,28.73
2013-05-30,28.58,29.09,28.58,28.77,1641400,28.77
2013-05-29,28.69,28.71,28.33,28.50,2305700,28.50
2013-05-28,28.94,29.28,28.68,28.87,1982100,28.87
2013-05-24,28.69,28.78,28.41,28.77,1618900,28.77
2013-05-23,28.73,28.96,28.44,28.81,3409300,28.81
2013-05-22,29.56,29.72,28.88,29.02,2248200,29.02
2013-05-21,29.58,29.74,29.43,29.60,2882300,29.60
2013-05-20,29.77,29.88,29.57,29.63,2129700,29.63
2013-05-17,29.54,29.79,29.47,29.78,1875700,29.78
2013-05-16,29.66,29.73,29.43,29.51,2697100,29.51
2013-05-15,29.06,30.24,29.06,29.65,4339400,29.65
2013-05-14,28.73,29.20,28.68,29.09,4628200,29.09
2013-05-13,28.67,28.89,28.55,28.77,2900400,28.77
2013-05-10,28.90,28.95,28.53,28.74,3692800,28.74
2013-05-09,29.84,29.92,28.77,28.85,3933600,28.85
2013-05-08,30.20,30.25,29.77,29.84,1479100,29.84
2013-05-07,30.19,30.33,30.09,30.19,1885100,30.19
2013-05-06,30.54,30.55,30.08,30.18,1645500,30.18
2013-05-03,30.72,30.85,30.43,30.53,2418100,30.53
2013-05-02,30.65,30.77,30.44,30.57,1580800,30.57
2013-05-01,30.76,30.99,30.52,30.61,2383000,30.61
2013-04-30,30.85,30.97,30.48,30.73,3019500,30.73
2013-04-29,30.86,31.23,30.86,31.15,1300500,31.15
2013-04-26,30.89,31.21,30.76,30.82,2239900,30.82
2013-04-25,31.24,31.37,31.10,31.17,2346300,30.93
2013-04-24,31.14,31.39,31.03,31.14,2651900,30.90
2013-04-23,31.13,31.17,30.77,31.06,2055800,30.82
2013-04-22,31.09,31.20,30.81,31.04,740400,30.80
2013-04-19,30.80,31.10,30.67,31.09,1206200,30.85
2013-04-18,30.53,30.69,30.37,30.67,1866200,30.43
2013-04-17,30.40,30.49,30.07,30.45,2086500,30.22
2013-04-16,30.15,30.52,29.82,30.51,1401200,30.28
