Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,87.83,88.12,87.13,88.02,1741600,88.02
2013-07-11,87.71,87.89,87.37,87.75,1336500,87.75
2013-07-10,85.53,87.19,85.50,86.90,1710000,86.90
2013-07-09,85.51,86.00,85.00,85.53,1056300,85.53
2013-07-08,84.44,85.20,84.07,85.09,1516100,85.09
2013-07-05,83.18,83.97,83.03,83.95,663800,83.95
2013-07-03,81.99,83.20,81.74,82.93,711900,82.93
2013-07-02,83.08,83.24,81.80,82.17,1168500,82.17
2013-07-01,82.78,84.00,82.51,83.35,909000,83.35
2013-06-28,83.00,83.57,82.56,82.80,1135200,82.80
2013-06-27,82.45,83.45,82.37,83.21,951900,83.21
2013-06-26,81.50,82.12,81.34,81.84,1519400,81.84
2013-06-25,81.67,81.73,80.64,80.71,1563800,80.71
2013-06-24,81.42,81.80,80.68,81.07,1488400,81.07
2013-06-21,82.56,82.77,81.84,81.85,2789600,81.85
2013-06-20,82.30,83.16,81.95,81.97,1455400,81.97
2013-06-19,83.86,84.32,82.97,82.98,1171200,82.98
2013-06-18,83.79,84.34,83.27,83.93,1229000,83.93
2013-06-17,83.28,84.30,83.26,83.67,1000500,83.67
2013-06-14,82.73,83.68,82.60,82.88,1006000,82.88
2013-06-13,82.67,84.14,82.50,82.86,1793400,82.86
2013-06-12,83.51,83.57,82.50,82.61,969200,82.61
2013-06-11,83.08,83.73,82.85,82.97,1340000,82.97
2013-06-10,84.17,84.30,83.48,83.75,1498400,83.75
2013-06-07,82.55,84.00,82.55,83.88,1417500,83.88
2013-06-06,81.48,82.41,80.92,82.25,1802200,82.25
2013-06-05,82.13,83.06,81.36,81.45,1198800,81.45
2013-06-04,82.86,83.27,82.15,82.42,1300800,82.42
2013-06-03,82.48,83.13,81.79,83.04,1468700,83.04
2013-05-31,83.18,84.06,82.39,82.39,1784200,82.39
2013-05-30,82.69,83.99,82.69,83.49,1778700,83.49
2013-05-29,81.54,82.38,81.03,81.87,1468400,81.87
2013-05-28,81.65,82.49,81.65,82.10,1252500,82.10
2013-05-24,80.30,81.53,80.12,81.26,1092600,81.26
2013-05-23,79.78,81.00,79.59,80.64,1271000,80.64
2013-05-22,81.50,81.78,80.77,80.86,3381300,80.25
2013-05-21,81.58,82.45,81.17,81.46,3738300,80.85
2013-05-20,82.22,82.61,81.49,81.61,3576600,80.99
2013-05-17,80.24,83.28,80.24,82.19,5861300,81.57
