Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,74.53,75.52,74.36,75.20,1569200,75.20
2013-07-11,74.60,75.05,74.30,74.94,1791500,74.94
2013-07-10,73.94,74.07,72.73,73.42,2443900,73.42
2013-07-09,73.36,74.55,73.33,74.39,2070800,74.39
2013-07-08,72.48,73.31,72.11,72.86,1349000,72.86
2013-07-05,72.42,72.78,71.60,72.33,1923200,72.33
2013-07-03,72.06,72.25,71.51,71.66,1530100,71.66
2013-07-02,72.47,73.32,71.79,72.24,2011200,72.24
2013-07-01,72.99,73.40,72.24,72.61,2028000,72.61
2013-06-28,73.30,73.70,72.63,72.65,3102300,72.65
2013-06-27,73.92,74.36,72.99,73.49,2396500,73.49
2013-06-26,73.26,74.24,72.70,73.35,2341900,73.35
2013-06-25,71.13,72.59,70.89,72.50,2338300,72.50
2013-06-24,72.11,72.13,70.27,70.46,3352000,70.46
2013-06-21,74.04,74.04,72.33,72.90,3510900,72.90
2013-06-20,74.45,74.69,73.06,73.48,3997900,73.48
2013-06-19,77.09,77.38,75.42,75.45,2070500,75.45
2013-06-18,76.58,77.33,76.38,77.03,1473600,77.03
2013-06-17,76.55,76.94,75.93,76.46,1440900,76.46
2013-06-14,76.66,77.41,76.13,76.17,1924600,76.17
2013-06-13,75.61,77.07,75.25,77.00,1576800,77.00
2013-06-12,77.33,77.45,75.56,75.65,1820000,75.65
2013-06-11,77.34,77.88,76.46,76.51,1996600,76.51
2013-06-10,77.95,78.05,77.29,77.98,2254200,77.98
2013-06-07,77.08,78.36,77.00,77.41,2275900,77.41
2013-06-06,75.47,76.81,74.06,76.81,1875000,76.81
2013-06-05,76.61,76.74,75.38,75.64,2526000,75.64
2013-06-04,76.96,77.57,76.48,77.00,1769500,77.00
2013-06-03,77.01,77.29,75.86,77.07,2036200,77.07
2013-05-31,77.34,78.64,76.56,76.59,2639800,76.59
2013-05-30,77.16,78.38,76.98,77.77,1895200,77.77
2013-05-29,77.03,77.83,76.57,76.89,2353800,76.89
2013-05-28,78.79,78.97,77.55,77.61,2185400,77.61
2013-05-24,77.27,77.80,76.80,77.64,1153900,77.64
2013-05-23,77.00,77.67,76.20,77.45,2460400,77.45
2013-05-22,80.10,80.18,77.64,77.83,3882600,77.83
2013-05-21,80.34,81.00,79.94,79.98,1179000,79.98
2013-05-20,80.23,80.79,79.81,80.25,1899000,80.25
2013-05-17,79.40,80.32,79.05,80.23,1324400,80.23
2013-05-16,79.95,80.19,79.00,79.33,2071600,79.33
2013-05-15,79.77,80.46,79.48,80.36,1571900,80.36
2013-05-14,78.41,80.06,78.01,80.05,1598500,80.05
2013-05-13,78.75,78.97,77.98,78.40,1115900,78.40
2013-05-10,78.66,79.01,78.36,79.01,1408200,79.01
2013-05-09,79.21,79.34,78.38,78.59,1478900,78.59
2013-05-08,78.24,79.12,77.77,79.10,1573100,79.10
2013-05-07,77.83,78.49,77.56,78.41,1865000,78.41
2013-05-06,77.75,78.39,77.62,77.82,1315800,77.82
2013-05-03,77.16,78.79,77.16,77.81,2223200,77.81
2013-05-02,75.39,76.61,74.89,76.47,1807200,76.47
2013-05-01,76.85,76.94,74.91,75.20,2319000,75.20
2013-04-30,76.42,77.60,76.02,77.42,2709800,76.92
2013-04-29,75.65,77.21,75.56,76.60,1665600,76.11
2013-04-26,75.85,76.22,75.28,75.56,1767800,75.07
2013-04-25,75.00,76.07,74.95,75.84,1934900,75.35
2013-04-24,76.25,76.25,73.66,74.92,2799300,74.44
2013-04-23,75.62,76.34,75.55,75.84,1398300,75.35
2013-04-22,74.75,75.50,74.12,75.06,1344000,74.58
2013-04-19,73.88,74.91,73.36,74.75,1737200,74.27
2013-04-18,73.94,74.28,73.08,73.86,1824200,73.38
2013-04-17,75.33,75.33,73.44,73.71,2225300,73.23
2013-04-16,74.69,76.03,74.38,75.87,1919100,75.38
2013-04-15,76.28,76.31,74.08,74.11,3155100,73.63
2013-04-12,76.77,78.08,76.38,76.81,2192900,76.31
2013-04-11,75.64,76.53,75.11,76.19,2032600,75.70
2013-04-10,74.73,75.84,74.63,75.83,1816800,75.34
2013-04-09,75.40,75.75,74.35,74.38,2612800,73.90
2013-04-08,74.45,75.49,74.34,75.36,1637000,74.87
2013-04-05,72.73,74.80,72.26,74.52,3132900,74.04
2013-04-04,74.41,74.64,73.29,73.86,4070300,73.38
2013-04-03,76.36,76.55,74.82,75.16,2420600,74.67
2013-04-02,76.57,77.33,76.00,76.25,1578100,75.76
2013-04-01,76.94,77.00,76.00,76.12,1655100,75.63
2013-03-28,76.50,77.42,76.04,77.08,1795900,76.58
2013-03-27,75.18,76.43,74.82,76.28,1590200,75.79
2013-03-26,74.85,75.75,74.69,75.75,1474200,75.26
2013-03-25,75.18,75.36,74.05,74.38,2461700,73.90
2013-03-22,75.00,75.48,74.45,74.65,2103300,74.17
2013-03-21,75.64,76.06,74.75,74.86,1997700,74.38
2013-03-20,75.76,76.26,75.61,76.02,1710600,75.53
2013-03-19,75.70,76.05,74.60,75.45,1436500,74.96
2013-03-18,74.84,75.81,74.73,75.11,1774700,74.62
2013-03-15,74.84,75.62,74.54,75.62,2775200,75.13
2013-03-14,74.55,75.06,74.06,75.06,1410500,74.58
2013-03-13,74.67,74.81,73.89,74.30,1773600,73.82
2013-03-12,75.00,75.32,74.15,74.48,1486300,74.00
2013-03-11,74.60,75.21,74.54,75.02,1749300,74.54
2013-03-08,73.84,74.93,73.84,74.77,2202700,74.29
2013-03-07,74.53,74.54,73.11,73.39,2507400,72.92
2013-03-06,75.49,75.71,74.04,74.40,1871200,73.92
2013-03-05,74.50,75.44,74.33,75.29,2617300,74.80
2013-03-04,73.51,74.40,73.21,74.27,2429700,73.79
2013-03-01,72.61,74.10,72.21,73.75,3252900,73.27
2013-02-28,72.86,73.79,72.62,73.05,2420200,72.58
2013-02-27,71.33,73.04,71.16,72.70,2927100,72.23
2013-02-26,71.58,71.67,70.83,71.34,1879200,70.88
2013-02-25,73.35,73.50,71.43,71.44,2690700,70.98
2013-02-22,71.69,73.31,71.39,73.11,2338200,72.64
2013-02-21,72.25,72.54,71.40,71.55,2548000,71.09
2013-02-20,73.11,73.42,72.14,72.25,2386200,71.78
2013-02-19,71.89,73.26,71.68,73.20,2465700,72.73
2013-02-15,71.84,71.85,71.15,71.50,1934800,71.04
