Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,45.48,45.60,44.60,44.88,1930100,44.88
2013-07-11,45.00,45.99,44.87,45.62,2832100,45.62
2013-07-10,44.82,44.97,43.77,44.16,2165900,44.16
2013-07-09,44.30,45.03,44.30,44.79,1844100,44.79
2013-07-08,44.12,44.35,43.70,43.88,1337300,43.88
2013-07-05,43.91,44.05,43.11,43.85,963200,43.85
2013-07-03,43.38,43.80,43.23,43.55,877600,43.55
2013-07-02,43.70,44.03,43.21,43.80,1634100,43.80
2013-07-01,43.68,44.18,43.56,43.84,1430700,43.84
2013-06-28,44.08,44.17,43.29,43.32,2244700,43.32
2013-06-27,43.95,44.59,43.95,44.08,1353300,44.08
2013-06-26,43.88,43.88,42.98,43.66,1656800,43.66
2013-06-25,43.60,43.89,43.03,43.68,1744500,43.31
2013-06-24,43.50,43.52,42.22,43.13,2347800,42.77
2013-06-21,44.43,44.70,43.77,44.00,2763300,43.63
2013-06-20,44.23,45.25,43.78,44.00,3213600,43.63
2013-06-19,44.75,45.31,44.62,44.85,1684700,44.47
2013-06-18,44.91,45.19,44.61,44.87,2371200,44.49
2013-06-17,45.00,45.35,44.70,44.98,2087100,44.60
2013-06-14,45.30,45.42,44.33,44.70,2172200,44.32
2013-06-13,43.56,45.45,43.56,45.24,3576300,44.86
2013-06-12,43.90,44.20,43.49,43.92,2497500,43.55
2013-06-11,43.69,44.05,43.46,43.63,1987600,43.26
2013-06-10,44.42,44.71,44.13,44.37,1741100,44.00
2013-06-07,44.61,44.95,43.99,44.49,1534400,44.12
2013-06-06,44.37,44.59,44.00,44.48,1551500,44.11
2013-06-05,44.88,45.20,44.31,44.34,1307600,43.97
2013-06-04,44.97,45.52,44.63,45.16,1700400,44.78
2013-06-03,44.65,45.11,44.29,44.96,1774900,44.58
2013-05-31,45.42,45.79,44.51,44.51,2471800,44.14
2013-05-30,45.81,46.06,45.56,45.64,1228500,45.26
2013-05-29,45.72,46.07,45.46,45.73,1841900,45.35
2013-05-28,45.71,46.34,45.53,46.15,2190100,45.76
2013-05-24,45.34,45.70,45.06,45.22,1160800,44.84
2013-05-23,45.42,45.89,45.22,45.70,1841500,45.32
2013-05-22,47.20,47.40,45.45,46.10,3562000,45.71
2013-05-21,46.20,47.40,46.19,47.10,2564200,46.70
2013-05-20,45.67,46.38,45.48,46.15,1716600,45.76
2013-05-17,45.27,45.93,45.20,45.77,1379600,45.39
2013-05-16,45.06,46.01,44.85,44.99,2192500,44.61
2013-05-15,44.96,45.40,44.53,45.23,1460000,44.85
2013-05-14,44.77,45.60,44.64,45.34,1320500,44.96
2013-05-13,45.20,45.27,44.72,44.89,984200,44.51
2013-05-10,45.47,45.74,44.93,45.35,1854500,44.97
2013-05-09,45.82,45.96,45.29,45.45,1549500,45.07
2013-05-08,45.18,46.33,44.97,45.87,1852100,45.48
2013-05-07,44.78,45.12,44.60,45.06,1310400,44.68
2013-05-06,44.99,45.00,44.46,44.65,1462600,44.27
2013-05-03,43.95,45.11,43.94,44.92,2389500,44.54
2013-05-02,43.05,43.65,42.65,43.40,1481500,43.04
2013-05-01,43.46,43.46,42.67,42.93,1536900,42.57
2013-04-30,42.88,43.64,42.43,43.62,2057100,43.25
2013-04-29,42.93,43.29,42.76,43.14,1817200,42.78
2013-04-26,43.32,43.45,42.68,42.79,1964900,42.43
2013-04-25,43.85,44.23,43.23,43.44,3034300,43.08
2013-04-24,42.48,43.83,42.41,43.68,3446700,43.31
2013-04-23,42.44,42.65,42.00,42.30,2398700,41.94
2013-04-22,42.47,42.54,41.60,42.33,2455700,41.97
2013-04-19,42.54,42.92,41.32,42.38,4157700,42.02
2013-04-18,42.79,42.93,41.61,42.23,3589200,41.88
2013-04-17,42.88,43.01,41.99,42.53,3082500,42.17
2013-04-16,43.27,43.43,42.96,43.39,1980400,43.03
2013-04-15,43.84,43.87,42.69,42.79,3752200,42.43
2013-04-12,44.87,45.12,43.93,44.31,1999100,43.94
2013-04-11,44.95,45.41,44.62,44.99,3074300,44.61
2013-04-10,44.64,45.07,44.26,44.98,2622400,44.60
2013-04-09,44.00,44.80,43.98,44.44,2390400,44.07
2013-04-08,43.72,43.95,43.26,43.94,1965200,43.57
2013-04-05,42.89,43.90,42.50,43.76,2504100,43.39
2013-04-04,43.21,44.12,43.00,43.50,2767300,43.13
2013-04-03,43.60,44.22,42.65,43.07,3774300,42.71
2013-04-02,45.27,45.75,43.46,43.65,3661000,43.28
2013-04-01,46.16,46.24,44.90,45.14,3244400,44.76
2013-03-28,45.93,46.44,45.56,46.15,2570300,45.76
2013-03-27,45.55,46.05,45.36,46.01,1921200,45.62
2013-03-26,45.60,46.04,45.44,45.99,3001100,45.60
2013-03-25,46.32,46.41,45.50,45.89,2710800,45.14
2013-03-22,46.49,46.62,45.97,46.15,2754700,45.40
2013-03-21,46.53,47.18,46.29,46.40,1697200,45.64
2013-03-20,46.50,46.96,46.06,46.77,2229400,46.01
2013-03-19,46.23,46.51,45.74,46.15,2328600,45.40
2013-03-18,45.82,46.50,45.82,46.25,2149400,45.49
2013-03-15,46.05,46.95,46.03,46.60,3527900,45.84
2013-03-14,46.14,46.46,45.63,46.43,4328600,45.67
2013-03-13,47.27,47.32,45.93,46.54,4185900,45.78
2013-03-12,47.55,47.99,47.13,47.34,2530600,46.57
2013-03-11,47.50,47.79,46.95,47.56,2985900,46.78
2013-03-08,46.95,47.87,46.84,47.65,2665600,46.87
2013-03-07,46.51,47.15,46.49,46.78,2351200,46.02
2013-03-06,45.66,46.87,45.59,46.49,3792600,45.73
2013-03-05,45.61,46.11,45.32,45.41,2767100,44.67
2013-03-04,44.65,45.04,43.98,45.02,3116000,44.28
2013-03-01,44.69,44.99,44.24,44.37,2626600,43.65
2013-02-28,44.96,45.61,44.73,45.05,2595800,44.31
2013-02-27,43.80,45.08,43.78,44.93,2301400,44.20
