Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,14.60,14.78,14.55,14.64,5409000,14.64
2013-07-11,14.51,14.65,14.48,14.63,5995800,14.63
2013-07-10,14.24,14.47,14.20,14.43,5211700,14.43
2013-07-09,14.20,14.33,14.16,14.24,3934100,14.24
2013-07-08,14.28,14.35,14.09,14.17,6552100,14.17
2013-07-05,14.17,14.27,14.08,14.24,4617100,14.24
2013-07-03,13.97,14.30,13.97,14.13,3509700,14.13
2013-07-02,14.02,14.30,13.96,14.09,6409800,14.09
2013-07-01,14.14,14.17,14.01,14.10,4988100,14.10
2013-06-28,14.01,14.18,13.83,14.04,10788400,14.04
2013-06-27,14.18,14.20,13.86,14.01,20200900,14.01
2013-06-26,14.38,14.40,14.08,14.14,14493800,14.14
2013-06-25,14.27,14.30,14.07,14.22,11434000,14.22
2013-06-24,14.21,14.39,13.91,14.12,14519300,14.12
2013-06-21,14.52,14.57,14.18,14.42,17855700,14.42
2013-06-20,14.72,14.74,14.34,14.44,15717400,14.44
2013-06-19,14.53,15.48,14.48,14.84,28989700,14.84
2013-06-18,14.56,14.72,14.28,14.40,12169300,14.40
2013-06-17,14.46,14.62,14.38,14.49,6383400,14.49
2013-06-14,14.42,14.44,14.25,14.35,5900300,14.35
2013-06-13,14.00,14.44,13.99,14.37,5906400,14.37
2013-06-12,14.24,14.36,13.97,14.05,7814700,14.05
2013-06-11,14.25,14.45,14.17,14.17,7408400,14.17
2013-06-10,14.41,14.53,14.33,14.44,5603700,14.44
2013-06-07,14.35,14.54,14.29,14.45,6864600,14.45
2013-06-06,14.16,14.36,14.15,14.25,8526100,14.25
2013-06-05,14.45,14.56,14.12,14.16,11613000,14.16
2013-06-04,14.54,14.80,14.38,14.47,9091900,14.47
2013-06-03,14.49,14.60,14.15,14.45,11111700,14.45
2013-05-31,14.55,14.76,14.47,14.47,14437700,14.47
2013-05-30,14.42,14.78,14.38,14.63,7112600,14.63
2013-05-29,14.44,14.53,14.38,14.44,8376300,14.44
2013-05-28,14.65,14.69,14.39,14.53,6982500,14.53
2013-05-24,14.55,14.67,14.38,14.54,7082600,14.54
2013-05-23,14.23,14.68,14.19,14.63,9847100,14.63
2013-05-22,14.98,14.98,14.34,14.40,12010100,14.40
2013-05-21,14.85,14.98,14.68,14.92,8944600,14.92
2013-05-20,14.81,14.90,14.76,14.84,5909500,14.76
2013-05-17,14.70,14.97,14.59,14.87,7802900,14.79
2013-05-16,14.68,14.83,14.58,14.63,7709200,14.56
2013-05-15,14.38,14.75,14.38,14.70,7829300,14.63
2013-05-14,14.41,14.57,14.27,14.45,11353500,14.38
2013-05-13,14.44,14.50,14.18,14.24,7245300,14.17
2013-05-10,14.20,14.60,14.20,14.54,21528400,14.47
2013-05-09,13.65,13.97,13.63,13.91,14170000,13.84
2013-05-08,13.67,13.98,13.62,13.90,8350800,13.83
2013-05-07,13.83,13.86,13.52,13.65,11201700,13.58
2013-05-06,13.87,13.95,13.75,13.83,5427900,13.76
2013-05-03,13.90,13.97,13.82,13.87,7346600,13.80
2013-05-02,13.64,13.85,13.56,13.81,8087000,13.74
2013-05-01,13.77,13.86,13.60,13.65,8532900,13.58
2013-04-30,13.60,13.77,13.51,13.77,6917800,13.70
2013-04-29,13.43,13.62,13.37,13.57,6742800,13.50
2013-04-26,13.45,13.47,13.34,13.41,8108300,13.34
2013-04-25,13.43,13.50,13.31,13.47,8830600,13.40
2013-04-24,12.96,13.47,12.95,13.36,13913900,13.29
2013-04-23,12.70,13.05,12.68,12.92,9423700,12.85
2013-04-22,12.56,12.70,12.46,12.59,6139200,12.53
2013-04-19,12.53,12.61,12.37,12.57,7575700,12.51
2013-04-18,12.82,12.90,12.54,12.54,10063700,12.48
2013-04-17,12.86,12.98,12.71,12.79,13323700,12.73
2013-04-16,12.94,13.05,12.87,12.96,11721100,12.89
2013-04-15,13.05,13.09,12.74,12.82,10760500,12.76
2013-04-12,12.83,13.23,12.72,13.09,19263700,13.02
2013-04-11,12.65,12.85,12.30,12.77,24230500,12.71
2013-04-10,12.64,12.85,12.61,12.83,9617200,12.77
2013-04-09,12.44,12.72,12.35,12.63,9514600,12.57
2013-04-08,12.47,12.47,12.20,12.43,8166500,12.37
2013-04-05,12.07,12.46,12.04,12.46,13783800,12.40
2013-04-04,12.09,12.29,12.05,12.25,7366900,12.19
2013-04-03,12.26,12.33,12.04,12.13,8828900,12.07
2013-04-02,12.42,12.45,12.20,12.28,9288100,12.22
2013-04-01,12.80,12.80,12.32,12.41,11070700,12.35
2013-03-28,12.62,12.84,12.53,12.83,8731900,12.77
2013-03-27,12.45,12.72,12.42,12.65,6373600,12.59
2013-03-26,12.44,12.51,12.39,12.50,5813500,12.44
2013-03-25,12.55,12.56,12.32,12.41,9051900,12.35
2013-03-22,12.46,12.53,12.41,12.48,5811900,12.42
2013-03-21,12.55,12.57,12.40,12.42,8475800,12.36
2013-03-20,12.59,12.66,12.48,12.62,8514700,12.56
2013-03-19,12.56,12.62,12.38,12.47,8887000,12.41
2013-03-18,12.56,12.67,12.46,12.55,7457800,12.49
2013-03-15,12.75,12.75,12.59,12.64,8894400,12.58
