Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,26.95,27.08,26.78,27.04,1586300,27.04
2013-07-11,27.01,27.08,26.83,26.96,1740000,26.96
2013-07-10,26.88,26.97,26.41,26.64,1931600,26.64
2013-07-09,26.77,27.01,26.53,26.91,1629100,26.91
2013-07-08,26.27,26.63,26.15,26.53,2016000,26.53
2013-07-05,26.11,26.22,25.89,26.12,1756700,26.12
2013-07-03,26.04,26.19,25.89,26.00,900100,26.00
2013-07-02,26.12,26.42,26.06,26.12,1579500,26.12
2013-07-01,26.24,26.68,26.24,26.45,1441300,26.45
2013-06-28,26.16,26.48,26.10,26.25,3445700,26.25
2013-06-27,25.72,26.24,25.66,26.19,1983500,26.19
2013-06-26,25.69,25.79,25.38,25.53,2382000,25.53
2013-06-25,25.60,25.80,25.31,25.43,3002200,25.43
2013-06-24,25.65,25.65,25.25,25.47,3613900,25.47
2013-06-21,26.29,26.37,25.67,25.95,2625400,25.95
2013-06-20,26.50,26.52,25.99,26.06,2517800,26.06
2013-06-19,27.00,27.31,26.72,26.73,1553700,26.73
2013-06-18,26.88,27.08,26.71,27.00,2039100,27.00
2013-06-17,27.39,27.52,26.73,26.88,2804800,26.88
2013-06-14,27.11,27.50,26.94,27.17,1091900,27.17
2013-06-13,26.57,27.27,26.36,27.14,1510900,27.14
2013-06-12,27.85,27.85,26.44,26.53,1696400,26.53
2013-06-11,26.89,27.10,26.67,26.79,1741900,26.79
2013-06-10,27.38,27.40,27.03,27.15,1022800,27.15
2013-06-07,26.92,27.33,26.84,27.28,1409400,27.28
2013-06-06,26.40,26.74,26.23,26.74,2270800,26.74
2013-06-05,26.79,26.91,26.34,26.43,2121300,26.43
2013-06-04,27.03,27.17,26.78,26.90,4329600,26.90
2013-06-03,27.03,27.20,26.63,27.08,4064200,27.08
2013-05-31,27.00,27.29,26.78,27.04,2477900,27.04
2013-05-30,27.13,27.35,27.10,27.13,1277400,27.13
2013-05-29,27.20,27.29,27.00,27.03,1950000,27.03
2013-05-28,27.68,27.77,27.46,27.56,1489400,27.41
2013-05-24,27.21,27.48,27.07,27.39,1793900,27.24
2013-05-23,27.33,27.57,27.25,27.42,2531300,27.27
2013-05-22,28.09,28.30,27.47,27.64,3461900,27.49
2013-05-21,28.18,28.29,27.88,28.11,2085100,27.96
2013-05-20,27.95,28.47,27.94,28.20,3589100,28.05
2013-05-17,28.00,28.18,27.92,28.05,1469200,27.90
2013-05-16,28.06,28.31,27.84,27.95,2583600,27.80
2013-05-15,27.87,28.38,27.76,28.21,1956600,28.06
2013-05-14,27.48,27.91,27.46,27.90,2238500,27.75
2013-05-13,27.54,27.61,27.26,27.48,2007400,27.33
2013-05-10,26.75,27.63,26.65,27.58,3721500,27.43
2013-05-09,27.04,27.18,26.68,26.79,2699900,26.64
2013-05-08,26.78,27.14,26.70,27.02,2451800,26.87
2013-05-07,26.59,26.81,26.54,26.78,3494700,26.63
2013-05-06,26.52,26.68,26.23,26.49,3477400,26.35
2013-05-03,26.78,27.00,26.54,26.57,4869200,26.43
2013-05-02,26.17,26.51,26.08,26.39,5869100,26.25
2013-05-01,26.35,26.44,25.90,26.10,3039400,25.96
2013-04-30,26.32,26.47,26.27,26.34,1813500,26.20
2013-04-29,26.47,26.68,26.31,26.37,1495000,26.23
2013-04-26,26.81,26.84,26.40,26.45,2470300,26.31
2013-04-25,26.67,26.96,26.66,26.78,1810300,26.63
2013-04-24,26.70,26.78,26.29,26.52,3040800,26.38
2013-04-23,26.80,26.95,26.45,26.76,3763900,26.61
2013-04-22,26.40,26.75,26.23,26.68,2252500,26.53
2013-04-19,25.91,26.58,25.81,26.37,2841300,26.23
2013-04-18,25.43,25.94,25.28,25.84,3428400,25.70
2013-04-17,25.59,25.66,25.02,25.35,2239300,25.21
2013-04-16,25.44,25.75,25.32,25.73,1535200,25.59
