Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,41.60,41.93,41.52,41.77,1865300,41.77
2013-07-11,42.00,42.00,41.23,41.61,1695000,41.61
2013-07-10,40.87,41.66,40.85,41.59,1375500,41.59
2013-07-09,41.57,41.72,40.69,41.02,916000,41.02
2013-07-08,41.40,41.69,41.22,41.27,1056900,41.27
2013-07-05,41.14,41.56,40.89,41.22,1038100,41.22
2013-07-03,40.57,41.05,40.56,40.82,776400,40.82
2013-07-02,41.36,41.58,40.67,40.78,1601400,40.78
2013-07-01,41.56,41.97,41.40,41.43,1035000,41.43
2013-06-28,41.66,41.79,41.38,41.40,2039600,41.40
2013-06-27,41.93,42.00,41.46,41.71,1566300,41.71
2013-06-26,41.21,41.80,40.84,41.66,3916300,41.66
2013-06-25,40.86,41.26,40.49,40.90,2128400,40.90
2013-06-24,39.96,40.73,39.80,40.38,3122300,40.38
2013-06-21,40.87,40.95,40.08,40.43,2063300,40.43
2013-06-20,41.17,41.45,40.43,40.57,1455200,40.57
2013-06-19,42.18,42.27,41.48,41.52,1289000,41.52
2013-06-18,41.64,42.42,41.64,42.28,1232900,42.28
2013-06-17,40.65,41.68,40.48,41.55,1809000,41.55
2013-06-14,40.85,40.86,40.43,40.48,835600,40.48
2013-06-13,40.13,40.82,39.97,40.81,915400,40.81
2013-06-12,40.28,40.39,39.96,40.21,287200,40.21
2013-06-11,40.76,40.78,40.23,40.36,1124300,40.06
2013-06-10,40.99,41.16,40.69,41.04,877300,40.73
2013-06-07,40.35,41.00,39.87,40.97,810100,40.67
2013-06-06,39.23,40.07,39.22,40.07,995200,39.77
2013-06-05,39.05,39.46,38.92,39.22,1022300,38.93
2013-06-04,40.02,40.02,38.98,39.23,1769200,38.94
2013-06-03,40.33,40.37,39.51,39.96,1628800,39.66
2013-05-31,41.32,41.32,40.22,40.23,1869500,39.93
2013-05-30,40.22,41.44,40.16,41.33,1259200,41.02
2013-05-29,39.88,40.37,39.78,40.20,1921300,39.90
2013-05-28,39.92,40.30,39.86,40.05,1233200,39.75
2013-05-24,39.53,39.83,39.44,39.64,751100,39.35
2013-05-23,39.62,40.03,39.35,39.81,1874100,39.51
2013-05-22,40.62,40.85,39.75,40.01,2164200,39.71
2013-05-21,40.81,41.59,40.58,40.69,1632400,40.39
2013-05-20,41.34,41.53,40.94,41.09,791900,40.78
2013-05-17,40.73,41.43,40.73,41.34,1187800,41.03
2013-05-16,40.75,41.05,40.59,40.68,840700,40.38
2013-05-15,40.70,41.32,40.51,40.88,1304900,40.58
2013-05-14,40.47,41.12,40.41,41.10,1391300,40.79
2013-05-13,40.30,40.63,40.13,40.43,703200,40.13
2013-05-10,40.15,40.45,40.12,40.39,1149300,40.09
2013-05-09,40.30,40.45,40.07,40.22,1923200,39.92
2013-05-08,40.02,40.35,39.80,40.29,1525400,39.99
2013-05-07,40.26,40.45,40.01,40.19,1775200,39.89
2013-05-06,40.36,40.48,40.22,40.31,1765000,40.01
2013-05-03,40.53,40.77,40.35,40.38,1884800,40.08
2013-05-02,39.46,40.36,39.37,40.35,1898800,40.05
2013-05-01,38.69,40.11,38.34,39.47,9918800,39.18
2013-04-30,38.65,38.97,38.21,38.81,8983500,38.52
2013-04-29,38.31,38.73,38.18,38.65,1373000,38.36
2013-04-26,38.29,38.44,38.06,38.31,984100,38.03
2013-04-25,38.12,38.42,38.01,38.30,1682900,38.02
2013-04-24,37.96,38.23,37.85,38.12,1015000,37.84
2013-04-23,37.67,38.04,37.60,37.95,1667900,37.67
2013-04-22,37.26,37.72,37.04,37.58,1300200,37.30
2013-04-19,37.12,37.36,37.01,37.24,1041800,36.96
2013-04-18,37.31,37.56,36.92,36.95,960000,36.68
2013-04-17,37.29,37.40,37.07,37.21,1369700,36.93
2013-04-16,37.49,37.61,37.19,37.56,913000,37.28
2013-04-15,37.99,38.25,37.27,37.27,1112900,36.99
2013-04-12,37.86,38.05,37.76,38.05,783400,37.77
2013-04-11,37.97,38.18,37.81,37.99,931200,37.71
2013-04-10,37.57,37.99,37.46,37.93,1043600,37.65
2013-04-09,37.55,37.60,37.25,37.45,775200,37.17
2013-04-08,37.31,37.58,37.13,37.58,2160000,37.30
2013-04-05,37.35,37.42,36.54,37.34,2922100,37.06
2013-04-04,37.63,38.02,37.58,37.81,893500,37.53
2013-04-03,38.41,38.46,37.57,37.58,2836700,37.30
2013-04-02,38.32,38.72,38.26,38.39,2848900,38.10
2013-04-01,38.65,38.75,38.20,38.32,820600,38.04
2013-03-28,38.05,38.75,37.95,38.64,1649400,38.35
2013-03-27,38.27,38.29,37.91,38.18,822200,37.90
2013-03-26,38.58,38.58,38.04,38.43,871200,38.14
2013-03-25,38.57,38.72,38.30,38.39,1067900,38.10
2013-03-22,38.28,38.53,38.20,38.48,1159100,38.19
2013-03-21,38.23,38.56,38.13,38.20,1607500,37.92
2013-03-20,38.02,38.50,37.92,38.34,1273600,38.06
2013-03-19,38.02,38.09,37.38,37.91,1132400,37.63
2013-03-18,37.63,38.14,37.52,38.03,2093800,37.75
2013-03-15,38.24,38.34,37.94,38.08,1932400,37.80
2013-03-14,37.91,38.39,37.71,38.35,1722600,38.06
2013-03-13,37.70,37.99,37.58,37.95,962800,37.67
2013-03-12,37.62,37.78,37.58,37.70,1240700,37.42
2013-03-11,37.90,38.11,37.62,38.06,938200,37.48
2013-03-08,38.31,38.31,37.86,37.97,1087200,37.39
2013-03-07,38.23,38.30,37.83,37.99,1325400,37.41
