Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,29.48,29.59,29.12,29.33,737800,29.33
2013-07-11,29.35,29.59,29.27,29.49,1111700,29.49
2013-07-10,28.56,28.95,28.54,28.92,1583600,28.92
2013-07-09,28.62,28.77,28.47,28.72,1225600,28.72
2013-07-08,28.49,28.60,28.30,28.40,742500,28.40
2013-07-05,28.03,28.34,27.87,28.33,611400,28.33
2013-07-03,27.94,28.07,27.69,27.78,418400,27.78
2013-07-02,27.61,28.33,27.56,28.17,1809000,28.17
2013-07-01,27.92,28.71,27.71,27.74,1885900,27.74
2013-06-28,28.03,28.16,27.69,27.79,1380400,27.79
2013-06-27,27.07,28.22,27.06,28.16,1775300,28.16
2013-06-26,27.09,27.27,26.60,26.81,748000,26.81
2013-06-25,27.34,27.39,26.82,26.90,1530600,26.90
2013-06-24,26.94,27.21,26.31,27.06,1328400,27.06
2013-06-21,27.16,27.44,26.82,27.36,1654200,27.36
2013-06-20,27.11,27.24,26.62,26.91,2001700,26.91
2013-06-19,28.00,28.18,27.57,27.57,842200,27.57
2013-06-18,27.98,28.16,27.83,28.03,1000600,28.03
2013-06-17,28.03,28.27,27.80,27.94,1258200,27.94
2013-06-14,28.00,28.16,27.60,27.77,524500,27.77
2013-06-13,26.60,28.25,26.58,28.17,1819800,28.17
2013-06-12,27.16,27.23,26.53,26.60,591900,26.60
2013-06-11,27.06,27.40,26.87,26.95,1045900,26.95
2013-06-10,27.85,27.92,27.45,27.57,706200,27.57
2013-06-07,27.30,27.79,27.15,27.75,899600,27.75
2013-06-06,27.04,27.27,26.95,27.12,848600,27.12
2013-06-05,27.44,27.54,26.86,27.02,1072900,27.02
2013-06-04,27.60,27.84,27.27,27.52,1140900,27.52
2013-06-03,27.49,27.92,26.97,27.57,943900,27.57
2013-05-31,27.60,28.26,27.45,27.45,1090200,27.45
2013-05-30,27.97,28.20,27.74,27.81,845900,27.81
2013-05-29,27.80,27.99,27.38,27.86,841100,27.86
2013-05-28,28.00,28.46,27.92,28.03,1077400,28.03
2013-05-24,27.86,27.90,27.30,27.55,1172000,27.55
2013-05-23,28.29,28.49,27.84,28.13,1057600,28.13
2013-05-22,28.96,29.65,28.58,28.74,1711600,28.74
2013-05-21,28.88,29.16,28.83,28.88,1023700,28.88
2013-05-20,28.62,29.07,28.52,28.89,1321000,28.89
2013-05-17,28.59,28.87,28.53,28.75,849000,28.75
2013-05-16,28.41,28.78,28.34,28.49,1057200,28.49
2013-05-15,28.52,28.92,28.25,28.57,1118400,28.57
2013-05-14,28.36,28.72,28.24,28.71,527000,28.71
2013-05-13,28.29,28.56,28.04,28.36,902400,28.36
2013-05-10,28.19,28.42,28.01,28.24,533200,28.24
2013-05-09,28.34,28.49,28.07,28.26,995200,28.26
2013-05-08,28.01,28.51,27.95,28.49,1244300,28.49
2013-05-07,27.80,28.05,27.62,28.04,1096100,28.04
2013-05-06,27.45,27.79,27.43,27.76,1101000,27.76
2013-05-03,27.17,27.78,27.02,27.45,1810800,27.45
2013-05-02,26.35,26.92,26.20,26.82,1596300,26.82
2013-05-01,26.18,26.46,26.08,26.29,1556600,26.29
2013-04-30,25.88,26.31,25.52,26.28,1183900,26.28
2013-04-29,25.48,26.02,25.31,25.94,922100,25.94
2013-04-26,25.39,25.57,25.19,25.35,1006200,25.35
2013-04-25,25.41,25.72,25.10,25.46,1365600,25.46
2013-04-24,25.70,25.99,24.96,25.30,2787700,25.30
2013-04-23,25.32,25.88,25.10,25.81,2059600,25.81
2013-04-22,24.92,25.40,24.50,25.21,1223000,25.21
2013-04-19,24.38,24.97,24.28,24.88,1311600,24.88
2013-04-18,24.59,24.82,24.13,24.26,1515800,24.26
2013-04-17,25.15,25.22,24.18,24.55,1791600,24.55
2013-04-16,25.05,25.45,24.99,25.44,866400,25.44
2013-04-15,25.97,26.10,24.67,24.70,1405600,24.70
2013-04-12,26.30,26.42,26.02,26.24,970400,26.24
2013-04-11,26.28,26.72,26.13,26.49,995700,26.49
2013-04-10,25.71,26.28,25.58,26.26,1164400,26.26
2013-04-09,25.62,25.91,25.56,25.63,944900,25.63
2013-04-08,24.81,25.58,24.73,25.58,1357100,25.58
2013-04-05,24.73,24.79,24.26,24.74,1506200,24.74
2013-04-04,25.29,25.35,24.99,25.11,1160300,25.11
2013-04-03,26.17,26.20,25.05,25.27,1377100,25.27
2013-04-02,26.33,26.50,26.06,26.20,922700,26.20
2013-04-01,26.66,26.76,26.01,26.27,778500,26.27
2013-03-28,26.58,26.68,26.31,26.65,1335000,26.65
2013-03-27,26.06,26.60,25.93,26.52,1638700,26.52
2013-03-26,26.75,26.84,26.15,26.33,1383100,26.33
2013-03-25,26.64,26.81,26.40,26.62,1732300,26.62
2013-03-22,26.94,27.05,26.45,26.56,1452000,26.56
2013-03-21,27.43,27.55,26.86,26.88,1419000,26.88
2013-03-20,27.23,27.79,26.99,27.66,1505600,27.66
2013-03-19,27.09,27.31,26.69,27.07,1149800,27.07
2013-03-18,26.54,27.15,26.43,27.00,1313500,27.00
2013-03-15,27.06,27.22,26.77,26.94,2353600,26.94
2013-03-14,26.75,27.28,26.68,27.19,1165900,27.19
2013-03-13,26.65,26.74,26.39,26.72,1124000,26.72
2013-03-12,27.00,27.01,26.42,26.65,1555200,26.65
2013-03-11,26.63,27.07,26.46,27.06,1397900,27.06
2013-03-08,26.16,26.50,26.05,26.49,1023700,26.49
2013-03-07,25.74,26.11,25.74,26.07,1457500,26.07
