Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,66.00,66.60,66.00,66.34,1799200,66.34
2013-07-11,65.82,66.26,65.56,66.14,1568800,66.14
2013-07-10,64.75,65.19,64.53,64.99,1283100,64.99
2013-07-09,64.50,64.88,64.13,64.74,1305300,64.74
2013-07-08,63.93,64.17,63.63,64.15,1432700,64.15
2013-07-05,63.19,63.56,62.74,63.50,1221900,63.50
2013-07-03,62.25,63.08,61.76,62.48,1436100,62.48
2013-07-02,62.55,63.37,61.99,62.69,1864200,62.69
2013-07-01,62.89,63.37,62.65,62.72,1532700,62.72
2013-06-28,63.06,63.61,62.78,62.87,1837400,62.87
2013-06-27,62.87,63.42,62.70,63.18,1069800,63.18
2013-06-26,62.20,62.73,61.76,62.45,1016100,62.45
2013-06-25,61.78,62.23,61.32,61.60,1469200,61.60
2013-06-24,61.55,61.71,60.67,61.23,1561300,61.23
2013-06-21,62.27,62.33,61.26,62.03,2397300,62.03
2013-06-20,62.26,62.58,61.32,61.66,1347100,61.66
2013-06-19,63.94,64.25,62.91,62.92,900600,62.92
2013-06-18,63.42,63.99,63.25,63.82,848200,63.82
2013-06-17,63.18,63.61,62.95,63.29,897000,63.29
2013-06-14,62.95,63.19,62.50,62.76,916400,62.76
2013-06-13,61.48,63.11,61.35,62.94,1470200,62.94
2013-06-12,62.51,62.51,61.28,61.43,1216500,61.43
2013-06-11,62.31,63.12,62.16,62.20,1536700,61.80
2013-06-10,64.06,64.21,62.81,63.11,1969700,62.70
2013-06-07,62.56,63.95,61.10,63.93,5026500,63.52
2013-06-06,60.53,61.00,60.12,61.00,1448500,60.61
2013-06-05,61.83,61.83,60.11,60.51,2867000,60.12
2013-06-04,62.14,62.65,61.41,61.93,2166200,61.53
2013-06-03,62.15,62.23,61.39,62.04,1529500,61.64
2013-05-31,62.82,63.45,62.13,62.13,1684000,61.73
2013-05-30,62.80,63.20,62.61,63.03,1771600,62.62
2013-05-29,63.38,63.43,62.37,62.62,1593100,62.22
2013-05-28,64.14,64.29,63.24,63.79,2218700,63.38
2013-05-24,61.29,63.75,60.99,63.58,4782700,63.17
2013-05-23,61.51,62.16,61.08,61.52,2787300,61.12
2013-05-22,63.08,63.45,61.82,62.10,2099800,61.70
2013-05-21,63.55,63.78,62.64,63.00,2611600,62.59
2013-05-20,63.31,63.78,63.28,63.36,1417100,62.95
2013-05-17,62.98,63.38,62.65,63.31,2638800,62.90
2013-05-16,63.46,63.78,62.89,62.99,950700,62.58
2013-05-15,63.28,63.78,63.05,63.70,1161700,63.29
2013-05-14,62.75,63.41,62.59,63.36,1467000,62.95
2013-05-13,63.21,63.26,62.56,62.88,1181600,62.48
2013-05-10,62.51,63.33,62.49,63.32,1307200,62.91
2013-05-09,62.13,62.61,62.11,62.45,1954900,62.05
