Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,90.22,90.39,89.48,90.22,3994300,90.22
2013-07-11,90.45,90.72,89.45,90.42,3877100,90.42
2013-07-10,90.16,90.21,89.12,89.28,4572300,89.28
2013-07-09,91.45,91.68,89.59,89.94,5232300,89.94
2013-07-08,91.55,92.19,90.54,90.84,3032000,90.84
2013-07-05,90.05,91.09,89.35,90.83,2361300,90.83
2013-07-03,90.10,90.20,89.03,89.76,2435300,89.76
2013-07-02,90.07,91.36,89.91,90.57,3289400,90.57
2013-07-01,89.92,90.60,89.70,90.02,2835300,90.02
2013-06-28,89.99,90.27,89.21,89.23,3441600,89.23
2013-06-27,89.91,91.26,89.52,90.31,3372800,90.31
2013-06-26,89.93,90.05,88.29,89.25,3457400,89.25
2013-06-25,89.25,89.25,87.89,88.67,3465400,88.67
2013-06-24,88.84,89.60,87.56,88.63,5642200,88.63
2013-06-21,89.76,90.61,88.56,89.92,7413900,89.92
2013-06-20,90.82,90.94,88.49,88.94,5442800,88.94
2013-06-19,92.63,93.20,91.76,91.76,3064600,91.76
2013-06-18,92.40,93.25,92.20,92.43,2840100,92.43
2013-06-17,92.66,93.24,91.81,92.61,2665800,92.61
2013-06-14,93.16,93.35,91.32,91.89,2403700,91.89
2013-06-13,91.01,93.53,90.81,93.04,3989300,93.04
2013-06-12,91.90,92.29,90.63,90.95,3028700,90.95
2013-06-11,91.39,92.54,90.61,91.25,4845800,91.25
2013-06-10,93.07,93.39,92.09,92.29,4297600,92.29
2013-06-07,93.01,93.62,92.04,93.12,6449000,93.12
2013-06-06,92.94,93.40,91.86,92.55,5802100,92.55
2013-06-05,93.43,94.41,92.77,93.38,5204400,92.74
2013-06-04,93.95,95.31,93.78,94.26,6425000,93.61
2013-06-03,93.00,94.30,92.46,94.27,6765400,93.62
2013-05-31,94.75,95.57,92.07,92.07,9605700,91.44
2013-05-30,94.46,95.56,93.90,94.75,6121300,94.10
2013-05-29,92.44,94.90,92.15,94.55,6962900,93.90
2013-05-28,92.50,93.49,92.24,92.65,5013600,92.02
2013-05-24,90.20,91.22,89.43,90.78,3863800,90.16
2013-05-23,90.00,90.57,88.90,90.53,4647600,89.91
2013-05-22,92.58,93.35,90.29,91.10,7651300,90.48
2013-05-21,93.59,94.42,93.02,93.06,4248600,92.42
2013-05-20,92.84,93.74,92.68,93.69,3358000,93.05
2013-05-17,91.14,92.84,90.67,92.84,6474800,92.20
2013-05-16,90.54,91.93,90.23,91.03,4366500,90.41
2013-05-15,90.52,91.09,89.92,90.93,4027100,90.31
2013-05-14,90.50,91.43,90.27,91.03,5986500,90.41
2013-05-13,89.07,90.53,88.85,90.53,5584000,89.91
2013-05-10,87.90,89.18,87.90,89.17,5225100,88.56
2013-05-09,89.28,89.34,87.89,88.20,5901900,87.60
2013-05-08,89.24,89.93,88.85,89.28,4263300,88.67
2013-05-07,89.54,89.95,88.64,89.25,5558800,88.64
2013-05-06,90.69,91.00,89.10,89.36,6250300,88.75
2013-05-03,88.92,91.99,88.90,90.76,11853000,90.14
2013-05-02,88.09,88.46,86.91,88.09,5356800,87.49
2013-05-01,88.48,88.85,87.05,87.55,7252600,86.95
