Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,39.47,39.49,38.89,39.40,2299800,39.40
2013-07-11,38.72,38.99,38.71,38.89,1759700,38.89
2013-07-10,38.04,38.62,38.04,38.48,1558600,38.48
2013-07-09,38.20,38.24,37.98,38.15,1674300,38.15
2013-07-08,37.99,38.06,37.67,38.04,2509300,38.04
2013-07-05,37.50,37.70,37.14,37.61,1219400,37.61
2013-07-03,36.86,37.36,36.81,37.16,901300,37.16
2013-07-02,36.79,37.26,36.62,36.94,2939000,36.94
2013-07-01,36.43,36.88,36.32,36.66,2307100,36.66
2013-06-28,36.16,36.77,36.00,36.51,4584900,36.51
2013-06-27,36.97,37.00,35.74,36.60,7255200,36.60
2013-06-26,37.88,38.14,37.62,37.99,2363900,37.99
2013-06-25,37.67,37.73,37.14,37.63,2003500,37.63
2013-06-24,36.99,37.37,36.84,37.24,3213400,37.24
2013-06-21,36.96,37.29,36.67,37.17,3338600,37.17
2013-06-20,36.95,37.19,36.69,36.74,2798600,36.74
2013-06-19,37.76,37.90,37.34,37.36,1520800,37.36
2013-06-18,37.84,37.93,37.47,37.80,1640900,37.80
2013-06-17,37.44,38.00,37.36,37.84,2278600,37.84
2013-06-14,37.07,37.35,36.95,37.14,1391000,37.14
2013-06-13,36.63,37.21,36.48,37.11,1602900,37.11
2013-06-12,36.95,37.01,36.56,36.56,1862100,36.56
2013-06-11,36.89,37.19,36.72,36.74,1392400,36.74
2013-06-10,37.09,37.26,36.90,37.08,1133600,37.08
2013-06-07,36.90,37.19,36.70,37.15,1242000,37.15
2013-06-06,36.14,36.77,36.14,36.72,2142200,36.72
2013-06-05,37.06,37.11,36.48,36.66,1820900,36.66
2013-06-04,37.44,37.60,36.92,37.10,1818700,37.10
2013-06-03,37.49,37.69,37.23,37.38,2616300,37.38
2013-05-31,37.54,38.00,37.23,37.23,3350000,37.23
2013-05-30,37.83,38.05,37.57,37.76,1888600,37.76
2013-05-29,37.96,38.06,37.56,37.83,2033700,37.83
2013-05-28,38.24,38.66,38.16,38.26,1660200,38.26
2013-05-24,37.76,37.89,37.59,37.86,1715200,37.86
2013-05-23,37.69,38.20,37.69,37.95,1901400,37.95
2013-05-22,38.26,38.55,37.77,37.98,1888000,37.98
2013-05-21,38.17,38.35,38.06,38.20,1499600,38.20
2013-05-20,38.33,38.52,38.06,38.18,1748100,38.18
2013-05-17,38.23,38.54,38.18,38.52,2095100,38.52
2013-05-16,38.54,38.58,37.90,37.94,2798000,37.94
2013-05-15,38.14,38.66,38.06,38.65,3229000,38.65
2013-05-14,37.64,38.21,37.63,38.20,2507500,38.20
2013-05-13,37.62,37.77,37.47,37.53,1279200,37.53
2013-05-10,37.52,37.76,37.36,37.74,1509900,37.74
2013-05-09,37.08,37.59,37.08,37.42,2047000,37.42
2013-05-08,36.92,37.23,36.92,37.18,1307900,37.18
2013-05-07,37.09,37.26,37.00,37.08,1339800,37.08
2013-05-06,37.23,37.32,36.96,37.11,1897000,37.11
2013-05-03,37.01,37.47,36.64,37.37,2700400,37.37
2013-05-02,36.51,36.93,36.37,36.90,2302600,36.90
2013-05-01,36.48,36.63,36.21,36.30,2142800,36.30
2013-04-30,36.05,36.42,36.02,36.41,2111400,36.41
2013-04-29,35.99,36.25,35.83,36.13,1419000,36.13
2013-04-26,36.23,36.31,35.85,35.87,2156900,35.87
2013-04-25,36.17,36.33,36.06,36.28,1847400,36.28
2013-04-24,36.14,36.25,35.98,36.04,1665100,36.04
2013-04-23,35.87,36.07,35.54,36.05,2486800,36.05
2013-04-22,35.60,35.71,35.10,35.56,1706500,35.56
2013-04-19,35.17,35.48,35.17,35.40,2532600,35.40
2013-04-18,35.79,35.83,35.16,35.33,2526200,35.33
2013-04-17,35.41,35.74,35.24,35.63,3646100,35.63
2013-04-16,35.50,35.78,35.37,35.66,2818800,35.66
2013-04-15,35.85,36.15,35.26,35.34,3425200,35.34
2013-04-12,36.11,36.14,35.81,36.14,1801700,36.14
2013-04-11,35.78,36.16,35.76,36.09,1616400,36.09
2013-04-10,35.31,35.84,35.23,35.80,2582900,35.80
2013-04-09,35.24,35.30,34.88,35.22,2618700,35.22
2013-04-08,34.87,35.06,34.78,35.06,1529900,35.06
2013-04-05,35.45,35.45,34.65,34.89,3799300,34.89
2013-04-04,35.45,35.79,35.42,35.61,1849300,35.61
2013-04-03,35.89,35.95,35.38,35.46,3064300,35.46
2013-04-02,35.61,35.90,35.29,35.87,3392200,35.87
2013-04-01,34.86,35.50,34.85,35.33,3701800,35.33
2013-03-28,34.83,35.18,34.10,35.06,4963600,35.06
2013-03-27,34.57,34.98,34.48,34.76,2900100,34.76
2013-03-26,34.42,34.91,34.42,34.84,2318100,34.84
2013-03-25,34.49,34.67,34.25,34.35,2769400,34.35
2013-03-22,34.19,34.44,34.03,34.44,2151700,34.44
2013-03-21,34.29,34.29,33.99,34.16,2783800,34.16
2013-03-20,34.11,34.47,33.84,34.39,3160200,34.39
2013-03-19,33.83,34.02,33.63,33.91,2430200,33.91
2013-03-18,33.72,34.02,33.65,33.79,1688300,33.79
2013-03-15,34.13,34.24,33.85,33.99,2971500,33.99
2013-03-14,34.10,34.26,34.05,34.25,1737400,34.25
2013-03-13,34.05,34.19,33.83,34.12,1811400,34.12
2013-03-12,33.99,34.05,33.76,33.89,1806700,33.89
2013-03-11,34.01,34.11,33.80,33.95,2032700,33.95
2013-03-08,34.24,34.25,33.84,33.99,1901600,33.99
2013-03-07,33.84,34.20,33.77,34.06,2913500,34.06
2013-03-06,34.00,34.09,33.65,33.78,1883200,33.78
2013-03-05,33.69,33.99,33.60,33.94,2253300,33.94
2013-03-04,33.14,33.54,33.02,33.52,2412600,33.52
2013-03-01,32.73,33.40,32.73,33.35,2970900,33.35
2013-02-28,33.15,33.33,33.06,33.11,3224700,33.11
2013-02-27,32.96,33.24,32.91,33.17,3628300,33.17
2013-02-26,33.23,33.44,32.88,32.99,3520900,32.99
2013-02-25,33.39,33.62,33.00,33.01,3045800,33.01
2013-02-22,33.13,33.25,32.96,33.12,2393900,33.12
2013-02-21,33.65,33.66,32.87,33.01,3844900,33.01
2013-02-20,33.97,34.05,33.69,33.71,2067700,33.71
2013-02-19,33.95,33.96,33.73,33.93,2293400,33.93
2013-02-15,33.66,34.00,33.65,33.97,3188100,33.97
2013-02-14,33.48,33.72,33.36,33.72,1964100,33.72
2013-02-13,33.20,33.64,33.20,33.53,1721300,33.53
2013-02-12,33.28,33.49,33.20,33.44,1947500,33.44
2013-02-11,33.28,33.38,33.11,33.32,1874100,33.32
2013-02-08,33.34,33.60,33.19,33.32,2047100,33.32
2013-02-07,33.22,33.37,32.93,33.22,2637500,33.22
2013-02-06,33.29,33.42,33.03,33.27,3915000,33.27
2013-02-05,32.97,33.36,32.83,33.35,3434200,33.35
2013-02-04,32.95,33.14,32.61,32.71,2853100,32.71
2013-02-01,32.75,33.09,32.72,32.86,4356800,32.86
2013-01-31,32.35,32.69,32.32,32.65,7189200,32.65
2013-01-30,32.50,32.56,32.17,32.28,4134900,32.28
2013-01-29,32.02,32.61,31.95,32.58,3856700,32.58
2013-01-28,31.91,32.09,31.67,31.95,2374000,31.95
2013-01-25,31.75,31.87,31.54,31.84,3416400,31.84
2013-01-24,32.37,32.39,31.73,31.74,5164200,31.74
2013-01-23,32.54,32.65,32.22,32.28,3174000,32.28
2013-01-22,32.45,32.54,32.23,32.47,1807700,32.47
2013-01-18,32.05,32.39,31.97,32.38,2881300,32.38
2013-01-17,32.08,32.17,31.95,32.02,1501700,32.02
2013-01-16,32.13,32.28,31.91,31.95,1303700,31.95
2013-01-15,32.24,32.31,31.98,32.08,1609000,32.08
2013-01-14,31.77,32.36,31.77,32.27,2890300,32.27
2013-01-11,31.90,32.04,31.55,31.78,2583800,31.78
2013-01-10,32.10,32.16,31.73,31.85,2609200,31.85
2013-01-09,32.03,32.24,31.85,31.96,2181700,31.96
2013-01-08,31.93,32.14,31.90,31.95,2583100,31.95
2013-01-07,32.19,32.20,31.90,32.02,1804200,32.02
2013-01-04,32.08,32.21,31.76,32.17,2048900,32.17
2013-01-03,31.69,32.20,31.66,31.90,2615700,31.90
2013-01-02,31.70,31.85,31.47,31.85,3487000,31.85
2012-12-31,30.57,31.14,30.55,31.10,2940900,31.10
2012-12-28,30.97,31.23,30.82,30.88,2996500,30.88
2012-12-27,31.09,31.18,30.70,31.11,2779200,31.11
2012-12-26,31.50,31.56,31.02,31.15,2116700,31.15
2012-12-24,31.44,31.63,31.19,31.50,1621700,31.50
2012-12-21,31.78,32.36,31.32,31.40,8462700,31.40
2012-12-20,32.77,32.81,32.14,32.39,13485200,32.39
2012-12-19,33.27,33.40,32.99,33.05,3905200,33.05
2012-12-18,33.28,33.47,32.99,33.16,5521200,33.16
2012-12-17,33.74,33.99,33.58,33.92,3172200,33.26
2012-12-14,33.61,33.79,33.56,33.71,1996900,33.05
2012-12-13,33.87,34.03,33.59,33.71,2174000,33.05
2012-12-12,33.98,34.06,33.77,33.82,4443300,33.16
2012-12-11,33.36,33.93,33.34,33.90,3789000,33.24
2012-12-10,33.11,33.48,33.11,33.26,2104200,32.61
2012-12-07,33.23,33.30,32.92,33.19,1625500,32.54
2012-12-06,33.00,33.19,32.91,33.13,1820300,32.49
2012-12-05,32.80,33.06,32.69,32.97,2293300,32.33
2012-12-04,32.45,32.90,32.39,32.79,2167400,32.15
2012-12-03,32.63,32.65,32.33,32.48,1588200,31.85
2012-11-30,32.50,32.70,32.44,32.54,2386600,31.91
2012-11-29,32.30,32.47,32.21,32.44,1292200,31.81
2012-11-28,32.04,32.25,31.97,32.24,1745600,31.61
2012-11-27,32.21,32.29,31.99,32.08,1701300,31.46
2012-11-26,32.28,32.46,32.09,32.24,1720800,31.61
2012-11-23,32.36,32.47,32.07,32.44,793000,31.81
2012-11-21,32.12,32.14,31.92,32.13,1744000,31.50
2012-11-20,32.06,32.07,31.75,32.01,2682100,31.39
2012-11-19,32.12,32.12,31.75,31.93,2737600,31.31
2012-11-16,31.49,31.82,31.43,31.74,2033600,31.12
2012-11-15,31.28,31.68,31.27,31.57,2446700,30.96
2012-11-14,32.15,32.15,31.49,31.55,2018300,30.94
2012-11-13,32.07,32.43,32.05,32.12,1651000,31.50
2012-11-12,32.21,32.40,32.18,32.22,1449300,31.59
2012-11-09,32.09,32.37,32.02,32.16,2467300,31.53
2012-11-08,32.50,32.68,32.21,32.22,1517500,31.59
2012-11-07,32.77,32.92,32.53,32.65,2268500,32.01
2012-11-06,32.97,33.38,32.92,33.02,2034700,32.38
2012-11-05,32.79,32.94,32.54,32.75,1711000,32.11
2012-11-02,33.61,33.61,32.87,32.94,5192100,32.30
2012-11-01,32.60,33.36,32.43,33.30,2629900,32.65
2012-10-31,32.88,32.89,32.22,32.42,2379200,31.79
2012-10-26,32.74,33.00,32.66,32.93,1722400,31.97
2012-10-25,32.95,32.96,32.66,32.81,1713300,31.85
2012-10-24,32.96,32.97,32.70,32.77,1413200,31.81
2012-10-23,32.40,32.94,32.22,32.76,2303700,31.80
2012-10-22,32.50,32.70,32.40,32.64,1246400,31.68
2012-10-19,32.98,32.98,32.51,32.55,1987800,31.60
2012-10-18,33.08,33.24,32.83,32.96,1973600,31.99
2012-10-17,32.89,33.17,32.80,33.07,1007200,32.10
2012-10-16,32.88,33.13,32.73,32.97,1137800,32.00
2012-10-15,32.81,32.91,32.67,32.84,1151800,31.88
2012-10-12,32.82,32.95,32.57,32.63,1925900,31.67
2012-10-11,33.04,33.05,32.67,32.70,1223000,31.74
2012-10-10,33.05,33.06,32.70,32.76,1134400,31.80
2012-10-09,33.39,33.40,32.90,32.97,1220400,32.00
2012-10-08,33.33,33.41,33.18,33.35,1024800,32.37
2012-10-05,33.74,33.91,33.48,33.57,1273100,32.59
2012-10-04,33.39,33.48,33.21,33.37,1646800,32.39
2012-10-03,33.18,33.33,32.99,33.27,1475700,32.30
2012-10-02,32.88,33.21,32.77,33.01,2735500,32.04
2012-10-01,33.06,33.36,32.65,32.71,3920000,31.75
2012-09-28,33.23,33.38,33.03,33.29,1991000,32.32
2012-09-27,33.26,33.36,33.08,33.20,2453100,32.23
2012-09-26,33.22,33.44,32.94,33.17,3270900,32.20
2012-09-25,33.13,33.89,32.90,33.41,6048600,32.43
2012-09-24,34.49,34.54,34.23,34.38,2586900,33.37
2012-09-21,34.46,34.70,34.43,34.55,2788700,33.54
2012-09-20,34.35,34.56,34.26,34.47,1985900,33.46
2012-09-19,34.36,34.66,34.27,34.48,1970100,33.47
2012-09-18,34.32,34.40,34.11,34.30,1788100,33.30
2012-09-17,34.32,34.48,34.12,34.24,4924100,33.24
2012-09-14,34.24,34.48,34.03,34.46,2112700,33.45
2012-09-13,33.46,34.30,33.46,34.14,2359300,33.14
2012-09-12,33.89,34.04,33.60,33.72,4002200,32.73
2012-09-11,34.13,34.25,33.99,34.11,1336100,33.11
2012-09-10,34.21,34.27,34.10,34.13,1133600,33.13
2012-09-07,34.23,34.34,34.15,34.22,1524800,33.22
2012-09-06,33.70,34.23,33.57,34.22,2211200,33.22
2012-09-05,33.51,33.62,33.22,33.50,1748100,32.52
2012-09-04,33.13,33.51,32.87,33.47,1923300,32.49
2012-08-31,33.40,33.44,32.99,33.26,2152500,32.29
2012-08-30,33.18,33.31,32.99,33.20,1740600,32.23
2012-08-29,33.15,33.31,32.98,33.24,1137400,32.27
2012-08-28,33.18,33.31,33.00,33.23,1253900,32.26
2012-08-27,33.17,33.34,33.10,33.23,1506000,32.26
2012-08-24,32.93,33.23,32.86,33.19,1391700,32.22
2012-08-23,32.83,33.03,32.67,32.98,1687400,32.01
2012-08-22,32.84,32.98,32.71,32.86,1384000,31.90
2012-08-21,32.89,33.04,32.75,32.90,2085500,31.94
2012-08-20,33.22,33.23,32.68,32.77,1746700,31.81
2012-08-17,33.37,33.37,33.04,33.24,1540900,32.27
2012-08-16,32.99,33.34,32.89,33.28,1825800,32.31
2012-08-15,33.07,33.08,32.80,32.84,1851500,31.88
2012-08-14,33.23,33.23,32.92,32.97,1564700,32.00
2012-08-13,33.03,33.17,32.92,33.14,1193400,32.17
2012-08-10,32.84,33.23,32.76,33.18,1899900,32.21
2012-08-09,32.94,32.97,32.74,32.92,1270700,31.96
2012-08-08,32.64,33.00,32.59,32.92,1704000,31.96
2012-08-07,32.66,32.73,32.31,32.56,2228000,31.61
2012-08-06,32.76,32.85,32.39,32.43,2144500,31.48
2012-08-03,32.57,32.79,32.56,32.61,2178300,31.66
2012-08-02,32.26,32.40,31.91,32.06,3837000,31.12
2012-08-01,32.90,32.95,32.28,32.38,3097900,31.43
2012-07-31,32.83,32.94,32.65,32.69,1917900,31.73
2012-07-30,32.82,33.00,32.67,32.88,2573300,31.92
2012-07-27,32.73,33.20,32.65,33.08,2519500,31.80
