Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,15.06,15.26,14.96,15.20,5836600,15.20
2013-07-11,15.30,15.38,14.98,15.00,4757900,15.00
2013-07-10,15.30,15.37,14.99,15.15,5712300,15.15
2013-07-09,15.43,15.50,15.24,15.30,4437400,15.30
2013-07-08,15.28,15.32,15.19,15.30,2728600,15.30
2013-07-05,15.05,15.20,14.93,15.20,5218300,15.20
2013-07-03,14.95,15.01,14.87,14.99,1235200,14.99
2013-07-02,14.89,15.10,14.89,14.99,4120900,14.99
2013-07-01,14.96,15.11,14.89,14.96,3370800,14.96
2013-06-28,14.96,15.00,14.85,14.90,6486600,14.90
2013-06-27,14.90,14.95,14.78,14.95,2230500,14.95
2013-06-26,14.86,14.88,14.67,14.82,3395800,14.82
2013-06-25,14.62,14.75,14.53,14.71,4926100,14.71
2013-06-24,14.32,14.61,14.30,14.55,5971700,14.55
2013-06-21,14.38,14.55,14.16,14.44,12114100,14.44
2013-06-20,14.06,14.38,14.00,14.25,6663600,14.25
2013-06-19,14.32,14.35,14.11,14.14,4150400,14.14
2013-06-18,14.14,14.33,13.95,14.29,6976800,14.29
2013-06-17,13.89,13.95,13.81,13.91,2513400,13.91
2013-06-14,13.89,13.89,13.68,13.76,1960600,13.76
2013-06-13,13.63,13.87,13.58,13.86,1890000,13.86
2013-06-12,13.99,13.99,13.53,13.64,4914700,13.64
2013-06-11,13.90,13.93,13.81,13.86,2231000,13.86
2013-06-10,13.96,14.04,13.91,13.98,2431400,13.98
2013-06-07,13.84,13.94,13.78,13.92,1507700,13.92
2013-06-06,13.68,13.80,13.52,13.79,2151100,13.79
2013-06-05,13.78,13.79,13.65,13.65,2442200,13.65
2013-06-04,13.86,13.93,13.70,13.77,2683400,13.77
2013-06-03,13.81,13.88,13.65,13.87,3436400,13.87
2013-05-31,13.86,13.95,13.76,13.78,3377300,13.78
2013-05-30,13.86,13.97,13.83,13.89,3333800,13.89
2013-05-29,13.80,13.89,13.75,13.87,3791300,13.87
2013-05-28,13.98,14.00,13.84,13.87,3071100,13.87
2013-05-24,13.72,13.81,13.69,13.81,2677300,13.81
2013-05-23,13.87,13.91,13.69,13.80,6285900,13.80
2013-05-22,14.25,14.31,13.95,14.02,5285900,14.02
2013-05-21,14.13,14.30,14.07,14.24,6006300,14.24
2013-05-20,13.86,14.17,13.86,14.14,3139700,14.14
2013-05-17,13.84,14.08,13.84,13.91,8140900,13.91
2013-05-16,13.76,13.86,13.71,13.80,2091100,13.80
2013-05-15,13.63,13.85,13.60,13.84,2752200,13.84
2013-05-14,13.57,13.66,13.56,13.60,4506000,13.60
2013-05-13,13.51,13.66,13.47,13.54,3202100,13.54
2013-05-10,13.41,13.53,13.40,13.51,2848600,13.51
2013-05-09,13.53,13.54,13.40,13.43,4312300,13.43
2013-05-08,13.62,13.64,13.43,13.52,5059100,13.52
